"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Rise Rail Overshoot, [mV]","Rise Rail Overshoot Limit, [mV]","Rise Rail Overshoot Margin, [mV]","Rise Rail Overshoot, [Pass/Fail]","Rise Rail Overshoot Trace Point, [ns]","Fall Rail Undershoot, [mV]","Fall Rail Undershoot Limit, [mV]","Fall Rail Undershoot Margin, [mV]","Fall Rail Undershoot, [Pass/Fail]","Fall Rail Undershoot Trace Point, [ns]","Rise Rail Overshoot Area, [V*ns]","Rise Rail Overshoot Area Limit, [V*ns]","Rise Rail Overshoot Area Margin, [V*ns]","Rise Rail Overshoot Area, [Pass/Fail]","Rise Rail Overshoot Area Trace Point, [ns]","Fall Rail Undershoot Area, [V*ns]","Fall Rail Undershoot Area Limit, [V*ns]","Fall Rail Undershoot Area Margin, [V*ns]","Fall Rail Undershoot Area, [Pass/Fail]","Fall Rail Undershoot Area Trace Point, [ns]","Rise Rail Overshoot Area (2), [V*ns]","Rise Rail Overshoot Area (2) Limit, [V*ns]","Rise Rail Overshoot Area (2) Margin, [V*ns]","Rise Rail Overshoot Area (2), [Pass/Fail]","Rise Rail Overshoot Area (2) Trace Point, [ns]","Fall Rail Undershoot Area (2), [V*ns]","Fall Rail Undershoot Area (2) Limit, [V*ns]","Fall Rail Undershoot Area (2) Margin, [V*ns]","Fall Rail Undershoot Area (2), [Pass/Fail]","Fall Rail Undershoot Area (2) Trace Point, [ns]","Monotonic, [Pass/Fail]","Monotonic Trace Point, [ns]","VIH/L(AC) Min Limit, [Pass/Fail]","VIH/L(AC) Min Limit, Trace Point, [ns]","VIH/L(DC) Monotonicity, [Pass/Fail]","VIH/L(DC) Monotonicity Trace Point, [ns]","Vref Threshold Multi Cross, [Pass/Fail]","Max Slew Time, [ps]","Max Slew Time, [Pass/Fail]","VIX Limit Low, mV","VIX Limit Hi, mV","VIX Margin, mV","VIX, [Pass/Fail]","VIX Trace Point, [ns]","VID(AC) Limit, mV","VID(AC) Margin, mV","VID(AC), [Pass/Fail]","VID(AC) Trace Point, [ns]","VID(DC) Limit, mV","VID(DC), [Pass/Fail]","VID(DC) Trace Point, [ns]","Vdd/2, mV","VSEL Limit, mV","VSEL Margin, mV","VSEL, [Pass/Fail]","VSEL Trace Point, [ns]","VSEH Limit, mV","VSEH Margin, mV","VSEH, [Pass/Fail]","VSEH Trace Point, [ns]","TVAC/TDVAC Min Time Over AC, ps","TVAC/TDVAC Time Limit, ps","TVAC/TDVAC Margin, ps","TVAC/TDVAC, [Pass/Fail]","TVAC/TDVAC Trace Point, [ns]"
"DDR_ACTn","Pass","Write rank(1,1)","U1.N6","U2.L3"," 111.6"," 300.0"," 188.4","Pass","44.487"," 182.3"," 300.0"," 117.7","Pass","41.969","0.0182","0.2550","0.2368","Pass","44.475","0.0365","0.2644","0.2279","Pass","61.952","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_BA0","Pass","Write rank(1,1)","U1.M1","U2.N2"," 137.7"," 300.0"," 162.3","Pass","47.209"," 193.9"," 300.0"," 106.1","Pass"," 7.194","0.0370","0.2550","0.2180","Pass","73.353","0.0637","0.2644","0.2007","Pass","27.091","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_BA1","Pass","Write rank(1,1)","U1.N1","U2.N8"," 143.6"," 300.0"," 156.4","Pass","47.216"," 197.5"," 300.0"," 102.5","Pass","35.950","0.0394","0.2550","0.2156","Pass","47.108","0.0659","0.2644","0.1985","Pass","55.847","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_BG0","Pass","Write rank(1,1)","U1.T4","U2.M2"," 137.9"," 300.0"," 162.1","Pass","64.503"," 209.4"," 300.0","  90.6","Pass","54.501","0.0320","0.2550","0.2230","Pass","43.275","0.0536","0.2644","0.2108","Pass","57.010","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  32.6","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_CKE","Pass","Write rank(1,1)","U1.H2","U2.K2","  97.3"," 300.0"," 202.7","Pass","43.395"," 156.7"," 300.0"," 143.3","Pass","42.113","0.0175","0.2550","0.2375","Pass"," 3.518","0.0460","0.2644","0.2184","Pass","42.238","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  76.8","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_CSn","Pass","Write rank(1,1)","U1.L6","U2.L7"," 123.1"," 300.0"," 176.9","Pass","14.537"," 192.3"," 300.0"," 107.7","Pass","67.018","0.0191","0.2550","0.2359","Pass","14.530","0.0392","0.2644","0.2252","Pass","15.739","0.0000","0.0083","0.0083","Pass","N/A","N/A","N/A","N/A","N/A","N/A","Pass","N/A","Pass","N/A","Pass","N/A","Pass","  30.2","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2"," 117.3"," 400.0"," 282.7","Pass","46.152"," 190.8"," 400.0"," 209.2","Pass"," 3.620","0.0203","0.1050","0.0847","Pass","71.160","0.0459","0.1050","0.0591","Pass"," 3.608","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","Pass","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_DQ1","Pass","Write rank(1,1)","U1.H6","U2.F7"," 117.0"," 400.0"," 283.0","Pass","44.933"," 190.3"," 400.0"," 209.7","Pass","59.873","0.0223","0.1050","0.0827","Pass","44.917","0.0476","0.1050","0.0574","Pass","59.863","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","Pass","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_DQ10","Pass","Write rank(1,1)","U1.U2","U2.C3"," 145.4"," 400.0"," 254.6","Pass","80.574"," 213.0"," 400.0"," 187.0","Pass","46.185","0.0292","0.1050","0.0758","Pass","38.648","0.0566","0.1050","0.0484","Pass"," 4.855","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","Pass","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_DQ11","Pass","Write rank(1,1)","U1.V5","U2.C7"," 152.7"," 400.0"," 247.3","Pass","55.545"," 228.1"," 400.0"," 171.9","Pass","32.409","0.0288","0.1050","0.0762","Pass","51.142","0.0531","0.1050","0.0519","Pass","16.722","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","Pass","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"DDR_DQ12","Pass","Write rank(1,1)","U1.W2","U2.C2"," 162.3"," 400.0"," 237.7","Pass","66.820"," 226.6"," 400.0"," 173.4","Pass","71.807","0.0325","0.1050","0.0725","Pass","70.529","0.0599","0.1050","0.0451","Pass","55.485","0.0000","0.0150","0.0150","Pass","N/A","0.0000","0.0150","0.0150","Pass","N/A","Pass","N/A","Pass","N/A","N/A","N/A","Pass","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
