"Net Name","Pass/Fail","Operation","Driver Comp Ref Des & Pin Name","Receiver Comp Ref Des & Pin Name","Associated Clk/Strobe Net Name","Associated Clk/Strobe Driver Comp Ref Des & Pin Name","Associated Clk/Strobe Receiver Comp Ref Des & Pin Name","Clk/Strobe Crossing Threshold Time, [ns]","Average Center Voltage, Vcent(pin_mid), [mV]","Upper Eye Mask, Vcent(pin_mid) + VdIVW_Total/2, [mV]","Lower Eye Mask, Vcent(pin_mid) - VdIVW_Total/2, [mV]","Half Eye-Mask Width, TdIVW/2, [ps]","Output Delay Uncertainty, [ps]","Measured Setup Time, [ps]","Setup Time Margin, [ps]","Setup Time Margin with Output Delay Uncertainty, [ps]","Measured Hold Time, [ps]","Hold Time Margin, [ps]","Hold Time Margin with Output Delay Uncertainty, [ps]","Min Voltage Above/Below Eye-Mask, [mV]","Peak Voltage Above/Below Vcent(pin_mid), [mV]","VIHL_AC/2 Limit, [mV]","Peak Voltage Above/Below Vcent(pin_mid) Margin, [mV]","Vcent(pin_mid) to Vcent(pin_mid) Pulse Width, [ps]","Pulse Width Limit, tdIPW, [ps]","Pulse Width Margin, [ps]","Pulse Width Margin with Output Delay Uncertainty, [ps]","Min Slew Rate, [V/ns]","Min Slew Rate Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate Margin, [V/ns]","Max Slew Rate, [V/ns]","Max Slew Rate Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate Margin, [V/ns]","Min Slew Rate (2), [V/ns]","Min Slew Rate (2) Limit, SRIN_VdIVW_min, [V/ns]","Min Slew Rate (2) Margin, [V/ns]","Max Slew Rate (2), [V/ns]","Max Slew Rate (2) Limit, SRIN_VdIVW_max, [V/ns]","Max Slew Rate (2) Margin, [V/ns]","Eye Mask Shape"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","14.204"," 700.3"," 768.3"," 632.3","    62","   6.0"," 293.6"," 231.1"," 225.1"," 362.3"," 299.8"," 293.8","754.539"," 887.7","  93.0"," 794.7"," 682.6","   363"," 320.1"," 308.1"," 4.801"," 1.000"," 3.801"," 5.631"," 9.000"," 3.369"," 5.156"," 1.126"," 4.030"," 5.156"," 9.000"," 3.844","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","14.828"," 700.3"," 768.3"," 632.3","    62","   6.0"," 233.4"," 170.9"," 164.9","N/A","N/A","N/A","461.857"," 563.8","  93.0"," 470.8","N/A","N/A","N/A","N/A"," 4.801"," 1.000"," 3.801"," 4.801"," 9.000"," 4.199"," 4.693"," 0.960"," 3.733"," 4.693"," 9.000"," 4.307","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","15.454"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","398.599"," 541.4","  93.0"," 448.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","16.078"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","415.404"," 514.0","  93.0"," 421.0","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","16.703"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 327.5"," 265.0"," 259.0","429.857"," 505.9","  93.0"," 412.9","N/A","N/A","N/A","N/A"," 4.729"," 1.000"," 3.729"," 4.729"," 9.000"," 4.271","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","17.328"," 700.3"," 768.3"," 632.3","    62","   6.0"," 268.9"," 206.4"," 200.4"," 361.4"," 298.9"," 292.9","699.823"," 862.3","  93.0"," 769.3"," 658.1","   363"," 295.6"," 283.6"," 4.729"," 1.000"," 3.729"," 5.018"," 9.000"," 3.982"," 4.898"," 0.946"," 3.952"," 4.898"," 9.000"," 4.102","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","17.953"," 700.3"," 768.3"," 632.3","    62","   6.0"," 236.8"," 174.3"," 168.3","N/A","N/A","N/A","481.573"," 594.3","  93.0"," 501.3","N/A","N/A","N/A","N/A"," 5.018"," 1.000"," 4.018"," 5.018"," 9.000"," 3.982"," 4.879"," 1.004"," 3.876"," 4.879"," 9.000"," 4.121","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","18.578"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","395.149"," 545.5","  93.0"," 452.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","19.204"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A","N/A","N/A","N/A","411.102"," 514.4","  93.0"," 421.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
"DDR_DQ0","Pass","Write rank(1,1)","U1.F4","U2.G2","DDR_LDQS_P","U1.E1&E2","U2.G3&F3","19.828"," 700.3"," 768.3"," 632.3","    62","   6.0","N/A","N/A","N/A"," 327.9"," 265.4"," 259.4","428.384"," 507.0","  93.0"," 414.0","N/A","N/A","N/A","N/A"," 4.746"," 1.000"," 3.746"," 4.746"," 9.000"," 4.254","N/A","N/A","N/A","N/A","N/A","N/A","Eye-Rectangle"
