.HEADER
..NAMES
Time,V U1.U3
.DATA
6.7322e-09,0.5834
6.7419e-09,0.4923
6.7515e-09,0.4023
6.7611e-09,0.3149
6.7708e-09,0.2316
6.7804e-09,0.1535
6.7901e-09,0.0815
6.7997e-09,0.0163
6.8094e-09,-0.0413
6.8190e-09,-0.0909
6.8287e-09,-0.1326
6.8383e-09,-0.1671
6.8480e-09,-0.1952
6.8576e-09,-0.2174
6.8672e-09,-0.2344
6.8769e-09,-0.2467
6.8865e-09,-0.2550
6.8962e-09,-0.2600
6.9058e-09,-0.2626
6.9155e-09,-0.2634
6.9251e-09,-0.2629
6.9348e-09,-0.2613
6.9444e-09,-0.2592
6.9540e-09,-0.2570
6.9637e-09,-0.2552
6.9733e-09,-0.2545
6.9830e-09,-0.2551
6.9926e-09,-0.2571
7.0023e-09,-0.2603
7.0119e-09,-0.2640
7.0216e-09,-0.2675
7.0312e-09,-0.2700
7.0409e-09,-0.2709
7.0505e-09,-0.2700
7.0601e-09,-0.2675
7.0698e-09,-0.2641
7.0794e-09,-0.2607
7.0891e-09,-0.2581
7.0987e-09,-0.2571
7.1084e-09,-0.2578
7.1180e-09,-0.2599
7.1277e-09,-0.2627
7.1373e-09,-0.2658
7.1469e-09,-0.2687
7.1566e-09,-0.2713
7.1662e-09,-0.2736
7.1759e-09,-0.2755
7.1855e-09,-0.2766
7.1952e-09,-0.2767
7.2048e-09,-0.2753
7.2145e-09,-0.2722
7.2241e-09,-0.2671
7.2338e-09,-0.2601
7.2434e-09,-0.2513
7.2530e-09,-0.2406
7.2627e-09,-0.2282
7.2723e-09,-0.2143
7.2820e-09,-0.1991
7.2916e-09,-0.1831
7.3013e-09,-0.1667
7.3109e-09,-0.1503
7.3206e-09,-0.1340
7.3302e-09,-0.1178
7.3398e-09,-0.1018
7.3495e-09,-0.0860
7.3591e-09,-0.0705
7.3688e-09,-0.0553
7.3784e-09,-0.0405
7.3881e-09,-0.0263
7.3977e-09,-0.0130
7.4074e-09,-0.0011
7.4170e-09,0.0090
7.4266e-09,0.0170
7.4363e-09,0.0230
7.4459e-09,0.0271
7.4556e-09,0.0299
7.4652e-09,0.0319
7.4749e-09,0.0337
7.4845e-09,0.0356
7.4942e-09,0.0378
7.5038e-09,0.0403
7.5135e-09,0.0428
7.5231e-09,0.0453
7.5327e-09,0.0475
7.5424e-09,0.0494
7.5520e-09,0.0511
7.5617e-09,0.0526
7.5713e-09,0.0541
7.5810e-09,0.0557
7.5906e-09,0.0571
7.6003e-09,0.0582
7.6099e-09,0.0590
7.6196e-09,0.0592
7.6292e-09,0.0589
7.6388e-09,0.0584
7.6485e-09,0.0579
7.6581e-09,0.0575
7.6678e-09,0.0574
7.6774e-09,0.0576
7.6871e-09,0.0584
7.6967e-09,0.0596
7.7064e-09,0.0614
7.7160e-09,0.0637
7.7256e-09,0.0663
7.7353e-09,0.0689
7.7449e-09,0.0712
7.7546e-09,0.0730
7.7642e-09,0.0742
7.7739e-09,0.0749
7.7835e-09,0.0753
7.7932e-09,0.0754
7.8028e-09,0.0754
7.8125e-09,0.0753
7.8221e-09,0.0751
7.8317e-09,0.0746
7.8414e-09,0.0737
7.8510e-09,0.0721
7.8607e-09,0.0698
7.8703e-09,0.0667
7.8800e-09,0.0627
7.8896e-09,0.0582
7.8993e-09,0.0533
7.9089e-09,0.0484
7.9185e-09,0.0435
7.9282e-09,0.0387
7.9378e-09,0.0342
7.9475e-09,0.0298
7.9571e-09,0.0255
7.9668e-09,0.0214
7.9764e-09,0.0176
7.9861e-09,0.0142
7.9957e-09,0.0112
8.0054e-09,0.0087
8.0150e-09,0.0067
8.0246e-09,0.0051
8.0343e-09,0.0038
8.0439e-09,0.0025
8.0536e-09,0.0013
8.0632e-09,-0.0001
8.0729e-09,-0.0016
8.0825e-09,-0.0032
8.0922e-09,-0.0048
8.1018e-09,-0.0064
8.1114e-09,-0.0079
8.1211e-09,-0.0092
8.1307e-09,-0.0103
8.1404e-09,-0.0110
8.1500e-09,-0.0114
8.1597e-09,-0.0115
