.HEADER
..NAMES
Time,V U1.F1
.DATA
4.3113e-09,1.1157
4.3210e-09,1.1159
4.3306e-09,1.1171
4.3402e-09,1.1192
4.3499e-09,1.1221
4.3595e-09,1.1255
4.3692e-09,1.1294
4.3788e-09,1.1336
4.3885e-09,1.1381
4.3981e-09,1.1427
4.4078e-09,1.1474
4.4174e-09,1.1521
4.4271e-09,1.1568
4.4367e-09,1.1615
4.4463e-09,1.1661
4.4560e-09,1.1706
4.4656e-09,1.1749
4.4753e-09,1.1790
4.4849e-09,1.1829
4.4946e-09,1.1864
4.5042e-09,1.1895
4.5139e-09,1.1921
4.5235e-09,1.1942
4.5331e-09,1.1956
4.5428e-09,1.1964
4.5524e-09,1.1967
4.5621e-09,1.1965
4.5717e-09,1.1960
4.5814e-09,1.1952
4.5910e-09,1.1944
4.6007e-09,1.1936
4.6103e-09,1.1930
4.6200e-09,1.1926
4.6296e-09,1.1925
4.6392e-09,1.1925
4.6489e-09,1.1927
4.6585e-09,1.1930
4.6682e-09,1.1934
4.6778e-09,1.1940
4.6875e-09,1.1946
4.6971e-09,1.1955
4.7068e-09,1.1964
4.7164e-09,1.1974
4.7261e-09,1.1985
4.7357e-09,1.1997
4.7453e-09,1.2009
4.7550e-09,1.2022
4.7646e-09,1.2034
4.7743e-09,1.2046
4.7839e-09,1.2058
4.7936e-09,1.2072
4.8032e-09,1.2086
4.8129e-09,1.2102
4.8225e-09,1.2118
4.8321e-09,1.2133
4.8418e-09,1.2147
4.8514e-09,1.2158
4.8611e-09,1.2166
4.8707e-09,1.2170
4.8804e-09,1.2170
4.8900e-09,1.2166
4.8997e-09,1.2159
4.9093e-09,1.2151
4.9190e-09,1.2140
4.9286e-09,1.2129
4.9382e-09,1.2118
4.9479e-09,1.2106
4.9575e-09,1.2094
4.9672e-09,1.2081
4.9768e-09,1.2070
4.9865e-09,1.2058
4.9961e-09,1.2048
5.0058e-09,1.2038
5.0154e-09,1.2029
5.0250e-09,1.2021
5.0347e-09,1.2014
5.0443e-09,1.2007
5.0540e-09,1.2002
5.0636e-09,1.1997
5.0733e-09,1.1992
5.0829e-09,1.1988
5.0926e-09,1.1985
5.1022e-09,1.1983
5.1119e-09,1.1982
5.1215e-09,1.1983
5.1311e-09,1.1985
5.1408e-09,1.1989
5.1504e-09,1.1994
5.1601e-09,1.2000
5.1697e-09,1.2006
5.1794e-09,1.2013
5.1890e-09,1.2019
5.1987e-09,1.2025
5.2083e-09,1.2030
5.2179e-09,1.2033
5.2276e-09,1.2035
5.2372e-09,1.2035
5.2469e-09,1.2035
5.2565e-09,1.2033
5.2662e-09,1.2031
5.2758e-09,1.2028
5.2855e-09,1.2026
5.2951e-09,1.2023
5.3047e-09,1.2022
5.3144e-09,1.2020
5.3240e-09,1.2018
5.3337e-09,1.2016
5.3433e-09,1.2014
5.3530e-09,1.2012
5.3626e-09,1.2002
5.3723e-09,1.1978
5.3819e-09,1.1927
5.3916e-09,1.1837
5.4012e-09,1.1695
5.4108e-09,1.1490
5.4205e-09,1.1214
5.4301e-09,1.0855
5.4398e-09,1.0405
5.4494e-09,0.9867
5.4591e-09,0.9246
5.4687e-09,0.8549
5.4784e-09,0.7785
5.4880e-09,0.6968
5.4976e-09,0.6111
5.5073e-09,0.5226
