.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
9.6093e-09,-0.4801
9.6325e-09,-0.5085
9.6558e-09,-0.5537
9.6791e-09,-0.5899
9.7023e-09,-0.5826
9.7256e-09,-0.4810
9.7489e-09,-0.3085
9.7721e-09,-0.1182
9.7954e-09,0.1081
9.8187e-09,0.3529
9.8419e-09,0.5509
9.8652e-09,0.6452
9.8885e-09,0.6533
9.9117e-09,0.6341
9.9350e-09,0.6000
9.9583e-09,0.5579
9.9815e-09,0.5365
1.00048e-08,0.5607
1.00281e-08,0.6217
1.00513e-08,0.6881
1.00746e-08,0.7354
1.00979e-08,0.7501
1.01211e-08,0.7284
1.01444e-08,0.6744
1.01677e-08,0.6013
1.01909e-08,0.5309
1.02142e-08,0.4876
1.02375e-08,0.4845
1.02607e-08,0.5148
1.02840e-08,0.5608
1.03073e-08,0.5960
1.03305e-08,0.5788
1.03538e-08,0.4616
1.03771e-08,0.2847
1.04003e-08,0.0945
1.04236e-08,-0.1357
1.04469e-08,-0.3821
1.04702e-08,-0.5704
1.04934e-08,-0.6477
1.05167e-08,-0.6485
1.05400e-08,-0.6299
1.05632e-08,-0.5957
1.05865e-08,-0.5527
1.06098e-08,-0.5361
1.06330e-08,-0.5678
1.06563e-08,-0.6318
1.06796e-08,-0.6965
1.07028e-08,-0.7401
1.07261e-08,-0.7499
1.07494e-08,-0.7223
1.07726e-08,-0.6645
1.07959e-08,-0.5909
1.08192e-08,-0.5218
1.08424e-08,-0.4819
1.08657e-08,-0.4848
1.08890e-08,-0.5206
1.09122e-08,-0.5658
1.09355e-08,-0.5946
1.09588e-08,-0.5659
1.09820e-08,-0.4395
1.10053e-08,-0.2603
1.10286e-08,-0.0607
1.10518e-08,0.1748
1.10751e-08,0.4128
1.10984e-08,0.5866
1.11216e-08,0.6534
1.11449e-08,0.6504
1.11682e-08,0.6260
1.11914e-08,0.5877
1.12147e-08,0.5485
1.12380e-08,0.5386
1.12612e-08,0.5748
1.12845e-08,0.6399
1.13078e-08,0.7034
1.13310e-08,0.7432
1.13543e-08,0.7481
1.13776e-08,0.7167
1.14008e-08,0.6557
1.14241e-08,0.5810
1.14474e-08,0.5158
1.14706e-08,0.4827
1.14939e-08,0.4897
1.15172e-08,0.5264
1.15404e-08,0.5725
1.15637e-08,0.5982
1.15870e-08,0.5550
1.16102e-08,0.4129
1.16335e-08,0.2330
1.16568e-08,0.0344
1.16800e-08,-0.2073
1.17033e-08,-0.4451
1.17266e-08,-0.6039
1.17498e-08,-0.6521
1.17731e-08,-0.6445
1.17964e-08,-0.6229
1.18196e-08,-0.5832
1.18429e-08,-0.5435
1.18662e-08,-0.5400
1.18894e-08,-0.5839
1.19127e-08,-0.6509
1.19360e-08,-0.7112
1.19592e-08,-0.7464
1.19825e-08,-0.7456
1.20058e-08,-0.7085
1.20290e-08,-0.6446
1.20523e-08,-0.5698
1.20756e-08,-0.5065
1.20988e-08,-0.4784
1.21221e-08,-0.4925
1.21454e-08,-0.5336
1.21686e-08,-0.5772
1.21919e-08,-0.5965
1.22152e-08,-0.5420
1.22384e-08,-0.3931
1.22617e-08,-0.2080
1.22850e-08,-0.0002
1.23082e-08,0.2417
1.23315e-08,0.4706
1.23548e-08,0.6164
1.23780e-08,0.6567
1.24013e-08,0.6442
1.24246e-08,0.6167
1.24478e-08,0.5762
1.24711e-08,0.5414
1.24944e-08,0.5436
1.25176e-08,0.5911
1.25409e-08,0.6591
1.25642e-08,0.7178
1.25874e-08,0.7485
1.26107e-08,0.7432
1.26340e-08,0.7026
1.26572e-08,0.6357
1.26805e-08,0.5609
1.27038e-08,0.5024
1.27270e-08,0.4804
1.27503e-08,0.4974
1.27736e-08,0.5393
1.27968e-08,0.5831
1.28201e-08,0.5954
1.28434e-08,0.5235
1.28667e-08,0.3638
1.28899e-08,0.1817
1.29132e-08,-0.0303
1.29365e-08,-0.2779
1.29597e-08,-0.5000
1.29830e-08,-0.6270
1.30063e-08,-0.6531
1.30295e-08,-0.6406
1.30528e-08,-0.6132
1.30761e-08,-0.5699
1.30993e-08,-0.5375
1.31226e-08,-0.5480
1.31459e-08,-0.6015
1.31691e-08,-0.6691
1.31924e-08,-0.7242
1.32157e-08,-0.7502
1.32389e-08,-0.7389
1.32622e-08,-0.6930
1.32855e-08,-0.6241
1.33087e-08,-0.5499
1.33320e-08,-0.4945
1.33553e-08,-0.4785
1.33785e-08,-0.5020
1.34018e-08,-0.5463
1.34251e-08,-0.5863
1.34483e-08,-0.5915
1.34716e-08,-0.5088
1.34949e-08,-0.3431
1.35181e-08,-0.1542
1.35414e-08,0.0633
1.35647e-08,0.3084
1.35879e-08,0.5212
1.36112e-08,0.6367
1.36345e-08,0.6553
1.36577e-08,0.6374
1.36810e-08,0.6068
1.37043e-08,0.5653
1.37275e-08,0.5377
1.37508e-08,0.5528
1.37741e-08,0.6094
1.37973e-08,0.6774
1.38206e-08,0.7295
1.38439e-08,0.7505
1.38671e-08,0.7350
1.38904e-08,0.6861
1.39137e-08,0.6151
1.39369e-08,0.5423
1.39602e-08,0.4924
1.39835e-08,0.4819
1.40067e-08,0.5075
1.40300e-08,0.5525
1.40533e-08,0.5916
1.40765e-08,0.5872
1.40998e-08,0.4876
1.41231e-08,0.3174
1.41463e-08,0.1301
1.41696e-08,-0.0937
1.41929e-08,-0.3410
1.42161e-08,-0.5438
1.42394e-08,-0.6407
1.42627e-08,-0.6511
1.42859e-08,-0.6344
1.43092e-08,-0.6023
1.43325e-08,-0.5588
1.43557e-08,-0.5358
1.43790e-08,-0.5593
1.44023e-08,-0.6195
1.44255e-08,-0.6858
1.44488e-08,-0.7345
1.44721e-08,-0.7510
1.44953e-08,-0.7297
1.45186e-08,-0.6762
1.45419e-08,-0.6041
1.45651e-08,-0.5326
1.45884e-08,-0.4862
1.46117e-08,-0.4816
1.46349e-08,-0.5128
1.46582e-08,-0.5583
1.46815e-08,-0.5921
1.47047e-08,-0.5771
1.47280e-08,-0.4661
1.47513e-08,-0.2908
1.47745e-08,-0.0978
1.47978e-08,0.1321
1.48211e-08,0.3750
1.48443e-08,0.5644
1.48676e-08,0.6482
1.48909e-08,0.6518
1.49141e-08,0.6311
1.49374e-08,0.5957
1.49607e-08,0.5544
1.49839e-08,0.5370
1.50072e-08,0.5657
1.50305e-08,0.6285
1.50537e-08,0.6939
1.50770e-08,0.7383
1.51003e-08,0.7495
1.51236e-08,0.7243
1.51468e-08,0.6677
1.51701e-08,0.5939
1.51934e-08,0.5253
1.52166e-08,0.4857
1.52399e-08,0.4863
1.52632e-08,0.5190
1.52864e-08,0.5653
1.53097e-08,0.5974
1.53330e-08,0.5712
1.53562e-08,0.4445
1.53795e-08,0.2659
1.54028e-08,0.0730
1.54260e-08,-0.1614
1.54493e-08,-0.4055
1.54726e-08,-0.5837
1.54958e-08,-0.6502
1.55191e-08,-0.6473
1.55424e-08,-0.6276
1.55656e-08,-0.5914
1.55889e-08,-0.5492
1.56122e-08,-0.5371
1.56354e-08,-0.5733
1.56587e-08,-0.6387
1.56820e-08,-0.7020
1.57052e-08,-0.7427
1.57285e-08,-0.7487
1.57518e-08,-0.7176
1.57750e-08,-0.6575
1.57983e-08,-0.5833
1.58216e-08,-0.5160
1.58448e-08,-0.4802
1.58681e-08,-0.4873
1.58914e-08,-0.5252
1.59146e-08,-0.5699
1.59379e-08,-0.5952
1.59612e-08,-0.5569
1.59844e-08,-0.4213
1.60077e-08,-0.2402
1.60310e-08,-0.0375
1.60542e-08,0.2012
1.60775e-08,0.4358
1.61008e-08,0.5991
1.61240e-08,0.6552
1.61473e-08,0.6486
1.61706e-08,0.6229
1.61938e-08,0.5833
1.62171e-08,0.5454
1.62404e-08,0.5401
1.62636e-08,0.5808
1.62869e-08,0.6472
1.63102e-08,0.7089
1.63334e-08,0.7454
1.63567e-08,0.7465
1.63800e-08,0.7115
1.64032e-08,0.6481
1.64265e-08,0.5732
1.64498e-08,0.5104
1.64730e-08,0.4815
1.64963e-08,0.4924
1.65196e-08,0.5312
1.65428e-08,0.5769
1.65661e-08,0.5983
1.65894e-08,0.5449
1.66126e-08,0.3953
1.66359e-08,0.2143
1.66592e-08,0.0117
1.66824e-08,-0.2327
1.67057e-08,-0.4659
1.67290e-08,-0.6134
1.67522e-08,-0.6526
1.67755e-08,-0.6427
1.67988e-08,-0.6196
1.68220e-08,-0.5785
1.68453e-08,-0.5410
1.68686e-08,-0.5425
1.68918e-08,-0.5903
1.69151e-08,-0.6578
1.69384e-08,-0.7163
1.69616e-08,-0.7481
1.69849e-08,-0.7434
1.70082e-08,-0.7030
1.70314e-08,-0.6372
1.70547e-08,-0.5624
1.70780e-08,-0.5017
1.71012e-08,-0.4780
1.71245e-08,-0.4959
1.71478e-08,-0.5384
1.71710e-08,-0.5808
1.71943e-08,-0.5952
1.72176e-08,-0.5302
1.72408e-08,-0.3749
1.72641e-08,-0.1885
1.72874e-08,0.0234
1.73106e-08,0.2668
1.73339e-08,0.4899
1.73572e-08,0.6244
1.73804e-08,0.6565
1.74037e-08,0.6419
1.74270e-08,0.6129
1.74502e-08,0.5717
1.74735e-08,0.5395
