.HEADER
..NAMES
Time,V U2.L3
.DATA
7.9573e-09,0.5548
7.9806e-09,0.7006
8.0038e-09,0.8533
8.0271e-09,0.9903
8.0504e-09,1.0963
8.0736e-09,1.1669
8.0969e-09,1.2040
8.1202e-09,1.2184
8.1435e-09,1.2256
8.1667e-09,1.2388
8.1900e-09,1.2620
8.2133e-09,1.2868
8.2365e-09,1.2992
8.2598e-09,1.2962
8.2831e-09,1.2864
8.3063e-09,1.2739
8.3296e-09,1.2464
8.3529e-09,1.1940
8.3761e-09,1.1301
8.3994e-09,1.0758
8.4227e-09,1.0403
8.4459e-09,1.0225
8.4692e-09,1.0199
8.4925e-09,1.0291
8.5157e-09,1.0467
8.5390e-09,1.0701
8.5623e-09,1.0979
8.5855e-09,1.1264
8.6088e-09,1.1489
8.6321e-09,1.1583
8.6553e-09,1.1558
8.6786e-09,1.1523
8.7019e-09,1.1591
8.7251e-09,1.1768
8.7484e-09,1.1977
8.7717e-09,1.2178
8.7949e-09,1.2385
8.8182e-09,1.2598
8.8415e-09,1.2767
8.8647e-09,1.2838
8.8880e-09,1.2788
8.9113e-09,1.2628
8.9345e-09,1.2407
8.9578e-09,1.2188
8.9811e-09,1.2026
9.0043e-09,1.1934
9.0276e-09,1.1883
9.0509e-09,1.1847
9.0741e-09,1.1835
9.0974e-09,1.1869
9.1207e-09,1.1936
9.1439e-09,1.1975
9.1672e-09,1.1941
9.1905e-09,1.1847
9.2137e-09,1.1742
9.2370e-09,1.1666
9.2603e-09,1.1636
9.2835e-09,1.1654
9.3068e-09,1.1713
9.3301e-09,1.1804
9.3533e-09,1.1917
9.3766e-09,1.2041
9.3999e-09,1.2156
9.4231e-09,1.2228
9.4464e-09,1.2234
9.4697e-09,1.2185
9.4929e-09,1.2121
9.5162e-09,1.2074
9.5395e-09,1.2050
9.5627e-09,1.2036
9.5860e-09,1.2026
9.6093e-09,1.2032
9.6325e-09,1.2062
9.6558e-09,1.2106
9.6791e-09,1.2141
9.7023e-09,1.2148
9.7256e-09,1.2115
9.7489e-09,1.2052
9.7721e-09,1.1980
9.7954e-09,1.1921
9.8187e-09,1.1884
9.8419e-09,1.1867
9.8652e-09,1.1868
9.8885e-09,1.1890
9.9117e-09,1.1936
9.9350e-09,1.1993
9.9583e-09,1.2039
9.9815e-09,1.2056
1.00048e-08,1.2046
