.HEADER
..NAMES
Time,V U1.V6
.DATA
6.7515e-09,0.4629
6.7611e-09,0.5261
6.7708e-09,0.5885
6.7804e-09,0.6489
6.7901e-09,0.7063
6.7997e-09,0.7601
6.8094e-09,0.8099
6.8190e-09,0.8553
6.8287e-09,0.8963
6.8383e-09,0.9328
6.8480e-09,0.9652
6.8576e-09,0.9941
6.8672e-09,1.0198
6.8769e-09,1.0427
6.8865e-09,1.0631
6.8962e-09,1.0812
6.9058e-09,1.0972
6.9155e-09,1.1115
6.9251e-09,1.1241
6.9348e-09,1.1350
6.9444e-09,1.1446
6.9540e-09,1.1530
6.9637e-09,1.1606
6.9733e-09,1.1676
6.9830e-09,1.1744
6.9926e-09,1.1812
7.0023e-09,1.1881
7.0119e-09,1.1952
7.0216e-09,1.2023
7.0312e-09,1.2091
7.0409e-09,1.2155
7.0505e-09,1.2211
7.0601e-09,1.2259
7.0698e-09,1.2299
7.0794e-09,1.2330
7.0891e-09,1.2354
7.0987e-09,1.2373
7.1084e-09,1.2388
7.1180e-09,1.2404
7.1277e-09,1.2423
7.1373e-09,1.2447
7.1469e-09,1.2474
7.1566e-09,1.2499
7.1662e-09,1.2521
7.1759e-09,1.2536
7.1855e-09,1.2543
7.1952e-09,1.2542
7.2048e-09,1.2529
7.2145e-09,1.2501
7.2241e-09,1.2454
7.2338e-09,1.2377
7.2434e-09,1.2254
7.2530e-09,1.2068
7.2627e-09,1.1800
7.2723e-09,1.1436
7.2820e-09,1.0969
7.2916e-09,1.0404
7.3013e-09,0.9752
7.3109e-09,0.9025
7.3206e-09,0.8238
7.3302e-09,0.7408
7.3398e-09,0.6548
7.3495e-09,0.5676
7.3591e-09,0.4810
7.3688e-09,0.3963
7.3784e-09,0.3145
7.3881e-09,0.2366
7.3977e-09,0.1635
7.4074e-09,0.0956
7.4170e-09,0.0338
7.4266e-09,-0.0210
7.4363e-09,-0.0686
7.4459e-09,-0.1087
7.4556e-09,-0.1416
7.4652e-09,-0.1684
7.4749e-09,-0.1898
7.4845e-09,-0.2064
7.4942e-09,-0.2189
7.5038e-09,-0.2278
7.5135e-09,-0.2339
7.5231e-09,-0.2379
7.5327e-09,-0.2408
7.5424e-09,-0.2427
7.5520e-09,-0.2438
7.5617e-09,-0.2444
7.5713e-09,-0.2450
7.5810e-09,-0.2461
7.5906e-09,-0.2480
7.6003e-09,-0.2510
7.6099e-09,-0.2549
7.6196e-09,-0.2593
7.6292e-09,-0.2638
7.6388e-09,-0.2678
7.6485e-09,-0.2708
7.6581e-09,-0.2726
7.6678e-09,-0.2731
7.6774e-09,-0.2726
7.6871e-09,-0.2716
7.6967e-09,-0.2707
7.7064e-09,-0.2704
7.7160e-09,-0.2708
7.7256e-09,-0.2719
7.7353e-09,-0.2735
7.7449e-09,-0.2754
7.7546e-09,-0.2771
7.7642e-09,-0.2786
7.7739e-09,-0.2795
7.7835e-09,-0.2795
7.7932e-09,-0.2784
7.8028e-09,-0.2762
7.8125e-09,-0.2727
7.8221e-09,-0.2681
7.8317e-09,-0.2623
7.8414e-09,-0.2554
7.8510e-09,-0.2472
7.8607e-09,-0.2375
7.8703e-09,-0.2261
7.8800e-09,-0.2133
7.8896e-09,-0.1991
7.8993e-09,-0.1840
7.9089e-09,-0.1682
7.9185e-09,-0.1520
7.9282e-09,-0.1357
7.9378e-09,-0.1194
7.9475e-09,-0.1033
7.9571e-09,-0.0877
7.9668e-09,-0.0726
7.9764e-09,-0.0580
7.9861e-09,-0.0442
7.9957e-09,-0.0310
8.0054e-09,-0.0186
8.0150e-09,-0.0075
8.0246e-09,0.0022
8.0343e-09,0.0101
8.0439e-09,0.0162
8.0536e-09,0.0207
