.HEADER
..NAMES
Time,V U1.G2
.DATA
3.3757e-09,-0.2723
3.3854e-09,-0.2689
3.3950e-09,-0.2639
3.4047e-09,-0.2578
3.4143e-09,-0.2509
3.4240e-09,-0.2433
3.4336e-09,-0.2354
3.4433e-09,-0.2275
3.4529e-09,-0.2196
3.4626e-09,-0.2117
3.4722e-09,-0.2033
3.4818e-09,-0.1938
3.4915e-09,-0.1826
3.5011e-09,-0.1691
3.5108e-09,-0.1523
3.5204e-09,-0.1310
3.5301e-09,-0.1043
3.5397e-09,-0.0716
3.5494e-09,-0.0324
3.5590e-09,0.0133
3.5687e-09,0.0653
3.5783e-09,0.1229
3.5879e-09,0.1855
3.5976e-09,0.2524
3.6072e-09,0.3225
3.6169e-09,0.3942
3.6265e-09,0.4663
3.6362e-09,0.5374
3.6458e-09,0.6063
3.6555e-09,0.6717
3.6651e-09,0.7326
3.6747e-09,0.7884
3.6844e-09,0.8386
3.6940e-09,0.8827
3.7037e-09,0.9210
3.7133e-09,0.9536
3.7230e-09,0.9809
3.7326e-09,1.0032
3.7423e-09,1.0214
3.7519e-09,1.0360
3.7616e-09,1.0478
3.7712e-09,1.0572
3.7808e-09,1.0648
3.7905e-09,1.0712
3.8001e-09,1.0767
3.8098e-09,1.0816
3.8194e-09,1.0863
3.8291e-09,1.0910
3.8387e-09,1.0961
3.8484e-09,1.1019
3.8580e-09,1.1085
3.8676e-09,1.1161
3.8773e-09,1.1245
3.8869e-09,1.1335
3.8966e-09,1.1427
3.9062e-09,1.1520
3.9159e-09,1.1611
3.9255e-09,1.1698
3.9352e-09,1.1778
3.9448e-09,1.1848
3.9545e-09,1.1906
3.9641e-09,1.1948
3.9737e-09,1.1974
3.9834e-09,1.1983
3.9930e-09,1.1975
4.0027e-09,1.1951
4.0123e-09,1.1913
4.0220e-09,1.1862
4.0316e-09,1.1799
4.0413e-09,1.1729
4.0509e-09,1.1652
4.0605e-09,1.1571
4.0702e-09,1.1488
4.0798e-09,1.1407
4.0895e-09,1.1328
4.0991e-09,1.1252
4.1088e-09,1.1181
4.1184e-09,1.1112
4.1281e-09,1.1047
4.1377e-09,1.0984
4.1474e-09,1.0924
4.1570e-09,1.0867
4.1666e-09,1.0817
4.1763e-09,1.0774
4.1859e-09,1.0740
4.1956e-09,1.0716
4.2052e-09,1.0704
4.2149e-09,1.0703
4.2245e-09,1.0714
4.2342e-09,1.0736
4.2438e-09,1.0770
4.2534e-09,1.0815
4.2631e-09,1.0869
4.2727e-09,1.0932
4.2824e-09,1.1000
4.2920e-09,1.1072
4.3017e-09,1.1145
4.3113e-09,1.1218
4.3210e-09,1.1290
4.3306e-09,1.1360
4.3402e-09,1.1426
4.3499e-09,1.1487
4.3595e-09,1.1542
4.3692e-09,1.1592
4.3788e-09,1.1635
4.3885e-09,1.1673
4.3981e-09,1.1707
4.4078e-09,1.1736
4.4174e-09,1.1763
4.4271e-09,1.1787
4.4367e-09,1.1808
4.4463e-09,1.1827
4.4560e-09,1.1841
4.4656e-09,1.1852
4.4753e-09,1.1859
4.4849e-09,1.1863
4.4946e-09,1.1864
4.5042e-09,1.1865
4.5139e-09,1.1866
4.5235e-09,1.1868
4.5331e-09,1.1872
4.5428e-09,1.1878
4.5524e-09,1.1886
4.5621e-09,1.1899
4.5717e-09,1.1915
4.5814e-09,1.1936
4.5910e-09,1.1960
4.6007e-09,1.1986
4.6103e-09,1.2013
4.6200e-09,1.2041
4.6296e-09,1.2069
4.6392e-09,1.2095
4.6489e-09,1.2119
4.6585e-09,1.2141
4.6682e-09,1.2160
4.6778e-09,1.2176
4.6875e-09,1.2188
4.6971e-09,1.2196
4.7068e-09,1.2199
4.7164e-09,1.2199
4.7261e-09,1.2193
4.7357e-09,1.2173
4.7453e-09,1.2129
4.7550e-09,1.2051
4.7646e-09,1.1926
4.7743e-09,1.1741
4.7839e-09,1.1487
4.7936e-09,1.1156
4.8032e-09,1.0738
4.8129e-09,1.0227
4.8225e-09,0.9625
4.8321e-09,0.8938
4.8418e-09,0.8173
4.8514e-09,0.7340
4.8611e-09,0.6457
4.8707e-09,0.5541
4.8804e-09,0.4610
4.8900e-09,0.3679
4.8997e-09,0.2768
4.9093e-09,0.1894
4.9190e-09,0.1072
4.9286e-09,0.0316
4.9382e-09,-0.0364
4.9479e-09,-0.0960
4.9575e-09,-0.1470
4.9672e-09,-0.1888
4.9768e-09,-0.2210
4.9865e-09,-0.2439
4.9961e-09,-0.2588
5.0058e-09,-0.2670
5.0154e-09,-0.2696
5.0250e-09,-0.2679
5.0347e-09,-0.2630
5.0443e-09,-0.2557
5.0540e-09,-0.2469
5.0636e-09,-0.2375
5.0733e-09,-0.2284
5.0829e-09,-0.2199
5.0926e-09,-0.2125
5.1022e-09,-0.2067
5.1119e-09,-0.2028
5.1215e-09,-0.2011
5.1311e-09,-0.2017
5.1408e-09,-0.2048
5.1504e-09,-0.2103
5.1601e-09,-0.2180
5.1697e-09,-0.2272
5.1794e-09,-0.2374
5.1890e-09,-0.2479
5.1987e-09,-0.2578
5.2083e-09,-0.2667
5.2179e-09,-0.2743
5.2276e-09,-0.2802
5.2372e-09,-0.2842
5.2469e-09,-0.2861
5.2565e-09,-0.2859
5.2662e-09,-0.2837
5.2758e-09,-0.2795
5.2855e-09,-0.2735
5.2951e-09,-0.2662
5.3047e-09,-0.2580
5.3144e-09,-0.2493
5.3240e-09,-0.2406
5.3337e-09,-0.2320
5.3433e-09,-0.2232
5.3530e-09,-0.2133
5.3626e-09,-0.2019
5.3723e-09,-0.1885
5.3819e-09,-0.1722
5.3916e-09,-0.1518
5.4012e-09,-0.1262
5.4108e-09,-0.0944
5.4205e-09,-0.0557
5.4301e-09,-0.0097
5.4398e-09,0.0436
5.4494e-09,0.1035
5.4591e-09,0.1693
5.4687e-09,0.2399
5.4784e-09,0.3138
5.4880e-09,0.3894
5.4976e-09,0.4652
5.5073e-09,0.5399
5.5169e-09,0.6121
5.5266e-09,0.6804
5.5362e-09,0.7437
5.5459e-09,0.8012
5.5555e-09,0.8522
5.5652e-09,0.8965
5.5748e-09,0.9342
5.5845e-09,0.9657
5.5941e-09,0.9916
5.6037e-09,1.0125
5.6134e-09,1.0293
5.6230e-09,1.0426
5.6327e-09,1.0531
5.6423e-09,1.0613
5.6520e-09,1.0678
5.6616e-09,1.0732
5.6713e-09,1.0780
5.6809e-09,1.0823
5.6905e-09,1.0866
5.7002e-09,1.0909
5.7098e-09,1.0954
5.7195e-09,1.1005
5.7291e-09,1.1062
5.7388e-09,1.1129
5.7484e-09,1.1208
5.7581e-09,1.1297
5.7677e-09,1.1396
5.7774e-09,1.1500
5.7870e-09,1.1605
5.7966e-09,1.1708
5.8063e-09,1.1804
5.8159e-09,1.1890
5.8256e-09,1.1962
5.8352e-09,1.2018
5.8449e-09,1.2055
5.8545e-09,1.2072
5.8642e-09,1.2068
5.8738e-09,1.2043
5.8835e-09,1.1999
5.8931e-09,1.1937
5.9027e-09,1.1861
5.9124e-09,1.1775
5.9220e-09,1.1682
5.9317e-09,1.1587
5.9413e-09,1.1491
5.9510e-09,1.1396
5.9606e-09,1.1305
5.9703e-09,1.1215
5.9799e-09,1.1115
5.9895e-09,1.0997
5.9992e-09,1.0855
6.0088e-09,1.0678
6.0185e-09,1.0452
6.0281e-09,1.0167
6.0378e-09,0.9818
6.0474e-09,0.9399
6.0571e-09,0.8904
6.0667e-09,0.8336
6.0764e-09,0.7704
6.0860e-09,0.7017
6.0956e-09,0.6279
6.1053e-09,0.5505
6.1149e-09,0.4709
6.1246e-09,0.3906
6.1342e-09,0.3104
6.1439e-09,0.2318
6.1535e-09,0.1562
