.HEADER
..NAMES
Time,V U1.V5
.DATA
3.5976e-09,1.2032
3.6072e-09,1.2026
3.6169e-09,1.2022
3.6265e-09,1.2021
3.6362e-09,1.2020
3.6458e-09,1.2019
3.6555e-09,1.2018
3.6651e-09,1.2016
3.6747e-09,1.2013
3.6844e-09,1.2010
3.6940e-09,1.2007
3.7037e-09,1.2005
3.7133e-09,1.2002
3.7230e-09,1.2000
3.7326e-09,1.1998
3.7423e-09,1.1997
3.7519e-09,1.1997
3.7616e-09,1.1999
3.7712e-09,1.2001
3.7808e-09,1.2002
3.7905e-09,1.2003
3.8001e-09,1.2002
3.8098e-09,1.2000
3.8194e-09,1.1996
3.8291e-09,1.1992
3.8387e-09,1.1987
3.8484e-09,1.1982
3.8580e-09,1.1978
3.8676e-09,1.1976
3.8773e-09,1.1976
3.8869e-09,1.1979
3.8966e-09,1.1984
3.9062e-09,1.1990
3.9159e-09,1.1996
3.9255e-09,1.2002
3.9352e-09,1.2005
3.9448e-09,1.2006
3.9545e-09,1.2006
3.9641e-09,1.2003
3.9737e-09,1.1999
3.9834e-09,1.1993
3.9930e-09,1.1988
4.0027e-09,1.1982
4.0123e-09,1.1978
4.0220e-09,1.1975
4.0316e-09,1.1974
4.0413e-09,1.1974
4.0509e-09,1.1976
4.0605e-09,1.1978
4.0702e-09,1.1981
4.0798e-09,1.1983
4.0895e-09,1.1986
4.0991e-09,1.1986
4.1088e-09,1.1981
4.1184e-09,1.1956
4.1281e-09,1.1890
4.1377e-09,1.1753
4.1474e-09,1.1517
4.1570e-09,1.1163
4.1666e-09,1.0687
4.1763e-09,1.0098
4.1859e-09,0.9413
4.1956e-09,0.8652
4.2052e-09,0.7836
4.2149e-09,0.6982
4.2245e-09,0.6104
4.2342e-09,0.5215
4.2438e-09,0.4326
4.2534e-09,0.3449
4.2631e-09,0.2597
4.2727e-09,0.1784
4.2824e-09,0.1021
4.2920e-09,0.0318
4.3017e-09,-0.0311
4.3113e-09,-0.0858
4.3210e-09,-0.1321
4.3306e-09,-0.1704
4.3402e-09,-0.2014
4.3499e-09,-0.2258
4.3595e-09,-0.2441
4.3692e-09,-0.2566
4.3788e-09,-0.2639
4.3885e-09,-0.2671
4.3981e-09,-0.2673
4.4078e-09,-0.2656
4.4174e-09,-0.2631
4.4271e-09,-0.2610
4.4367e-09,-0.2598
4.4463e-09,-0.2598
4.4560e-09,-0.2612
4.4656e-09,-0.2638
4.4753e-09,-0.2672
4.4849e-09,-0.2709
4.4946e-09,-0.2742
4.5042e-09,-0.2764
4.5139e-09,-0.2768
4.5235e-09,-0.2752
4.5331e-09,-0.2717
4.5428e-09,-0.2663
4.5524e-09,-0.2599
4.5621e-09,-0.2533
4.5717e-09,-0.2475
4.5814e-09,-0.2434
4.5910e-09,-0.2412
4.6007e-09,-0.2408
4.6103e-09,-0.2419
4.6200e-09,-0.2437
4.6296e-09,-0.2458
4.6392e-09,-0.2481
4.6489e-09,-0.2504
4.6585e-09,-0.2528
4.6682e-09,-0.2552
4.6778e-09,-0.2575
4.6875e-09,-0.2593
4.6971e-09,-0.2601
4.7068e-09,-0.2597
4.7164e-09,-0.2575
4.7261e-09,-0.2536
4.7357e-09,-0.2477
4.7453e-09,-0.2400
4.7550e-09,-0.2305
