.HEADER
..NAMES
Time,V U1.U2
.DATA
4.0509e-09,1.2149
4.0605e-09,1.2166
4.0702e-09,1.2180
4.0798e-09,1.2188
4.0895e-09,1.2191
4.0991e-09,1.2190
4.1088e-09,1.2182
4.1184e-09,1.2153
4.1281e-09,1.2081
4.1377e-09,1.1944
4.1474e-09,1.1720
4.1570e-09,1.1395
4.1666e-09,1.0966
4.1763e-09,1.0441
4.1859e-09,0.9839
4.1956e-09,0.9174
4.2052e-09,0.8459
4.2149e-09,0.7705
4.2245e-09,0.6920
4.2342e-09,0.6112
4.2438e-09,0.5288
4.2534e-09,0.4458
4.2631e-09,0.3637
4.2727e-09,0.2837
4.2824e-09,0.2068
4.2920e-09,0.1342
4.3017e-09,0.0672
4.3113e-09,0.0067
4.3210e-09,-0.0465
4.3306e-09,-0.0923
4.3402e-09,-0.1309
4.3499e-09,-0.1629
4.3595e-09,-0.1891
4.3692e-09,-0.2100
4.3788e-09,-0.2259
4.3885e-09,-0.2373
4.3981e-09,-0.2449
4.4078e-09,-0.2498
4.4174e-09,-0.2524
4.4271e-09,-0.2537
4.4367e-09,-0.2543
4.4463e-09,-0.2549
4.4560e-09,-0.2557
4.4656e-09,-0.2570
4.4753e-09,-0.2588
4.4849e-09,-0.2608
4.4946e-09,-0.2628
4.5042e-09,-0.2642
4.5139e-09,-0.2651
4.5235e-09,-0.2651
4.5331e-09,-0.2641
4.5428e-09,-0.2619
4.5524e-09,-0.2585
4.5621e-09,-0.2541
4.5717e-09,-0.2493
4.5814e-09,-0.2446
4.5910e-09,-0.2409
4.6007e-09,-0.2387
4.6103e-09,-0.2383
4.6200e-09,-0.2393
4.6296e-09,-0.2413
4.6392e-09,-0.2437
4.6489e-09,-0.2460
4.6585e-09,-0.2482
4.6682e-09,-0.2505
4.6778e-09,-0.2532
4.6875e-09,-0.2563
4.6971e-09,-0.2599
4.7068e-09,-0.2635
4.7164e-09,-0.2667
4.7261e-09,-0.2687
4.7357e-09,-0.2682
4.7453e-09,-0.2636
4.7550e-09,-0.2535
4.7646e-09,-0.2370
4.7743e-09,-0.2133
4.7839e-09,-0.1818
4.7936e-09,-0.1421
4.8032e-09,-0.0940
4.8129e-09,-0.0374
4.8225e-09,0.0267
4.8321e-09,0.0972
4.8418e-09,0.1727
4.8514e-09,0.2514
4.8611e-09,0.3319
4.8707e-09,0.4124
4.8804e-09,0.4915
4.8900e-09,0.5677
4.8997e-09,0.6400
