.HEADER
..NAMES
Time,V U1.R1
.DATA
2.15452e-08,0.6357
2.15685e-08,0.6756
2.15918e-08,0.6918
2.16150e-08,0.6925
2.16383e-08,0.6875
2.16616e-08,0.6816
2.16848e-08,0.6767
2.17081e-08,0.6743
2.17314e-08,0.6734
2.17546e-08,0.6740
2.17779e-08,0.6749
2.18012e-08,0.6739
2.18244e-08,0.6705
2.18477e-08,0.6664
2.18710e-08,0.6625
2.18942e-08,0.6594
2.19175e-08,0.6580
2.19408e-08,0.6594
2.19640e-08,0.6629
2.19873e-08,0.6733
2.20106e-08,0.6991
2.20338e-08,0.7449
2.20571e-08,0.8070
2.20804e-08,0.8791
2.21037e-08,0.9561
2.21269e-08,1.0323
2.21502e-08,1.1011
2.21735e-08,1.1573
2.21967e-08,1.1986
2.22200e-08,1.2252
2.22433e-08,1.2393
2.22665e-08,1.2439
2.22898e-08,1.2426
2.23131e-08,1.2396
2.23363e-08,1.2384
2.23596e-08,1.2398
2.23829e-08,1.2424
2.24061e-08,1.2449
2.24294e-08,1.2468
2.24527e-08,1.2487
2.24759e-08,1.2513
2.24992e-08,1.2549
2.25225e-08,1.2578
2.25457e-08,1.2567
2.25690e-08,1.2493
2.25923e-08,1.2355
2.26155e-08,1.2169
2.26388e-08,1.1948
2.26621e-08,1.1711
2.26853e-08,1.1488
2.27086e-08,1.1314
2.27319e-08,1.1215
2.27551e-08,1.1204
2.27784e-08,1.1274
2.28017e-08,1.1408
2.28249e-08,1.1575
2.28482e-08,1.1738
2.28715e-08,1.1863
2.28947e-08,1.1937
2.29180e-08,1.1968
2.29413e-08,1.1972
2.29645e-08,1.1961
2.29878e-08,1.1942
2.30111e-08,1.1917
2.30343e-08,1.1890
2.30576e-08,1.1867
2.30809e-08,1.1857
2.31041e-08,1.1868
2.31274e-08,1.1900
2.31507e-08,1.1951
2.31739e-08,1.2021
2.31972e-08,1.2107
2.32205e-08,1.2202
2.32437e-08,1.2289
2.32670e-08,1.2349
2.32903e-08,1.2367
2.33135e-08,1.2335
2.33368e-08,1.2256
2.33601e-08,1.2146
2.33833e-08,1.2028
2.34066e-08,1.1930
2.34299e-08,1.1867
2.34531e-08,1.1843
2.34764e-08,1.1852
2.34997e-08,1.1885
2.35229e-08,1.1932
2.35462e-08,1.1982
2.35695e-08,1.2026
2.35927e-08,1.2056
2.36160e-08,1.2069
2.36393e-08,1.2067
2.36625e-08,1.2054
2.36858e-08,1.2035
2.37091e-08,1.2012
2.37323e-08,1.1983
2.37556e-08,1.1948
2.37789e-08,1.1908
2.38021e-08,1.1873
2.38254e-08,1.1851
2.38487e-08,1.1851
2.38719e-08,1.1878
2.38952e-08,1.1929
2.39185e-08,1.1994
2.39417e-08,1.2058
2.39650e-08,1.2109
2.39883e-08,1.2137
2.40115e-08,1.2141
2.40348e-08,1.2120
2.40581e-08,1.2080
2.40813e-08,1.2032
2.41046e-08,1.1986
2.41279e-08,1.1952
2.41511e-08,1.1936
2.41744e-08,1.1938
2.41977e-08,1.1951
2.42209e-08,1.1970
2.42442e-08,1.1989
2.42675e-08,1.2007
2.42907e-08,1.2022
2.43140e-08,1.2038
2.43373e-08,1.2053
2.43605e-08,1.2065
2.43838e-08,1.2070
2.44071e-08,1.2066
2.44303e-08,1.2049
2.44536e-08,1.2022
2.44769e-08,1.1989
2.45002e-08,1.1957
2.45234e-08,1.1931
2.45467e-08,1.1918
2.45700e-08,1.1920
2.45932e-08,1.1939
2.46165e-08,1.1971
2.46398e-08,1.2007
2.46630e-08,1.2039
2.46863e-08,1.2060
