.HEADER
..NAMES
Time,V U1.Y1
.DATA
9.8187e-09,1.1925
9.8419e-09,1.1966
9.8652e-09,1.2002
9.8885e-09,1.2031
9.9117e-09,1.2052
9.9350e-09,1.2067
9.9583e-09,1.2075
9.9815e-09,1.2075
1.00048e-08,1.2062
1.00281e-08,1.2038
1.00513e-08,1.2004
1.00746e-08,1.1969
1.00979e-08,1.1939
1.01211e-08,1.1921
1.01444e-08,1.1921
1.01677e-08,1.1939
1.01909e-08,1.1971
1.02142e-08,1.2011
1.02375e-08,1.2050
1.02607e-08,1.2081
1.02840e-08,1.2096
1.03073e-08,1.2094
1.03305e-08,1.2077
1.03538e-08,1.2051
1.03771e-08,1.2023
1.04003e-08,1.1997
1.04236e-08,1.1978
1.04469e-08,1.1964
1.04702e-08,1.1956
1.04934e-08,1.1952
1.05167e-08,1.1954
1.05400e-08,1.1963
1.05632e-08,1.1978
1.05865e-08,1.1999
1.06098e-08,1.2022
1.06330e-08,1.2043
1.06563e-08,1.2058
1.06796e-08,1.2062
1.07028e-08,1.2055
1.07261e-08,1.2037
1.07494e-08,1.2012
1.07726e-08,1.1985
1.07959e-08,1.1962
1.08192e-08,1.1948
1.08424e-08,1.1946
1.08657e-08,1.1955
1.08890e-08,1.1972
1.09122e-08,1.1991
1.09355e-08,1.2009
1.09588e-08,1.2023
1.09820e-08,1.2033
1.10053e-08,1.2038
1.10286e-08,1.2039
1.10518e-08,1.2037
1.10751e-08,1.2031
1.10984e-08,1.1749
1.11216e-08,1.1202
1.11449e-08,0.9664
1.11682e-08,0.8070
1.11914e-08,0.6771
1.12147e-08,0.5928
1.12380e-08,0.5340
1.12612e-08,0.5019
1.12845e-08,0.4866
1.13078e-08,0.4807
1.13310e-08,0.4816
1.13543e-08,0.4866
1.13776e-08,0.4938
1.14008e-08,0.5014
1.14241e-08,0.5081
1.14474e-08,0.5137
1.14706e-08,0.5198
1.14939e-08,0.5246
1.15172e-08,0.5270
1.15404e-08,0.5263
1.15637e-08,0.5235
1.15870e-08,0.5205
1.16102e-08,0.5174
1.16335e-08,0.5114
1.16568e-08,0.4962
1.16800e-08,0.4676
1.17033e-08,0.4259
1.17266e-08,0.3786
1.17498e-08,0.3567
1.17731e-08,0.4389
1.17964e-08,0.5490
1.18196e-08,0.6321
1.18429e-08,0.6730
1.18662e-08,0.6916
1.18894e-08,0.6909
1.19127e-08,0.6783
1.19360e-08,0.6634
1.19592e-08,0.6464
1.19825e-08,0.6283
1.20058e-08,0.6089
1.20290e-08,0.5910
1.20523e-08,0.5755
1.20756e-08,0.5624
1.20988e-08,0.5488
1.21221e-08,0.5349
1.21454e-08,0.5230
1.21686e-08,0.5147
1.21919e-08,0.5116
1.22152e-08,0.5153
1.22384e-08,0.5273
1.22617e-08,0.5499
1.22850e-08,0.5876
1.23082e-08,0.6423
1.23315e-08,0.7112
1.23548e-08,0.7906
1.23780e-08,0.8759
