.HEADER
..NAMES
Time,V U1.U3
.DATA
1.19127e-08,0.5457
1.19360e-08,0.5498
1.19592e-08,0.5542
1.19825e-08,0.5595
1.20058e-08,0.5646
1.20290e-08,0.5680
1.20523e-08,0.5684
1.20756e-08,0.5661
1.20988e-08,0.5624
1.21221e-08,0.5574
1.21454e-08,0.5518
1.21686e-08,0.5440
1.21919e-08,0.5330
1.22152e-08,0.5197
1.22384e-08,0.5004
1.22617e-08,0.4684
1.22850e-08,0.4231
1.23082e-08,0.3668
1.23315e-08,0.3013
1.23548e-08,0.2393
1.23780e-08,0.2169
1.24013e-08,0.2846
1.24246e-08,0.4040
1.24478e-08,0.4815
1.24711e-08,0.5353
1.24944e-08,0.5671
1.25176e-08,0.5758
1.25409e-08,0.5769
1.25642e-08,0.5729
1.25874e-08,0.5689
1.26107e-08,0.5663
1.26340e-08,0.5658
1.26572e-08,0.5672
1.26805e-08,0.5684
1.27038e-08,0.5689
1.27270e-08,0.5679
1.27503e-08,0.5665
1.27736e-08,0.5673
1.27968e-08,0.5739
1.28201e-08,0.5880
1.28434e-08,0.6073
1.28667e-08,0.6319
1.28899e-08,0.6653
1.29132e-08,0.7091
1.29365e-08,0.7627
1.29597e-08,0.8266
1.29830e-08,0.8972
1.30063e-08,0.9678
1.30295e-08,1.0329
1.30528e-08,1.0883
1.30761e-08,1.1323
1.30993e-08,1.1655
1.31226e-08,1.1894
1.31459e-08,1.2059
1.31691e-08,1.2166
1.31924e-08,1.2234
1.32157e-08,1.2293
1.32389e-08,1.2360
1.32622e-08,1.2429
1.32855e-08,1.2480
1.33087e-08,1.2505
1.33320e-08,1.2507
1.33553e-08,1.2486
1.33785e-08,1.2447
1.34018e-08,1.2395
1.34251e-08,1.2323
1.34483e-08,1.2214
1.34716e-08,1.2066
1.34949e-08,1.1888
1.35181e-08,1.1702
1.35414e-08,1.1541
1.35647e-08,1.1431
1.35879e-08,1.1268
1.36112e-08,1.0832
1.36345e-08,0.9816
1.36577e-08,0.8158
1.36810e-08,0.6912
1.37043e-08,0.6102
1.37275e-08,0.5572
1.37508e-08,0.5260
1.37741e-08,0.5090
1.37973e-08,0.4993
1.38206e-08,0.4940
1.38439e-08,0.4913
1.38671e-08,0.4900
1.38904e-08,0.4895
1.39137e-08,0.4898
1.39369e-08,0.4910
1.39602e-08,0.4944
1.39835e-08,0.5020
1.40067e-08,0.5129
1.40300e-08,0.5245
1.40533e-08,0.5339
1.40765e-08,0.5407
1.40998e-08,0.5444
1.41231e-08,0.5378
1.41463e-08,0.5135
1.41696e-08,0.4712
1.41929e-08,0.4118
1.42161e-08,0.3399
1.42394e-08,0.2644
1.42627e-08,0.1931
1.42859e-08,0.1314
1.43092e-08,0.0822
1.43325e-08,0.0446
1.43557e-08,0.0159
1.43790e-08,-0.0060
1.44023e-08,-0.0219
1.44255e-08,-0.0329
