.HEADER
..NAMES
Time,V U1.E3
.DATA
8.7251e-09,0.5938
8.7484e-09,0.5625
8.7717e-09,0.5517
8.7949e-09,0.5454
8.8182e-09,0.5401
8.8415e-09,0.5389
8.8647e-09,0.5366
8.8880e-09,0.5280
8.9113e-09,0.5181
8.9345e-09,0.5122
8.9578e-09,0.5075
8.9811e-09,0.5008
9.0043e-09,0.4974
9.0276e-09,0.5029
9.0509e-09,0.5118
9.0741e-09,0.5202
9.0974e-09,0.5296
9.1207e-09,0.5389
9.1439e-09,0.5401
9.1672e-09,0.5264
9.1905e-09,0.4984
9.2137e-09,0.4565
9.2370e-09,0.3991
9.2603e-09,0.3302
9.2835e-09,0.2595
9.3068e-09,0.1936
9.3301e-09,0.1341
9.3533e-09,0.0833
9.3766e-09,0.0448
9.3999e-09,0.0177
9.4231e-09,-0.0031
9.4464e-09,-0.0191
9.4697e-09,-0.0292
9.4929e-09,-0.0347
9.5162e-09,-0.0391
9.5395e-09,-0.0432
9.5627e-09,-0.0462
9.5860e-09,-0.0498
9.6093e-09,-0.0566
9.6325e-09,-0.0652
9.6558e-09,-0.0729
9.6791e-09,-0.0788
9.7023e-09,-0.0828
9.7256e-09,-0.0820
9.7489e-09,-0.0736
9.7721e-09,-0.0585
9.7954e-09,-0.0395
9.8187e-09,-0.0181
9.8419e-09,0.0041
9.8652e-09,0.0233
9.8885e-09,0.0365
9.9117e-09,0.0440
9.9350e-09,0.0474
9.9583e-09,0.0468
9.9815e-09,0.0432
1.00048e-08,0.0389
1.00281e-08,0.0350
1.00513e-08,0.0307
1.00746e-08,0.0255
1.00979e-08,0.0208
1.01211e-08,0.0179
1.01444e-08,0.0162
1.01677e-08,0.0158
1.01909e-08,0.0176
1.02142e-08,0.0210
1.02375e-08,0.0240
1.02607e-08,0.0253
1.02840e-08,0.0245
1.03073e-08,0.0212
1.03305e-08,0.0145
1.03538e-08,0.0056
1.03771e-08,-0.0036
1.04003e-08,-0.0115
1.04236e-08,-0.0178
1.04469e-08,-0.0214
1.04702e-08,-0.0216
