.HEADER
..NAMES
Time,V U1.E3
.DATA
3.7519e-09,1.1495
3.7616e-09,1.1569
3.7712e-09,1.1632
3.7808e-09,1.1683
3.7905e-09,1.1726
3.8001e-09,1.1759
3.8098e-09,1.1786
3.8194e-09,1.1805
3.8291e-09,1.1818
3.8387e-09,1.1826
3.8484e-09,1.1829
3.8580e-09,1.1827
3.8676e-09,1.1820
3.8773e-09,1.1810
3.8869e-09,1.1798
3.8966e-09,1.1785
3.9062e-09,1.1772
3.9159e-09,1.1761
3.9255e-09,1.1752
3.9352e-09,1.1747
3.9448e-09,1.1745
3.9545e-09,1.1747
3.9641e-09,1.1754
3.9737e-09,1.1766
3.9834e-09,1.1783
3.9930e-09,1.1805
4.0027e-09,1.1832
4.0123e-09,1.1863
4.0220e-09,1.1897
4.0316e-09,1.1934
4.0413e-09,1.1973
4.0509e-09,1.2012
4.0605e-09,1.2052
4.0702e-09,1.2092
4.0798e-09,1.2132
4.0895e-09,1.2169
4.0991e-09,1.2203
4.1088e-09,1.2234
4.1184e-09,1.2259
4.1281e-09,1.2280
4.1377e-09,1.2295
4.1474e-09,1.2304
4.1570e-09,1.2308
4.1666e-09,1.2307
4.1763e-09,1.2301
4.1859e-09,1.2291
4.1956e-09,1.2277
4.2052e-09,1.2259
4.2149e-09,1.2237
4.2245e-09,1.2211
4.2342e-09,1.2182
4.2438e-09,1.2152
4.2534e-09,1.2120
4.2631e-09,1.2088
4.2727e-09,1.2057
4.2824e-09,1.2028
4.2920e-09,1.2001
4.3017e-09,1.1977
4.3113e-09,1.1957
4.3210e-09,1.1940
4.3306e-09,1.1927
4.3402e-09,1.1918
4.3499e-09,1.1913
4.3595e-09,1.1912
4.3692e-09,1.1913
4.3788e-09,1.1918
4.3885e-09,1.1924
4.3981e-09,1.1932
4.4078e-09,1.1942
4.4174e-09,1.1952
4.4271e-09,1.1963
4.4367e-09,1.1975
4.4463e-09,1.1987
4.4560e-09,1.1998
4.4656e-09,1.2009
4.4753e-09,1.2018
4.4849e-09,1.2025
4.4946e-09,1.2031
4.5042e-09,1.2034
4.5139e-09,1.2036
4.5235e-09,1.2036
4.5331e-09,1.2034
4.5428e-09,1.2031
4.5524e-09,1.2027
4.5621e-09,1.2022
4.5717e-09,1.2016
4.5814e-09,1.2008
4.5910e-09,1.1999
4.6007e-09,1.1990
4.6103e-09,1.1980
4.6200e-09,1.1969
4.6296e-09,1.1959
4.6392e-09,1.1950
4.6489e-09,1.1941
4.6585e-09,1.1934
4.6682e-09,1.1927
4.6778e-09,1.1923
4.6875e-09,1.1920
4.6971e-09,1.1918
