.HEADER
..NAMES
Time,V U2.H7
.DATA
1.65196e-08,0.1121
1.65428e-08,0.0267
1.65661e-08,-0.0336
1.65894e-08,-0.0745
1.66126e-08,-0.1016
1.66359e-08,-0.1208
1.66592e-08,-0.1372
1.66824e-08,-0.1523
1.67057e-08,-0.1656
1.67290e-08,-0.1769
1.67522e-08,-0.1849
1.67755e-08,-0.1889
1.67988e-08,-0.1902
1.68220e-08,-0.1869
1.68453e-08,-0.1768
1.68686e-08,-0.1571
1.68918e-08,-0.1264
1.69151e-08,-0.0841
1.69384e-08,-0.0256
1.69616e-08,0.0604
1.69849e-08,0.1647
1.70082e-08,0.2857
1.70314e-08,0.4167
1.70547e-08,0.5430
1.70780e-08,0.6688
1.71012e-08,0.7900
1.71245e-08,0.9019
1.71478e-08,1.0004
1.71710e-08,1.0808
1.71943e-08,1.1414
1.72176e-08,1.1854
1.72408e-08,1.2164
1.72641e-08,1.2376
1.72874e-08,1.2526
1.73106e-08,1.2648
1.73339e-08,1.2754
1.73572e-08,1.2838
1.73804e-08,1.2880
1.74037e-08,1.2866
1.74270e-08,1.2815
1.74502e-08,1.2734
1.74735e-08,1.2623
1.74968e-08,1.2461
1.75201e-08,1.2202
1.75433e-08,1.1811
1.75666e-08,1.1194
1.75899e-08,1.0306
1.76131e-08,0.9262
1.76364e-08,0.8051
1.76597e-08,0.6788
1.76829e-08,0.5561
1.77062e-08,0.4305
1.77295e-08,0.3087
1.77527e-08,0.1970
1.77760e-08,0.0993
1.77993e-08,0.0226
1.78225e-08,-0.0322
1.78458e-08,-0.0706
1.78691e-08,-0.0968
1.78923e-08,-0.1156
1.79156e-08,-0.1314
1.79389e-08,-0.1444
1.79621e-08,-0.1546
1.79854e-08,-0.1617
1.80087e-08,-0.1645
1.80319e-08,-0.1641
1.80552e-08,-0.1621
1.80785e-08,-0.1571
1.81017e-08,-0.1471
1.81250e-08,-0.1286
1.81483e-08,-0.1010
1.81715e-08,-0.0666
1.81948e-08,-0.0306
1.82181e-08,0.0025
1.82413e-08,0.0318
1.82646e-08,0.0567
1.82879e-08,0.0772
1.83111e-08,0.0931
1.83344e-08,0.1028
1.83577e-08,0.1050
1.83809e-08,0.1005
1.84042e-08,0.0910
1.84275e-08,0.0793
1.84507e-08,0.0685
1.84740e-08,0.0607
1.84973e-08,0.0563
1.85205e-08,0.0539
1.85438e-08,0.0512
1.85671e-08,0.0474
1.85903e-08,0.0429
1.86136e-08,0.0383
1.86369e-08,0.0339
1.86601e-08,0.0285
1.86834e-08,0.0204
1.87067e-08,0.0092
1.87299e-08,-0.0037
1.87532e-08,-0.0162
1.87765e-08,-0.0260
1.87997e-08,-0.0281
1.88230e-08,-0.0130
1.88463e-08,0.0336
1.88695e-08,0.1034
1.88928e-08,0.1972
1.89161e-08,0.3084
1.89393e-08,0.4227
1.89626e-08,0.5472
1.89859e-08,0.6752
1.90091e-08,0.7993
1.90324e-08,0.9131
1.90557e-08,1.0079
1.90789e-08,1.0815
1.91022e-08,1.1362
1.91255e-08,1.1751
1.91487e-08,1.2028
1.91720e-08,1.2238
1.91953e-08,1.2425
1.92185e-08,1.2602
1.92418e-08,1.2765
1.92651e-08,1.2898
1.92883e-08,1.2995
1.93116e-08,1.3077
1.93349e-08,1.3137
1.93581e-08,1.3154
1.93814e-08,1.3084
1.94047e-08,1.2900
1.94279e-08,1.2616
1.94512e-08,1.2279
1.94745e-08,1.1940
1.94977e-08,1.1623
1.95210e-08,1.1339
1.95443e-08,1.1101
1.95675e-08,1.0921
1.95908e-08,1.0812
1.96141e-08,1.0784
1.96373e-08,1.0831
1.96606e-08,1.0939
1.96839e-08,1.1088
1.97071e-08,1.1245
1.97304e-08,1.1376
1.97537e-08,1.1461
1.97769e-08,1.1506
1.98002e-08,1.1534
1.98235e-08,1.1562
1.98468e-08,1.1596
1.98700e-08,1.1629
1.98933e-08,1.1659
1.99166e-08,1.1698
1.99398e-08,1.1766
1.99631e-08,1.1871
1.99864e-08,1.2002
2.00096e-08,1.2135
2.00329e-08,1.2183
2.00562e-08,1.2088
2.00794e-08,1.1643
2.01027e-08,1.0931
2.01260e-08,1.0001
2.01492e-08,0.8840
2.01725e-08,0.7657
2.01958e-08,0.6379
2.02190e-08,0.5028
2.02423e-08,0.3709
2.02656e-08,0.2478
2.02888e-08,0.1435
2.03121e-08,0.0637
2.03354e-08,0.0061
2.03586e-08,-0.0338
2.03819e-08,-0.0614
2.04052e-08,-0.0828
2.04284e-08,-0.1021
2.04517e-08,-0.1200
2.04750e-08,-0.1361
2.04982e-08,-0.1498
2.05215e-08,-0.1600
2.05448e-08,-0.1698
2.05680e-08,-0.1788
2.05913e-08,-0.1839
2.06146e-08,-0.1805
2.06378e-08,-0.1639
2.06611e-08,-0.1351
2.06844e-08,-0.0983
2.07076e-08,-0.0597
2.07309e-08,-0.0228
2.07542e-08,0.0119
2.07774e-08,0.0430
2.08007e-08,0.0697
2.08240e-08,0.0903
2.08472e-08,0.1022
2.08705e-08,0.1049
2.08938e-08,0.0993
2.09170e-08,0.0880
2.09403e-08,0.0749
2.09636e-08,0.0640
2.09868e-08,0.0577
2.10101e-08,0.0555
2.10334e-08,0.0550
2.10566e-08,0.0539
2.10799e-08,0.0521
2.11032e-08,0.0505
2.11264e-08,0.0494
2.11497e-08,0.0478
2.11730e-08,0.0433
2.11962e-08,0.0340
2.12195e-08,0.0204
2.12428e-08,0.0047
2.12660e-08,-0.0104
2.12893e-08,-0.0209
2.13126e-08,-0.0195
2.13358e-08,0.0087
2.13591e-08,0.0668
2.13824e-08,0.1458
2.14056e-08,0.2497
2.14289e-08,0.3627
2.14522e-08,0.4816
2.14754e-08,0.6119
2.14987e-08,0.7398
2.15220e-08,0.8604
