.HEADER
..NAMES
Time,V U2.J3
.DATA
7.6316e-09,0.1680
7.6548e-09,0.2777
7.6781e-09,0.3983
7.7014e-09,0.5189
7.7246e-09,0.6448
7.7479e-09,0.7709
7.7712e-09,0.8826
7.7944e-09,0.9821
7.8177e-09,1.0673
7.8410e-09,1.1295
7.8642e-09,1.1682
7.8875e-09,1.1936
7.9108e-09,1.2156
7.9340e-09,1.2318
7.9573e-09,1.2496
7.9806e-09,1.2719
8.0038e-09,1.2868
8.0271e-09,1.2948
8.0504e-09,1.3039
8.0736e-09,1.3096
8.0969e-09,1.3054
8.1202e-09,1.2970
8.1435e-09,1.2841
8.1667e-09,1.2589
8.1900e-09,1.2239
8.2133e-09,1.1883
8.2365e-09,1.1536
8.2598e-09,1.1217
8.2831e-09,1.1014
8.3063e-09,1.0918
8.3296e-09,1.0844
8.3529e-09,1.0818
8.3761e-09,1.0879
8.3994e-09,1.0980
8.4227e-09,1.1096
8.4459e-09,1.1259
8.4692e-09,1.1426
8.4925e-09,1.1529
8.5157e-09,1.1583
8.5390e-09,1.1612
8.5623e-09,1.1600
8.5855e-09,1.1582
8.6088e-09,1.1620
8.6321e-09,1.1695
8.6553e-09,1.1764
8.6786e-09,1.1851
8.7019e-09,1.1963
8.7251e-09,1.2072
8.7484e-09,1.2183
8.7717e-09,1.2270
8.7949e-09,1.2242
8.8182e-09,1.1916
8.8415e-09,1.1255
8.8647e-09,1.0364
8.8880e-09,0.9222
8.9113e-09,0.7913
8.9345e-09,0.6622
8.9578e-09,0.5321
8.9811e-09,0.3994
9.0043e-09,0.2799
9.0276e-09,0.1759
9.0509e-09,0.0841
9.0741e-09,0.0154
9.0974e-09,-0.0256
9.1207e-09,-0.0496
9.1439e-09,-0.0700
9.1672e-09,-0.0855
9.1905e-09,-0.1008
9.2137e-09,-0.1242
9.2370e-09,-0.1448
9.2603e-09,-0.1563
9.2835e-09,-0.1671
9.3068e-09,-0.1761
9.3301e-09,-0.1744
9.3533e-09,-0.1665
9.3766e-09,-0.1552
9.3999e-09,-0.1313
9.4231e-09,-0.0933
9.4464e-09,-0.0514
9.4697e-09,-0.0100
9.4929e-09,0.0306
9.5162e-09,0.0612
9.5395e-09,0.0785
9.5627e-09,0.0915
9.5860e-09,0.1008
9.6093e-09,0.1012
9.6325e-09,0.0962
9.6558e-09,0.0896
9.6791e-09,0.0778
9.7023e-09,0.0626
9.7256e-09,0.0526
9.7489e-09,0.0488
9.7721e-09,0.0482
9.7954e-09,0.0518
9.8187e-09,0.0572
9.8419e-09,0.0576
9.8652e-09,0.0522
9.8885e-09,0.0458
9.9117e-09,0.0375
9.9350e-09,0.0257
9.9583e-09,0.0134
9.9815e-09,0.0010
1.00048e-08,-0.0138
1.00281e-08,-0.0284
1.00513e-08,-0.0383
1.00746e-08,-0.0433
1.00979e-08,-0.0436
1.01211e-08,-0.0382
1.01444e-08,-0.0297
1.01677e-08,-0.0226
1.01909e-08,-0.0172
1.02142e-08,-0.0117
1.02375e-08,-0.0071
1.02607e-08,-0.0036
1.02840e-08,-0.0004
1.03073e-08,0.0011
1.03305e-08,-0.0007
1.03538e-08,-0.0043
1.03771e-08,-0.0075
1.04003e-08,-0.0096
1.04236e-08,-0.0091
1.04469e-08,-0.0050
1.04702e-08,0.0011
1.04934e-08,0.0068
1.05167e-08,0.0114
1.05400e-08,0.0152
1.05632e-08,0.0177
1.05865e-08,0.0193
1.06098e-08,0.0203
1.06330e-08,0.0197
1.06563e-08,0.0177
1.06796e-08,0.0198
1.07028e-08,0.0386
1.07261e-08,0.0863
1.07494e-08,0.1549
1.07726e-08,0.2460
1.07959e-08,0.3594
1.08192e-08,0.4737
1.08424e-08,0.5926
1.08657e-08,0.7147
1.08890e-08,0.8282
1.09122e-08,0.9311
1.09355e-08,1.0221
1.09588e-08,1.0979
1.09820e-08,1.1479
1.10053e-08,1.1772
1.10286e-08,1.1994
1.10518e-08,1.2132
1.10751e-08,1.2243
1.10984e-08,1.2412
1.11216e-08,1.2589
1.11449e-08,1.2699
1.11682e-08,1.2797
1.11914e-08,1.2903
1.12147e-08,1.2926
1.12380e-08,1.2889
1.12612e-08,1.2828
1.12845e-08,1.2618
1.13078e-08,1.2144
1.13310e-08,1.1290
1.13543e-08,1.0191
1.13776e-08,0.8902
1.14008e-08,0.7432
1.14241e-08,0.6053
1.14474e-08,0.4716
1.14706e-08,0.3371
1.14939e-08,0.2171
1.15172e-08,0.1161
1.15404e-08,0.0301
1.15637e-08,-0.0373
1.15870e-08,-0.0757
1.16102e-08,-0.0933
1.16335e-08,-0.1080
1.16568e-08,-0.1199
1.16800e-08,-0.1312
