.HEADER
..NAMES
Time,V U1.U1
.DATA
5.9220e-09,-0.0122
5.9317e-09,-0.0115
5.9413e-09,-0.0111
5.9510e-09,-0.0109
5.9606e-09,-0.0111
5.9703e-09,-0.0114
5.9799e-09,-0.0118
5.9895e-09,-0.0123
5.9992e-09,-0.0126
6.0088e-09,-0.0128
6.0185e-09,-0.0128
6.0281e-09,-0.0128
6.0378e-09,-0.0126
6.0474e-09,-0.0123
6.0571e-09,-0.0121
6.0667e-09,-0.0119
6.0764e-09,-0.0117
6.0860e-09,-0.0117
6.0956e-09,-0.0118
6.1053e-09,-0.0120
6.1149e-09,-0.0122
6.1246e-09,-0.0125
6.1342e-09,-0.0128
6.1439e-09,-0.0130
6.1535e-09,-0.0131
6.1632e-09,-0.0131
6.1728e-09,-0.0130
6.1824e-09,-0.0128
6.1921e-09,-0.0126
6.2017e-09,-0.0123
6.2114e-09,-0.0119
6.2210e-09,-0.0115
6.2307e-09,-0.0110
6.2403e-09,-0.0104
6.2500e-09,-0.0097
6.2596e-09,-0.0087
6.2693e-09,-0.0074
6.2789e-09,-0.0060
6.2885e-09,-0.0045
6.2982e-09,-0.0029
6.3078e-09,-0.0013
6.3175e-09,0.0003
6.3271e-09,0.0017
6.3368e-09,0.0031
6.3464e-09,0.0043
6.3561e-09,0.0054
6.3657e-09,0.0064
6.3753e-09,0.0072
6.3850e-09,0.0079
6.3946e-09,0.0085
6.4043e-09,0.0090
6.4139e-09,0.0092
6.4236e-09,0.0093
6.4332e-09,0.0093
6.4429e-09,0.0092
6.4525e-09,0.0089
6.4621e-09,0.0087
6.4718e-09,0.0084
6.4814e-09,0.0082
6.4911e-09,0.0079
6.5007e-09,0.0077
6.5104e-09,0.0075
6.5200e-09,0.0073
6.5297e-09,0.0071
6.5393e-09,0.0069
6.5490e-09,0.0067
6.5586e-09,0.0065
6.5682e-09,0.0063
6.5779e-09,0.0060
6.5875e-09,0.0057
6.5972e-09,0.0054
6.6068e-09,0.0051
6.6165e-09,0.0048
6.6261e-09,0.0046
6.6358e-09,0.0044
6.6454e-09,0.0042
6.6550e-09,0.0040
6.6647e-09,0.0039
6.6743e-09,0.0036
6.6840e-09,0.0034
6.6936e-09,0.0032
6.7033e-09,0.0030
6.7129e-09,0.0029
6.7226e-09,0.0028
