.HEADER
..NAMES
Time,V U1.W2
.DATA
4.6296e-09,-0.2697
4.6392e-09,-0.2723
4.6489e-09,-0.2744
4.6585e-09,-0.2762
4.6682e-09,-0.2777
4.6778e-09,-0.2788
4.6875e-09,-0.2794
4.6971e-09,-0.2790
4.7068e-09,-0.2773
4.7164e-09,-0.2741
4.7261e-09,-0.2689
4.7357e-09,-0.2609
4.7453e-09,-0.2490
4.7550e-09,-0.2320
4.7646e-09,-0.2091
4.7743e-09,-0.1799
4.7839e-09,-0.1438
4.7936e-09,-0.1006
4.8032e-09,-0.0502
4.8129e-09,0.0073
4.8225e-09,0.0714
4.8321e-09,0.1411
4.8418e-09,0.2151
4.8514e-09,0.2919
4.8611e-09,0.3696
4.8707e-09,0.4465
4.8804e-09,0.5212
4.8900e-09,0.5925
4.8997e-09,0.6594
4.9093e-09,0.7211
4.9190e-09,0.7771
4.9286e-09,0.8275
4.9382e-09,0.8725
4.9479e-09,0.9124
4.9575e-09,0.9479
4.9672e-09,0.9796
4.9768e-09,1.0079
4.9865e-09,1.0331
4.9961e-09,1.0555
5.0058e-09,1.0751
5.0154e-09,1.0920
5.0250e-09,1.1064
5.0347e-09,1.1184
5.0443e-09,1.1284
5.0540e-09,1.1370
5.0636e-09,1.1445
5.0733e-09,1.1515
5.0829e-09,1.1582
5.0926e-09,1.1648
5.1022e-09,1.1711
5.1119e-09,1.1771
5.1215e-09,1.1827
5.1311e-09,1.1879
5.1408e-09,1.1927
5.1504e-09,1.1970
5.1601e-09,1.2010
5.1697e-09,1.2046
5.1794e-09,1.2075
5.1890e-09,1.2100
5.1987e-09,1.2121
5.2083e-09,1.2141
5.2179e-09,1.2159
5.2276e-09,1.2177
5.2372e-09,1.2194
5.2469e-09,1.2209
5.2565e-09,1.2222
5.2662e-09,1.2234
5.2758e-09,1.2244
5.2855e-09,1.2250
5.2951e-09,1.2249
5.3047e-09,1.2235
5.3144e-09,1.2205
5.3240e-09,1.2155
5.3337e-09,1.2087
5.3433e-09,1.2001
5.3530e-09,1.1898
5.3626e-09,1.1774
5.3723e-09,1.1612
5.3819e-09,1.1397
5.3916e-09,1.1113
5.4012e-09,1.0747
5.4108e-09,1.0293
5.4205e-09,0.9755
5.4301e-09,0.9144
5.4398e-09,0.8473
5.4494e-09,0.7752
5.4591e-09,0.6992
5.4687e-09,0.6205
5.4784e-09,0.5400
5.4880e-09,0.4588
5.4976e-09,0.3785
5.5073e-09,0.3004
5.5169e-09,0.2254
5.5266e-09,0.1545
5.5362e-09,0.0885
5.5459e-09,0.0279
5.5555e-09,-0.0268
5.5652e-09,-0.0750
5.5748e-09,-0.1165
5.5845e-09,-0.1514
5.5941e-09,-0.1802
5.6037e-09,-0.2037
5.6134e-09,-0.2222
5.6230e-09,-0.2364
5.6327e-09,-0.2466
5.6423e-09,-0.2534
5.6520e-09,-0.2574
5.6616e-09,-0.2591
5.6713e-09,-0.2592
5.6809e-09,-0.2583
5.6905e-09,-0.2570
5.7002e-09,-0.2556
5.7098e-09,-0.2546
5.7195e-09,-0.2544
5.7291e-09,-0.2550
5.7388e-09,-0.2564
5.7484e-09,-0.2585
5.7581e-09,-0.2609
5.7677e-09,-0.2633
5.7774e-09,-0.2652
5.7870e-09,-0.2663
5.7966e-09,-0.2664
5.8063e-09,-0.2655
5.8159e-09,-0.2641
5.8256e-09,-0.2628
5.8352e-09,-0.2621
5.8449e-09,-0.2621
5.8545e-09,-0.2629
5.8642e-09,-0.2643
5.8738e-09,-0.2659
5.8835e-09,-0.2672
5.8931e-09,-0.2683
5.9027e-09,-0.2691
5.9124e-09,-0.2697
5.9220e-09,-0.2702
5.9317e-09,-0.2703
5.9413e-09,-0.2700
5.9510e-09,-0.2686
5.9606e-09,-0.2660
5.9703e-09,-0.2618
5.9799e-09,-0.2555
5.9895e-09,-0.2461
5.9992e-09,-0.2326
6.0088e-09,-0.2138
6.0185e-09,-0.1893
6.0281e-09,-0.1583
6.0378e-09,-0.1207
6.0474e-09,-0.0762
6.0571e-09,-0.0247
6.0667e-09,0.0334
6.0764e-09,0.0976
6.0860e-09,0.1668
6.0956e-09,0.2396
6.1053e-09,0.3146
6.1149e-09,0.3900
6.1246e-09,0.4644
6.1342e-09,0.5367
6.1439e-09,0.6057
6.1535e-09,0.6705
6.1632e-09,0.7305
6.1728e-09,0.7851
6.1824e-09,0.8343
6.1921e-09,0.8781
6.2017e-09,0.9169
6.2114e-09,0.9513
6.2210e-09,0.9818
6.2307e-09,1.0089
6.2403e-09,1.0331
6.2500e-09,1.0545
6.2596e-09,1.0732
6.2693e-09,1.0894
6.2789e-09,1.1034
6.2885e-09,1.1153
6.2982e-09,1.1255
6.3078e-09,1.1344
6.3175e-09,1.1426
6.3271e-09,1.1503
6.3368e-09,1.1577
6.3464e-09,1.1649
6.3561e-09,1.1716
6.3657e-09,1.1779
6.3753e-09,1.1836
6.3850e-09,1.1887
6.3946e-09,1.1934
6.4043e-09,1.1976
6.4139e-09,1.2012
6.4236e-09,1.2044
6.4332e-09,1.2070
6.4429e-09,1.2092
6.4525e-09,1.2111
6.4621e-09,1.2129
6.4718e-09,1.2148
6.4814e-09,1.2165
6.4911e-09,1.2181
6.5007e-09,1.2195
6.5104e-09,1.2207
6.5200e-09,1.2217
6.5297e-09,1.2224
6.5393e-09,1.2226
6.5490e-09,1.2218
6.5586e-09,1.2198
6.5682e-09,1.2162
6.5779e-09,1.2110
6.5875e-09,1.2042
6.5972e-09,1.1960
6.6068e-09,1.1867
6.6165e-09,1.1765
6.6261e-09,1.1659
6.6358e-09,1.1553
6.6454e-09,1.1451
6.6550e-09,1.1360
6.6647e-09,1.1280
6.6743e-09,1.1214
6.6840e-09,1.1164
6.6936e-09,1.1126
6.7033e-09,1.1102
6.7129e-09,1.1089
6.7226e-09,1.1086
6.7322e-09,1.1093
6.7419e-09,1.1109
6.7515e-09,1.1134
6.7611e-09,1.1167
6.7708e-09,1.1207
6.7804e-09,1.1252
6.7901e-09,1.1301
6.7997e-09,1.1352
6.8094e-09,1.1403
6.8190e-09,1.1454
6.8287e-09,1.1503
6.8383e-09,1.1551
6.8480e-09,1.1596
6.8576e-09,1.1638
6.8672e-09,1.1676
6.8769e-09,1.1709
6.8865e-09,1.1735
6.8962e-09,1.1757
6.9058e-09,1.1773
6.9155e-09,1.1786
6.9251e-09,1.1797
6.9348e-09,1.1807
6.9444e-09,1.1816
6.9540e-09,1.1826
6.9637e-09,1.1837
6.9733e-09,1.1851
6.9830e-09,1.1866
6.9926e-09,1.1883
7.0023e-09,1.1899
7.0119e-09,1.1913
7.0216e-09,1.1924
7.0312e-09,1.1930
7.0409e-09,1.1932
7.0505e-09,1.1931
7.0601e-09,1.1928
7.0698e-09,1.1924
7.0794e-09,1.1920
7.0891e-09,1.1917
7.0987e-09,1.1917
