.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.09588e-08,0.5020
1.09820e-08,0.5187
1.10053e-08,0.5558
1.10286e-08,0.6281
1.10518e-08,0.7308
1.10751e-08,0.8429
1.10984e-08,0.9390
1.11216e-08,1.0116
1.11449e-08,1.0681
1.11682e-08,1.1190
1.11914e-08,1.1623
1.12147e-08,1.1900
1.12380e-08,1.2011
1.12612e-08,1.2005
1.12845e-08,1.1964
1.13078e-08,1.1941
1.13310e-08,1.1943
1.13543e-08,1.1953
1.13776e-08,1.1973
1.14008e-08,1.2021
1.14241e-08,1.2104
1.14474e-08,1.2200
1.14706e-08,1.2261
1.14939e-08,1.2258
1.15172e-08,1.2214
1.15404e-08,1.2159
1.15637e-08,1.2098
1.15870e-08,1.1989
1.16102e-08,1.1760
1.16335e-08,1.1289
1.16568e-08,1.0505
1.16800e-08,0.9541
1.17033e-08,0.8620
1.17266e-08,0.7914
1.17498e-08,0.7399
1.17731e-08,0.6958
1.17964e-08,0.6506
1.18196e-08,0.6102
1.18429e-08,0.5825
1.18662e-08,0.5674
1.18894e-08,0.5600
1.19127e-08,0.5546
1.19360e-08,0.5483
1.19592e-08,0.5418
1.19825e-08,0.5367
1.20058e-08,0.5318
1.20290e-08,0.5257
1.20523e-08,0.5182
1.20756e-08,0.5107
1.20988e-08,0.5048
1.21221e-08,0.5008
1.21454e-08,0.4972
1.21686e-08,0.4947
1.21919e-08,0.4964
1.22152e-08,0.5056
1.22384e-08,0.5263
1.22617e-08,0.5721
1.22850e-08,0.6548
1.23082e-08,0.7642
1.23315e-08,0.8748
1.23548e-08,0.9639
1.23780e-08,1.0298
1.24013e-08,1.0832
1.24246e-08,1.1328
1.24478e-08,1.1728
1.24711e-08,1.1958
1.24944e-08,1.2023
1.25176e-08,1.1993
1.25409e-08,1.1949
1.25642e-08,1.1935
1.25874e-08,1.1944
1.26107e-08,1.1958
1.26340e-08,1.1983
1.26572e-08,1.2039
1.26805e-08,1.2130
1.27038e-08,1.2224
1.27270e-08,1.2269
1.27503e-08,1.2250
1.27736e-08,1.2200
1.27968e-08,1.2145
1.28201e-08,1.2077
1.28434e-08,1.1942
1.28667e-08,1.1658
1.28899e-08,1.1093
1.29132e-08,1.0240
1.29365e-08,0.9272
1.29597e-08,0.8408
1.29830e-08,0.7765
1.30063e-08,0.7277
1.30295e-08,0.6830
1.30528e-08,0.6381
1.30761e-08,0.6012
1.30993e-08,0.5773
1.31226e-08,0.5648
1.31459e-08,0.5581
1.31691e-08,0.5525
1.31924e-08,0.5463
1.32157e-08,0.5404
1.32389e-08,0.5356
1.32622e-08,0.5303
1.32855e-08,0.5238
1.33087e-08,0.5162
1.33320e-08,0.5091
1.33553e-08,0.5039
1.33785e-08,0.4999
1.34018e-08,0.4962
1.34251e-08,0.4944
1.34483e-08,0.4981
1.34716e-08,0.5098
1.34949e-08,0.5355
1.35181e-08,0.5913
1.35414e-08,0.6835
1.35647e-08,0.7966
1.35879e-08,0.9031
1.36112e-08,0.9852
1.36345e-08,1.0463
1.36577e-08,1.0986
1.36810e-08,1.1467
1.37043e-08,1.1824
1.37275e-08,1.2002
1.37508e-08,1.2028
1.37741e-08,1.1985
1.37973e-08,1.1947
1.38206e-08,1.1941
1.38439e-08,1.1950
1.38671e-08,1.1963
1.38904e-08,1.1993
1.39137e-08,1.2060
1.39369e-08,1.2158
1.39602e-08,1.2244
1.39835e-08,1.2270
1.40067e-08,1.2237
