.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
8.5623e-09,0.8310
8.5855e-09,0.7752
8.6088e-09,0.7305
8.6321e-09,0.6888
8.6553e-09,0.6533
8.6786e-09,0.6277
8.7019e-09,0.6040
8.7251e-09,0.5816
8.7484e-09,0.5684
8.7717e-09,0.5615
8.7949e-09,0.5509
8.8182e-09,0.5350
8.8415e-09,0.5212
8.8647e-09,0.5142
8.8880e-09,0.5152
8.9113e-09,0.5184
8.9345e-09,0.5132
8.9578e-09,0.4993
8.9811e-09,0.4882
9.0043e-09,0.4891
9.0276e-09,0.4986
9.0509e-09,0.5066
9.0741e-09,0.5127
9.0974e-09,0.5265
9.1207e-09,0.5670
9.1439e-09,0.6643
9.1672e-09,0.7967
9.1905e-09,0.9041
9.2137e-09,0.9758
9.2370e-09,1.0335
9.2603e-09,1.0855
9.2835e-09,1.1304
9.3068e-09,1.1589
9.3301e-09,1.1748
9.3533e-09,1.1864
9.3766e-09,1.1909
9.3999e-09,1.1890
9.4231e-09,1.1904
9.4464e-09,1.1977
9.4697e-09,1.2067
9.4929e-09,1.2135
9.5162e-09,1.2132
9.5395e-09,1.2096
9.5627e-09,1.2120
9.5860e-09,1.2203
9.6093e-09,1.2249
9.6325e-09,1.2175
9.6558e-09,1.2023
9.6791e-09,1.1904
9.7023e-09,1.1828
9.7256e-09,1.1632
9.7489e-09,1.1082
9.7721e-09,1.0026
9.7954e-09,0.8901
9.8187e-09,0.8133
9.8419e-09,0.7636
9.8652e-09,0.7188
9.8885e-09,0.6781
9.9117e-09,0.6457
9.9350e-09,0.6220
9.9583e-09,0.5980
9.9815e-09,0.5770
1.00048e-08,0.5665
1.00281e-08,0.5596
1.00513e-08,0.5471
1.00746e-08,0.5310
1.00979e-08,0.5186
1.01211e-08,0.5137
1.01444e-08,0.5166
1.01677e-08,0.5184
1.01909e-08,0.5097
1.02142e-08,0.4951
1.02375e-08,0.4871
1.02607e-08,0.4916
1.02840e-08,0.5015
1.03073e-08,0.5081
1.03305e-08,0.5150
1.03538e-08,0.5335
1.03771e-08,0.5876
1.04003e-08,0.7004
1.04236e-08,0.8323
1.04469e-08,0.9287
1.04702e-08,0.9939
1.04934e-08,1.0490
1.05167e-08,1.1004
1.05400e-08,1.1414
1.05632e-08,1.1648
1.05865e-08,1.1787
1.06098e-08,1.1889
1.06330e-08,1.1910
1.06563e-08,1.1886
1.06796e-08,1.1918
1.07028e-08,1.2004
1.07261e-08,1.2094
1.07494e-08,1.2142
1.07726e-08,1.2120
1.07959e-08,1.2093
1.08192e-08,1.2140
1.08424e-08,1.2226
1.08657e-08,1.2245
1.08890e-08,1.2139
1.09122e-08,1.1983
1.09355e-08,1.1881
1.09588e-08,1.1796
1.09820e-08,1.1531
1.10053e-08,1.0842
1.10286e-08,0.9713
1.10518e-08,0.8663
1.10751e-08,0.7985
1.10984e-08,0.7502
1.11216e-08,0.7067
1.11449e-08,0.6677
1.11682e-08,0.6384
1.11914e-08,0.6150
1.12147e-08,0.5908
1.12380e-08,0.5726
1.12612e-08,0.5641
