.HEADER
..NAMES
Time,V U2.R8
.DATA
8.2831e-09,-0.0145
8.3063e-09,-0.0309
8.3296e-09,-0.0444
8.3529e-09,-0.0543
8.3761e-09,-0.0599
8.3994e-09,-0.0598
8.4227e-09,-0.0524
8.4459e-09,-0.0383
8.4692e-09,-0.0213
8.4925e-09,-0.0060
8.5157e-09,0.0053
8.5390e-09,0.0129
8.5623e-09,0.0168
8.5855e-09,0.0167
8.6088e-09,0.0128
8.6321e-09,0.0070
8.6553e-09,0.0006
8.6786e-09,-0.0056
8.7019e-09,-0.0112
8.7251e-09,-0.0147
8.7484e-09,-0.0146
8.7717e-09,-0.0098
8.7949e-09,-0.0016
8.8182e-09,0.0079
8.8415e-09,0.0164
8.8647e-09,0.0229
8.8880e-09,0.0272
8.9113e-09,0.0297
8.9345e-09,0.0296
8.9578e-09,0.0263
8.9811e-09,0.0195
9.0043e-09,0.0108
9.0276e-09,0.0019
9.0509e-09,-0.0057
9.0741e-09,-0.0112
9.0974e-09,-0.0136
9.1207e-09,-0.0125
9.1439e-09,-0.0090
9.1672e-09,-0.0044
9.1905e-09,0.0001
9.2137e-09,0.0042
9.2370e-09,0.0080
9.2603e-09,0.0110
9.2835e-09,0.0124
9.3068e-09,0.0115
9.3301e-09,0.0081
9.3533e-09,0.0032
9.3766e-09,-0.0019
9.3999e-09,-0.0062
9.4231e-09,-0.0091
9.4464e-09,-0.0106
9.4697e-09,-0.0105
9.4929e-09,-0.0088
9.5162e-09,-0.0055
9.5395e-09,0.0021
9.5627e-09,0.0253
9.5860e-09,0.0866
9.6093e-09,0.1945
9.6325e-09,0.3099
9.6558e-09,0.4162
9.6791e-09,0.5328
9.7023e-09,0.6688
9.7256e-09,0.8062
9.7489e-09,0.9297
9.7721e-09,1.0427
9.7954e-09,1.1364
9.8187e-09,1.2026
9.8419e-09,1.2457
9.8652e-09,1.2703
9.8885e-09,1.2845
9.9117e-09,1.2938
9.9350e-09,1.3038
9.9583e-09,1.3171
9.9815e-09,1.3260
1.00048e-08,1.3259
1.00281e-08,1.3234
1.00513e-08,1.3272
1.00746e-08,1.3386
1.00979e-08,1.3468
1.01211e-08,1.3386
1.01444e-08,1.3136
1.01677e-08,1.2818
1.01909e-08,1.2486
1.02142e-08,1.2117
1.02375e-08,1.1744
1.02607e-08,1.1426
1.02840e-08,1.1161
1.03073e-08,1.0934
1.03305e-08,1.0768
1.03538e-08,1.0692
1.03771e-08,1.0725
1.04003e-08,1.0870
1.04236e-08,1.1100
1.04469e-08,1.1342
1.04702e-08,1.1509
1.04934e-08,1.1584
1.05167e-08,1.1626
1.05400e-08,1.1683
1.05632e-08,1.1742
1.05865e-08,1.1763
1.06098e-08,1.1740
1.06330e-08,1.1702
1.06563e-08,1.1691
1.06796e-08,1.1722
1.07028e-08,1.1797
1.07261e-08,1.1921
1.07494e-08,1.2089
1.07726e-08,1.2259
1.07959e-08,1.2391
1.08192e-08,1.2470
1.08424e-08,1.2509
1.08657e-08,1.2526
1.08890e-08,1.2529
1.09122e-08,1.2506
1.09355e-08,1.2429
1.09588e-08,1.2292
1.09820e-08,1.2131
1.10053e-08,1.2002
1.10286e-08,1.1931
1.10518e-08,1.1908
1.10751e-08,1.1913
1.10984e-08,1.1935
1.11216e-08,1.1968
1.11449e-08,1.2002
1.11682e-08,1.2032
1.11914e-08,1.2059
1.12147e-08,1.2083
1.12380e-08,1.2095
1.12612e-08,1.2078
1.12845e-08,1.2020
1.13078e-08,1.1938
1.13310e-08,1.1859
1.13543e-08,1.1810
1.13776e-08,1.1800
1.14008e-08,1.1815
1.14241e-08,1.1834
1.14474e-08,1.1855
1.14706e-08,1.1888
1.14939e-08,1.1944
1.15172e-08,1.2015
1.15404e-08,1.2085
1.15637e-08,1.2138
1.15870e-08,1.2166
1.16102e-08,1.2162
1.16335e-08,1.2129
1.16568e-08,1.2082
1.16800e-08,1.2039
1.17033e-08,1.2011
1.17266e-08,1.1995
1.17498e-08,1.1984
1.17731e-08,1.1972
1.17964e-08,1.1966
1.18196e-08,1.1979
1.18429e-08,1.2013
1.18662e-08,1.2059
1.18894e-08,1.2099
1.19127e-08,1.2119
1.19360e-08,1.2118
1.19592e-08,1.2103
1.19825e-08,1.2082
1.20058e-08,1.2049
1.20290e-08,1.1914
1.20523e-08,1.1537
1.20756e-08,1.0711
1.20988e-08,0.9474
1.21221e-08,0.8258
1.21454e-08,0.7123
1.21686e-08,0.5836
1.21919e-08,0.4372
1.22152e-08,0.2967
1.22384e-08,0.1740
1.22617e-08,0.0642
1.22850e-08,-0.0223
1.23082e-08,-0.0802
1.23315e-08,-0.1156
1.23548e-08,-0.1344
1.23780e-08,-0.1459
1.24013e-08,-0.1558
1.24246e-08,-0.1682
1.24478e-08,-0.1826
1.24711e-08,-0.1896
1.24944e-08,-0.1884
1.25176e-08,-0.1882
1.25409e-08,-0.1957
1.25642e-08,-0.2076
1.25874e-08,-0.2110
1.26107e-08,-0.1947
1.26340e-08,-0.1618
1.26572e-08,-0.1236
1.26805e-08,-0.0835
1.27038e-08,-0.0393
1.27270e-08,0.0042
1.27503e-08,0.0410
1.27736e-08,0.0723
1.27968e-08,0.0994
1.28201e-08,0.1193
1.28434e-08,0.1286
1.28667e-08,0.1276
1.28899e-08,0.1254
1.29132e-08,0.1448
1.29365e-08,0.2126
1.29597e-08,0.3094
1.29830e-08,0.4086
1.30063e-08,0.5149
1.30295e-08,0.6395
1.30528e-08,0.7727
1.30761e-08,0.8984
1.30993e-08,1.0169
1.31226e-08,1.1206
1.31459e-08,1.1948
1.31691e-08,1.2399
1.31924e-08,1.2601
1.32157e-08,1.2620
1.32389e-08,1.2537
1.32622e-08,1.2454
1.32855e-08,1.2462
1.33087e-08,1.2519
1.33320e-08,1.2543
1.33553e-08,1.2552
1.33785e-08,1.2624
1.34018e-08,1.2809
1.34251e-08,1.3055
1.34483e-08,1.3226
1.34716e-08,1.3224
1.34949e-08,1.3072
1.35181e-08,1.2821
1.35414e-08,1.2481
1.35647e-08,1.2082
1.35879e-08,1.1699
1.36112e-08,1.1367
1.36345e-08,1.1077
1.36577e-08,1.0848
1.36810e-08,1.0678
1.37043e-08,1.0460
1.37275e-08,1.0064
1.37508e-08,0.9299
1.37741e-08,0.8371
1.37973e-08,0.7518
1.38206e-08,0.6529
1.38439e-08,0.5225
1.38671e-08,0.3766
1.38904e-08,0.2433
1.39137e-08,0.1229
1.39369e-08,0.0139
1.39602e-08,-0.0703
1.39835e-08,-0.1287
1.40067e-08,-0.1631
1.40300e-08,-0.1789
1.40533e-08,-0.1823
1.40765e-08,-0.1766
1.40998e-08,-0.1690
1.41231e-08,-0.1602
1.41463e-08,-0.1468
1.41696e-08,-0.1351
1.41929e-08,-0.1340
1.42161e-08,-0.1441
1.42394e-08,-0.1565
1.42627e-08,-0.1592
1.42859e-08,-0.1483
1.43092e-08,-0.1312
1.43325e-08,-0.1120
1.43557e-08,-0.0849
1.43790e-08,-0.0472
1.44023e-08,-0.0065
1.44255e-08,0.0325
1.44488e-08,0.0698
1.44721e-08,0.1026
1.44953e-08,0.1256
1.45186e-08,0.1364
1.45419e-08,0.1383
1.45651e-08,0.1440
1.45884e-08,0.1808
1.46117e-08,0.2590
1.46349e-08,0.3494
1.46582e-08,0.4379
1.46815e-08,0.5405
1.47047e-08,0.6643
1.47280e-08,0.7951
1.47513e-08,0.9210
1.47745e-08,1.0404
1.47978e-08,1.1399
1.48211e-08,1.2098
1.48443e-08,1.2538
1.48676e-08,1.2755
1.48909e-08,1.2804
1.49141e-08,1.2759
1.49374e-08,1.2712
1.49607e-08,1.2708
1.49839e-08,1.2681
1.50072e-08,1.2605
1.50305e-08,1.2556
1.50537e-08,1.2619
1.50770e-08,1.2813
1.51003e-08,1.3035
1.51236e-08,1.3143
1.51468e-08,1.3090
1.51701e-08,1.2930
1.51934e-08,1.2703
1.52166e-08,1.2400
1.52399e-08,1.2052
1.52632e-08,1.1713
1.52864e-08,1.1390
1.53097e-08,1.1090
1.53330e-08,1.0849
1.53562e-08,1.0704
1.53795e-08,1.0680
1.54028e-08,1.0797
1.54260e-08,1.1038
1.54493e-08,1.1326
1.54726e-08,1.1563
1.54958e-08,1.1713
1.55191e-08,1.1818
1.55424e-08,1.1913
1.55656e-08,1.1986
1.55889e-08,1.2003
1.56122e-08,1.1949
1.56354e-08,1.1849
1.56587e-08,1.1750
1.56820e-08,1.1685
1.57052e-08,1.1676
1.57285e-08,1.1739
1.57518e-08,1.1873
1.57750e-08,1.2043
1.57983e-08,1.2206
1.58216e-08,1.2337
1.58448e-08,1.2433
1.58681e-08,1.2502
1.58914e-08,1.2553
1.59146e-08,1.2567
1.59379e-08,1.2513
1.59612e-08,1.2380
1.59844e-08,1.2201
1.60077e-08,1.2034
1.60310e-08,1.1916
1.60542e-08,1.1849
1.60775e-08,1.1823
1.61008e-08,1.1828
1.61240e-08,1.1859
1.61473e-08,1.1906
1.61706e-08,1.1964
1.61938e-08,1.2030
1.62171e-08,1.2099
1.62404e-08,1.2154
1.62636e-08,1.2173
1.62869e-08,1.2138
1.63102e-08,1.2058
1.63334e-08,1.1961
1.63567e-08,1.1879
1.63800e-08,1.1829
1.64032e-08,1.1807
1.64265e-08,1.1798
1.64498e-08,1.1798
1.64730e-08,1.1820
1.64963e-08,1.1873
1.65196e-08,1.1953
1.65428e-08,1.2043
1.65661e-08,1.2124
1.65894e-08,1.2179
1.66126e-08,1.2199
1.66359e-08,1.2182
1.66592e-08,1.2141
1.66824e-08,1.2092
1.67057e-08,1.2048
1.67290e-08,1.2012
1.67522e-08,1.1978
1.67755e-08,1.1944
1.67988e-08,1.1919
1.68220e-08,1.1917
1.68453e-08,1.1946
1.68686e-08,1.1998
1.68918e-08,1.2055
1.69151e-08,1.2100
1.69384e-08,1.2123
1.69616e-08,1.2128
1.69849e-08,1.2120
1.70082e-08,1.2101
1.70314e-08,1.2076
1.70547e-08,1.2044
1.70780e-08,1.2006
1.71012e-08,1.1965
1.71245e-08,1.1928
1.71478e-08,1.1906
1.71710e-08,1.1908
1.71943e-08,1.1933
1.72176e-08,1.1972
1.72408e-08,1.2009
1.72641e-08,1.2037
1.72874e-08,1.2055
1.73106e-08,1.2067
1.73339e-08,1.2077
1.73572e-08,1.2080
1.73804e-08,1.2073
1.74037e-08,1.2052
1.74270e-08,1.2021
1.74502e-08,1.1989
1.74735e-08,1.1964
1.74968e-08,1.1952
1.75201e-08,1.1955
1.75433e-08,1.1969
1.75666e-08,1.1989
1.75899e-08,1.2008
1.76131e-08,1.2024
1.76364e-08,1.2041
