.HEADER
..NAMES
Time,V U2.E2
.DATA
1.04003e-08,1.1971
1.04236e-08,1.1966
1.04469e-08,1.1977
1.04702e-08,1.1988
1.04934e-08,1.1988
1.05167e-08,1.1975
1.05400e-08,1.1968
1.05632e-08,1.1981
1.05865e-08,1.2004
1.06098e-08,1.2017
1.06330e-08,1.2012
1.06563e-08,1.1992
1.06796e-08,1.1974
1.07028e-08,1.1973
1.07261e-08,1.1985
1.07494e-08,1.1994
1.07726e-08,1.1997
1.07959e-08,1.1997
1.08192e-08,1.1993
1.08424e-08,1.1986
1.08657e-08,1.1983
1.08890e-08,1.1988
1.09122e-08,1.1995
1.09355e-08,1.1997
1.09588e-08,1.1991
1.09820e-08,1.1984
1.10053e-08,1.1985
1.10286e-08,1.1992
1.10518e-08,1.2000
1.10751e-08,1.2001
1.10984e-08,1.1996
1.11216e-08,1.1989
1.11449e-08,1.1985
1.11682e-08,1.1987
1.11914e-08,1.1991
1.12147e-08,1.1994
1.12380e-08,1.1996
1.12612e-08,1.1996
1.12845e-08,1.1992
1.13078e-08,1.1990
1.13310e-08,1.1991
1.13543e-08,1.1994
1.13776e-08,1.1963
1.14008e-08,1.1759
1.14241e-08,1.1233
1.14474e-08,1.0251
1.14706e-08,0.9156
1.14939e-08,0.8389
1.15172e-08,0.7837
1.15404e-08,0.7279
1.15637e-08,0.6836
1.15870e-08,0.6501
1.16102e-08,0.6196
1.16335e-08,0.5950
1.16568e-08,0.5754
1.16800e-08,0.5606
1.17033e-08,0.5511
1.17266e-08,0.5416
1.17498e-08,0.5296
1.17731e-08,0.5199
1.17964e-08,0.5167
1.18196e-08,0.5277
1.18429e-08,0.5781
1.18662e-08,0.6937
1.18894e-08,0.8152
1.19127e-08,0.8874
1.19360e-08,0.9506
1.19592e-08,1.0238
1.19825e-08,1.0763
1.20058e-08,1.1147
1.20290e-08,1.1477
1.20523e-08,1.1688
1.20756e-08,1.1835
1.20988e-08,1.1913
1.21221e-08,1.1929
1.21454e-08,1.1980
1.21686e-08,1.2069
1.21919e-08,1.2120
1.22152e-08,1.2052
1.22384e-08,1.1725
1.22617e-08,1.1016
1.22850e-08,0.9957
1.23082e-08,0.9043
1.23315e-08,0.8504
1.23548e-08,0.7948
1.23780e-08,0.7307
1.24013e-08,0.6850
1.24246e-08,0.6492
1.24478e-08,0.6145
1.24711e-08,0.5893
1.24944e-08,0.5704
1.25176e-08,0.5559
1.25409e-08,0.5448
1.25642e-08,0.5314
1.25874e-08,0.5184
1.26107e-08,0.5135
1.26340e-08,0.5156
1.26572e-08,0.5208
1.26805e-08,0.5242
1.27038e-08,0.5185
1.27270e-08,0.5031
1.27503e-08,0.4908
1.27736e-08,0.4902
1.27968e-08,0.4932
1.28201e-08,0.4931
1.28434e-08,0.4954
1.28667e-08,0.5015
1.28899e-08,0.5060
1.29132e-08,0.5098
1.29365e-08,0.5152
1.29597e-08,0.5203
1.29830e-08,0.5238
1.30063e-08,0.5236
1.30295e-08,0.5198
1.30528e-08,0.5183
1.30761e-08,0.5337
1.30993e-08,0.6016
1.31226e-08,0.7339
1.31459e-08,0.8559
1.31691e-08,0.9287
1.31924e-08,0.9978
1.32157e-08,1.0647
1.32389e-08,1.1086
1.32622e-08,1.1404
1.32855e-08,1.1621
1.33087e-08,1.1752
1.33320e-08,1.1851
1.33553e-08,1.1864
1.33785e-08,1.1857
1.34018e-08,1.1915
1.34251e-08,1.2014
1.34483e-08,1.2080
1.34716e-08,1.1973
1.34949e-08,1.1542
1.35181e-08,1.0680
1.35414e-08,0.9586
1.35647e-08,0.8787
1.35879e-08,0.8325
1.36112e-08,0.7755
1.36345e-08,0.7159
1.36577e-08,0.6749
1.36810e-08,0.6390
1.37043e-08,0.6057
1.37275e-08,0.5821
1.37508e-08,0.5638
1.37741e-08,0.5511
1.37973e-08,0.5399
1.38206e-08,0.5251
1.38439e-08,0.5135
1.38671e-08,0.5115
1.38904e-08,0.5164
1.39137e-08,0.5231
1.39369e-08,0.5249
1.39602e-08,0.5150
1.39835e-08,0.4980
1.40067e-08,0.4884
1.40300e-08,0.4906
1.40533e-08,0.4937
1.40765e-08,0.4939
1.40998e-08,0.4976
1.41231e-08,0.5034
1.41463e-08,0.5069
1.41696e-08,0.5106
1.41929e-08,0.5161
1.42161e-08,0.5213
1.42394e-08,0.5242
1.42627e-08,0.5225
1.42859e-08,0.5181
1.43092e-08,0.5164
1.43325e-08,0.5184
1.43557e-08,0.5215
1.43790e-08,0.5232
1.44023e-08,0.5209
1.44255e-08,0.5154
1.44488e-08,0.5118
1.44721e-08,0.5125
1.44953e-08,0.5146
1.45186e-08,0.5158
1.45419e-08,0.5168
1.45651e-08,0.5177
1.45884e-08,0.5170
1.46117e-08,0.5156
1.46349e-08,0.5152
1.46582e-08,0.5157
1.46815e-08,0.5158
1.47047e-08,0.5143
1.47280e-08,0.5116
1.47513e-08,0.5100
1.47745e-08,0.5107
1.47978e-08,0.5128
1.48211e-08,0.5145
1.48443e-08,0.5149
1.48676e-08,0.5137
1.48909e-08,0.5124
1.49141e-08,0.5124
1.49374e-08,0.5132
1.49607e-08,0.5140
1.49839e-08,0.5146
1.50072e-08,0.5148
1.50305e-08,0.5143
1.50537e-08,0.5134
1.50770e-08,0.5130
1.51003e-08,0.5135
1.51236e-08,0.5141
1.51468e-08,0.5140
1.51701e-08,0.5132
1.51934e-08,0.5126
1.52166e-08,0.5128
1.52399e-08,0.5137
1.52632e-08,0.5145
1.52864e-08,0.5148
1.53097e-08,0.5143
1.53330e-08,0.5135
1.53562e-08,0.5131
1.53795e-08,0.5131
1.54028e-08,0.5134
1.54260e-08,0.5137
1.54493e-08,0.5139
1.54726e-08,0.5137
1.54958e-08,0.5132
1.55191e-08,0.5130
1.55424e-08,0.5132
1.55656e-08,0.5136
1.55889e-08,0.5138
1.56122e-08,0.5135
1.56354e-08,0.5132
1.56587e-08,0.5131
1.56820e-08,0.5133
1.57052e-08,0.5136
1.57285e-08,0.5138
1.57518e-08,0.5137
1.57750e-08,0.5134
1.57983e-08,0.5131
1.58216e-08,0.5130
1.58448e-08,0.5131
1.58681e-08,0.5134
1.58914e-08,0.5136
1.59146e-08,0.5135
1.59379e-08,0.5133
1.59612e-08,0.5136
1.59844e-08,0.5215
1.60077e-08,0.5664
1.60310e-08,0.6819
1.60542e-08,0.8158
1.60775e-08,0.9046
1.61008e-08,0.9750
1.61240e-08,1.0475
1.61473e-08,1.0978
1.61706e-08,1.1306
1.61938e-08,1.1545
1.62171e-08,1.1680
1.62404e-08,1.1783
1.62636e-08,1.1835
1.62869e-08,1.1834
1.63102e-08,1.1872
1.63334e-08,1.1966
1.63567e-08,1.2060
1.63800e-08,1.2045
1.64032e-08,1.1744
1.64265e-08,1.1029
1.64498e-08,0.9934
1.64730e-08,0.8974
1.64963e-08,0.8434
1.65196e-08,0.7924
1.65428e-08,0.7314
1.65661e-08,0.6856
1.65894e-08,0.6498
1.66126e-08,0.6145
1.66359e-08,0.5875
1.66592e-08,0.5674
1.66824e-08,0.5530
1.67057e-08,0.5424
1.67290e-08,0.5293
1.67522e-08,0.5157
1.67755e-08,0.5101
1.67988e-08,0.5140
1.68220e-08,0.5327
1.68453e-08,0.5953
1.68686e-08,0.7162
1.68918e-08,0.8279
1.69151e-08,0.8945
1.69384e-08,0.9648
1.69616e-08,1.0385
1.69849e-08,1.0861
1.70082e-08,1.1221
1.70314e-08,1.1516
1.70547e-08,1.1692
1.70780e-08,1.1821
1.71012e-08,1.1892
1.71245e-08,1.1927
1.71478e-08,1.1999
1.71710e-08,1.2081
1.71943e-08,1.2114
1.72176e-08,1.2090
1.72408e-08,1.2021
1.72641e-08,1.1938
1.72874e-08,1.1945
1.73106e-08,1.2093
1.73339e-08,1.2217
1.73572e-08,1.2184
1.73804e-08,1.2107
1.74037e-08,1.2077
1.74270e-08,1.2037
1.74502e-08,1.1981
1.74735e-08,1.1960
1.74968e-08,1.1957
1.75201e-08,1.1948
1.75433e-08,1.1936
1.75666e-08,1.1918
1.75899e-08,1.1925
1.76131e-08,1.1969
1.76364e-08,1.2007
1.76597e-08,1.2012
1.76829e-08,1.1990
1.77062e-08,1.1949
1.77295e-08,1.1930
1.77527e-08,1.1963
