.HEADER
..NAMES
Time,V U2.K7&K8
.DATA
1.43790e-08,0.2627
1.44023e-08,0.2380
1.44255e-08,0.2214
1.44488e-08,0.2200
1.44721e-08,0.2414
1.44953e-08,0.3020
1.45186e-08,0.4074
1.45419e-08,0.5184
1.45651e-08,0.6193
1.45884e-08,0.7263
1.46117e-08,0.8263
1.46349e-08,0.8890
1.46582e-08,0.9039
1.46815e-08,0.8988
1.47047e-08,0.8968
1.47280e-08,0.8940
1.47513e-08,0.8910
1.47745e-08,0.8964
1.47978e-08,0.9135
1.48211e-08,0.9353
1.48443e-08,0.9506
1.48676e-08,0.9472
1.48909e-08,0.9141
1.49141e-08,0.8406
1.49374e-08,0.7346
1.49607e-08,0.6322
1.49839e-08,0.5293
1.50072e-08,0.4154
1.50305e-08,0.3217
1.50537e-08,0.2748
1.50770e-08,0.2702
1.51003e-08,0.2742
1.51236e-08,0.2758
1.51468e-08,0.2841
1.51701e-08,0.2895
1.51934e-08,0.2803
1.52166e-08,0.2576
1.52399e-08,0.2337
1.52632e-08,0.2196
1.52864e-08,0.2221
1.53097e-08,0.2496
1.53330e-08,0.3202
1.53562e-08,0.4305
1.53795e-08,0.5386
1.54028e-08,0.6400
1.54260e-08,0.7477
1.54493e-08,0.8424
1.54726e-08,0.8951
1.54958e-08,0.9030
1.55191e-08,0.8979
1.55424e-08,0.8963
1.55656e-08,0.8930
1.55889e-08,0.8911
1.56122e-08,0.8989
1.56354e-08,0.9179
1.56587e-08,0.9393
1.56820e-08,0.9519
1.57052e-08,0.9432
1.57285e-08,0.9031
1.57518e-08,0.8209
1.57750e-08,0.7132
1.57983e-08,0.6125
1.58216e-08,0.5068
1.58448e-08,0.3940
1.58681e-08,0.3083
1.58914e-08,0.2713
1.59146e-08,0.2711
1.59379e-08,0.2743
1.59612e-08,0.2769
1.59844e-08,0.2858
1.60077e-08,0.2889
1.60310e-08,0.2765
1.60542e-08,0.2526
1.60775e-08,0.2299
1.61008e-08,0.2185
1.61240e-08,0.2251
1.61473e-08,0.2597
1.61706e-08,0.3400
1.61938e-08,0.4530
1.62171e-08,0.5584
1.62404e-08,0.6610
1.62636e-08,0.7684
1.62869e-08,0.8567
1.63102e-08,0.8993
1.63334e-08,0.9019
1.63567e-08,0.8974
1.63800e-08,0.8958
1.64032e-08,0.8922
1.64265e-08,0.8916
1.64498e-08,0.9020
1.64730e-08,0.9223
1.64963e-08,0.9428
1.65196e-08,0.9523
1.65428e-08,0.9380
1.65661e-08,0.8903
1.65894e-08,0.8002
1.66126e-08,0.6926
1.66359e-08,0.5927
1.66592e-08,0.4841
1.66824e-08,0.3738
1.67057e-08,0.2969
1.67290e-08,0.2694
1.67522e-08,0.2721
1.67755e-08,0.2743
1.67988e-08,0.2784
1.68220e-08,0.2874
1.68453e-08,0.2877
1.68686e-08,0.2723
1.68918e-08,0.2476
1.69151e-08,0.2265
1.69384e-08,0.2182
1.69616e-08,0.2292
1.69849e-08,0.2715
1.70082e-08,0.3612
1.70314e-08,0.4750
1.70547e-08,0.5781
1.70780e-08,0.6822
1.71012e-08,0.7884
1.71245e-08,0.8691
1.71478e-08,0.9019
1.71710e-08,0.9007
1.71943e-08,0.8970
1.72176e-08,0.8952
1.72408e-08,0.8914
1.72641e-08,0.8926
1.72874e-08,0.9054
1.73106e-08,0.9266
1.73339e-08,0.9459
1.73572e-08,0.9517
1.73804e-08,0.9316
1.74037e-08,0.8758
1.74270e-08,0.7790
1.74502e-08,0.6724
1.74735e-08,0.5724
1.74968e-08,0.4613
1.75201e-08,0.3552
1.75433e-08,0.2876
1.75666e-08,0.2687
1.75899e-08,0.2728
1.76131e-08,0.2745
1.76364e-08,0.2802
1.76597e-08,0.2885
1.76829e-08,0.2858
1.77062e-08,0.2677
1.77295e-08,0.2428
1.77527e-08,0.2237
1.77760e-08,0.2186
1.77993e-08,0.2345
1.78225e-08,0.2854
1.78458e-08,0.3834
1.78691e-08,0.4963
1.78923e-08,0.5980
1.79156e-08,0.7036
1.79389e-08,0.8073
1.79621e-08,0.8795
1.79854e-08,0.9032
1.80087e-08,0.8995
1.80319e-08,0.8967
1.80552e-08,0.8944
1.80785e-08,0.8909
1.81017e-08,0.8941
1.81250e-08,0.9092
1.81483e-08,0.9309
1.81715e-08,0.9485
1.81948e-08,0.9501
1.82181e-08,0.9238
1.82413e-08,0.8595
1.82646e-08,0.7575
1.82879e-08,0.6527
1.83111e-08,0.5515
1.83344e-08,0.4387
1.83577e-08,0.3381
1.83809e-08,0.2803
1.84042e-08,0.2689
1.84275e-08,0.2733
1.84507e-08,0.2750
1.84740e-08,0.2820
1.84973e-08,0.2891
1.85205e-08,0.2833
1.85438e-08,0.2629
1.85671e-08,0.2382
1.85903e-08,0.2214
1.86136e-08,0.2198
1.86369e-08,0.2410
1.86601e-08,0.3013
1.86834e-08,0.4061
1.87067e-08,0.5169
1.87299e-08,0.6181
1.87532e-08,0.7250
1.87765e-08,0.8249
1.87997e-08,0.8879
