.HEADER
..NAMES
Time,V U2.F7
.DATA
1.39369e-08,1.3904
1.39602e-08,1.3777
1.39835e-08,1.3673
1.40067e-08,1.3607
1.40300e-08,1.3503
1.40533e-08,1.3268
1.40765e-08,1.2895
1.40998e-08,1.2411
1.41231e-08,1.1891
1.41463e-08,1.1420
1.41696e-08,1.1037
1.41929e-08,1.0761
1.42161e-08,1.0581
1.42394e-08,1.0443
1.42627e-08,1.0339
1.42859e-08,1.0256
1.43092e-08,1.0180
1.43325e-08,0.9967
1.43557e-08,0.9537
1.43790e-08,0.8857
1.44023e-08,0.7925
1.44255e-08,0.6861
1.44488e-08,0.5761
1.44721e-08,0.4628
1.44953e-08,0.3522
1.45186e-08,0.2502
1.45419e-08,0.1587
1.45651e-08,0.0846
1.45884e-08,0.0315
1.46117e-08,-0.0027
1.46349e-08,-0.0187
1.46582e-08,-0.0242
1.46815e-08,-0.0302
1.47047e-08,-0.0427
1.47280e-08,-0.0628
1.47513e-08,-0.0866
1.47745e-08,-0.1072
1.47978e-08,-0.1215
1.48211e-08,-0.1300
1.48443e-08,-0.1336
1.48676e-08,-0.1309
1.48909e-08,-0.1197
1.49141e-08,-0.0997
1.49374e-08,-0.0712
1.49607e-08,-0.0372
1.49839e-08,-0.0022
1.50072e-08,0.0299
1.50305e-08,0.0550
1.50537e-08,0.0708
1.50770e-08,0.0785
1.51003e-08,0.0803
1.51236e-08,0.0781
1.51468e-08,0.0778
1.51701e-08,0.0902
1.51934e-08,0.1313
1.52166e-08,0.1957
1.52399e-08,0.2857
1.52632e-08,0.3938
1.52864e-08,0.5035
1.53097e-08,0.6204
1.53330e-08,0.7362
1.53562e-08,0.8428
1.53795e-08,0.9402
1.54028e-08,1.0207
1.54260e-08,1.0798
1.54493e-08,1.1215
1.54726e-08,1.1457
1.54958e-08,1.1573
1.55191e-08,1.1677
1.55424e-08,1.1751
1.55656e-08,1.1753
1.55889e-08,1.1478
1.56122e-08,1.0929
1.56354e-08,1.0159
1.56587e-08,0.9158
1.56820e-08,0.8103
1.57052e-08,0.6943
1.57285e-08,0.5622
1.57518e-08,0.4233
1.57750e-08,0.2815
1.57983e-08,0.1460
1.58216e-08,0.0328
1.58448e-08,-0.0555
