.HEADER
..NAMES
Time,V U2.G2
.DATA
8.5855e-09,0.0004
8.6088e-09,0.0001
8.6321e-09,0.0006
8.6553e-09,0.0016
8.6786e-09,0.0024
8.7019e-09,0.0027
8.7251e-09,0.0025
8.7484e-09,0.0023
8.7717e-09,0.0021
8.7949e-09,0.0019
8.8182e-09,0.0013
8.8415e-09,0.0003
8.8647e-09,-0.0010
8.8880e-09,0.0001
8.9113e-09,0.0108
8.9345e-09,0.0459
8.9578e-09,0.1124
8.9811e-09,0.1995
9.0043e-09,0.3053
9.0276e-09,0.4142
9.0509e-09,0.5182
9.0741e-09,0.6284
9.0974e-09,0.7374
9.1207e-09,0.8449
9.1439e-09,0.9488
9.1672e-09,1.0361
9.1905e-09,1.1029
9.2137e-09,1.1516
9.2370e-09,1.1815
9.2603e-09,1.1991
9.2835e-09,1.2142
9.3068e-09,1.2247
9.3301e-09,1.2159
9.3533e-09,1.1749
9.3766e-09,1.1011
9.3999e-09,0.9940
9.4231e-09,0.8730
9.4464e-09,0.7512
9.4697e-09,0.6204
9.4929e-09,0.4857
9.5162e-09,0.3458
9.5395e-09,0.2028
9.5627e-09,0.0736
9.5860e-09,-0.0298
9.6093e-09,-0.1073
9.6325e-09,-0.1562
9.6558e-09,-0.1817
9.6791e-09,-0.1996
9.7023e-09,-0.2161
9.7256e-09,-0.2280
9.7489e-09,-0.2174
9.7721e-09,-0.1545
9.7954e-09,-0.0501
9.8187e-09,0.0899
9.8419e-09,0.2426
9.8652e-09,0.3800
9.8885e-09,0.5234
9.9117e-09,0.6712
9.9350e-09,0.8256
9.9583e-09,0.9881
9.9815e-09,1.1336
1.00048e-08,1.2486
1.00281e-08,1.3330
1.00513e-08,1.3824
1.00746e-08,1.4042
1.00979e-08,1.4180
1.01211e-08,1.4300
1.01444e-08,1.4422
1.01677e-08,1.4518
1.01909e-08,1.4452
1.02142e-08,1.4196
1.02375e-08,1.3843
1.02607e-08,1.3497
1.02840e-08,1.3210
1.03073e-08,1.2936
1.03305e-08,1.2583
1.03538e-08,1.2095
1.03771e-08,1.1524
1.04003e-08,1.0987
1.04236e-08,1.0554
1.04469e-08,1.0273
1.04702e-08,1.0137
1.04934e-08,1.0083
1.05167e-08,1.0066
1.05400e-08,1.0064
1.05632e-08,1.0082
1.05865e-08,1.0169
1.06098e-08,1.0376
1.06330e-08,1.0684
1.06563e-08,1.1011
1.06796e-08,1.1264
1.07028e-08,1.1391
1.07261e-08,1.1436
1.07494e-08,1.1493
1.07726e-08,1.1622
1.07959e-08,1.1824
1.08192e-08,1.2049
1.08424e-08,1.2241
1.08657e-08,1.2374
1.08890e-08,1.2462
1.09122e-08,1.2530
1.09355e-08,1.2598
1.09588e-08,1.2672
1.09820e-08,1.2732
1.10053e-08,1.2744
1.10286e-08,1.2680
1.10518e-08,1.2547
1.10751e-08,1.2387
1.10984e-08,1.2259
1.11216e-08,1.2187
1.11449e-08,1.2152
1.11682e-08,1.2107
1.11914e-08,1.2025
1.12147e-08,1.1920
1.12380e-08,1.1834
1.12612e-08,1.1801
1.12845e-08,1.1821
1.13078e-08,1.1862
1.13310e-08,1.1886
1.13543e-08,1.1866
1.13776e-08,1.1742
1.14008e-08,1.1487
1.14241e-08,1.0932
1.14474e-08,1.0135
1.14706e-08,0.9184
1.14939e-08,0.8091
1.15172e-08,0.7022
1.15404e-08,0.5939
1.15637e-08,0.4786
1.15870e-08,0.3659
1.16102e-08,0.2586
1.16335e-08,0.1617
1.16568e-08,0.0843
1.16800e-08,0.0256
1.17033e-08,-0.0183
1.17266e-08,-0.0465
1.17498e-08,-0.0653
1.17731e-08,-0.0844
1.17964e-08,-0.1034
1.18196e-08,-0.1120
1.18429e-08,-0.0812
1.18662e-08,-0.0091
1.18894e-08,0.0996
1.19127e-08,0.2362
1.19360e-08,0.3681
1.19592e-08,0.5053
1.19825e-08,0.6547
1.20058e-08,0.8039
1.20290e-08,0.9577
1.20523e-08,1.0986
1.20756e-08,1.2080
1.20988e-08,1.2885
1.21221e-08,1.3410
1.21454e-08,1.3648
1.21686e-08,1.3744
1.21919e-08,1.3835
1.22152e-08,1.3930
1.22384e-08,1.4044
1.22617e-08,1.4103
1.22850e-08,1.4003
1.23082e-08,1.3795
1.23315e-08,1.3563
1.23548e-08,1.3351
1.23780e-08,1.3142
1.24013e-08,1.2861
1.24246e-08,1.2449
1.24478e-08,1.1925
1.24711e-08,1.1392
1.24944e-08,1.0925
1.25176e-08,1.0563
1.25409e-08,1.0332
1.25642e-08,1.0215
