.HEADER
..NAMES
Time,V U2.D7
.DATA
9.9815e-09,-0.0603
1.00048e-08,-0.0281
1.00281e-08,0.0019
1.00513e-08,0.0267
1.00746e-08,0.0522
1.00979e-08,0.0815
1.01211e-08,0.1049
1.01444e-08,0.1178
1.01677e-08,0.1275
1.01909e-08,0.1333
1.02142e-08,0.1260
1.02375e-08,0.1081
1.02607e-08,0.0922
1.02840e-08,0.0831
1.03073e-08,0.0756
1.03305e-08,0.0647
1.03538e-08,0.0506
1.03771e-08,0.0380
1.04003e-08,0.0316
1.04236e-08,0.0289
1.04469e-08,0.0237
1.04702e-08,0.0143
1.04934e-08,0.0033
1.05167e-08,-0.0049
1.05400e-08,-0.0094
1.05632e-08,-0.0140
1.05865e-08,-0.0214
1.06098e-08,-0.0286
1.06330e-08,-0.0340
1.06563e-08,-0.0401
1.06796e-08,-0.0461
1.07028e-08,-0.0467
1.07261e-08,-0.0408
1.07494e-08,-0.0326
1.07726e-08,-0.0255
1.07959e-08,-0.0194
1.08192e-08,-0.0131
1.08424e-08,-0.0053
1.08657e-08,0.0026
1.08890e-08,0.0067
1.09122e-08,0.0055
1.09355e-08,0.0031
1.09588e-08,0.0033
1.09820e-08,0.0090
1.10053e-08,0.0302
1.10286e-08,0.0876
1.10518e-08,0.1860
1.10751e-08,0.2805
1.10984e-08,0.3575
1.11216e-08,0.4583
1.11449e-08,0.5895
1.11682e-08,0.7180
1.11914e-08,0.8406
1.12147e-08,0.9545
1.12380e-08,1.0435
1.12612e-08,1.1142
1.12845e-08,1.1777
1.13078e-08,1.2246
1.13310e-08,1.2476
1.13543e-08,1.2561
1.13776e-08,1.2607
1.14008e-08,1.2615
1.14241e-08,1.2612
1.14474e-08,1.2697
1.14706e-08,1.2891
1.14939e-08,1.3094
1.15172e-08,1.3161
1.15404e-08,1.3051
1.15637e-08,1.2898
1.15870e-08,1.2805
1.16102e-08,1.2670
1.16335e-08,1.2413
1.16568e-08,1.2093
1.16800e-08,1.1740
1.17033e-08,1.1411
1.17266e-08,1.1195
1.17498e-08,1.1055
1.17731e-08,1.0902
1.17964e-08,1.0746
1.18196e-08,1.0517
1.18429e-08,1.0047
1.18662e-08,0.9182
1.18894e-08,0.8324
1.19127e-08,0.7725
1.19360e-08,0.6949
1.19592e-08,0.5704
1.19825e-08,0.4316
1.20058e-08,0.3032
1.20290e-08,0.1859
1.20523e-08,0.0899
1.20756e-08,0.0140
1.20988e-08,-0.0553
1.21221e-08,-0.1061
1.21454e-08,-0.1280
1.21686e-08,-0.1273
1.21919e-08,-0.1199
1.22152e-08,-0.1127
1.22384e-08,-0.0964
1.22617e-08,-0.0465
1.22850e-08,0.0597
1.23082e-08,0.1663
1.23315e-08,0.2428
1.23548e-08,0.3497
1.23780e-08,0.5038
1.24013e-08,0.6516
1.24246e-08,0.7890
1.24478e-08,0.9345
1.24711e-08,1.0633
1.24944e-08,1.1705
1.25176e-08,1.2713
1.25409e-08,1.3484
1.25642e-08,1.3920
1.25874e-08,1.4194
1.26107e-08,1.4402
1.26340e-08,1.4408
1.26572e-08,1.4183
1.26805e-08,1.3955
1.27038e-08,1.3843
1.27270e-08,1.3784
1.27503e-08,1.3640
1.27736e-08,1.3334
1.27968e-08,1.3022
1.28201e-08,1.2858
1.28434e-08,1.2709
1.28667e-08,1.2427
1.28899e-08,1.2105
1.29132e-08,1.1779
1.29365e-08,1.1427
1.29597e-08,1.1143
1.29830e-08,1.0921
1.30063e-08,1.0668
1.30295e-08,1.0463
1.30528e-08,1.0412
1.30761e-08,1.0433
1.30993e-08,1.0458
1.31226e-08,1.0582
1.31459e-08,1.0846
1.31691e-08,1.1135
1.31924e-08,1.1351
1.32157e-08,1.1499
1.32389e-08,1.1624
1.32622e-08,1.1768
1.32855e-08,1.1914
1.33087e-08,1.1990
1.33320e-08,1.1993
1.33553e-08,1.1995
1.33785e-08,1.2035
1.34018e-08,1.2109
1.34251e-08,1.2197
1.34483e-08,1.2254
1.34716e-08,1.2200
1.34949e-08,1.1937
1.35181e-08,1.1249
1.35414e-08,1.0177
1.35647e-08,0.9180
1.35879e-08,0.8361
1.36112e-08,0.7189
1.36345e-08,0.5686
1.36577e-08,0.4216
1.36810e-08,0.2832
1.37043e-08,0.1612
1.37275e-08,0.0657
1.37508e-08,-0.0111
1.37741e-08,-0.0804
1.37973e-08,-0.1282
1.38206e-08,-0.1469
1.38439e-08,-0.1512
1.38671e-08,-0.1512
1.38904e-08,-0.1482
1.39137e-08,-0.1465
1.39369e-08,-0.1561
1.39602e-08,-0.1763
1.39835e-08,-0.1935
1.40067e-08,-0.1947
1.40300e-08,-0.1784
1.40533e-08,-0.1608
1.40765e-08,-0.1501
1.40998e-08,-0.1317
1.41231e-08,-0.0976
1.41463e-08,-0.0548
1.41696e-08,-0.0091
1.41929e-08,0.0322
1.42161e-08,0.0612
1.42394e-08,0.0842
1.42627e-08,0.1093
1.42859e-08,0.1283
1.43092e-08,0.1325
1.43325e-08,0.1253
1.43557e-08,0.1107
1.43790e-08,0.0883
1.44023e-08,0.0630
1.44255e-08,0.0452
1.44488e-08,0.0389
1.44721e-08,0.0397
1.44953e-08,0.0414
1.45186e-08,0.0405
1.45419e-08,0.0397
1.45651e-08,0.0430
1.45884e-08,0.0474
1.46117e-08,0.0453
1.46349e-08,0.0341
1.46582e-08,0.0164
1.46815e-08,-0.0012
1.47047e-08,-0.0132
1.47280e-08,-0.0191
1.47513e-08,-0.0118
1.47745e-08,0.0349
1.47978e-08,0.1317
1.48211e-08,0.2278
1.48443e-08,0.3068
1.48676e-08,0.4167
1.48909e-08,0.5647
1.49141e-08,0.7088
1.49374e-08,0.8440
1.49607e-08,0.9679
1.49839e-08,1.0633
1.50072e-08,1.1379
1.50305e-08,1.2031
1.50537e-08,1.2472
1.50770e-08,1.2629
1.51003e-08,1.2650
1.51236e-08,1.2656
1.51468e-08,1.2530
1.51701e-08,1.2126
1.51934e-08,1.1312
1.52166e-08,1.0445
1.52399e-08,0.9809
1.52632e-08,0.8950
1.52864e-08,0.7559
1.53097e-08,0.6075
1.53330e-08,0.4717
1.53562e-08,0.3314
1.53795e-08,0.1948
1.54028e-08,0.0757
1.54260e-08,-0.0369
1.54493e-08,-0.1339
1.54726e-08,-0.1954
1.54958e-08,-0.2313
1.55191e-08,-0.2587
1.55424e-08,-0.2711
1.55656e-08,-0.2560
1.55889e-08,-0.2033
1.56122e-08,-0.0879
1.56354e-08,0.0446
1.56587e-08,0.1446
1.56820e-08,0.2588
1.57052e-08,0.4241
1.57285e-08,0.5880
1.57518e-08,0.7369
1.57750e-08,0.8940
1.57983e-08,1.0310
1.58216e-08,1.1391
1.58448e-08,1.2408
1.58681e-08,1.3282
1.58914e-08,1.3850
1.59146e-08,1.4217
1.59379e-08,1.4505
1.59612e-08,1.4561
1.59844e-08,1.4283
1.60077e-08,1.3718
1.60310e-08,1.2792
1.60542e-08,1.1776
1.60775e-08,1.0816
1.61008e-08,0.9443
1.61240e-08,0.7681
1.61473e-08,0.6065
1.61706e-08,0.4524
1.61938e-08,0.2897
1.62171e-08,0.1444
1.62404e-08,0.0241
1.62636e-08,-0.0875
1.62869e-08,-0.1742
1.63102e-08,-0.2247
1.63334e-08,-0.2604
1.63567e-08,-0.2868
1.63800e-08,-0.2921
1.64032e-08,-0.2760
1.64265e-08,-0.2210
1.64498e-08,-0.0970
1.64730e-08,0.0327
1.64963e-08,0.1260
1.65196e-08,0.2497
1.65428e-08,0.4224
1.65661e-08,0.5910
1.65894e-08,0.7573
1.66126e-08,0.9289
1.66359e-08,1.0691
1.66592e-08,1.1801
1.66824e-08,1.2896
1.67057e-08,1.3780
1.67290e-08,1.4306
1.67522e-08,1.4632
1.67755e-08,1.4819
1.67988e-08,1.4776
1.68220e-08,1.4576
1.68453e-08,1.4444
1.68686e-08,1.4398
1.68918e-08,1.4356
1.69151e-08,1.4197
