.HEADER
..NAMES
Time,V U2.P2
.DATA
9.0974e-09,1.2187
9.1207e-09,1.2341
9.1439e-09,1.2456
9.1672e-09,1.2580
9.1905e-09,1.2777
9.2137e-09,1.3055
9.2370e-09,1.3319
9.2603e-09,1.3393
9.2835e-09,1.3195
9.3068e-09,1.2838
9.3301e-09,1.2465
9.3533e-09,1.2066
9.3766e-09,1.1615
9.3999e-09,1.1204
9.4231e-09,1.0906
9.4464e-09,1.0712
9.4697e-09,1.0620
9.4929e-09,1.0670
9.5162e-09,1.0871
9.5395e-09,1.1183
9.5627e-09,1.1507
9.5860e-09,1.1734
9.6093e-09,1.1823
9.6325e-09,1.1825
9.6558e-09,1.1809
9.6791e-09,1.1796
9.7023e-09,1.1768
9.7256e-09,1.1697
9.7489e-09,1.1598
9.7721e-09,1.1533
9.7954e-09,1.1562
9.8187e-09,1.1681
9.8419e-09,1.1854
9.8652e-09,1.2062
9.8885e-09,1.2285
9.9117e-09,1.2468
9.9350e-09,1.2570
9.9583e-09,1.2607
9.9815e-09,1.2610
1.00048e-08,1.2575
1.00281e-08,1.2474
1.00513e-08,1.2298
1.00746e-08,1.2082
1.00979e-08,1.1896
1.01211e-08,1.1795
1.01444e-08,1.1787
1.01677e-08,1.1839
1.01909e-08,1.1913
1.02142e-08,1.1987
1.02375e-08,1.2053
1.02607e-08,1.2111
1.02840e-08,1.2154
1.03073e-08,1.2169
1.03305e-08,1.2152
1.03538e-08,1.2100
1.03771e-08,1.2010
1.04003e-08,1.1895
1.04236e-08,1.1793
1.04469e-08,1.1741
1.04702e-08,1.1742
1.04934e-08,1.1771
1.05167e-08,1.1808
1.05400e-08,1.1857
1.05632e-08,1.1929
1.05865e-08,1.2025
1.06098e-08,1.2127
1.06330e-08,1.2204
1.06563e-08,1.2235
1.06796e-08,1.2215
1.07028e-08,1.2155
1.07261e-08,1.2077
1.07494e-08,1.2004
1.07726e-08,1.1953
1.07959e-08,1.1928
1.08192e-08,1.1923
1.08424e-08,1.1931
1.08657e-08,1.1951
1.08890e-08,1.1989
1.09122e-08,1.2047
1.09355e-08,1.2110
1.09588e-08,1.2153
1.09820e-08,1.2161
1.10053e-08,1.2140
1.10286e-08,1.2104
1.10518e-08,1.2066
1.10751e-08,1.2030
1.10984e-08,1.1994
1.11216e-08,1.1958
1.11449e-08,1.1924
1.11682e-08,1.1901
1.11914e-08,1.1897
1.12147e-08,1.1919
1.12380e-08,1.1965
1.12612e-08,1.2020
1.12845e-08,1.2066
1.13078e-08,1.2092
1.13310e-08,1.2095
1.13543e-08,1.2085
1.13776e-08,1.2069
1.14008e-08,1.2048
1.14241e-08,1.2020
1.14474e-08,1.1985
1.14706e-08,1.1954
1.14939e-08,1.1938
1.15172e-08,1.1942
1.15404e-08,1.1964
1.15637e-08,1.1994
1.15870e-08,1.2025
1.16102e-08,1.2048
1.16335e-08,1.2061
1.16568e-08,1.2067
1.16800e-08,1.2071
1.17033e-08,1.2072
1.17266e-08,1.2067
1.17498e-08,1.2051
1.17731e-08,1.2025
1.17964e-08,1.1995
1.18196e-08,1.1973
1.18429e-08,1.1964
