.HEADER
..NAMES
Time,V U2.T2
.DATA
9.2370e-09,1.1924
9.2603e-09,1.1884
9.2835e-09,1.1879
9.3068e-09,1.1922
9.3301e-09,1.1983
9.3533e-09,1.2009
9.3766e-09,1.1973
9.3999e-09,1.1891
9.4231e-09,1.1805
9.4464e-09,1.1743
9.4697e-09,1.1711
9.4929e-09,1.1703
9.5162e-09,1.1715
9.5395e-09,1.1751
9.5627e-09,1.1814
9.5860e-09,1.1897
9.6093e-09,1.1988
9.6325e-09,1.2071
9.6558e-09,1.2132
9.6791e-09,1.2158
9.7023e-09,1.2147
9.7256e-09,1.2112
9.7489e-09,1.2076
9.7721e-09,1.2058
9.7954e-09,1.2054
9.8187e-09,1.2048
9.8419e-09,1.2032
9.8652e-09,1.2018
9.8885e-09,1.2022
9.9117e-09,1.2049
9.9350e-09,1.2089
9.9583e-09,1.2120
9.9815e-09,1.2128
1.00048e-08,1.2109
1.00281e-08,1.2071
1.00513e-08,1.2023
1.00746e-08,1.1977
1.00979e-08,1.1941
1.01211e-08,1.1918
1.01444e-08,1.1908
1.01677e-08,1.1907
1.01909e-08,1.1916
1.02142e-08,1.1938
1.02375e-08,1.1972
1.02607e-08,1.2006
1.02840e-08,1.2028
1.03073e-08,1.2030
1.03305e-08,1.2018
1.03538e-08,1.2003
1.03771e-08,1.1994
1.04003e-08,1.1990
1.04236e-08,1.1987
1.04469e-08,1.1980
1.04702e-08,1.1975
1.04934e-08,1.1975
1.05167e-08,1.1985
1.05400e-08,1.2006
1.05632e-08,1.2032
1.05865e-08,1.2056
1.06098e-08,1.2069
1.06330e-08,1.2067
1.06563e-08,1.2052
1.06796e-08,1.2033
1.07028e-08,1.2015
1.07261e-08,1.2002
1.07494e-08,1.1991
1.07726e-08,1.1981
1.07959e-08,1.1977
1.08192e-08,1.1979
1.08424e-08,1.1991
1.08657e-08,1.2005
1.08890e-08,1.2017
1.09122e-08,1.2023
1.09355e-08,1.2021
1.09588e-08,1.2014
1.09820e-08,1.2007
1.10053e-08,1.2001
1.10286e-08,1.1996
1.10518e-08,1.1991
1.10751e-08,1.1985
1.10984e-08,1.1980
1.11216e-08,1.1977
1.11449e-08,1.1981
1.11682e-08,1.1992
1.11914e-08,1.2007
1.12147e-08,1.2020
1.12380e-08,1.2027
1.12612e-08,1.2026
1.12845e-08,1.2022
1.13078e-08,1.2016
1.13310e-08,1.2010
1.13543e-08,1.2004
1.13776e-08,1.1998
1.14008e-08,1.1994
1.14241e-08,1.1993
1.14474e-08,1.1995
1.14706e-08,1.2001
1.14939e-08,1.2008
1.15172e-08,1.2014
1.15404e-08,1.2017
1.15637e-08,1.2016
1.15870e-08,1.2014
1.16102e-08,1.2011
1.16335e-08,1.2009
1.16568e-08,1.2006
1.16800e-08,1.2003
1.17033e-08,1.1998
1.17266e-08,1.1993
1.17498e-08,1.1991
1.17731e-08,1.1993
1.17964e-08,1.1998
1.18196e-08,1.2005
1.18429e-08,1.2010
1.18662e-08,1.2013
1.18894e-08,1.2013
1.19127e-08,1.2012
1.19360e-08,1.2009
1.19592e-08,1.2006
1.19825e-08,1.2003
1.20058e-08,1.2000
1.20290e-08,1.1998
1.20523e-08,1.1998
1.20756e-08,1.1999
1.20988e-08,1.2002
1.21221e-08,1.2006
1.21454e-08,1.2009
1.21686e-08,1.2010
1.21919e-08,1.2010
1.22152e-08,1.2010
