.HEADER
..NAMES
Time,V U2.M2
.DATA
1.08424e-08,0.0156
1.08657e-08,0.0113
1.08890e-08,0.0030
1.09122e-08,-0.0043
1.09355e-08,-0.0091
1.09588e-08,-0.0118
1.09820e-08,-0.0123
1.10053e-08,-0.0107
1.10286e-08,-0.0063
1.10518e-08,0.0021
1.10751e-08,0.0147
1.10984e-08,0.0286
1.11216e-08,0.0382
1.11449e-08,0.0395
1.11682e-08,0.0334
1.11914e-08,0.0242
1.12147e-08,0.0161
1.12380e-08,0.0096
1.12612e-08,0.0028
1.12845e-08,-0.0049
1.13078e-08,-0.0115
1.13310e-08,-0.0139
1.13543e-08,-0.0113
1.13776e-08,-0.0047
1.14008e-08,0.0032
1.14241e-08,0.0094
1.14474e-08,0.0118
1.14706e-08,0.0107
1.14939e-08,0.0079
1.15172e-08,0.0049
1.15404e-08,0.0015
1.15637e-08,-0.0034
1.15870e-08,-0.0096
1.16102e-08,-0.0148
1.16335e-08,-0.0158
1.16568e-08,-0.0119
1.16800e-08,-0.0050
1.17033e-08,0.0020
1.17266e-08,0.0070
1.17498e-08,0.0099
1.17731e-08,0.0114
1.17964e-08,0.0121
1.18196e-08,0.0120
1.18429e-08,0.0104
1.18662e-08,0.0068
1.18894e-08,0.0018
1.19127e-08,-0.0030
1.19360e-08,-0.0052
1.19592e-08,-0.0043
1.19825e-08,-0.0013
1.20058e-08,0.0018
1.20290e-08,0.0043
1.20523e-08,0.0063
1.20756e-08,0.0085
1.20988e-08,0.0104
1.21221e-08,0.0110
1.21454e-08,0.0094
1.21686e-08,0.0056
1.21919e-08,0.0010
1.22152e-08,-0.0028
1.22384e-08,-0.0046
1.22617e-08,-0.0043
1.22850e-08,-0.0029
1.23082e-08,-0.0012
1.23315e-08,0.0002
1.23548e-08,0.0019
1.23780e-08,0.0041
1.24013e-08,0.0065
1.24246e-08,0.0079
1.24478e-08,0.0076
1.24711e-08,0.0056
1.24944e-08,0.0030
1.25176e-08,0.0008
1.25409e-08,-0.0005
1.25642e-08,-0.0010
1.25874e-08,-0.0012
1.26107e-08,-0.0009
1.26340e-08,-0.0002
1.26572e-08,0.0015
1.26805e-08,0.0038
1.27038e-08,0.0062
1.27270e-08,0.0076
1.27503e-08,0.0073
1.27736e-08,0.0058
1.27968e-08,0.0039
1.28201e-08,0.0024
1.28434e-08,0.0015
1.28667e-08,0.0008
1.28899e-08,0.0002
1.29132e-08,-0.0003
1.29365e-08,-0.0001
1.29597e-08,0.0009
1.29830e-08,0.0025
1.30063e-08,0.0041
1.30295e-08,0.0051
1.30528e-08,0.0053
1.30761e-08,0.0048
1.30993e-08,0.0041
1.31226e-08,0.0034
1.31459e-08,0.0027
1.31691e-08,0.0017
1.31924e-08,0.0006
1.32157e-08,-0.0002
1.32389e-08,-0.0002
1.32622e-08,0.0007
1.32855e-08,0.0021
1.33087e-08,0.0034
1.33320e-08,0.0042
1.33553e-08,0.0044
1.33785e-08,0.0042
1.34018e-08,0.0040
1.34251e-08,0.0037
1.34483e-08,0.0032
1.34716e-08,0.0025
1.34949e-08,0.0016
1.35181e-08,0.0010
1.35414e-08,0.0008
1.35647e-08,0.0012
1.35879e-08,0.0019
1.36112e-08,0.0026
1.36345e-08,0.0030
1.36577e-08,0.0036
1.36810e-08,0.0078
1.37043e-08,0.0288
1.37275e-08,0.0923
1.37508e-08,0.2058
1.37741e-08,0.3278
1.37973e-08,0.4442
1.38206e-08,0.5709
1.38439e-08,0.7148
1.38671e-08,0.8569
1.38904e-08,0.9853
