.HEADER
..NAMES
Time,V U2.C2
.DATA
8.7251e-09,1.1605
8.7484e-09,1.1213
8.7717e-09,1.0833
8.7949e-09,1.0491
8.8182e-09,1.0183
8.8415e-09,1.0022
8.8647e-09,1.0039
8.8880e-09,1.0023
8.9113e-09,0.9755
8.9345e-09,0.9106
8.9578e-09,0.8215
8.9811e-09,0.7491
9.0043e-09,0.6902
9.0276e-09,0.5964
9.0509e-09,0.4813
9.0741e-09,0.3699
9.0974e-09,0.2546
9.1207e-09,0.1475
9.1439e-09,0.0698
9.1672e-09,0.0205
9.1905e-09,-0.0126
9.2137e-09,-0.0355
9.2370e-09,-0.0552
9.2603e-09,-0.0761
9.2835e-09,-0.0870
9.3068e-09,-0.0827
9.3301e-09,-0.0798
9.3533e-09,-0.0950
9.3766e-09,-0.1226
9.3999e-09,-0.1447
9.4231e-09,-0.1486
9.4464e-09,-0.1376
9.4697e-09,-0.1230
9.4929e-09,-0.1043
9.5162e-09,-0.0805
9.5395e-09,-0.0598
9.5627e-09,-0.0389
9.5860e-09,-0.0072
9.6093e-09,0.0317
9.6325e-09,0.0668
9.6558e-09,0.0899
9.6791e-09,0.0958
9.7023e-09,0.0878
9.7256e-09,0.0811
9.7489e-09,0.0917
9.7721e-09,0.1321
9.7954e-09,0.2111
9.8187e-09,0.2976
9.8419e-09,0.3703
9.8652e-09,0.4646
9.8885e-09,0.5880
9.9117e-09,0.7090
9.9350e-09,0.8305
9.9583e-09,0.9497
9.9815e-09,1.0428
1.00048e-08,1.1087
1.00281e-08,1.1588
1.00513e-08,1.1950
1.00746e-08,1.2186
1.00979e-08,1.2343
1.01211e-08,1.2397
1.01444e-08,1.2217
1.01677e-08,1.1752
1.01909e-08,1.0912
1.02142e-08,1.0005
1.02375e-08,0.9344
1.02607e-08,0.8504
1.02840e-08,0.7240
1.03073e-08,0.5911
1.03305e-08,0.4533
1.03538e-08,0.3020
1.03771e-08,0.1624
1.04003e-08,0.0481
1.04236e-08,-0.0509
1.04469e-08,-0.1326
1.04702e-08,-0.1915
1.04934e-08,-0.2339
1.05167e-08,-0.2599
1.05400e-08,-0.2630
1.05632e-08,-0.2505
1.05865e-08,-0.2426
1.06098e-08,-0.2470
1.06330e-08,-0.2521
1.06563e-08,-0.2438
1.06796e-08,-0.2194
1.07028e-08,-0.1907
1.07261e-08,-0.1650
1.07494e-08,-0.1362
1.07726e-08,-0.1074
1.07959e-08,-0.0831
1.08192e-08,-0.0520
1.08424e-08,-0.0096
1.08657e-08,0.0348
1.08890e-08,0.0753
1.09122e-08,0.1073
1.09355e-08,0.1257
1.09588e-08,0.1353
1.09820e-08,0.1475
1.10053e-08,0.1686
1.10286e-08,0.2070
1.10518e-08,0.2753
1.10751e-08,0.3432
1.10984e-08,0.4028
1.11216e-08,0.4917
1.11449e-08,0.6005
1.11682e-08,0.7037
1.11914e-08,0.8119
1.12147e-08,0.9168
1.12380e-08,1.0002
1.12612e-08,1.0668
1.12845e-08,1.1227
1.13078e-08,1.1637
1.13310e-08,1.1916
1.13543e-08,1.2111
1.13776e-08,1.2170
1.14008e-08,1.1972
1.14241e-08,1.1415
1.14474e-08,1.0458
1.14706e-08,0.9523
1.14939e-08,0.8814
1.15172e-08,0.7833
1.15404e-08,0.6552
1.15637e-08,0.5317
1.15870e-08,0.3999
1.16102e-08,0.2581
1.16335e-08,0.1333
1.16568e-08,0.0308
1.16800e-08,-0.0576
1.17033e-08,-0.1268
1.17266e-08,-0.1766
1.17498e-08,-0.2166
1.17731e-08,-0.2433
1.17964e-08,-0.2481
1.18196e-08,-0.2311
1.18429e-08,-0.1757
1.18662e-08,-0.0564
1.18894e-08,0.0672
1.19127e-08,0.1661
1.19360e-08,0.3017
1.19592e-08,0.4660
1.19825e-08,0.6229
1.20058e-08,0.7894
1.20290e-08,0.9535
1.20523e-08,1.0879
1.20756e-08,1.1987
1.20988e-08,1.2905
1.21221e-08,1.3563
1.21454e-08,1.4036
1.21686e-08,1.4415
1.21919e-08,1.4640
1.22152e-08,1.4589
1.22384e-08,1.4239
1.22617e-08,1.3516
1.22850e-08,1.2456
1.23082e-08,1.1427
1.23315e-08,1.0364
1.23548e-08,0.8861
1.23780e-08,0.7223
1.24013e-08,0.5661
1.24246e-08,0.3942
1.24478e-08,0.2285
1.24711e-08,0.0908
1.24944e-08,-0.0310
1.25176e-08,-0.1329
1.25409e-08,-0.2085
1.25642e-08,-0.2653
1.25874e-08,-0.3029
1.26107e-08,-0.3158
1.26340e-08,-0.3088
1.26572e-08,-0.2838
1.26805e-08,-0.2066
1.27038e-08,-0.0658
1.27270e-08,0.0578
1.27503e-08,0.1598
1.27736e-08,0.3099
1.27968e-08,0.4758
1.28201e-08,0.6375
1.28434e-08,0.8174
1.28667e-08,0.9863
1.28899e-08,1.1280
1.29132e-08,1.2499
1.29365e-08,1.3450
1.29597e-08,1.4090
1.29830e-08,1.4535
1.30063e-08,1.4860
1.30295e-08,1.5018
1.30528e-08,1.4957
1.30761e-08,1.4757
1.30993e-08,1.4597
1.31226e-08,1.4557
1.31459e-08,1.4511
1.31691e-08,1.4239
1.31924e-08,1.3770
1.32157e-08,1.3323
1.32389e-08,1.2866
1.32622e-08,1.2361
1.32855e-08,1.1958
1.33087e-08,1.1615
1.33320e-08,1.1219
1.33553e-08,1.0832
1.33785e-08,1.0470
1.34018e-08,1.0145
1.34251e-08,0.9982
1.34483e-08,0.9997
1.34716e-08,0.9962
1.34949e-08,0.9663
1.35181e-08,0.8986
1.35414e-08,0.8115
1.35647e-08,0.7414
1.35879e-08,0.6823
1.36112e-08,0.5885
1.36345e-08,0.4733
1.36577e-08,0.3614
1.36810e-08,0.2460
1.37043e-08,0.1395
1.37275e-08,0.0633
1.37508e-08,0.0151
1.37741e-08,-0.0171
1.37973e-08,-0.0400
1.38206e-08,-0.0602
1.38439e-08,-0.0805
1.38671e-08,-0.0894
1.38904e-08,-0.0835
1.39137e-08,-0.0804
1.39369e-08,-0.0958
1.39602e-08,-0.1229
1.39835e-08,-0.1435
1.40067e-08,-0.1461
1.40300e-08,-0.1347
1.40533e-08,-0.1200
1.40765e-08,-0.1017
1.40998e-08,-0.0790
1.41231e-08,-0.0593
1.41463e-08,-0.0384
1.41696e-08,-0.0063
1.41929e-08,0.0333
1.42161e-08,0.0684
1.42394e-08,0.0908
1.42627e-08,0.0957
1.42859e-08,0.0876
1.43092e-08,0.0795
1.43325e-08,0.0758
1.43557e-08,0.0688
1.43790e-08,0.0544
1.44023e-08,0.0389
1.44255e-08,0.0297
1.44488e-08,0.0282
1.44721e-08,0.0334
1.44953e-08,0.0422
1.45186e-08,0.0500
1.45419e-08,0.0511
1.45651e-08,0.0426
1.45884e-08,0.0293
1.46117e-08,0.0195
1.46349e-08,0.0144
1.46582e-08,0.0090
1.46815e-08,-0.0013
1.47047e-08,-0.0172
1.47280e-08,-0.0334
1.47513e-08,-0.0422
1.47745e-08,-0.0421
1.47978e-08,-0.0377
1.48211e-08,-0.0317
1.48443e-08,-0.0245
1.48676e-08,-0.0169
1.48909e-08,-0.0097
1.49141e-08,-0.0020
1.49374e-08,0.0059
1.49607e-08,0.0107
1.49839e-08,0.0089
1.50072e-08,0.0008
1.50305e-08,-0.0084
1.50537e-08,-0.0127
1.50770e-08,-0.0105
1.51003e-08,-0.0052
1.51236e-08,-0.0006
1.51468e-08,0.0059
1.51701e-08,0.0295
1.51934e-08,0.0958
1.52166e-08,0.2053
1.52399e-08,0.3051
1.52632e-08,0.3907
1.52864e-08,0.5009
1.53097e-08,0.6180
1.53330e-08,0.7250
1.53562e-08,0.8401
1.53795e-08,0.9539
1.54028e-08,1.0474
1.54260e-08,1.1185
1.54493e-08,1.1692
1.54726e-08,1.2026
1.54958e-08,1.2302
1.55191e-08,1.2596
1.55424e-08,1.2802
1.55656e-08,1.2713
1.55889e-08,1.2195
1.56122e-08,1.1236
1.56354e-08,1.0291
1.56587e-08,0.9533
1.56820e-08,0.8428
1.57052e-08,0.6991
1.57285e-08,0.5588
1.57518e-08,0.4050
1.57750e-08,0.2424
1.57983e-08,0.1070
1.58216e-08,0.0032
1.58448e-08,-0.0812
1.58681e-08,-0.1462
1.58914e-08,-0.1962
1.59146e-08,-0.2378
1.59379e-08,-0.2626
1.59612e-08,-0.2620
1.59844e-08,-0.2400
1.60077e-08,-0.1822
1.60310e-08,-0.0626
1.60542e-08,0.0594
1.60775e-08,0.1536
1.61008e-08,0.2846
1.61240e-08,0.4480
1.61473e-08,0.6071
1.61706e-08,0.7769
1.61938e-08,0.9431
1.62171e-08,1.0811
1.62404e-08,1.1997
1.62636e-08,1.3021
1.62869e-08,1.3774
1.63102e-08,1.4291
1.63334e-08,1.4649
1.63567e-08,1.4817
1.63800e-08,1.4709
1.64032e-08,1.4320
1.64265e-08,1.3573
1.64498e-08,1.2489
1.64730e-08,1.1449
1.64963e-08,1.0377
1.65196e-08,0.8834
1.65428e-08,0.7174
1.65661e-08,0.5641
1.65894e-08,0.3961
1.66126e-08,0.2329
1.66359e-08,0.0961
1.66592e-08,-0.0260
1.66824e-08,-0.1283
1.67057e-08,-0.2038
1.67290e-08,-0.2615
1.67522e-08,-0.3021
1.67755e-08,-0.3192
1.67988e-08,-0.3170
1.68220e-08,-0.3101
1.68453e-08,-0.3076
1.68686e-08,-0.3057
1.68918e-08,-0.2959
1.69151e-08,-0.2727
