.HEADER
..NAMES
Time,V U2.T3
.DATA
7.4454e-09,-0.0065
7.4687e-09,0.0076
7.4920e-09,0.0203
7.5152e-09,0.0286
7.5385e-09,0.0313
7.5618e-09,0.0289
7.5850e-09,0.0231
7.6083e-09,0.0145
7.6316e-09,0.0035
7.6548e-09,-0.0086
7.6781e-09,-0.0197
7.7014e-09,-0.0271
7.7246e-09,-0.0292
7.7479e-09,-0.0257
7.7712e-09,-0.0179
7.7944e-09,-0.0076
7.8177e-09,0.0031
7.8410e-09,0.0127
7.8642e-09,0.0231
7.8875e-09,0.0441
7.9108e-09,0.0965
7.9340e-09,0.1915
7.9573e-09,0.2940
7.9806e-09,0.3856
8.0038e-09,0.4932
8.0271e-09,0.6327
8.0504e-09,0.7739
8.0736e-09,0.8990
8.0969e-09,1.0112
8.1202e-09,1.1092
8.1435e-09,1.1823
8.1667e-09,1.2303
8.1900e-09,1.2628
8.2133e-09,1.2878
8.2365e-09,1.3057
8.2598e-09,1.3170
8.2831e-09,1.3220
8.3063e-09,1.3221
8.3296e-09,1.3225
8.3529e-09,1.3311
8.3761e-09,1.3481
8.3994e-09,1.3634
8.4227e-09,1.3644
8.4459e-09,1.3491
8.4692e-09,1.3280
8.4925e-09,1.3066
8.5157e-09,1.2777
8.5390e-09,1.2385
8.5623e-09,1.1977
8.5855e-09,1.1610
8.6088e-09,1.1271
8.6321e-09,1.0984
8.6553e-09,1.0829
8.6786e-09,1.0790
8.7019e-09,1.0675
8.7251e-09,1.0262
8.7484e-09,0.9380
8.7717e-09,0.8326
8.7949e-09,0.7373
8.8182e-09,0.6342
8.8415e-09,0.4955
8.8647e-09,0.3446
8.8880e-09,0.2081
8.9113e-09,0.0891
8.9345e-09,-0.0104
8.9578e-09,-0.0800
8.9811e-09,-0.1189
9.0043e-09,-0.1377
9.0276e-09,-0.1466
9.0509e-09,-0.1491
9.0741e-09,-0.1480
9.0974e-09,-0.1442
9.1207e-09,-0.1376
9.1439e-09,-0.1335
9.1672e-09,-0.1435
9.1905e-09,-0.1690
9.2137e-09,-0.1968
9.2370e-09,-0.2100
9.2603e-09,-0.2031
9.2835e-09,-0.1842
9.3068e-09,-0.1615
9.3301e-09,-0.1307
9.3533e-09,-0.0867
9.3766e-09,-0.0360
9.3999e-09,0.0134
9.4231e-09,0.0596
9.4464e-09,0.0994
9.4697e-09,0.1239
9.4929e-09,0.1280
9.5162e-09,0.1174
9.5395e-09,0.1058
9.5627e-09,0.1111
9.5860e-09,0.1579
9.6093e-09,0.2425
9.6325e-09,0.3284
9.6558e-09,0.4144
9.6791e-09,0.5362
9.7023e-09,0.6920
9.7256e-09,0.8442
9.7489e-09,0.9764
9.7721e-09,1.0886
9.7954e-09,1.1751
9.8187e-09,1.2284
9.8419e-09,1.2524
9.8652e-09,1.2596
9.8885e-09,1.2593
9.9117e-09,1.2545
9.9350e-09,1.2463
9.9583e-09,1.2369
9.9815e-09,1.2331
1.00048e-08,1.2446
1.00281e-08,1.2751
1.00513e-08,1.3155
1.00746e-08,1.3493
1.00979e-08,1.3634
1.01211e-08,1.3596
1.01444e-08,1.3482
1.01677e-08,1.3294
1.01909e-08,1.2943
1.02142e-08,1.2443
1.02375e-08,1.1911
1.02607e-08,1.1415
1.02840e-08,1.0975
1.03073e-08,1.0665
1.03305e-08,1.0572
1.03538e-08,1.0688
1.03771e-08,1.0920
1.04003e-08,1.1179
1.04236e-08,1.1433
1.04469e-08,1.1677
1.04702e-08,1.1906
1.04934e-08,1.2082
1.05167e-08,1.2145
1.05400e-08,1.2054
1.05632e-08,1.1843
1.05865e-08,1.1604
1.06098e-08,1.1420
1.06330e-08,1.1319
1.06563e-08,1.1296
1.06796e-08,1.1357
1.07028e-08,1.1512
1.07261e-08,1.1737
1.07494e-08,1.1992
1.07726e-08,1.2262
1.07959e-08,1.2531
1.08192e-08,1.2743
1.08424e-08,1.2828
1.08657e-08,1.2770
1.08890e-08,1.2612
1.09122e-08,1.2413
1.09355e-08,1.2210
1.09588e-08,1.2019
1.09820e-08,1.1850
1.10053e-08,1.1718
1.10286e-08,1.1655
1.10518e-08,1.1684
1.10751e-08,1.1803
1.10984e-08,1.1975
1.11216e-08,1.2153
1.11449e-08,1.2300
1.11682e-08,1.2387
1.11914e-08,1.2399
1.12147e-08,1.2342
1.12380e-08,1.2238
1.12612e-08,1.2107
1.12845e-08,1.1954
1.13078e-08,1.1786
1.13310e-08,1.1637
1.13543e-08,1.1550
1.13776e-08,1.1549
1.14008e-08,1.1625
1.14241e-08,1.1750
1.14474e-08,1.1896
1.14706e-08,1.2039
1.14939e-08,1.2164
1.15172e-08,1.2259
1.15404e-08,1.2313
1.15637e-08,1.2313
1.15870e-08,1.2257
1.16102e-08,1.2152
1.16335e-08,1.2021
1.16568e-08,1.1891
1.16800e-08,1.1795
1.17033e-08,1.1751
1.17266e-08,1.1761
1.17498e-08,1.1810
1.17731e-08,1.1884
1.17964e-08,1.1978
1.18196e-08,1.2085
1.18429e-08,1.2190
1.18662e-08,1.2268
1.18894e-08,1.2299
1.19127e-08,1.2278
1.19360e-08,1.2213
1.19592e-08,1.2119
1.19825e-08,1.2015
1.20058e-08,1.1895
1.20290e-08,1.1649
1.20523e-08,1.1140
1.20756e-08,1.0188
1.20988e-08,0.9016
1.21221e-08,0.7965
1.21454e-08,0.6919
1.21686e-08,0.5556
1.21919e-08,0.4063
1.22152e-08,0.2756
1.22384e-08,0.1634
1.22617e-08,0.0642
1.22850e-08,-0.0141
1.23082e-08,-0.0664
1.23315e-08,-0.1010
1.23548e-08,-0.1291
1.23780e-08,-0.1533
1.24013e-08,-0.1720
1.24246e-08,-0.1845
1.24478e-08,-0.1909
1.24711e-08,-0.1949
1.24944e-08,-0.2039
1.25176e-08,-0.2206
1.25409e-08,-0.2360
1.25642e-08,-0.2374
1.25874e-08,-0.2199
1.26107e-08,-0.1914
1.26340e-08,-0.1619
1.26572e-08,-0.1288
1.26805e-08,-0.0857
1.27038e-08,-0.0382
1.27270e-08,0.0045
1.27503e-08,0.0422
1.27736e-08,0.0754
1.27968e-08,0.0978
1.28201e-08,0.1039
1.28434e-08,0.0980
1.28667e-08,0.0888
1.28899e-08,0.0810
1.29132e-08,0.0743
1.29365e-08,0.0675
1.29597e-08,0.0599
1.29830e-08,0.0534
1.30063e-08,0.0524
1.30295e-08,0.0592
1.30528e-08,0.0699
1.30761e-08,0.0776
1.30993e-08,0.0783
1.31226e-08,0.0729
1.31459e-08,0.0630
1.31691e-08,0.0484
1.31924e-08,0.0298
1.32157e-08,0.0103
1.32389e-08,-0.0077
1.32622e-08,-0.0251
1.32855e-08,-0.0416
1.33087e-08,-0.0529
1.33320e-08,-0.0548
1.33553e-08,-0.0482
1.33785e-08,-0.0378
1.34018e-08,-0.0273
1.34251e-08,-0.0182
1.34483e-08,-0.0105
1.34716e-08,-0.0040
1.34949e-08,0.0009
1.35181e-08,0.0023
1.35414e-08,-0.0011
1.35647e-08,-0.0082
1.35879e-08,-0.0164
1.36112e-08,-0.0231
1.36345e-08,-0.0266
1.36577e-08,-0.0256
1.36810e-08,-0.0202
1.37043e-08,-0.0117
1.37275e-08,-0.0027
1.37508e-08,0.0060
1.37741e-08,0.0150
1.37973e-08,0.0241
1.38206e-08,0.0312
1.38439e-08,0.0336
1.38671e-08,0.0307
1.38904e-08,0.0242
1.39137e-08,0.0161
1.39369e-08,0.0081
1.39602e-08,0.0014
1.39835e-08,-0.0037
1.40067e-08,-0.0070
1.40300e-08,-0.0081
1.40533e-08,-0.0067
1.40765e-08,-0.0027
1.40998e-08,0.0033
1.41231e-08,0.0098
1.41463e-08,0.0151
1.41696e-08,0.0176
1.41929e-08,0.0165
1.42161e-08,0.0129
1.42394e-08,0.0081
1.42627e-08,0.0031
1.42859e-08,-0.0022
1.43092e-08,-0.0077
1.43325e-08,-0.0125
1.43557e-08,-0.0152
1.43790e-08,-0.0150
1.44023e-08,-0.0121
1.44255e-08,-0.0071
1.44488e-08,-0.0013
1.44721e-08,0.0041
1.44953e-08,0.0082
1.45186e-08,0.0108
1.45419e-08,0.0118
1.45651e-08,0.0113
1.45884e-08,0.0093
1.46117e-08,0.0056
1.46349e-08,0.0010
1.46582e-08,-0.0036
1.46815e-08,-0.0069
1.47047e-08,-0.0079
1.47280e-08,-0.0068
1.47513e-08,-0.0043
1.47745e-08,-0.0012
1.47978e-08,0.0023
1.48211e-08,0.0058
1.48443e-08,0.0091
1.48676e-08,0.0115
1.48909e-08,0.0125
1.49141e-08,0.0118
1.49374e-08,0.0092
1.49607e-08,0.0056
1.49839e-08,0.0016
1.50072e-08,-0.0018
1.50305e-08,-0.0040
1.50537e-08,-0.0051
1.50770e-08,-0.0051
1.51003e-08,-0.0041
1.51236e-08,-0.0021
1.51468e-08,0.0008
1.51701e-08,0.0041
1.51934e-08,0.0069
1.52166e-08,0.0086
1.52399e-08,0.0089
1.52632e-08,0.0079
1.52864e-08,0.0061
1.53097e-08,0.0038
1.53330e-08,0.0014
1.53562e-08,0.0011
1.53795e-08,0.0122
1.54028e-08,0.0553
1.54260e-08,0.1471
1.54493e-08,0.2590
1.54726e-08,0.3634
1.54958e-08,0.4778
1.55191e-08,0.6233
1.55424e-08,0.7739
1.55656e-08,0.9043
1.55889e-08,1.0158
1.56122e-08,1.1112
1.56354e-08,1.1812
1.56587e-08,1.2231
1.56820e-08,1.2472
1.57052e-08,1.2646
1.57285e-08,1.2788
1.57518e-08,1.2907
1.57750e-08,1.3008
1.57983e-08,1.3090
1.58216e-08,1.3180
1.58448e-08,1.3339
1.58681e-08,1.3577
1.58914e-08,1.3798
1.59146e-08,1.3864
1.59379e-08,1.3725
1.59612e-08,1.3473
1.59844e-08,1.3191
1.60077e-08,1.2835
1.60310e-08,1.2374
1.60542e-08,1.1896
1.60775e-08,1.1488
1.61008e-08,1.1146
1.61240e-08,1.0874
1.61473e-08,1.0742
1.61706e-08,1.0760
1.61938e-08,1.0754
1.62171e-08,1.0489
1.62404e-08,0.9735
1.62636e-08,0.8699
1.62869e-08,0.7728
1.63102e-08,0.6708
1.63334e-08,0.5320
1.63567e-08,0.3736
1.63800e-08,0.2283
1.64032e-08,0.1012
1.64265e-08,-0.0058
1.64498e-08,-0.0824
1.64730e-08,-0.1247
1.64963e-08,-0.1425
1.65196e-08,-0.1476
1.65428e-08,-0.1453
1.65661e-08,-0.1395
1.65894e-08,-0.1330
1.66126e-08,-0.1256
1.66359e-08,-0.1212
1.66592e-08,-0.1308
1.66824e-08,-0.1585
1.67057e-08,-0.1923
1.67290e-08,-0.2141
1.67522e-08,-0.2146
1.67755e-08,-0.1996
1.67988e-08,-0.1784
1.68220e-08,-0.1483
1.68453e-08,-0.1031
1.68686e-08,-0.0484
1.68918e-08,0.0058
1.69151e-08,0.0565
1.69384e-08,0.1010
1.69616e-08,0.1304
1.69849e-08,0.1378
1.70082e-08,0.1268
1.70314e-08,0.1066
1.70547e-08,0.0843
1.70780e-08,0.0634
1.71012e-08,0.0444
1.71245e-08,0.0271
1.71478e-08,0.0140
1.71710e-08,0.0115
1.71943e-08,0.0231
1.72176e-08,0.0439
