.HEADER
..NAMES
Time,V U2.E7
.DATA
7.8410e-09,1.1276
7.8642e-09,1.1390
7.8875e-09,1.1489
7.9108e-09,1.1578
7.9340e-09,1.1756
7.9573e-09,1.1908
7.9806e-09,1.1958
8.0038e-09,1.1999
8.0271e-09,1.2001
8.0504e-09,1.2012
8.0736e-09,1.2123
8.0969e-09,1.2206
8.1202e-09,1.2249
8.1435e-09,1.2230
8.1667e-09,1.2116
8.1900e-09,1.2024
8.2133e-09,1.1949
8.2365e-09,1.1902
8.2598e-09,1.1894
8.2831e-09,1.1884
8.3063e-09,1.1887
8.3296e-09,1.1898
8.3529e-09,1.1898
8.3761e-09,1.1901
8.3994e-09,1.1925
8.4227e-09,1.1955
8.4459e-09,1.1970
8.4692e-09,1.1864
8.4925e-09,1.1493
8.5157e-09,1.0739
8.5390e-09,0.9805
8.5623e-09,0.8762
8.5855e-09,0.7848
8.6088e-09,0.7267
8.6321e-09,0.6850
8.6553e-09,0.6615
8.6786e-09,0.6458
8.7019e-09,0.6240
8.7251e-09,0.6009
8.7484e-09,0.5797
8.7717e-09,0.5580
8.7949e-09,0.5448
8.8182e-09,0.5406
8.8415e-09,0.5346
8.8647e-09,0.5276
8.8880e-09,0.5219
8.9113e-09,0.5381
8.9345e-09,0.6046
8.9578e-09,0.6990
8.9811e-09,0.8272
9.0043e-09,0.9501
9.0276e-09,1.0306
9.0509e-09,1.0937
9.0741e-09,1.1214
9.0974e-09,1.1334
9.1207e-09,1.1521
9.1439e-09,1.1642
9.1672e-09,1.1768
9.1905e-09,1.1951
9.2137e-09,1.2024
9.2370e-09,1.2000
9.2603e-09,1.1997
9.2835e-09,1.1921
9.3068e-09,1.1832
9.3301e-09,1.1573
9.3533e-09,1.0901
9.3766e-09,1.0020
9.3999e-09,0.8892
9.4231e-09,0.7862
9.4464e-09,0.7207
9.4697e-09,0.6722
9.4929e-09,0.6487
9.5162e-09,0.6328
9.5395e-09,0.6088
9.5627e-09,0.5861
9.5860e-09,0.5638
9.6093e-09,0.5395
9.6325e-09,0.5274
9.6558e-09,0.5264
9.6791e-09,0.5248
9.7023e-09,0.5254
9.7256e-09,0.5163
9.7489e-09,0.4988
9.7721e-09,0.4880
9.7954e-09,0.4818
9.8187e-09,0.4863
9.8419e-09,0.4953
9.8652e-09,0.4991
9.8885e-09,0.5025
9.9117e-09,0.5047
9.9350e-09,0.5088
9.9583e-09,0.5165
9.9815e-09,0.5236
1.00048e-08,0.5285
1.00281e-08,0.5314
1.00513e-08,0.5299
1.00746e-08,0.5250
1.00979e-08,0.5202
1.01211e-08,0.5154
1.01444e-08,0.5156
1.01677e-08,0.5200
1.01909e-08,0.5233
1.02142e-08,0.5249
1.02375e-08,0.5220
1.02607e-08,0.5180
1.02840e-08,0.5170
1.03073e-08,0.5177
1.03305e-08,0.5194
1.03538e-08,0.5201
1.03771e-08,0.5184
1.04003e-08,0.5159
1.04236e-08,0.5137
1.04469e-08,0.5116
1.04702e-08,0.5106
1.04934e-08,0.5110
1.05167e-08,0.5119
1.05400e-08,0.5151
1.05632e-08,0.5281
1.05865e-08,0.5774
1.06098e-08,0.6600
1.06330e-08,0.7681
1.06563e-08,0.8984
1.06796e-08,0.9994
1.07028e-08,1.0687
1.07261e-08,1.1149
1.07494e-08,1.1262
1.07726e-08,1.1345
1.07959e-08,1.1460
1.08192e-08,1.1541
1.08424e-08,1.1694
1.08657e-08,1.1875
1.08890e-08,1.1950
1.09122e-08,1.1987
1.09355e-08,1.2010
1.09588e-08,1.1999
1.09820e-08,1.2084
1.10053e-08,1.2186
1.10286e-08,1.2238
1.10518e-08,1.2252
1.10751e-08,1.2156
1.10984e-08,1.2047
1.11216e-08,1.1968
1.11449e-08,1.1905
1.11682e-08,1.1892
1.11914e-08,1.1887
1.12147e-08,1.1884
1.12380e-08,1.1895
1.12612e-08,1.1899
1.12845e-08,1.1897
1.13078e-08,1.1917
1.13310e-08,1.1945
1.13543e-08,1.1982
1.13776e-08,1.2021
1.14008e-08,1.2015
1.14241e-08,1.1984
1.14474e-08,1.1949
1.14706e-08,1.1921
1.14939e-08,1.1936
1.15172e-08,1.1958
1.15404e-08,1.1972
1.15637e-08,1.1982
1.15870e-08,1.1977
1.16102e-08,1.1973
1.16335e-08,1.1974
1.16568e-08,1.1975
1.16800e-08,1.1982
1.17033e-08,1.1995
1.17266e-08,1.2004
1.17498e-08,1.2006
1.17731e-08,1.1998
1.17964e-08,1.1978
1.18196e-08,1.1969
1.18429e-08,1.1972
1.18662e-08,1.1982
1.18894e-08,1.1994
1.19127e-08,1.1992
1.19360e-08,1.1986
1.19592e-08,1.1982
1.19825e-08,1.1981
1.20058e-08,1.1986
1.20290e-08,1.1990
1.20523e-08,1.1991
1.20756e-08,1.1992
1.20988e-08,1.1993
1.21221e-08,1.1989
1.21454e-08,1.1985
1.21686e-08,1.1981
1.21919e-08,1.1964
1.22152e-08,1.1848
1.22384e-08,1.1546
1.22617e-08,1.0860
1.22850e-08,0.9970
1.23082e-08,0.8947
1.23315e-08,0.7977
1.23548e-08,0.7339
1.23780e-08,0.6901
1.24013e-08,0.6641
1.24246e-08,0.6491
1.24478e-08,0.6287
1.24711e-08,0.6050
1.24944e-08,0.5835
1.25176e-08,0.5608
1.25409e-08,0.5447
1.25642e-08,0.5392
1.25874e-08,0.5339
1.26107e-08,0.5282
1.26340e-08,0.5193
1.26572e-08,0.5044
1.26805e-08,0.4940
1.27038e-08,0.4898
1.27270e-08,0.4912
1.27503e-08,0.4971
1.27736e-08,0.5005
1.27968e-08,0.5030
1.28201e-08,0.5061
1.28434e-08,0.5105
1.28667e-08,0.5172
1.28899e-08,0.5237
1.29132e-08,0.5277
1.29365e-08,0.5293
1.29597e-08,0.5277
1.29830e-08,0.5232
1.30063e-08,0.5191
1.30295e-08,0.5167
1.30528e-08,0.5228
1.30761e-08,0.5581
1.30993e-08,0.6355
1.31226e-08,0.7341
1.31459e-08,0.8571
1.31691e-08,0.9706
1.31924e-08,1.0464
1.32157e-08,1.1043
1.32389e-08,1.1285
1.32622e-08,1.1354
1.32855e-08,1.1461
1.33087e-08,1.1522
1.33320e-08,1.1613
1.33553e-08,1.1786
1.33785e-08,1.1895
1.34018e-08,1.1938
1.34251e-08,1.1989
1.34483e-08,1.1957
1.34716e-08,1.1859
1.34949e-08,1.1555
1.35181e-08,1.0849
1.35414e-08,0.9945
1.35647e-08,0.8836
1.35879e-08,0.7833
1.36112e-08,0.7185
1.36345e-08,0.6704
1.36577e-08,0.6456
1.36810e-08,0.6293
1.37043e-08,0.6065
1.37275e-08,0.5848
1.37508e-08,0.5637
1.37741e-08,0.5410
1.37973e-08,0.5295
1.38206e-08,0.5281
1.38439e-08,0.5259
1.38671e-08,0.5249
1.38904e-08,0.5157
1.39137e-08,0.4993
1.39369e-08,0.4890
1.39602e-08,0.4833
1.39835e-08,0.4868
1.40067e-08,0.4945
1.40300e-08,0.4981
1.40533e-08,0.5019
1.40765e-08,0.5051
1.40998e-08,0.5099
1.41231e-08,0.5176
1.41463e-08,0.5244
1.41696e-08,0.5289
1.41929e-08,0.5313
1.42161e-08,0.5295
1.42394e-08,0.5244
1.42627e-08,0.5198
1.42859e-08,0.5156
1.43092e-08,0.5160
1.43325e-08,0.5201
1.43557e-08,0.5229
1.43790e-08,0.5242
1.44023e-08,0.5218
1.44255e-08,0.5183
1.44488e-08,0.5176
1.44721e-08,0.5181
1.44953e-08,0.5195
1.45186e-08,0.5199
1.45419e-08,0.5182
1.45651e-08,0.5158
1.45884e-08,0.5137
1.46117e-08,0.5116
1.46349e-08,0.5106
1.46582e-08,0.5110
1.46815e-08,0.5120
1.47047e-08,0.5150
1.47280e-08,0.5277
1.47513e-08,0.5772
1.47745e-08,0.6604
1.47978e-08,0.7690
1.48211e-08,0.8994
1.48443e-08,1.0002
1.48676e-08,1.0689
1.48909e-08,1.1147
1.49141e-08,1.1263
1.49374e-08,1.1345
1.49607e-08,1.1460
1.49839e-08,1.1542
1.50072e-08,1.1695
1.50305e-08,1.1876
1.50537e-08,1.1952
1.50770e-08,1.1987
1.51003e-08,1.2008
1.51236e-08,1.1999
1.51468e-08,1.2084
1.51701e-08,1.2188
1.51934e-08,1.2240
1.52166e-08,1.2250
1.52399e-08,1.2154
1.52632e-08,1.2046
1.52864e-08,1.1967
1.53097e-08,1.1906
1.53330e-08,1.1892
1.53562e-08,1.1886
1.53795e-08,1.1884
1.54028e-08,1.1895
1.54260e-08,1.1899
1.54493e-08,1.1897
1.54726e-08,1.1916
1.54958e-08,1.1945
1.55191e-08,1.1976
1.55424e-08,1.1917
1.55656e-08,1.1666
1.55889e-08,1.1017
1.56122e-08,1.0123
1.56354e-08,0.9102
1.56587e-08,0.8101
1.56820e-08,0.7408
1.57052e-08,0.6953
1.57285e-08,0.6663
1.57518e-08,0.6501
1.57750e-08,0.6313
1.57983e-08,0.6077
1.58216e-08,0.5861
1.58448e-08,0.5644
1.58681e-08,0.5475
1.58914e-08,0.5411
1.59146e-08,0.5367
1.59379e-08,0.5299
1.59612e-08,0.5205
1.59844e-08,0.5057
1.60077e-08,0.4942
1.60310e-08,0.4899
1.60542e-08,0.4906
1.60775e-08,0.4956
1.61008e-08,0.4991
1.61240e-08,0.5014
1.61473e-08,0.5045
1.61706e-08,0.5091
1.61938e-08,0.5158
1.62171e-08,0.5226
1.62404e-08,0.5273
1.62636e-08,0.5292
1.62869e-08,0.5279
1.63102e-08,0.5233
1.63334e-08,0.5186
1.63567e-08,0.5159
1.63800e-08,0.5162
1.64032e-08,0.5199
1.64265e-08,0.5232
1.64498e-08,0.5241
1.64730e-08,0.5226
1.64963e-08,0.5197
1.65196e-08,0.5184
