.HEADER
..NAMES
Time,V U2.N7
.DATA
9.2137e-09,1.1912
9.2370e-09,1.1884
9.2603e-09,1.1883
9.2835e-09,1.1920
9.3068e-09,1.1979
9.3301e-09,1.2023
9.3533e-09,1.2019
9.3766e-09,1.1967
9.3999e-09,1.1893
9.4231e-09,1.1826
9.4464e-09,1.1778
9.4697e-09,1.1752
9.4929e-09,1.1737
9.5162e-09,1.1656
9.5395e-09,1.1355
9.5627e-09,1.0629
9.5860e-09,0.9382
9.6093e-09,0.8027
9.6325e-09,0.6755
9.6558e-09,0.5365
9.6791e-09,0.3826
9.7023e-09,0.2365
9.7256e-09,0.1124
9.7489e-09,0.0185
9.7721e-09,-0.0451
9.7954e-09,-0.0828
9.8187e-09,-0.1067
9.8419e-09,-0.1239
9.8652e-09,-0.1387
9.8885e-09,-0.1530
9.9117e-09,-0.1682
9.9350e-09,-0.1807
9.9583e-09,-0.1836
9.9815e-09,-0.1780
1.00048e-08,-0.1706
1.00281e-08,-0.1655
1.00513e-08,-0.1547
1.00746e-08,-0.1238
1.00979e-08,-0.0726
1.01211e-08,-0.0158
1.01444e-08,0.0351
1.01677e-08,0.0770
1.01909e-08,0.1093
1.02142e-08,0.1311
1.02375e-08,0.1425
1.02607e-08,0.1430
1.02840e-08,0.1331
1.03073e-08,0.1161
1.03305e-08,0.0967
1.03538e-08,0.0797
1.03771e-08,0.0754
1.04003e-08,0.1039
1.04236e-08,0.1914
1.04469e-08,0.3159
1.04702e-08,0.4358
1.04934e-08,0.5519
1.05167e-08,0.6805
1.05400e-08,0.8114
1.05632e-08,0.9289
1.05865e-08,1.0220
1.06098e-08,1.0855
1.06330e-08,1.1209
1.06563e-08,1.1397
1.06796e-08,1.1551
1.07028e-08,1.1747
1.07261e-08,1.2013
1.07494e-08,1.2347
1.07726e-08,1.2716
1.07959e-08,1.3017
1.08192e-08,1.3174
1.08424e-08,1.3209
1.08657e-08,1.3206
1.08890e-08,1.3189
1.09122e-08,1.3032
1.09355e-08,1.2640
1.09588e-08,1.2107
1.09820e-08,1.1593
1.10053e-08,1.1184
