.HEADER
..NAMES
Time,V U2.N8
.DATA
1.75899e-08,1.3185
1.76131e-08,1.3243
1.76364e-08,1.3206
1.76597e-08,1.3023
1.76829e-08,1.2700
1.77062e-08,1.2290
1.77295e-08,1.1854
1.77527e-08,1.1434
1.77760e-08,1.1073
1.77993e-08,1.0811
1.78225e-08,1.0668
1.78458e-08,1.0595
1.78691e-08,1.0493
1.78923e-08,1.0176
1.79156e-08,0.9554
1.79389e-08,0.8700
1.79621e-08,0.7710
1.79854e-08,0.6566
1.80087e-08,0.5281
1.80319e-08,0.3933
1.80552e-08,0.2596
1.80785e-08,0.1377
1.81017e-08,0.0355
1.81250e-08,-0.0411
1.81483e-08,-0.0956
1.81715e-08,-0.1328
1.81948e-08,-0.1537
1.82181e-08,-0.1590
1.82413e-08,-0.1544
1.82646e-08,-0.1472
1.82879e-08,-0.1382
1.83111e-08,-0.1269
1.83344e-08,-0.1169
1.83577e-08,-0.1132
1.83809e-08,-0.1181
1.84042e-08,-0.1301
1.84275e-08,-0.1433
1.84507e-08,-0.1488
1.84740e-08,-0.1400
1.84973e-08,-0.1166
1.85205e-08,-0.0837
1.85438e-08,-0.0461
1.85671e-08,-0.0066
1.85903e-08,0.0322
1.86136e-08,0.0668
1.86369e-08,0.0938
1.86601e-08,0.1119
1.86834e-08,0.1213
1.87067e-08,0.1222
1.87299e-08,0.1151
1.87532e-08,0.1011
1.87765e-08,0.0826
1.87997e-08,0.0632
1.88230e-08,0.0461
1.88463e-08,0.0329
1.88695e-08,0.0235
1.88928e-08,0.0170
1.89161e-08,0.0136
1.89393e-08,0.0151
1.89626e-08,0.0217
1.89859e-08,0.0306
1.90091e-08,0.0372
1.90324e-08,0.0378
1.90557e-08,0.0311
1.90789e-08,0.0180
1.91022e-08,0.0011
1.91255e-08,-0.0164
1.91487e-08,-0.0315
1.91720e-08,-0.0422
1.91953e-08,-0.0476
1.92185e-08,-0.0483
1.92418e-08,-0.0458
1.92651e-08,-0.0413
1.92883e-08,-0.0350
1.93116e-08,-0.0263
1.93349e-08,-0.0154
1.93581e-08,-0.0042
1.93814e-08,0.0052
1.94047e-08,0.0115
1.94279e-08,0.0142
1.94512e-08,0.0140
1.94745e-08,0.0117
1.94977e-08,0.0076
1.95210e-08,0.0033
1.95443e-08,0.0058
1.95675e-08,0.0316
1.95908e-08,0.0941
1.96141e-08,0.1888
1.96373e-08,0.3040
1.96606e-08,0.4357
1.96839e-08,0.5778
1.97071e-08,0.7222
1.97304e-08,0.8593
1.97537e-08,0.9825
1.97769e-08,1.0850
1.98002e-08,1.1604
1.98235e-08,1.2112
1.98468e-08,1.2442
1.98700e-08,1.2634
1.98933e-08,1.2708
1.99166e-08,1.2723
1.99398e-08,1.2755
1.99631e-08,1.2821
1.99864e-08,1.2884
2.00096e-08,1.2934
2.00329e-08,1.2991
2.00562e-08,1.3064
2.00794e-08,1.3152
2.01027e-08,1.3230
2.01260e-08,1.3239
2.01492e-08,1.3116
2.01725e-08,1.2844
2.01958e-08,1.2460
2.02190e-08,1.2027
2.02423e-08,1.1596
2.02656e-08,1.1207
2.02888e-08,1.0902
2.03121e-08,1.0712
2.03354e-08,1.0641
2.03586e-08,1.0669
2.03819e-08,1.0772
2.04052e-08,1.0932
2.04284e-08,1.1131
2.04517e-08,1.1345
2.04750e-08,1.1543
2.04982e-08,1.1698
2.05215e-08,1.1791
2.05448e-08,1.1830
2.05680e-08,1.1836
2.05913e-08,1.1832
2.06146e-08,1.1816
2.06378e-08,1.1784
2.06611e-08,1.1748
2.06844e-08,1.1735
2.07076e-08,1.1769
2.07309e-08,1.1860
2.07542e-08,1.2006
2.07774e-08,1.2186
2.08007e-08,1.2367
2.08240e-08,1.2514
2.08472e-08,1.2602
2.08705e-08,1.2617
2.08938e-08,1.2564
2.09170e-08,1.2465
2.09403e-08,1.2350
2.09636e-08,1.2238
2.09868e-08,1.2131
2.10101e-08,1.2032
2.10334e-08,1.1946
2.10566e-08,1.1886
2.10799e-08,1.1859
2.11032e-08,1.1867
2.11264e-08,1.1901
2.11497e-08,1.1949
2.11730e-08,1.1999
2.11962e-08,1.2046
2.12195e-08,1.2083
2.12428e-08,1.2102
2.12660e-08,1.2096
2.12893e-08,1.2064
2.13126e-08,1.2008
2.13358e-08,1.1937
2.13591e-08,1.1863
2.13824e-08,1.1801
2.14056e-08,1.1769
2.14289e-08,1.1779
2.14522e-08,1.1827
2.14754e-08,1.1900
2.14987e-08,1.1977
2.15220e-08,1.2042
2.15452e-08,1.2087
2.15685e-08,1.2115
2.15918e-08,1.2132
2.16150e-08,1.2140
2.16383e-08,1.2138
2.16616e-08,1.2123
2.16848e-08,1.2097
2.17081e-08,1.2062
2.17314e-08,1.2022
2.17546e-08,1.1985
2.17779e-08,1.1959
2.18012e-08,1.1950
2.18244e-08,1.1959
2.18477e-08,1.1983
2.18710e-08,1.2016
2.18942e-08,1.2053
2.19175e-08,1.2086
2.19408e-08,1.2112
2.19640e-08,1.2123
2.19873e-08,1.2114
2.20106e-08,1.2043
2.20338e-08,1.1841
2.20571e-08,1.1355
2.20804e-08,1.0521
2.21037e-08,0.9434
2.21269e-08,0.8224
2.21502e-08,0.6893
2.21735e-08,0.5480
2.21967e-08,0.4067
2.22200e-08,0.2712
2.22433e-08,0.1497
2.22665e-08,0.0492
2.22898e-08,-0.0238
2.23131e-08,-0.0729
2.23363e-08,-0.1056
2.23596e-08,-0.1262
2.23829e-08,-0.1374
2.24061e-08,-0.1456
2.24294e-08,-0.1565
2.24527e-08,-0.1678
2.24759e-08,-0.1748
2.24992e-08,-0.1778
2.25225e-08,-0.1795
2.25457e-08,-0.1814
2.25690e-08,-0.1838
2.25923e-08,-0.1837
2.26155e-08,-0.1755
2.26388e-08,-0.1540
2.26621e-08,-0.1194
2.26853e-08,-0.0769
2.27086e-08,-0.0321
2.27319e-08,0.0112
2.27551e-08,0.0504
2.27784e-08,0.0823
2.28017e-08,0.1047
2.28249e-08,0.1174
2.28482e-08,0.1217
2.28715e-08,0.1228
2.28947e-08,0.1326
2.29180e-08,0.1680
2.29413e-08,0.2310
2.29645e-08,0.3162
2.29878e-08,0.4205
2.30111e-08,0.5422
2.30343e-08,0.6732
2.30576e-08,0.8027
2.30809e-08,0.9241
2.31041e-08,1.0315
2.31274e-08,1.1182
2.31507e-08,1.1817
2.31739e-08,1.2241
2.31972e-08,1.2482
2.32205e-08,1.2552
2.32437e-08,1.2501
2.32670e-08,1.2422
2.32903e-08,1.2372
2.33135e-08,1.2350
2.33368e-08,1.2355
2.33601e-08,1.2409
2.33833e-08,1.2521
2.34066e-08,1.2674
2.34299e-08,1.2838
2.34531e-08,1.2965
2.34764e-08,1.2998
2.34997e-08,1.2898
2.35229e-08,1.2673
2.35462e-08,1.2356
2.35695e-08,1.1988
2.35927e-08,1.1607
2.36160e-08,1.1262
2.36393e-08,1.0999
2.36625e-08,1.0830
2.36858e-08,1.0684
2.37091e-08,1.0463
2.37323e-08,0.9965
2.37556e-08,0.9222
2.37789e-08,0.8299
2.38021e-08,0.7278
2.38254e-08,0.6110
2.38487e-08,0.4840
2.38719e-08,0.3530
2.38952e-08,0.2249
2.39185e-08,0.1085
2.39417e-08,0.0126
2.39650e-08,-0.0595
2.39883e-08,-0.1114
2.40115e-08,-0.1464
2.40348e-08,-0.1647
2.40581e-08,-0.1690
2.40813e-08,-0.1667
2.41046e-08,-0.1620
2.41279e-08,-0.1532
2.41511e-08,-0.1410
2.41744e-08,-0.1299
2.41977e-08,-0.1247
2.42209e-08,-0.1269
2.42442e-08,-0.1350
2.42675e-08,-0.1425
2.42907e-08,-0.1409
2.43140e-08,-0.1260
2.43373e-08,-0.0995
2.43605e-08,-0.0663
2.43838e-08,-0.0301
2.44071e-08,0.0068
2.44303e-08,0.0419
2.44536e-08,0.0723
2.44769e-08,0.0959
2.45002e-08,0.1119
2.45234e-08,0.1203
2.45467e-08,0.1206
2.45700e-08,0.1128
