.HEADER
..NAMES
Time,V U2.B7&A7
.DATA
1.10053e-08,0.6184
1.10286e-08,0.6413
1.10518e-08,0.6442
1.10751e-08,0.6491
1.10984e-08,0.6683
1.11216e-08,0.6884
1.11449e-08,0.6956
1.11682e-08,0.6808
1.11914e-08,0.6212
1.12147e-08,0.4691
1.12380e-08,0.2336
1.12612e-08,0.0241
1.12845e-08,-0.1272
1.13078e-08,-0.2610
1.13310e-08,-0.3833
1.13543e-08,-0.4811
1.13776e-08,-0.5434
1.14008e-08,-0.5865
1.14241e-08,-0.6237
1.14474e-08,-0.6413
1.14706e-08,-0.6459
1.14939e-08,-0.6557
1.15172e-08,-0.6746
1.15404e-08,-0.6894
1.15637e-08,-0.6940
1.15870e-08,-0.6791
1.16102e-08,-0.6138
1.16335e-08,-0.4465
1.16568e-08,-0.2056
1.16800e-08,-0.0060
1.17033e-08,0.1386
1.17266e-08,0.2754
1.17498e-08,0.4017
1.17731e-08,0.4959
1.17964e-08,0.5478
1.18196e-08,0.5863
1.18429e-08,0.6250
1.18662e-08,0.6428
1.18894e-08,0.6443
1.19127e-08,0.6520
1.19360e-08,0.6729
1.19592e-08,0.6909
1.19825e-08,0.6949
1.20058e-08,0.6735
1.20290e-08,0.6001
1.20523e-08,0.4261
1.20756e-08,0.1872
1.20988e-08,-0.0087
1.21221e-08,-0.1538
1.21454e-08,-0.2866
1.21686e-08,-0.4050
1.21919e-08,-0.4962
1.22152e-08,-0.5523
1.22384e-08,-0.5947
1.22617e-08,-0.6291
1.22850e-08,-0.6426
1.23082e-08,-0.6470
1.23315e-08,-0.6590
1.23548e-08,-0.6783
1.23780e-08,-0.6911
1.24013e-08,-0.6932
1.24246e-08,-0.6714
1.24478e-08,-0.5901
1.24711e-08,-0.4009
1.24944e-08,-0.1606
1.25176e-08,0.0248
1.25409e-08,0.1652
1.25642e-08,0.3018
1.25874e-08,0.4234
1.26107e-08,0.5089
1.26340e-08,0.5552
1.26572e-08,0.5946
1.26805e-08,0.6306
1.27038e-08,0.6436
1.27270e-08,0.6447
1.27503e-08,0.6555
1.27736e-08,0.6773
1.27968e-08,0.6929
1.28201e-08,0.6932
1.28434e-08,0.6644
1.28667e-08,0.5747
1.28899e-08,0.3801
1.29132e-08,0.1431
1.29365e-08,-0.0392
1.29597e-08,-0.1801
1.29830e-08,-0.3114
1.30063e-08,-0.4255
1.30295e-08,-0.5096
1.30528e-08,-0.5607
1.30761e-08,-0.6026
1.30993e-08,-0.6334
1.31226e-08,-0.6435
1.31459e-08,-0.6484
1.31691e-08,-0.6627
1.31924e-08,-0.6817
1.32157e-08,-0.6924
1.32389e-08,-0.6916
1.32622e-08,-0.6616
1.32855e-08,-0.5618
1.33087e-08,-0.3531
1.33320e-08,-0.1184
1.33553e-08,0.0536
1.33785e-08,0.1919
1.34018e-08,0.3276
1.34251e-08,0.4436
1.34483e-08,0.5203
1.34716e-08,0.5624
1.34949e-08,0.6028
1.35181e-08,0.6351
1.35414e-08,0.6439
1.35647e-08,0.6457
1.35879e-08,0.6595
1.36112e-08,0.6814
1.36345e-08,0.6943
1.36577e-08,0.6905
1.36810e-08,0.6531
1.37043e-08,0.5447
1.37275e-08,0.3324
1.37508e-08,0.1018
1.37741e-08,-0.0682
1.37973e-08,-0.2064
1.38206e-08,-0.3357
1.38439e-08,-0.4448
1.38671e-08,-0.5215
1.38904e-08,-0.5690
1.39137e-08,-0.6103
1.39369e-08,-0.6369
1.39602e-08,-0.6442
1.39835e-08,-0.6503
1.40067e-08,-0.6666
