.HEADER
..NAMES
Time,V U2.N3
.DATA
1.00048e-08,-0.0074
1.00281e-08,0.0021
1.00513e-08,0.0070
1.00746e-08,0.0085
1.00979e-08,0.0061
1.01211e-08,-0.0004
1.01444e-08,-0.0095
1.01677e-08,-0.0174
1.01909e-08,-0.0202
1.02142e-08,-0.0170
1.02375e-08,-0.0092
1.02607e-08,0.0006
1.02840e-08,0.0104
1.03073e-08,0.0193
1.03305e-08,0.0271
1.03538e-08,0.0340
1.03771e-08,0.0458
1.04003e-08,0.0778
1.04236e-08,0.1553
1.04469e-08,0.2663
1.04702e-08,0.3792
1.04934e-08,0.4942
1.05167e-08,0.6292
1.05400e-08,0.7742
1.05632e-08,0.9115
1.05865e-08,1.0306
1.06098e-08,1.1231
1.06330e-08,1.1867
1.06563e-08,1.2268
1.06796e-08,1.2533
1.07028e-08,1.2711
1.07261e-08,1.2838
1.07494e-08,1.2938
1.07726e-08,1.3043
1.07959e-08,1.3130
1.08192e-08,1.3153
1.08424e-08,1.3114
1.08657e-08,1.3078
1.08890e-08,1.3079
1.09122e-08,1.3031
1.09355e-08,1.2810
1.09588e-08,1.2420
1.09820e-08,1.1976
1.10053e-08,1.1556
1.10286e-08,1.1186
1.10518e-08,1.0882
1.10751e-08,1.0652
1.10984e-08,1.0506
1.11216e-08,1.0469
1.11449e-08,1.0556
1.11682e-08,1.0736
1.11914e-08,1.0957
1.12147e-08,1.1179
1.12380e-08,1.1373
1.12612e-08,1.1511
1.12845e-08,1.1572
1.13078e-08,1.1582
1.13310e-08,1.1599
1.13543e-08,1.1662
1.13776e-08,1.1752
1.14008e-08,1.1828
1.14241e-08,1.1889
1.14474e-08,1.1971
1.14706e-08,1.2103
1.14939e-08,1.2275
1.15172e-08,1.2451
1.15404e-08,1.2587
1.15637e-08,1.2655
1.15870e-08,1.2654
1.16102e-08,1.2600
1.16335e-08,1.2506
1.16568e-08,1.2381
1.16800e-08,1.2247
1.17033e-08,1.2123
1.17266e-08,1.2019
1.17498e-08,1.1938
1.17731e-08,1.1890
1.17964e-08,1.1888
1.18196e-08,1.1929
1.18429e-08,1.1984
1.18662e-08,1.2014
1.18894e-08,1.2006
1.19127e-08,1.1970
1.19360e-08,1.1931
1.19592e-08,1.1898
1.19825e-08,1.1869
1.20058e-08,1.1834
1.20290e-08,1.1793
1.20523e-08,1.1761
1.20756e-08,1.1754
1.20988e-08,1.1781
1.21221e-08,1.1838
1.21454e-08,1.1917
1.21686e-08,1.2002
1.21919e-08,1.2076
1.22152e-08,1.2123
1.22384e-08,1.2142
1.22617e-08,1.2142
1.22850e-08,1.2131
1.23082e-08,1.2111
1.23315e-08,1.2078
1.23548e-08,1.2038
1.23780e-08,1.2004
1.24013e-08,1.1991
1.24246e-08,1.2003
1.24478e-08,1.2032
1.24711e-08,1.2062
1.24944e-08,1.2082
1.25176e-08,1.2091
1.25409e-08,1.2092
1.25642e-08,1.2087
1.25874e-08,1.2077
1.26107e-08,1.2059
1.26340e-08,1.2033
1.26572e-08,1.2000
1.26805e-08,1.1962
1.27038e-08,1.1929
1.27270e-08,1.1913
1.27503e-08,1.1917
1.27736e-08,1.1939
1.27968e-08,1.1967
1.28201e-08,1.1991
1.28434e-08,1.1966
1.28667e-08,1.1753
1.28899e-08,1.1175
1.29132e-08,1.0038
1.29365e-08,0.8639
1.29597e-08,0.7285
1.29830e-08,0.5904
1.30063e-08,0.4351
1.30295e-08,0.2830
1.30528e-08,0.1510
1.30761e-08,0.0471
1.30993e-08,-0.0256
1.31226e-08,-0.0707
1.31459e-08,-0.0976
1.31691e-08,-0.1168
1.31924e-08,-0.1323
1.32157e-08,-0.1475
1.32389e-08,-0.1637
1.32622e-08,-0.1815
1.32855e-08,-0.1945
1.33087e-08,-0.1982
1.33320e-08,-0.1951
1.33553e-08,-0.1913
1.33785e-08,-0.1860
1.34018e-08,-0.1677
1.34251e-08,-0.1267
1.34483e-08,-0.0702
1.34716e-08,-0.0128
1.34949e-08,0.0381
1.35181e-08,0.0802
1.35414e-08,0.1121
1.35647e-08,0.1333
1.35879e-08,0.1434
1.36112e-08,0.1412
1.36345e-08,0.1282
1.36577e-08,0.1096
1.36810e-08,0.0906
1.37043e-08,0.0743
1.37275e-08,0.0628
1.37508e-08,0.0582
1.37741e-08,0.0605
1.37973e-08,0.0646
1.38206e-08,0.0639
1.38439e-08,0.0563
1.38671e-08,0.0455
1.38904e-08,0.0354
1.39137e-08,0.0249
1.39369e-08,0.0100
1.39602e-08,-0.0105
1.39835e-08,-0.0335
1.40067e-08,-0.0540
1.40300e-08,-0.0675
1.40533e-08,-0.0722
1.40765e-08,-0.0691
1.40998e-08,-0.0604
1.41231e-08,-0.0482
1.41463e-08,-0.0344
1.41696e-08,-0.0217
1.41929e-08,-0.0117
1.42161e-08,-0.0045
1.42394e-08,0.0001
1.42627e-08,0.0013
1.42859e-08,-0.0016
1.43092e-08,-0.0072
1.43325e-08,-0.0115
1.43557e-08,-0.0115
1.43790e-08,-0.0069
1.44023e-08,-0.0000
1.44255e-08,0.0066
1.44488e-08,0.0124
1.44721e-08,0.0178
1.44953e-08,0.0235
1.45186e-08,0.0298
1.45419e-08,0.0420
1.45651e-08,0.0755
1.45884e-08,0.1548
1.46117e-08,0.2677
1.46349e-08,0.3833
1.46582e-08,0.5002
1.46815e-08,0.6356
1.47047e-08,0.7799
1.47280e-08,0.9151
1.47513e-08,1.0306
1.47745e-08,1.1199
1.47978e-08,1.1812
1.48211e-08,1.2203
1.48443e-08,1.2468
1.48676e-08,1.2652
1.48909e-08,1.2788
1.49141e-08,1.2902
1.49374e-08,1.3025
1.49607e-08,1.3135
1.49839e-08,1.3179
1.50072e-08,1.3152
1.50305e-08,1.3117
1.50537e-08,1.3106
1.50770e-08,1.3041
1.51003e-08,1.2802
1.51236e-08,1.2399
1.51468e-08,1.1947
1.51701e-08,1.1525
1.51934e-08,1.1158
1.52166e-08,1.0862
1.52399e-08,1.0644
1.52632e-08,1.0514
1.52864e-08,1.0494
1.53097e-08,1.0592
1.53330e-08,1.0776
1.53562e-08,1.0991
1.53795e-08,1.1200
1.54028e-08,1.1381
1.54260e-08,1.1508
1.54493e-08,1.1561
1.54726e-08,1.1565
1.54958e-08,1.1577
1.55191e-08,1.1638
1.55424e-08,1.1730
1.55656e-08,1.1814
1.55889e-08,1.1885
1.56122e-08,1.1979
1.56354e-08,1.2119
1.56587e-08,1.2294
1.56820e-08,1.2468
1.57052e-08,1.2598
1.57285e-08,1.2657
1.57518e-08,1.2649
1.57750e-08,1.2589
1.57983e-08,1.2489
1.58216e-08,1.2362
1.58448e-08,1.2228
1.58681e-08,1.2108
1.58914e-08,1.2012
1.59146e-08,1.1940
1.59379e-08,1.1899
1.59612e-08,1.1902
1.59844e-08,1.1943
1.60077e-08,1.1996
1.60310e-08,1.2023
1.60542e-08,1.2011
1.60775e-08,1.1971
1.61008e-08,1.1928
1.61240e-08,1.1891
1.61473e-08,1.1857
1.61706e-08,1.1795
1.61938e-08,1.1579
1.62171e-08,1.1061
1.62404e-08,1.0030
1.62636e-08,0.8692
1.62869e-08,0.7411
1.63102e-08,0.6160
1.63334e-08,0.4741
1.63567e-08,0.3275
1.63800e-08,0.1953
1.64032e-08,0.0854
1.64265e-08,0.0043
1.64498e-08,-0.0496
1.64730e-08,-0.0833
1.64963e-08,-0.1088
1.65196e-08,-0.1298
1.65428e-08,-0.1492
1.65661e-08,-0.1666
1.65894e-08,-0.1825
1.66126e-08,-0.1927
1.66359e-08,-0.1933
1.66592e-08,-0.1871
1.66824e-08,-0.1811
1.67057e-08,-0.1765
1.67290e-08,-0.1630
1.67522e-08,-0.1288
1.67755e-08,-0.0773
1.67988e-08,-0.0231
