.HEADER
..NAMES
Time,V U2.N2
.DATA
1.07726e-08,-0.1563
1.07959e-08,-0.1671
1.08192e-08,-0.1719
1.08424e-08,-0.1733
1.08657e-08,-0.1755
1.08890e-08,-0.1781
1.09122e-08,-0.1798
1.09355e-08,-0.1776
1.09588e-08,-0.1655
1.09820e-08,-0.1388
1.10053e-08,-0.1001
1.10286e-08,-0.0567
1.10518e-08,-0.0123
1.10751e-08,0.0306
1.10984e-08,0.0674
1.11216e-08,0.0936
1.11449e-08,0.1099
1.11682e-08,0.1190
1.11914e-08,0.1225
1.12147e-08,0.1247
1.12380e-08,0.1395
1.12612e-08,0.1829
1.12845e-08,0.2518
1.13078e-08,0.3403
1.13310e-08,0.4476
1.13543e-08,0.5719
1.13776e-08,0.7022
1.14008e-08,0.8281
1.14241e-08,0.9460
1.14474e-08,1.0507
1.14706e-08,1.1327
1.14939e-08,1.1895
1.15172e-08,1.2261
1.15404e-08,1.2447
1.15637e-08,1.2458
1.15870e-08,1.2372
1.16102e-08,1.2307
1.16335e-08,1.2294
1.16568e-08,1.2299
1.16800e-08,1.2335
1.17033e-08,1.2435
1.17266e-08,1.2581
1.17498e-08,1.2730
1.17731e-08,1.2862
1.17964e-08,1.2949
1.18196e-08,1.2929
1.18429e-08,1.2769
1.18662e-08,1.2504
1.18894e-08,1.2174
1.19127e-08,1.1800
1.19360e-08,1.1420
1.19592e-08,1.1105
1.19825e-08,1.0893
1.20058e-08,1.0754
1.20290e-08,1.0597
1.20523e-08,1.0316
1.20756e-08,0.9731
1.20988e-08,0.8926
1.21221e-08,0.7977
1.21454e-08,0.6949
1.21686e-08,0.5768
1.21919e-08,0.4482
1.22152e-08,0.3171
1.22384e-08,0.1911
1.22617e-08,0.0778
1.22850e-08,-0.0145
1.23082e-08,-0.0809
1.23315e-08,-0.1257
1.23548e-08,-0.1518
1.23780e-08,-0.1607
1.24013e-08,-0.1590
1.24246e-08,-0.1558
1.24478e-08,-0.1531
1.24711e-08,-0.1454
1.24944e-08,-0.1336
1.25176e-08,-0.1247
1.25409e-08,-0.1233
1.25642e-08,-0.1283
1.25874e-08,-0.1359
1.26107e-08,-0.1401
1.26340e-08,-0.1337
1.26572e-08,-0.1137
1.26805e-08,-0.0843
1.27038e-08,-0.0501
1.27270e-08,-0.0129
1.27503e-08,0.0248
1.27736e-08,0.0582
1.27968e-08,0.0845
1.28201e-08,0.1045
1.28434e-08,0.1187
1.28667e-08,0.1278
1.28899e-08,0.1362
1.29132e-08,0.1627
1.29365e-08,0.2135
1.29597e-08,0.2876
1.29830e-08,0.3768
1.30063e-08,0.4856
1.30295e-08,0.6074
1.30528e-08,0.7315
1.30761e-08,0.8531
1.30993e-08,0.9678
1.31226e-08,1.0696
1.31459e-08,1.1489
1.31691e-08,1.2052
1.31924e-08,1.2427
1.32157e-08,1.2600
1.32389e-08,1.2601
1.32622e-08,1.2528
1.32855e-08,1.2480
1.33087e-08,1.2456
1.33320e-08,1.2437
1.33553e-08,1.2452
1.33785e-08,1.2522
1.34018e-08,1.2618
1.34251e-08,1.2719
1.34483e-08,1.2816
1.34716e-08,1.2870
1.34949e-08,1.2819
1.35181e-08,1.2648
1.35414e-08,1.2394
1.35647e-08,1.2082
1.35879e-08,1.1726
1.36112e-08,1.1380
1.36345e-08,1.1103
1.36577e-08,1.0914
1.36810e-08,1.0801
1.37043e-08,1.0766
1.37275e-08,1.0818
1.37508e-08,1.0949
1.37741e-08,1.1138
1.37973e-08,1.1361
1.38206e-08,1.1589
1.38439e-08,1.1776
1.38671e-08,1.1893
1.38904e-08,1.1949
1.39137e-08,1.1960
1.39369e-08,1.1934
1.39602e-08,1.1882
1.39835e-08,1.1826
1.40067e-08,1.1789
1.40300e-08,1.1776
1.40533e-08,1.1793
1.40765e-08,1.1852
1.40998e-08,1.1956
1.41231e-08,1.2092
1.41463e-08,1.2237
1.41696e-08,1.2369
1.41929e-08,1.2461
1.42161e-08,1.2495
1.42394e-08,1.2473
1.42627e-08,1.2413
1.42859e-08,1.2330
1.43092e-08,1.2229
1.43325e-08,1.2116
1.43557e-08,1.2007
1.43790e-08,1.1913
1.44023e-08,1.1844
1.44255e-08,1.1808
1.44488e-08,1.1812
1.44721e-08,1.1851
1.44953e-08,1.1912
1.45186e-08,1.1978
1.45419e-08,1.2037
1.45651e-08,1.2074
1.45884e-08,1.2084
1.46117e-08,1.2071
1.46349e-08,1.2044
1.46582e-08,1.2002
1.46815e-08,1.1947
1.47047e-08,1.1887
1.47280e-08,1.1837
1.47513e-08,1.1807
1.47745e-08,1.1805
1.47978e-08,1.1832
1.48211e-08,1.1882
1.48443e-08,1.1943
1.48676e-08,1.2004
1.48909e-08,1.2057
1.49141e-08,1.2097
1.49374e-08,1.2122
1.49607e-08,1.2132
1.49839e-08,1.2128
1.50072e-08,1.2111
1.50305e-08,1.2080
1.50537e-08,1.2037
1.50770e-08,1.1992
1.51003e-08,1.1955
1.51236e-08,1.1934
1.51468e-08,1.1932
1.51701e-08,1.1948
1.51934e-08,1.1974
1.52166e-08,1.2004
1.52399e-08,1.2033
1.52632e-08,1.2058
1.52864e-08,1.2076
1.53097e-08,1.2083
1.53330e-08,1.2078
1.53562e-08,1.2062
1.53795e-08,1.2036
1.54028e-08,1.2003
1.54260e-08,1.1970
1.54493e-08,1.1945
1.54726e-08,1.1932
1.54958e-08,1.1930
1.55191e-08,1.1938
1.55424e-08,1.1952
1.55656e-08,1.1969
1.55889e-08,1.1988
1.56122e-08,1.2009
1.56354e-08,1.2029
1.56587e-08,1.2045
1.56820e-08,1.2053
1.57052e-08,1.2051
1.57285e-08,1.2039
1.57518e-08,1.2020
1.57750e-08,1.1999
1.57983e-08,1.1980
1.58216e-08,1.1967
1.58448e-08,1.1963
1.58681e-08,1.1966
1.58914e-08,1.1974
1.59146e-08,1.1985
1.59379e-08,1.1999
1.59612e-08,1.2013
1.59844e-08,1.2028
1.60077e-08,1.2038
1.60310e-08,1.2043
1.60542e-08,1.2041
1.60775e-08,1.2032
1.61008e-08,1.2020
1.61240e-08,1.2008
1.61473e-08,1.1996
1.61706e-08,1.1966
1.61938e-08,1.1838
1.62171e-08,1.1496
1.62404e-08,1.0766
1.62636e-08,0.9761
1.62869e-08,0.8589
1.63102e-08,0.7337
1.63334e-08,0.5971
1.63567e-08,0.4572
1.63800e-08,0.3214
1.64032e-08,0.1951
1.64265e-08,0.0846
1.64498e-08,-0.0019
1.64730e-08,-0.0616
1.64963e-08,-0.1018
1.65196e-08,-0.1265
1.65428e-08,-0.1375
1.65661e-08,-0.1423
1.65894e-08,-0.1506
1.66126e-08,-0.1628
1.66359e-08,-0.1706
1.66592e-08,-0.1726
1.66824e-08,-0.1733
1.67057e-08,-0.1753
1.67290e-08,-0.1774
1.67522e-08,-0.1779
1.67755e-08,-0.1728
1.67988e-08,-0.1554
1.68220e-08,-0.1235
1.68453e-08,-0.0828
1.68686e-08,-0.0395
1.68918e-08,0.0040
1.69151e-08,0.0448
1.69384e-08,0.0774
1.69616e-08,0.0994
1.69849e-08,0.1131
1.70082e-08,0.1205
1.70314e-08,0.1235
1.70547e-08,0.1286
1.70780e-08,0.1554
1.71012e-08,0.2093
1.71245e-08,0.2880
1.71478e-08,0.3827
1.71710e-08,0.4977
1.71943e-08,0.6255
1.72176e-08,0.7541
1.72408e-08,0.8772
1.72641e-08,0.9900
1.72874e-08,1.0863
1.73106e-08,1.1579
1.73339e-08,1.2057
1.73572e-08,1.2354
1.73804e-08,1.2468
1.74037e-08,1.2431
1.74270e-08,1.2345
1.74502e-08,1.2306
1.74735e-08,1.2305
1.74968e-08,1.2319
1.75201e-08,1.2376
1.75433e-08,1.2495
1.75666e-08,1.2642
1.75899e-08,1.2783
1.76131e-08,1.2898
1.76364e-08,1.2948
1.76597e-08,1.2871
1.76829e-08,1.2664
1.77062e-08,1.2372
1.77295e-08,1.2025
1.77527e-08,1.1644
1.77760e-08,1.1285
1.77993e-08,1.1011
1.78225e-08,1.0839
1.78458e-08,1.0704
1.78691e-08,1.0526
1.78923e-08,1.0124
1.79156e-08,0.9449
1.79389e-08,0.8565
1.79621e-08,0.7597
1.79854e-08,0.6506
1.80087e-08,0.5270
1.80319e-08,0.3970
1.80552e-08,0.2664
1.80785e-08,0.1449
1.81017e-08,0.0389
1.81250e-08,-0.0430
1.81483e-08,-0.1000
1.81715e-08,-0.1375
1.81948e-08,-0.1563
1.82181e-08,-0.1600
1.82413e-08,-0.1569
1.82646e-08,-0.1547
1.82879e-08,-0.1506
1.83111e-08,-0.1407
1.83344e-08,-0.1293
1.83577e-08,-0.1235
1.83809e-08,-0.1249
1.84042e-08,-0.1315
1.84275e-08,-0.1387
1.84507e-08,-0.1394
1.84740e-08,-0.1274
1.84973e-08,-0.1029
1.85205e-08,-0.0712
1.85438e-08,-0.0357
1.85671e-08,0.0023
1.85903e-08,0.0390
1.86136e-08,0.0696
1.86369e-08,0.0932
1.86601e-08,0.1109
1.86834e-08,0.1227
1.87067e-08,0.1305
1.87299e-08,0.1441
1.87532e-08,0.1810
1.87765e-08,0.2421
1.87997e-08,0.3230
1.88230e-08,0.4208
1.88463e-08,0.5356
1.88695e-08,0.6599
1.88928e-08,0.7830
1.89161e-08,0.9022
1.89393e-08,1.0128
1.89626e-08,1.1056
1.89859e-08,1.1750
1.90091e-08,1.2230
1.90324e-08,1.2521
1.90557e-08,1.2617
1.90789e-08,1.2572
1.91022e-08,1.2503
1.91255e-08,1.2468
1.91487e-08,1.2447
1.91720e-08,1.2438
1.91953e-08,1.2475
1.92185e-08,1.2559
1.92418e-08,1.2660
1.92651e-08,1.2761
1.92883e-08,1.2847
1.93116e-08,1.2863
1.93349e-08,1.2760
1.93581e-08,1.2550
1.93814e-08,1.2268
1.94047e-08,1.1935
1.94279e-08,1.1576
1.94512e-08,1.1254
1.94745e-08,1.1015
1.94977e-08,1.0860
1.95210e-08,1.0779
1.95443e-08,1.0779
1.95675e-08,1.0866
1.95908e-08,1.1024
1.96141e-08,1.1230
1.96373e-08,1.1460
1.96606e-08,1.1675
1.96839e-08,1.1834
1.97071e-08,1.1923
1.97304e-08,1.1959
1.97537e-08,1.1954
1.97769e-08,1.1916
1.98002e-08,1.1859
1.98235e-08,1.1809
1.98468e-08,1.1781
1.98700e-08,1.1780
1.98933e-08,1.1813
1.99166e-08,1.1891
1.99398e-08,1.2011
1.99631e-08,1.2154
1.99864e-08,1.2297
2.00096e-08,1.2414
2.00329e-08,1.2483
2.00562e-08,1.2492
2.00794e-08,1.2451
2.01027e-08,1.2381
2.01260e-08,1.2290
2.01492e-08,1.2183
2.01725e-08,1.2070
2.01958e-08,1.1966
2.02190e-08,1.1882
2.02423e-08,1.1825
2.02656e-08,1.1805
2.02888e-08,1.1826
2.03121e-08,1.1876
2.03354e-08,1.1920
2.03586e-08,1.1865
2.03819e-08,1.1578
2.04052e-08,1.0877
2.04284e-08,0.9869
2.04517e-08,0.8672
2.04750e-08,0.7375
2.04982e-08,0.5950
2.05215e-08,0.4483
2.05448e-08,0.3064
2.05680e-08,0.1759
2.05913e-08,0.0641
2.06146e-08,-0.0204
2.06378e-08,-0.0754
2.06611e-08,-0.1091
2.06844e-08,-0.1269
2.07076e-08,-0.1318
2.07309e-08,-0.1316
2.07542e-08,-0.1368
2.07774e-08,-0.1477
2.08007e-08,-0.1559
2.08240e-08,-0.1597
2.08472e-08,-0.1637
2.08705e-08,-0.1702
2.08938e-08,-0.1774
2.09170e-08,-0.1824
2.09403e-08,-0.1804
2.09636e-08,-0.1641
2.09868e-08,-0.1312
2.10101e-08,-0.0880
2.10334e-08,-0.0413
2.10566e-08,0.0059
2.10799e-08,0.0500
2.11032e-08,0.0851
2.11264e-08,0.1085
2.11497e-08,0.1222
2.11730e-08,0.1281
2.11962e-08,0.1283
2.12195e-08,0.1303
2.12428e-08,0.1539
2.12660e-08,0.2054
2.12893e-08,0.2824
2.13126e-08,0.3774
2.13358e-08,0.4935
2.13591e-08,0.6233
2.13824e-08,0.7540
2.14056e-08,0.8793
2.14289e-08,0.9944
2.14522e-08,1.0924
2.14754e-08,1.1653
2.14987e-08,1.2137
2.15220e-08,1.2427
2.15452e-08,1.2523
2.15685e-08,1.2459
2.15918e-08,1.2347
2.16150e-08,1.2282
2.16383e-08,1.2262
2.16616e-08,1.2267
2.16848e-08,1.2326
2.17081e-08,1.2456
2.17314e-08,1.2617
2.17546e-08,1.2775
2.17779e-08,1.2909
2.18012e-08,1.2973
2.18244e-08,1.2907
2.18477e-08,1.2705
2.18710e-08,1.2408
2.18942e-08,1.2050
2.19175e-08,1.1655
2.19408e-08,1.1282
2.19640e-08,1.0995
2.19873e-08,1.0814
2.20106e-08,1.0673
2.20338e-08,1.0496
2.20571e-08,1.0100
2.20804e-08,0.9436
2.21037e-08,0.8564
2.21269e-08,0.7612
2.21502e-08,0.6533
2.21735e-08,0.5309
2.21967e-08,0.4015
2.22200e-08,0.2710
2.22433e-08,0.1487
2.22665e-08,0.0414
2.22898e-08,-0.0420
2.23131e-08,-0.1003
2.23363e-08,-0.1389
2.23596e-08,-0.1584
2.23829e-08,-0.1622
2.24061e-08,-0.1589
2.24294e-08,-0.1562
2.24527e-08,-0.1514
2.24759e-08,-0.1407
2.24992e-08,-0.1285
2.25225e-08,-0.1220
2.25457e-08,-0.1231
2.25690e-08,-0.1295
2.25923e-08,-0.1369
2.26155e-08,-0.1382
2.26388e-08,-0.1269
2.26621e-08,-0.1031
