.HEADER
..NAMES
Time,V U2.L8
.DATA
9.1207e-09,1.2720
9.1439e-09,1.3002
9.1672e-09,1.3138
9.1905e-09,1.3169
9.2137e-09,1.3187
9.2370e-09,1.3190
9.2603e-09,1.3042
9.2835e-09,1.2663
9.3068e-09,1.2139
9.3301e-09,1.1620
9.3533e-09,1.1206
9.3766e-09,1.0943
9.3999e-09,1.0820
9.4231e-09,1.0787
9.4464e-09,1.0813
9.4697e-09,1.0900
9.4929e-09,1.1040
9.5162e-09,1.1135
9.5395e-09,1.1004
9.5627e-09,1.0401
9.5860e-09,0.9214
9.6093e-09,0.7800
9.6325e-09,0.6401
9.6558e-09,0.4970
9.6791e-09,0.3463
9.7023e-09,0.2105
9.7256e-09,0.0983
9.7489e-09,0.0123
9.7721e-09,-0.0443
9.7954e-09,-0.0718
9.8187e-09,-0.0784
9.8419e-09,-0.0758
9.8652e-09,-0.0743
9.8885e-09,-0.0826
9.9117e-09,-0.1048
9.9350e-09,-0.1352
9.9583e-09,-0.1615
9.9815e-09,-0.1753
1.00048e-08,-0.1791
1.00281e-08,-0.1793
1.00513e-08,-0.1744
1.00746e-08,-0.1530
1.00979e-08,-0.1090
1.01211e-08,-0.0509
1.01444e-08,0.0082
1.01677e-08,0.0612
1.01909e-08,0.1023
1.02142e-08,0.1274
1.02375e-08,0.1369
1.02607e-08,0.1339
1.02840e-08,0.1214
1.03073e-08,0.1030
1.03305e-08,0.0825
1.03538e-08,0.0638
1.03771e-08,0.0566
1.04003e-08,0.0825
1.04236e-08,0.1712
1.04469e-08,0.3032
1.04702e-08,0.4380
1.04934e-08,0.5615
1.05167e-08,0.6887
1.05400e-08,0.8142
1.05632e-08,0.9278
1.05865e-08,1.0224
1.06098e-08,1.0911
1.06330e-08,1.1309
1.06563e-08,1.1491
1.06796e-08,1.1578
1.07028e-08,1.1678
1.07261e-08,1.1856
1.07494e-08,1.2149
1.07726e-08,1.2542
1.07959e-08,1.2936
1.08192e-08,1.3200
1.08424e-08,1.3292
1.08657e-08,1.3291
1.08890e-08,1.3275
1.09122e-08,1.3181
1.09355e-08,1.2879
1.09588e-08,1.2373
1.09820e-08,1.1802
1.10053e-08,1.1299
1.10286e-08,1.0935
1.10518e-08,1.0739
1.10751e-08,1.0685
1.10984e-08,1.0725
1.11216e-08,1.0831
1.11449e-08,1.0991
1.11682e-08,1.1158
1.11914e-08,1.1184
1.12147e-08,1.0891
1.12380e-08,1.0013
1.12612e-08,0.8670
1.12845e-08,0.7227
1.13078e-08,0.5822
1.13310e-08,0.4330
1.13543e-08,0.2859
1.13776e-08,0.1603
1.14008e-08,0.0606
1.14241e-08,-0.0109
1.14474e-08,-0.0521
1.14706e-08,-0.0676
1.14939e-08,-0.0685
1.15172e-08,-0.0664
1.15404e-08,-0.0700
1.15637e-08,-0.0862
1.15870e-08,-0.1151
1.16102e-08,-0.1474
1.16335e-08,-0.1711
1.16568e-08,-0.1819
1.16800e-08,-0.1846
1.17033e-08,-0.1832
1.17266e-08,-0.1717
1.17498e-08,-0.1390
1.17731e-08,-0.0858
1.17964e-08,-0.0246
1.18196e-08,0.0332
1.18429e-08,0.0819
1.18662e-08,0.1161
1.18894e-08,0.1335
1.19127e-08,0.1365
1.19360e-08,0.1281
1.19592e-08,0.1116
1.19825e-08,0.0911
1.20058e-08,0.0705
1.20290e-08,0.0555
1.20523e-08,0.0596
1.20756e-08,0.1108
1.20988e-08,0.2239
1.21221e-08,0.3619
1.21454e-08,0.4914
1.21686e-08,0.6147
1.21919e-08,0.7423
1.22152e-08,0.8633
1.22384e-08,0.9690
1.22617e-08,1.0529
1.22850e-08,1.1086
1.23082e-08,1.1377
1.23315e-08,1.1504
1.23548e-08,1.1591
1.23780e-08,1.1727
1.24013e-08,1.1961
1.24246e-08,1.2312
1.24478e-08,1.2726
1.24711e-08,1.3081
1.24944e-08,1.3271
1.25176e-08,1.3308
1.25409e-08,1.3293
1.25642e-08,1.3255
1.25874e-08,1.3080
1.26107e-08,1.2677
1.26340e-08,1.2121
1.26572e-08,1.1567
1.26805e-08,1.1120
1.27038e-08,1.0832
1.27270e-08,1.0707
1.27503e-08,1.0702
1.27736e-08,1.0774
1.27968e-08,1.0905
1.28201e-08,1.1079
1.28434e-08,1.1266
1.28667e-08,1.1438
1.28899e-08,1.1581
1.29132e-08,1.1668
1.29365e-08,1.1657
1.29597e-08,1.1541
1.29830e-08,1.1396
1.30063e-08,1.1330
1.30295e-08,1.1396
1.30528e-08,1.1554
1.30761e-08,1.1734
1.30993e-08,1.1908
1.31226e-08,1.2086
1.31459e-08,1.2278
1.31691e-08,1.2467
1.31924e-08,1.2619
1.32157e-08,1.2689
1.32389e-08,1.2658
1.32622e-08,1.2543
1.32855e-08,1.2378
1.33087e-08,1.2203
1.33320e-08,1.2057
1.33553e-08,1.1970
1.33785e-08,1.1942
1.34018e-08,1.1944
1.34251e-08,1.1950
1.34483e-08,1.1964
1.34716e-08,1.2010
1.34949e-08,1.2084
1.35181e-08,1.2150
1.35414e-08,1.2160
1.35647e-08,1.2098
1.35879e-08,1.1987
1.36112e-08,1.1869
1.36345e-08,1.1777
1.36577e-08,1.1725
1.36810e-08,1.1707
1.37043e-08,1.1717
1.37275e-08,1.1749
1.37508e-08,1.1804
1.37741e-08,1.1877
1.37973e-08,1.1964
1.38206e-08,1.2057
1.38439e-08,1.2137
1.38671e-08,1.2177
1.38904e-08,1.2164
1.39137e-08,1.2111
1.39369e-08,1.2050
1.39602e-08,1.2006
1.39835e-08,1.1983
1.40067e-08,1.1971
1.40300e-08,1.1963
1.40533e-08,1.1962
1.40765e-08,1.1980
1.40998e-08,1.2023
1.41231e-08,1.2079
1.41463e-08,1.2129
1.41696e-08,1.2156
1.41929e-08,1.2151
1.42161e-08,1.2117
1.42394e-08,1.2065
1.42627e-08,1.2012
1.42859e-08,1.1970
1.43092e-08,1.1943
1.43325e-08,1.1926
1.43557e-08,1.1914
1.43790e-08,1.1909
1.44023e-08,1.1920
1.44255e-08,1.1953
1.44488e-08,1.1999
1.44721e-08,1.2040
1.44953e-08,1.2061
1.45186e-08,1.2059
1.45419e-08,1.2042
1.45651e-08,1.2020
1.45884e-08,1.2000
1.46117e-08,1.1983
1.46349e-08,1.1968
1.46582e-08,1.1956
1.46815e-08,1.1950
1.47047e-08,1.1953
1.47280e-08,1.1970
1.47513e-08,1.1999
1.47745e-08,1.2033
1.47978e-08,1.2061
1.48211e-08,1.2073
1.48443e-08,1.2067
1.48676e-08,1.2051
1.48909e-08,1.2034
1.49141e-08,1.2020
1.49374e-08,1.2007
1.49607e-08,1.1993
1.49839e-08,1.1978
1.50072e-08,1.1968
1.50305e-08,1.1969
1.50537e-08,1.1980
1.50770e-08,1.1999
1.51003e-08,1.2019
1.51236e-08,1.2033
1.51468e-08,1.2038
1.51701e-08,1.2034
1.51934e-08,1.2026
1.52166e-08,1.2016
1.52399e-08,1.2008
1.52632e-08,1.1998
1.52864e-08,1.1987
1.53097e-08,1.1976
1.53330e-08,1.1951
1.53562e-08,1.1799
1.53795e-08,1.1361
1.54028e-08,1.0380
1.54260e-08,0.9010
1.54493e-08,0.7648
1.54726e-08,0.6378
1.54958e-08,0.4975
1.55191e-08,0.3470
1.55424e-08,0.2074
1.55656e-08,0.0884
1.55889e-08,-0.0022
1.56122e-08,-0.0619
1.56354e-08,-0.0967
1.56587e-08,-0.1166
1.56820e-08,-0.1304
1.57052e-08,-0.1426
1.57285e-08,-0.1573
1.57518e-08,-0.1758
1.57750e-08,-0.1919
1.57983e-08,-0.1973
1.58216e-08,-0.1914
1.58448e-08,-0.1827
1.58681e-08,-0.1763
1.58914e-08,-0.1644
1.59146e-08,-0.1327
1.59379e-08,-0.0808
1.59612e-08,-0.0233
1.59844e-08,0.0280
1.60077e-08,0.0699
1.60310e-08,0.1012
1.60542e-08,0.1227
1.60775e-08,0.1356
1.61008e-08,0.1394
1.61240e-08,0.1333
1.61473e-08,0.1193
1.61706e-08,0.1017
1.61938e-08,0.0863
1.62171e-08,0.0865
1.62404e-08,0.1295
1.62636e-08,0.2308
1.62869e-08,0.3582
1.63102e-08,0.4777
1.63334e-08,0.5915
1.63567e-08,0.7125
1.63800e-08,0.8338
1.64032e-08,0.9448
1.64265e-08,1.0366
1.64498e-08,1.1000
1.64730e-08,1.1347
1.64963e-08,1.1509
1.65196e-08,1.1619
1.65428e-08,1.1764
1.65661e-08,1.1985
1.65894e-08,1.2294
1.66126e-08,1.2650
1.66359e-08,1.2955
1.66592e-08,1.3121
1.66824e-08,1.3166
1.67057e-08,1.3183
1.67290e-08,1.3198
1.67522e-08,1.3092
1.67755e-08,1.2754
1.67988e-08,1.2242
1.68220e-08,1.1710
1.68453e-08,1.1271
1.68686e-08,1.0980
1.68918e-08,1.0833
1.69151e-08,1.0787
1.69384e-08,1.0803
1.69616e-08,1.0878
1.69849e-08,1.1013
1.70082e-08,1.1136
1.70314e-08,1.1070
1.70547e-08,1.0590
1.70780e-08,0.9493
1.71012e-08,0.8099
1.71245e-08,0.6698
1.71478e-08,0.5288
1.71710e-08,0.3775
1.71943e-08,0.2376
1.72176e-08,0.1207
1.72408e-08,0.0290
1.72641e-08,-0.0339
1.72874e-08,-0.0670
1.73106e-08,-0.0771
1.73339e-08,-0.0755
1.73572e-08,-0.0733
1.73804e-08,-0.0791
1.74037e-08,-0.0989
1.74270e-08,-0.1289
1.74502e-08,-0.1571
1.74735e-08,-0.1734
1.74968e-08,-0.1787
1.75201e-08,-0.1796
1.75433e-08,-0.1766
1.75666e-08,-0.1596
1.75899e-08,-0.1196
1.76131e-08,-0.0632
1.76364e-08,-0.0037
1.76597e-08,0.0509
1.76829e-08,0.0951
1.77062e-08,0.1235
1.77295e-08,0.1359
1.77527e-08,0.1352
1.77760e-08,0.1244
1.77993e-08,0.1069
1.78225e-08,0.0867
1.78458e-08,0.0673
1.78691e-08,0.0564
1.78923e-08,0.0738
1.79156e-08,0.1500
1.79389e-08,0.2771
1.79621e-08,0.4146
1.79854e-08,0.5395
1.80087e-08,0.6649
1.80319e-08,0.7914
1.80552e-08,0.9084
