.HEADER
..NAMES
Time,V U2.R3
.DATA
9.9583e-09,1.3197
9.9815e-09,1.3327
1.00048e-08,1.3336
1.00281e-08,1.3293
1.00513e-08,1.3284
1.00746e-08,1.3313
1.00979e-08,1.3255
1.01211e-08,1.2997
1.01444e-08,1.2595
1.01677e-08,1.2176
1.01909e-08,1.1768
1.02142e-08,1.1383
1.02375e-08,1.1081
1.02607e-08,1.0876
1.02840e-08,1.0749
1.03073e-08,1.0696
1.03305e-08,1.0720
1.03538e-08,1.0811
1.03771e-08,1.0963
1.04003e-08,1.1164
1.04236e-08,1.1377
1.04469e-08,1.1525
1.04702e-08,1.1560
1.04934e-08,1.1524
1.05167e-08,1.1504
1.05400e-08,1.1540
1.05632e-08,1.1611
1.05865e-08,1.1674
1.06098e-08,1.1721
1.06330e-08,1.1786
1.06563e-08,1.1890
1.06796e-08,1.2025
1.07028e-08,1.2184
1.07261e-08,1.2355
1.07494e-08,1.2502
1.07726e-08,1.2589
1.07959e-08,1.2603
1.08192e-08,1.2549
1.08424e-08,1.2453
1.08657e-08,1.2353
1.08890e-08,1.2265
1.09122e-08,1.2179
1.09355e-08,1.2076
1.09588e-08,1.1969
1.09820e-08,1.1901
1.10053e-08,1.1899
1.10286e-08,1.1948
1.10518e-08,1.2008
1.10751e-08,1.2050
1.10984e-08,1.2062
1.11216e-08,1.2048
1.11449e-08,1.2015
1.11682e-08,1.1972
1.11914e-08,1.1931
1.12147e-08,1.1897
1.12380e-08,1.1860
1.12612e-08,1.1817
1.12845e-08,1.1772
1.13078e-08,1.1745
1.13310e-08,1.1756
1.13543e-08,1.1814
1.13776e-08,1.1899
1.14008e-08,1.1979
1.14241e-08,1.2035
1.14474e-08,1.2069
1.14706e-08,1.2095
1.14939e-08,1.2114
1.15172e-08,1.2119
1.15404e-08,1.2105
1.15637e-08,1.2072
1.15870e-08,1.2029
1.16102e-08,1.1987
1.16335e-08,1.1959
1.16568e-08,1.1956
1.16800e-08,1.1978
1.17033e-08,1.2015
1.17266e-08,1.2051
1.17498e-08,1.2072
1.17731e-08,1.2078
1.17964e-08,1.2079
1.18196e-08,1.2083
1.18429e-08,1.2088
1.18662e-08,1.2081
1.18894e-08,1.2054
1.19127e-08,1.2012
1.19360e-08,1.1968
1.19592e-08,1.1936
1.19825e-08,1.1921
1.20058e-08,1.1923
1.20290e-08,1.1936
1.20523e-08,1.1955
1.20756e-08,1.1975
1.20988e-08,1.1994
1.21221e-08,1.2012
1.21454e-08,1.2030
1.21686e-08,1.2045
1.21919e-08,1.2049
1.22152e-08,1.2037
1.22384e-08,1.2012
1.22617e-08,1.1983
