.HEADER
..NAMES
Time,V U2.P7
.DATA
1.05632e-08,1.1976
1.05865e-08,1.1973
1.06098e-08,1.1974
1.06330e-08,1.1983
1.06563e-08,1.2001
1.06796e-08,1.2023
1.07028e-08,1.2044
1.07261e-08,1.2057
1.07494e-08,1.2061
1.07726e-08,1.2058
1.07959e-08,1.2050
1.08192e-08,1.2038
1.08424e-08,1.2023
1.08657e-08,1.2008
1.08890e-08,1.1993
1.09122e-08,1.1984
1.09355e-08,1.1981
1.09588e-08,1.1986
1.09820e-08,1.1997
1.10053e-08,1.2013
1.10286e-08,1.2029
1.10518e-08,1.2040
1.10751e-08,1.2047
1.10984e-08,1.2048
1.11216e-08,1.2046
1.11449e-08,1.2042
1.11682e-08,1.2034
1.11914e-08,1.2023
1.12147e-08,1.2009
1.12380e-08,1.1997
1.12612e-08,1.1990
1.12845e-08,1.1990
1.13078e-08,1.1995
1.13310e-08,1.2004
1.13543e-08,1.2014
1.13776e-08,1.2024
1.14008e-08,1.2033
1.14241e-08,1.2039
1.14474e-08,1.2042
1.14706e-08,1.2041
1.14939e-08,1.2036
1.15172e-08,1.2028
1.15404e-08,1.2017
1.15637e-08,1.2008
1.15870e-08,1.2001
1.16102e-08,1.1998
1.16335e-08,1.2000
1.16568e-08,1.2003
1.16800e-08,1.2008
1.17033e-08,1.2014
1.17266e-08,1.2021
1.17498e-08,1.2029
1.17731e-08,1.2035
1.17964e-08,1.2038
1.18196e-08,1.2036
1.18429e-08,1.2031
1.18662e-08,1.2024
1.18894e-08,1.2016
1.19127e-08,1.2010
1.19360e-08,1.2005
1.19592e-08,1.2003
1.19825e-08,1.2004
1.20058e-08,1.2006
1.20290e-08,1.2010
1.20523e-08,1.2016
1.20756e-08,1.2022
1.20988e-08,1.2028
1.21221e-08,1.2031
1.21454e-08,1.2032
1.21686e-08,1.2030
1.21919e-08,1.2026
1.22152e-08,1.2022
1.22384e-08,1.2017
1.22617e-08,1.2013
1.22850e-08,1.2009
1.23082e-08,1.2006
1.23315e-08,1.2006
1.23548e-08,1.2008
1.23780e-08,1.2012
1.24013e-08,1.2017
1.24246e-08,1.2022
1.24478e-08,1.2026
1.24711e-08,1.2027
1.24944e-08,1.2027
1.25176e-08,1.2026
1.25409e-08,1.2023
1.25642e-08,1.2020
1.25874e-08,1.2017
1.26107e-08,1.2013
1.26340e-08,1.2010
1.26572e-08,1.2009
1.26805e-08,1.2009
1.27038e-08,1.2011
1.27270e-08,1.2014
1.27503e-08,1.2017
1.27736e-08,1.2020
1.27968e-08,1.2023
1.28201e-08,1.2024
1.28434e-08,1.2025
1.28667e-08,1.2024
1.28899e-08,1.2022
1.29132e-08,1.2019
1.29365e-08,1.2016
1.29597e-08,1.2013
1.29830e-08,1.2011
1.30063e-08,1.2010
1.30295e-08,1.2011
1.30528e-08,1.2013
1.30761e-08,1.2015
1.30993e-08,1.2017
1.31226e-08,1.2019
1.31459e-08,1.2021
1.31691e-08,1.2022
1.31924e-08,1.2023
1.32157e-08,1.2022
1.32389e-08,1.2020
1.32622e-08,1.2018
1.32855e-08,1.2015
1.33087e-08,1.2013
1.33320e-08,1.2012
1.33553e-08,1.2012
1.33785e-08,1.2012
1.34018e-08,1.2013
1.34251e-08,1.2015
1.34483e-08,1.2017
1.34716e-08,1.2019
1.34949e-08,1.2020
1.35181e-08,1.2021
1.35414e-08,1.2021
1.35647e-08,1.2020
1.35879e-08,1.2018
1.36112e-08,1.2017
1.36345e-08,1.2015
1.36577e-08,1.2014
1.36810e-08,1.2013
1.37043e-08,1.2013
1.37275e-08,1.2013
1.37508e-08,1.2013
1.37741e-08,1.2015
1.37973e-08,1.2016
1.38206e-08,1.2018
1.38439e-08,1.2019
1.38671e-08,1.2019
1.38904e-08,1.2019
1.39137e-08,1.2019
1.39369e-08,1.2017
1.39602e-08,1.2016
1.39835e-08,1.2015
1.40067e-08,1.2014
1.40300e-08,1.2013
1.40533e-08,1.2013
1.40765e-08,1.2013
1.40998e-08,1.2014
1.41231e-08,1.2015
1.41463e-08,1.2016
1.41696e-08,1.2017
1.41929e-08,1.2018
1.42161e-08,1.2018
1.42394e-08,1.2018
1.42627e-08,1.2018
1.42859e-08,1.2017
1.43092e-08,1.2016
1.43325e-08,1.2015
1.43557e-08,1.2014
1.43790e-08,1.2013
1.44023e-08,1.2013
1.44255e-08,1.2014
1.44488e-08,1.2014
1.44721e-08,1.2015
1.44953e-08,1.2016
1.45186e-08,1.2016
1.45419e-08,1.2017
1.45651e-08,1.2017
1.45884e-08,1.2017
1.46117e-08,1.2017
1.46349e-08,1.2016
1.46582e-08,1.2015
1.46815e-08,1.2015
1.47047e-08,1.2014
1.47280e-08,1.2014
1.47513e-08,1.2014
1.47745e-08,1.2014
1.47978e-08,1.2014
1.48211e-08,1.2015
1.48443e-08,1.2015
1.48676e-08,1.2016
1.48909e-08,1.2016
1.49141e-08,1.2016
1.49374e-08,1.2016
1.49607e-08,1.2016
1.49839e-08,1.2015
1.50072e-08,1.2015
1.50305e-08,1.2014
1.50537e-08,1.2014
1.50770e-08,1.2014
1.51003e-08,1.2014
1.51236e-08,1.2014
1.51468e-08,1.2014
1.51701e-08,1.2014
1.51934e-08,1.2015
1.52166e-08,1.2015
1.52399e-08,1.2016
1.52632e-08,1.2016
1.52864e-08,1.2016
1.53097e-08,1.2015
1.53330e-08,1.2015
1.53562e-08,1.2015
1.53795e-08,1.2014
1.54028e-08,1.2014
1.54260e-08,1.2014
1.54493e-08,1.2014
1.54726e-08,1.2014
1.54958e-08,1.2014
1.55191e-08,1.2014
1.55424e-08,1.2015
1.55656e-08,1.2015
1.55889e-08,1.2015
1.56122e-08,1.2015
1.56354e-08,1.2015
1.56587e-08,1.2015
1.56820e-08,1.2015
1.57052e-08,1.2014
1.57285e-08,1.2014
1.57518e-08,1.2014
1.57750e-08,1.2014
1.57983e-08,1.2013
1.58216e-08,1.2014
1.58448e-08,1.2014
1.58681e-08,1.2014
1.58914e-08,1.2014
1.59146e-08,1.2014
1.59379e-08,1.2015
1.59612e-08,1.2015
1.59844e-08,1.2015
1.60077e-08,1.2014
1.60310e-08,1.2014
1.60542e-08,1.2014
1.60775e-08,1.2014
1.61008e-08,1.2013
1.61240e-08,1.2013
1.61473e-08,1.2013
1.61706e-08,1.1998
1.61938e-08,1.1854
1.62171e-08,1.1419
1.62404e-08,1.0466
1.62636e-08,0.9133
1.62869e-08,0.7917
1.63102e-08,0.6809
1.63334e-08,0.5457
1.63567e-08,0.3919
1.63800e-08,0.2501
1.64032e-08,0.1225
1.64265e-08,0.0206
1.64498e-08,-0.0449
1.64730e-08,-0.0839
1.64963e-08,-0.1113
1.65196e-08,-0.1318
1.65428e-08,-0.1429
1.65661e-08,-0.1516
1.65894e-08,-0.1640
1.66126e-08,-0.1791
1.66359e-08,-0.1892
1.66592e-08,-0.1941
1.66824e-08,-0.2027
1.67057e-08,-0.2173
1.67290e-08,-0.2282
1.67522e-08,-0.2185
1.67755e-08,-0.1830
1.67988e-08,-0.1352
1.68220e-08,-0.0894
1.68453e-08,-0.0461
1.68686e-08,-0.0031
1.68918e-08,0.0386
1.69151e-08,0.0796
1.69384e-08,0.1138
1.69616e-08,0.1298
1.69849e-08,0.1267
1.70082e-08,0.1137
1.70314e-08,0.1000
1.70547e-08,0.0971
1.70780e-08,0.1312
1.71012e-08,0.2220
1.71245e-08,0.3360
1.71478e-08,0.4404
1.71710e-08,0.5510
1.71943e-08,0.6844
1.72176e-08,0.8244
1.72408e-08,0.9590
1.72641e-08,1.0795
1.72874e-08,1.1644
1.73106e-08,1.2059
1.73339e-08,1.2201
1.73572e-08,1.2246
1.73804e-08,1.2244
1.74037e-08,1.2223
1.74270e-08,1.2227
1.74502e-08,1.2286
1.74735e-08,1.2395
1.74968e-08,1.2534
1.75201e-08,1.2726
1.75433e-08,1.3011
1.75666e-08,1.3354
1.75899e-08,1.3595
1.76131e-08,1.3569
1.76364e-08,1.3279
1.76597e-08,1.2871
1.76829e-08,1.2443
1.77062e-08,1.2026
1.77295e-08,1.1639
1.77527e-08,1.1259
1.77760e-08,1.0879
1.77993e-08,1.0601
1.78225e-08,1.0543
