.HEADER
..NAMES
Time,V U2.A3
.DATA
1.09588e-08,1.0734
1.09820e-08,1.0364
1.10053e-08,0.9897
1.10286e-08,0.9183
1.10518e-08,0.8286
1.10751e-08,0.7492
1.10984e-08,0.6819
1.11216e-08,0.5886
1.11449e-08,0.4695
1.11682e-08,0.3472
1.11914e-08,0.2381
1.12147e-08,0.1497
1.12380e-08,0.0778
1.12612e-08,0.0086
1.12845e-08,-0.0554
1.13078e-08,-0.1000
1.13310e-08,-0.1174
1.13543e-08,-0.1139
1.13776e-08,-0.1070
1.14008e-08,-0.1057
1.14241e-08,-0.0847
1.14474e-08,0.0035
1.14706e-08,0.1343
1.14939e-08,0.2313
1.15172e-08,0.3019
1.15404e-08,0.4170
1.15637e-08,0.5738
1.15870e-08,0.7320
1.16102e-08,0.8730
1.16335e-08,0.9907
1.16568e-08,1.0927
1.16800e-08,1.1926
1.17033e-08,1.2853
1.17266e-08,1.3538
1.17498e-08,1.3882
1.17731e-08,1.3969
1.17964e-08,1.3997
1.18196e-08,1.4055
1.18429e-08,1.4041
1.18662e-08,1.3893
1.18894e-08,1.3738
1.19127e-08,1.3696
1.19360e-08,1.3645
1.19592e-08,1.3409
1.19825e-08,1.3095
1.20058e-08,1.2912
1.20290e-08,1.2811
1.20523e-08,1.2618
1.20756e-08,1.2298
1.20988e-08,1.1922
1.21221e-08,1.1591
1.21454e-08,1.1367
1.21686e-08,1.1193
1.21919e-08,1.0962
1.22152e-08,1.0641
1.22384e-08,1.0222
1.22617e-08,0.9686
1.22850e-08,0.8903
1.23082e-08,0.8043
1.23315e-08,0.7343
1.23548e-08,0.6652
1.23780e-08,0.5645
1.24013e-08,0.4434
1.24246e-08,0.3242
1.24478e-08,0.2186
1.24711e-08,0.1326
1.24944e-08,0.0580
1.25176e-08,-0.0147
1.25409e-08,-0.0777
1.25642e-08,-0.1166
1.25874e-08,-0.1272
1.26107e-08,-0.1197
1.26340e-08,-0.1133
1.26572e-08,-0.1175
1.26805e-08,-0.1255
1.27038e-08,-0.1281
1.27270e-08,-0.1264
1.27503e-08,-0.1255
1.27736e-08,-0.1249
1.27968e-08,-0.1208
1.28201e-08,-0.1153
1.28434e-08,-0.1111
1.28667e-08,-0.1027
1.28899e-08,-0.0855
1.29132e-08,-0.0625
1.29365e-08,-0.0376
1.29597e-08,-0.0138
1.29830e-08,0.0088
1.30063e-08,0.0340
1.30295e-08,0.0634
1.30528e-08,0.0913
1.30761e-08,0.1130
1.30993e-08,0.1362
1.31226e-08,0.1847
1.31459e-08,0.2635
1.31691e-08,0.3358
1.31924e-08,0.3963
1.32157e-08,0.4803
1.32389e-08,0.5918
1.32622e-08,0.7105
1.32855e-08,0.8277
1.33087e-08,0.9339
1.33320e-08,1.0238
1.33553e-08,1.1037
1.33785e-08,1.1732
1.34018e-08,1.2253
1.34251e-08,1.2548
1.34483e-08,1.2631
1.34716e-08,1.2557
1.34949e-08,1.2320
1.35181e-08,1.1692
1.35414e-08,1.0613
1.35647e-08,0.9550
1.35879e-08,0.8760
1.36112e-08,0.7822
1.36345e-08,0.6516
1.36577e-08,0.5096
1.36810e-08,0.3799
1.37043e-08,0.2698
1.37275e-08,0.1751
1.37508e-08,0.0829
1.37741e-08,-0.0095
1.37973e-08,-0.0910
1.38206e-08,-0.1477
1.38439e-08,-0.1782
1.38671e-08,-0.1971
1.38904e-08,-0.2190
1.39137e-08,-0.2413
1.39369e-08,-0.2532
1.39602e-08,-0.2537
1.39835e-08,-0.2517
1.40067e-08,-0.2489
1.40300e-08,-0.2353
1.40533e-08,-0.2093
1.40765e-08,-0.1833
1.40998e-08,-0.1617
1.41231e-08,-0.1353
1.41463e-08,-0.1003
1.41696e-08,-0.0619
1.41929e-08,-0.0270
1.42161e-08,0.0002
1.42394e-08,0.0218
1.42627e-08,0.0450
1.42859e-08,0.0724
1.43092e-08,0.0974
1.43325e-08,0.1097
1.43557e-08,0.1072
1.43790e-08,0.0995
1.44023e-08,0.0956
1.44255e-08,0.0943
1.44488e-08,0.0887
1.44721e-08,0.0782
1.44953e-08,0.0687
1.45186e-08,0.0637
1.45419e-08,0.0609
1.45651e-08,0.0570
1.45884e-08,0.0515
1.46117e-08,0.0442
1.46349e-08,0.0349
1.46582e-08,0.0247
1.46815e-08,0.0145
1.47047e-08,0.0052
1.47280e-08,-0.0023
1.47513e-08,-0.0083
1.47745e-08,-0.0153
1.47978e-08,-0.0248
1.48211e-08,-0.0345
1.48443e-08,-0.0398
1.48676e-08,-0.0395
1.48909e-08,-0.0370
1.49141e-08,-0.0356
1.49374e-08,-0.0338
1.49607e-08,-0.0286
1.49839e-08,-0.0197
1.50072e-08,-0.0109
1.50305e-08,-0.0057
1.50537e-08,-0.0046
1.50770e-08,-0.0054
1.51003e-08,-0.0055
1.51236e-08,-0.0041
1.51468e-08,0.0001
1.51701e-08,0.0164
1.51934e-08,0.0656
1.52166e-08,0.1600
1.52399e-08,0.2600
1.52632e-08,0.3359
1.52864e-08,0.4215
1.53097e-08,0.5453
1.53330e-08,0.6821
1.53562e-08,0.8116
1.53795e-08,0.9245
1.54028e-08,1.0171
1.54260e-08,1.0977
1.54493e-08,1.1720
1.54726e-08,1.2312
1.54958e-08,1.2649
1.55191e-08,1.2720
1.55424e-08,1.2648
1.55656e-08,1.2602
1.55889e-08,1.2635
1.56122e-08,1.2686
1.56354e-08,1.2740
1.56587e-08,1.2845
1.56820e-08,1.2985
1.57052e-08,1.3042
1.57285e-08,1.2980
1.57518e-08,1.2910
1.57750e-08,1.2871
1.57983e-08,1.2761
1.58216e-08,1.2525
1.58448e-08,1.2213
1.58681e-08,1.1896
1.58914e-08,1.1634
1.59146e-08,1.1428
1.59379e-08,1.1217
1.59612e-08,1.0944
1.59844e-08,1.0548
1.60077e-08,0.9992
1.60310e-08,0.9183
1.60542e-08,0.8321
1.60775e-08,0.7656
1.61008e-08,0.7023
1.61240e-08,0.6021
1.61473e-08,0.4758
1.61706e-08,0.3502
1.61938e-08,0.2364
1.62171e-08,0.1385
1.62404e-08,0.0526
1.62636e-08,-0.0292
1.62869e-08,-0.0994
1.63102e-08,-0.1430
1.63334e-08,-0.1556
1.63567e-08,-0.1472
1.63800e-08,-0.1360
1.64032e-08,-0.1268
1.64265e-08,-0.0888
1.64498e-08,0.0184
1.64730e-08,0.1508
1.64963e-08,0.2410
1.65196e-08,0.3204
1.65428e-08,0.4517
1.65661e-08,0.6141
1.65894e-08,0.7675
1.66126e-08,0.9001
1.66359e-08,1.0105
1.66592e-08,1.1086
1.66824e-08,1.2046
1.67057e-08,1.2916
1.67290e-08,1.3539
1.67522e-08,1.3858
1.67755e-08,1.3981
1.67988e-08,1.4048
1.68220e-08,1.3986
1.68453e-08,1.3487
1.68686e-08,1.2397
1.68918e-08,1.1228
1.69151e-08,1.0353
1.69384e-08,0.9299
1.69616e-08,0.7734
1.69849e-08,0.6048
1.70082e-08,0.4558
1.70314e-08,0.3232
1.70547e-08,0.2003
1.70780e-08,0.0810
1.71012e-08,-0.0324
1.71245e-08,-0.1254
1.71478e-08,-0.1856
1.71710e-08,-0.2179
1.71943e-08,-0.2388
1.72176e-08,-0.2600
1.72408e-08,-0.2755
1.72641e-08,-0.2753
1.72874e-08,-0.2660
1.73106e-08,-0.2637
1.73339e-08,-0.2680
1.73572e-08,-0.2607
1.73804e-08,-0.2354
1.74037e-08,-0.2087
1.74270e-08,-0.1893
1.74502e-08,-0.1649
1.74735e-08,-0.1279
1.74968e-08,-0.0845
1.75201e-08,-0.0426
1.75433e-08,-0.0067
1.75666e-08,0.0238
1.75899e-08,0.0552
1.76131e-08,0.0900
1.76364e-08,0.1212
1.76597e-08,0.1439
1.76829e-08,0.1680
1.77062e-08,0.2217
1.77295e-08,0.3050
1.77527e-08,0.3742
1.77760e-08,0.4259
1.77993e-08,0.5030
1.78225e-08,0.6095
1.78458e-08,0.7238
1.78691e-08,0.8334
1.78923e-08,0.9281
1.79156e-08,1.0081
1.79389e-08,1.0835
1.79621e-08,1.1508
1.79854e-08,1.2001
1.80087e-08,1.2245
1.80319e-08,1.2278
1.80552e-08,1.2246
1.80785e-08,1.2262
1.81017e-08,1.2289
1.81250e-08,1.2272
1.81483e-08,1.2261
1.81715e-08,1.2334
1.81948e-08,1.2448
1.82181e-08,1.2487
1.82413e-08,1.2469
1.82646e-08,1.2501
1.82879e-08,1.2566
1.83111e-08,1.2560
1.83344e-08,1.2449
1.83577e-08,1.2258
1.83809e-08,1.2038
1.84042e-08,1.1841
1.84275e-08,1.1655
1.84507e-08,1.1426
1.84740e-08,1.1074
1.84973e-08,1.0539
1.85205e-08,0.9745
1.85438e-08,0.8771
1.85671e-08,0.7937
1.85903e-08,0.7299
1.86136e-08,0.6422
1.86369e-08,0.5214
1.86601e-08,0.3944
1.86834e-08,0.2792
1.87067e-08,0.1790
1.87299e-08,0.0945
1.87532e-08,0.0155
1.87765e-08,-0.0588
1.87997e-08,-0.1163
1.88230e-08,-0.1464
1.88463e-08,-0.1518
1.88695e-08,-0.1465
