.HEADER
..NAMES
Time,V U2.L2
.DATA
1.06796e-08,1.2408
1.07028e-08,1.2513
1.07261e-08,1.2594
1.07494e-08,1.2658
1.07726e-08,1.2671
1.07959e-08,1.2593
1.08192e-08,1.2435
1.08424e-08,1.2245
1.08657e-08,1.2062
1.08890e-08,1.1906
1.09122e-08,1.1795
1.09355e-08,1.1748
1.09588e-08,1.1764
1.09820e-08,1.1822
1.10053e-08,1.1899
1.10286e-08,1.1982
1.10518e-08,1.2066
1.10751e-08,1.2131
1.10984e-08,1.2149
1.11216e-08,1.2100
1.11449e-08,1.1997
1.11682e-08,1.1863
1.11914e-08,1.1617
1.12147e-08,1.1120
1.12380e-08,1.0127
1.12612e-08,0.8802
1.12845e-08,0.7555
1.13078e-08,0.6328
1.13310e-08,0.4881
1.13543e-08,0.3327
1.13776e-08,0.1950
1.14008e-08,0.0814
1.14241e-08,0.0016
1.14474e-08,-0.0498
1.14706e-08,-0.0825
1.14939e-08,-0.1078
1.15172e-08,-0.1271
1.15404e-08,-0.1388
1.15637e-08,-0.1477
1.15870e-08,-0.1604
1.16102e-08,-0.1700
1.16335e-08,-0.1718
1.16568e-08,-0.1698
1.16800e-08,-0.1692
1.17033e-08,-0.1669
1.17266e-08,-0.1513
1.17498e-08,-0.1149
1.17731e-08,-0.0696
1.17964e-08,-0.0291
1.18196e-08,0.0070
1.18429e-08,0.0431
1.18662e-08,0.0801
1.18894e-08,0.1142
1.19127e-08,0.1374
1.19360e-08,0.1422
1.19592e-08,0.1306
1.19825e-08,0.1115
1.20058e-08,0.0925
1.20290e-08,0.0743
1.20523e-08,0.0575
1.20756e-08,0.0469
1.20988e-08,0.0436
1.21221e-08,0.0430
1.21454e-08,0.0421
1.21686e-08,0.0412
1.21919e-08,0.0418
1.22152e-08,0.0417
1.22384e-08,0.0349
1.22617e-08,0.0191
1.22850e-08,-0.0013
1.23082e-08,-0.0197
1.23315e-08,-0.0324
1.23548e-08,-0.0402
1.23780e-08,-0.0472
1.24013e-08,-0.0542
1.24246e-08,-0.0577
1.24478e-08,-0.0532
1.24711e-08,-0.0416
1.24944e-08,-0.0272
1.25176e-08,-0.0136
1.25409e-08,-0.0018
1.25642e-08,0.0072
1.25874e-08,0.0117
1.26107e-08,0.0115
1.26340e-08,0.0086
1.26572e-08,0.0047
1.26805e-08,0.0004
1.27038e-08,-0.0042
1.27270e-08,-0.0078
1.27503e-08,-0.0076
1.27736e-08,-0.0018
1.27968e-08,0.0081
1.28201e-08,0.0180
1.28434e-08,0.0239
1.28667e-08,0.0253
1.28899e-08,0.0249
1.29132e-08,0.0241
1.29365e-08,0.0223
1.29597e-08,0.0178
1.29830e-08,0.0108
1.30063e-08,0.0032
1.30295e-08,-0.0032
1.30528e-08,-0.0078
1.30761e-08,-0.0101
1.30993e-08,-0.0103
1.31226e-08,-0.0085
1.31459e-08,-0.0056
1.31691e-08,-0.0022
1.31924e-08,0.0013
1.32157e-08,0.0047
1.32389e-08,0.0077
1.32622e-08,0.0090
1.32855e-08,0.0069
1.33087e-08,0.0017
1.33320e-08,-0.0044
1.33553e-08,-0.0085
1.33785e-08,-0.0097
1.34018e-08,-0.0089
1.34251e-08,-0.0073
1.34483e-08,-0.0049
1.34716e-08,-0.0016
1.34949e-08,0.0025
1.35181e-08,0.0065
1.35414e-08,0.0094
1.35647e-08,0.0105
1.35879e-08,0.0100
1.36112e-08,0.0083
1.36345e-08,0.0060
1.36577e-08,0.0036
1.36810e-08,0.0026
1.37043e-08,0.0099
1.37275e-08,0.0432
1.37508e-08,0.1288
1.37741e-08,0.2504
1.37973e-08,0.3717
1.38206e-08,0.4971
1.38439e-08,0.6469
1.38671e-08,0.8071
1.38904e-08,0.9524
1.39137e-08,1.0729
1.39369e-08,1.1587
1.39602e-08,1.2110
1.39835e-08,1.2390
1.40067e-08,1.2558
1.40300e-08,1.2653
1.40533e-08,1.2681
1.40765e-08,1.2706
1.40998e-08,1.2793
1.41231e-08,1.2890
1.41463e-08,1.2953
1.41696e-08,1.3005
1.41929e-08,1.3087
1.42161e-08,1.3158
1.42394e-08,1.3082
1.42627e-08,1.2782
1.42859e-08,1.2372
1.43092e-08,1.1980
1.43325e-08,1.1615
1.43557e-08,1.1250
1.43790e-08,1.0891
1.44023e-08,1.0571
1.44255e-08,1.0370
1.44488e-08,1.0362
1.44721e-08,1.0539
1.44953e-08,1.0811
1.45186e-08,1.1095
1.45419e-08,1.1369
1.45651e-08,1.1612
1.45884e-08,1.1772
1.46117e-08,1.1836
1.46349e-08,1.1845
1.46582e-08,1.1834
1.46815e-08,1.1804
1.47047e-08,1.1749
1.47280e-08,1.1703
1.47513e-08,1.1733
1.47745e-08,1.1866
1.47978e-08,1.2062
1.48211e-08,1.2257
1.48443e-08,1.2403
1.48676e-08,1.2499
1.48909e-08,1.2573
1.49141e-08,1.2635
1.49374e-08,1.2650
1.49607e-08,1.2579
1.49839e-08,1.2430
1.50072e-08,1.2248
1.50305e-08,1.2073
1.50537e-08,1.1922
1.50770e-08,1.1814
1.51003e-08,1.1766
1.51236e-08,1.1777
1.51468e-08,1.1827
1.51701e-08,1.1895
1.51934e-08,1.1972
1.52166e-08,1.2052
1.52399e-08,1.2116
1.52632e-08,1.2136
1.52864e-08,1.2090
1.53097e-08,1.1991
1.53330e-08,1.1862
1.53562e-08,1.1623
1.53795e-08,1.1133
1.54028e-08,1.0141
1.54260e-08,0.8815
1.54493e-08,0.7572
1.54726e-08,0.6343
1.54958e-08,0.4887
1.55191e-08,0.3328
1.55424e-08,0.1950
1.55656e-08,0.0809
1.55889e-08,0.0009
1.56122e-08,-0.0504
1.56354e-08,-0.0829
1.56587e-08,-0.1079
1.56820e-08,-0.1267
1.57052e-08,-0.1379
1.57285e-08,-0.1466
1.57518e-08,-0.1595
1.57750e-08,-0.1694
1.57983e-08,-0.1714
1.58216e-08,-0.1698
1.58448e-08,-0.1695
1.58681e-08,-0.1676
1.58914e-08,-0.1522
1.59146e-08,-0.1157
1.59379e-08,-0.0704
1.59612e-08,-0.0298
1.59844e-08,0.0065
1.60077e-08,0.0430
1.60310e-08,0.0802
1.60542e-08,0.1145
1.60775e-08,0.1378
1.61008e-08,0.1426
1.61240e-08,0.1309
1.61473e-08,0.1118
1.61706e-08,0.0928
1.61938e-08,0.0781
1.62171e-08,0.0796
1.62404e-08,0.1250
1.62636e-08,0.2243
1.62869e-08,0.3388
1.63102e-08,0.4495
1.63334e-08,0.5764
1.63567e-08,0.7266
1.63800e-08,0.8732
1.64032e-08,0.9963
1.64265e-08,1.0842
1.64498e-08,1.1370
1.64730e-08,1.1650
1.64963e-08,1.1838
1.65196e-08,1.1994
1.65428e-08,1.2079
1.65661e-08,1.2104
1.65894e-08,1.2184
1.66126e-08,1.2363
1.66359e-08,1.2579
1.66592e-08,1.2785
1.66824e-08,1.2992
1.67057e-08,1.3198
1.67290e-08,1.3300
1.67522e-08,1.3157
1.67755e-08,1.2797
1.67988e-08,1.2380
1.68220e-08,1.1986
1.68453e-08,1.1594
1.68686e-08,1.1196
1.68918e-08,1.0821
1.69151e-08,1.0550
1.69384e-08,1.0481
1.69616e-08,1.0636
1.69849e-08,1.0917
1.70082e-08,1.1143
1.70314e-08,1.1119
1.70547e-08,1.0679
1.70780e-08,0.9649
1.71012e-08,0.8389
1.71245e-08,0.7131
1.71478e-08,0.5699
1.71710e-08,0.3997
1.71943e-08,0.2326
1.72176e-08,0.0885
1.72408e-08,-0.0183
1.72641e-08,-0.0770
1.72874e-08,-0.0980
1.73106e-08,-0.0995
1.73339e-08,-0.0973
1.73572e-08,-0.0931
1.73804e-08,-0.0863
1.74037e-08,-0.0828
1.74270e-08,-0.0874
1.74502e-08,-0.0984
1.74735e-08,-0.1178
1.74968e-08,-0.1447
1.75201e-08,-0.1717
1.75433e-08,-0.1857
1.75666e-08,-0.1733
1.75899e-08,-0.1350
1.76131e-08,-0.0876
1.76364e-08,-0.0401
1.76597e-08,0.0093
1.76829e-08,0.0608
1.77062e-08,0.1109
1.77295e-08,0.1517
1.77527e-08,0.1713
1.77760e-08,0.1636
1.77993e-08,0.1351
1.78225e-08,0.0993
1.78458e-08,0.0676
1.78691e-08,0.0489
1.78923e-08,0.0620
1.79156e-08,0.1337
1.79389e-08,0.2482
1.79621e-08,0.3689
1.79854e-08,0.4969
1.80087e-08,0.6526
1.80319e-08,0.8206
1.80552e-08,0.9693
1.80785e-08,1.0814
1.81017e-08,1.1495
1.81250e-08,1.1807
1.81483e-08,1.1909
1.81715e-08,1.1955
1.81948e-08,1.1968
1.82181e-08,1.1925
1.82413e-08,1.1905
1.82646e-08,1.2026
1.82879e-08,1.2280
1.83111e-08,1.2591
1.83344e-08,1.2910
1.83577e-08,1.3216
1.83809e-08,1.3444
1.84042e-08,1.3452
1.84275e-08,1.3169
1.84507e-08,1.2718
1.84740e-08,1.2248
1.84973e-08,1.1783
1.85205e-08,1.1306
1.85438e-08,1.0843
1.85671e-08,1.0464
1.85903e-08,1.0278
1.86136e-08,1.0355
1.86369e-08,1.0651
1.86601e-08,1.1014
1.86834e-08,1.1228
1.87067e-08,1.1126
1.87299e-08,1.0481
1.87532e-08,0.9311
1.87765e-08,0.8038
1.87997e-08,0.6696
1.88230e-08,0.5076
1.88463e-08,0.3265
1.88695e-08,0.1618
1.88928e-08,0.0271
1.89161e-08,-0.0593
1.89393e-08,-0.0977
1.89626e-08,-0.1038
1.89859e-08,-0.0981
1.90091e-08,-0.0908
1.90324e-08,-0.0813
1.90557e-08,-0.0719
1.90789e-08,-0.0713
1.91022e-08,-0.0807
1.91255e-08,-0.0991
1.91487e-08,-0.1269
1.91720e-08,-0.1597
1.91953e-08,-0.1867
1.92185e-08,-0.1934
1.92418e-08,-0.1698
1.92651e-08,-0.1251
1.92883e-08,-0.0756
1.93116e-08,-0.0246
1.93349e-08,0.0296
1.93581e-08,0.0853
1.93814e-08,0.1362
1.94047e-08,0.1714
1.94279e-08,0.1792
1.94512e-08,0.1594
1.94745e-08,0.1231
1.94977e-08,0.0847
1.95210e-08,0.0515
1.95443e-08,0.0252
1.95675e-08,0.0084
1.95908e-08,0.0023
1.96141e-08,0.0049
1.96373e-08,0.0146
1.96606e-08,0.0306
1.96839e-08,0.0496
1.97071e-08,0.0651
1.97304e-08,0.0685
1.97537e-08,0.0559
1.97769e-08,0.0321
1.98002e-08,0.0050
1.98235e-08,-0.0195
1.98468e-08,-0.0398
1.98700e-08,-0.0579
1.98933e-08,-0.0738
1.99166e-08,-0.0826
1.99398e-08,-0.0783
1.99631e-08,-0.0602
1.99864e-08,-0.0342
2.00096e-08,-0.0080
2.00329e-08,0.0133
2.00562e-08,0.0273
2.00794e-08,0.0330
2.01027e-08,0.0317
2.01260e-08,0.0250
2.01492e-08,0.0141
2.01725e-08,0.0004
