.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
7.5618e-09,0.1227
7.5850e-09,0.2407
7.6083e-09,0.3481
7.6316e-09,0.4627
7.6548e-09,0.5684
7.6781e-09,0.6408
7.7014e-09,0.6721
7.7246e-09,0.6755
7.7479e-09,0.6749
7.7712e-09,0.6828
7.7944e-09,0.6941
7.8177e-09,0.6966
7.8410e-09,0.6832
7.8642e-09,0.6466
7.8875e-09,0.5598
7.9108e-09,0.4060
7.9340e-09,0.2086
7.9573e-09,0.0161
7.9806e-09,-0.1341
8.0038e-09,-0.2489
8.0271e-09,-0.3560
8.0504e-09,-0.4710
8.0736e-09,-0.5755
8.0969e-09,-0.6456
8.1202e-09,-0.6738
8.1435e-09,-0.6750
8.1667e-09,-0.6735
8.1900e-09,-0.6816
8.2133e-09,-0.6931
8.2365e-09,-0.6949
8.2598e-09,-0.6800
8.2831e-09,-0.6399
8.3063e-09,-0.5464
8.3296e-09,-0.3868
8.3529e-09,-0.1875
8.3761e-09,0.0021
8.3994e-09,0.1485
8.4227e-09,0.2620
8.4459e-09,0.3704
8.4692e-09,0.4855
8.4925e-09,0.5860
8.5157e-09,0.6503
8.5390e-09,0.6741
8.5623e-09,0.6750
8.5855e-09,0.6756
8.6088e-09,0.6852
8.6321e-09,0.6956
8.6553e-09,0.6953
8.6786e-09,0.6782
8.7019e-09,0.6344
8.7251e-09,0.5343
8.7484e-09,0.3689
8.7717e-09,0.1684
8.7949e-09,-0.0172
8.8182e-09,-0.1587
8.8415e-09,-0.2698
8.8647e-09,-0.3784
8.8880e-09,-0.4935
8.9113e-09,-0.5926
8.9345e-09,-0.6543
8.9578e-09,-0.6753
8.9811e-09,-0.6742
9.0043e-09,-0.6743
9.0276e-09,-0.6841
9.0509e-09,-0.6945
9.0741e-09,-0.6934
9.0974e-09,-0.6746
9.1207e-09,-0.6265
9.1439e-09,-0.5195
9.1672e-09,-0.3490
9.1905e-09,-0.1476
9.2137e-09,0.0345
9.2370e-09,0.1725
9.2603e-09,0.2829
9.2835e-09,0.3929
9.3068e-09,0.5074
9.3301e-09,0.6019
9.3533e-09,0.6578
9.3766e-09,0.6752
9.3999e-09,0.6745
9.4231e-09,0.6769
9.4464e-09,0.6876
9.4697e-09,0.6967
9.4929e-09,0.6933
9.5162e-09,0.6723
9.5395e-09,0.6198
9.5627e-09,0.5061
9.5860e-09,0.3305
9.6093e-09,0.1289
9.6325e-09,-0.0485
9.6558e-09,-0.1820
9.6791e-09,-0.2905
9.7023e-09,-0.4010
9.7256e-09,-0.5152
9.7489e-09,-0.6080
9.7721e-09,-0.6611
9.7954e-09,-0.6759
9.8187e-09,-0.6736
9.8419e-09,-0.6756
9.8652e-09,-0.6866
9.8885e-09,-0.6954
9.9117e-09,-0.6911
9.9350e-09,-0.6682
9.9583e-09,-0.6107
9.9815e-09,-0.4901
1.00048e-08,-0.3101
1.00281e-08,-0.1087
1.00513e-08,0.0648
1.00746e-08,0.1954
1.00979e-08,0.3038
1.01211e-08,0.4157
1.01444e-08,0.5284
1.01677e-08,0.6161
1.01909e-08,0.6637
1.02142e-08,0.6756
1.02375e-08,0.6743
1.02607e-08,0.6785
1.02840e-08,0.6900
1.03073e-08,0.6972
1.03305e-08,0.6906
1.03538e-08,0.6653
1.03771e-08,0.6028
1.04003e-08,0.4754
1.04236e-08,0.2912
1.04469e-08,0.0907
1.04702e-08,-0.0777
1.04934e-08,-0.2042
1.05167e-08,-0.3114
1.05400e-08,-0.4238
1.05632e-08,-0.5359
1.05865e-08,-0.6217
1.06098e-08,-0.6664
1.06330e-08,-0.6758
1.06563e-08,-0.6732
1.06796e-08,-0.6773
1.07028e-08,-0.6890
1.07261e-08,-0.6958
