.HEADER
..NAMES
Time,V U2.T8
.DATA
1.44255e-08,0.0792
1.44488e-08,0.1136
1.44721e-08,0.1321
1.44953e-08,0.1402
1.45186e-08,0.1386
1.45419e-08,0.1298
1.45651e-08,0.1282
1.45884e-08,0.1635
1.46117e-08,0.2475
1.46349e-08,0.3405
1.46582e-08,0.4212
1.46815e-08,0.5237
1.47047e-08,0.6738
1.47280e-08,0.8371
1.47513e-08,0.9734
1.47745e-08,1.0811
1.47978e-08,1.1640
1.48211e-08,1.2217
1.48443e-08,1.2558
1.48676e-08,1.2715
1.48909e-08,1.2738
1.49141e-08,1.2662
1.49374e-08,1.2516
1.49607e-08,1.2321
1.49839e-08,1.2172
1.50072e-08,1.2167
1.50305e-08,1.2298
1.50537e-08,1.2511
1.50770e-08,1.2767
1.51003e-08,1.3002
1.51236e-08,1.3094
1.51468e-08,1.3019
1.51701e-08,1.2896
1.51934e-08,1.2784
1.52166e-08,1.2555
1.52399e-08,1.2096
1.52632e-08,1.1523
1.52864e-08,1.1044
1.53097e-08,1.0740
1.53330e-08,1.0580
1.53562e-08,1.0539
1.53795e-08,1.0619
1.54028e-08,1.0808
1.54260e-08,1.1065
1.54493e-08,1.1340
1.54726e-08,1.1615
1.54958e-08,1.1887
1.55191e-08,1.2108
1.55424e-08,1.2211
1.55656e-08,1.2182
1.55889e-08,1.2072
1.56122e-08,1.1933
1.56354e-08,1.1800
1.56587e-08,1.1707
1.56820e-08,1.1665
1.57052e-08,1.1644
1.57285e-08,1.1640
1.57518e-08,1.1708
1.57750e-08,1.1894
1.57983e-08,1.2160
1.58216e-08,1.2407
1.58448e-08,1.2573
1.58681e-08,1.2657
1.58914e-08,1.2673
1.59146e-08,1.2623
1.59379e-08,1.2503
1.59612e-08,1.2335
1.59844e-08,1.2152
1.60077e-08,1.1973
1.60310e-08,1.1804
1.60542e-08,1.1674
1.60775e-08,1.1624
1.61008e-08,1.1664
1.61240e-08,1.1763
1.61473e-08,1.1877
1.61706e-08,1.1982
1.61938e-08,1.2070
1.62171e-08,1.2139
1.62404e-08,1.2194
1.62636e-08,1.2227
1.62869e-08,1.2214
1.63102e-08,1.2136
1.63334e-08,1.2009
1.63567e-08,1.1875
1.63800e-08,1.1773
1.64032e-08,1.1712
1.64265e-08,1.1687
1.64498e-08,1.1699
1.64730e-08,1.1752
1.64963e-08,1.1841
1.65196e-08,1.1949
1.65428e-08,1.2063
1.65661e-08,1.2171
1.65894e-08,1.2253
1.66126e-08,1.2284
1.66359e-08,1.2256
1.66592e-08,1.2187
1.66824e-08,1.2105
1.67057e-08,1.2030
1.67290e-08,1.1964
1.67522e-08,1.1908
1.67755e-08,1.1864
1.67988e-08,1.1838
1.68220e-08,1.1844
1.68453e-08,1.1884
1.68686e-08,1.1953
1.68918e-08,1.2028
1.69151e-08,1.2092
1.69384e-08,1.2137
1.69616e-08,1.2162
1.69849e-08,1.2167
1.70082e-08,1.2150
1.70314e-08,1.2110
1.70547e-08,1.2051
1.70780e-08,1.1982
1.71012e-08,1.1912
1.71245e-08,1.1856
1.71478e-08,1.1830
1.71710e-08,1.1841
1.71943e-08,1.1880
1.72176e-08,1.1932
1.72408e-08,1.1983
1.72641e-08,1.2031
1.72874e-08,1.2073
1.73106e-08,1.2106
1.73339e-08,1.2122
1.73572e-08,1.2118
1.73804e-08,1.2092
1.74037e-08,1.2051
1.74270e-08,1.2006
1.74502e-08,1.1966
1.74735e-08,1.1937
1.74968e-08,1.1919
1.75201e-08,1.1911
1.75433e-08,1.1915
1.75666e-08,1.1932
1.75899e-08,1.1962
1.76131e-08,1.2001
1.76364e-08,1.2044
1.76597e-08,1.2082
1.76829e-08,1.2103
1.77062e-08,1.2104
1.77295e-08,1.2087
1.77527e-08,1.2059
1.77760e-08,1.2027
1.77993e-08,1.1994
1.78225e-08,1.1962
1.78458e-08,1.1911
1.78691e-08,1.1722
1.78923e-08,1.1236
1.79156e-08,1.0247
1.79389e-08,0.8993
1.79621e-08,0.7884
1.79854e-08,0.6803
1.80087e-08,0.5347
1.80319e-08,0.3613
1.80552e-08,0.2112
1.80785e-08,0.0977
1.81017e-08,0.0082
1.81250e-08,-0.0616
1.81483e-08,-0.1117
1.81715e-08,-0.1413
1.81948e-08,-0.1552
1.82181e-08,-0.1615
1.82413e-08,-0.1673
1.82646e-08,-0.1690
1.82879e-08,-0.1634
1.83111e-08,-0.1601
1.83344e-08,-0.1661
1.83577e-08,-0.1779
1.83809e-08,-0.1886
1.84042e-08,-0.1939
1.84275e-08,-0.1874
1.84507e-08,-0.1645
1.84740e-08,-0.1336
1.84973e-08,-0.1062
1.85205e-08,-0.0778
1.85438e-08,-0.0341
1.85671e-08,0.0231
1.85903e-08,0.0747
1.86136e-08,0.1087
1.86369e-08,0.1276
1.86601e-08,0.1367
1.86834e-08,0.1362
1.87067e-08,0.1249
1.87299e-08,0.1055
1.87532e-08,0.0849
1.87765e-08,0.0676
1.87997e-08,0.0517
1.88230e-08,0.0356
1.88463e-08,0.0246
1.88695e-08,0.0241
1.88928e-08,0.0313
1.89161e-08,0.0395
1.89393e-08,0.0447
1.89626e-08,0.0452
1.89859e-08,0.0409
1.90091e-08,0.0343
1.90324e-08,0.0281
1.90557e-08,0.0199
1.90789e-08,0.0044
1.91022e-08,-0.0179
1.91255e-08,-0.0400
1.91487e-08,-0.0554
1.91720e-08,-0.0629
1.91953e-08,-0.0648
1.92185e-08,-0.0616
1.92418e-08,-0.0525
1.92651e-08,-0.0386
1.92883e-08,-0.0234
1.93116e-08,-0.0098
1.93349e-08,0.0023
1.93581e-08,0.0130
1.93814e-08,0.0192
1.94047e-08,0.0179
1.94279e-08,0.0105
1.94512e-08,0.0018
1.94745e-08,-0.0048
1.94977e-08,-0.0086
1.95210e-08,-0.0099
1.95443e-08,-0.0038
1.95675e-08,0.0264
1.95908e-08,0.1075
1.96141e-08,0.2297
1.96373e-08,0.3504
1.96606e-08,0.4616
1.96839e-08,0.5982
1.97071e-08,0.7637
1.97304e-08,0.9182
1.97537e-08,1.0374
1.97769e-08,1.1272
1.98002e-08,1.1937
1.98235e-08,1.2381
1.98468e-08,1.2618
1.98700e-08,1.2688
1.98933e-08,1.2684
1.99166e-08,1.2705
1.99398e-08,1.2753
1.99631e-08,1.2781
1.99864e-08,1.2818
2.00096e-08,1.2923
2.00329e-08,1.3080
2.00562e-08,1.3245
2.00794e-08,1.3376
2.01027e-08,1.3396
2.01260e-08,1.3226
2.01492e-08,1.2920
2.01725e-08,1.2618
2.01958e-08,1.2339
2.02190e-08,1.1963
2.02423e-08,1.1461
2.02656e-08,1.0978
2.02888e-08,1.0655
2.03121e-08,1.0503
2.03354e-08,1.0476
2.03586e-08,1.0555
2.03819e-08,1.0746
2.04052e-08,1.1023
2.04284e-08,1.1313
2.04517e-08,1.1549
2.04750e-08,1.1725
2.04982e-08,1.1869
2.05215e-08,1.1961
2.05448e-08,1.1959
2.05680e-08,1.1870
2.05913e-08,1.1751
2.06146e-08,1.1653
2.06378e-08,1.1611
2.06611e-08,1.1643
2.06844e-08,1.1727
2.07076e-08,1.1819
2.07309e-08,1.1917
2.07542e-08,1.2060
2.07774e-08,1.2262
2.08007e-08,1.2469
2.08240e-08,1.2615
2.08472e-08,1.2677
2.08705e-08,1.2671
2.08938e-08,1.2607
2.09170e-08,1.2483
2.09403e-08,1.2307
2.09636e-08,1.2119
2.09868e-08,1.1960
2.10101e-08,1.1836
2.10334e-08,1.1744
2.10566e-08,1.1697
2.10799e-08,1.1724
2.11032e-08,1.1819
2.11264e-08,1.1942
2.11497e-08,1.2049
2.11730e-08,1.2119
2.11962e-08,1.2147
2.12195e-08,1.2145
2.12428e-08,1.2125
2.12660e-08,1.2087
2.12893e-08,1.2022
2.13126e-08,1.1929
2.13358e-08,1.1829
2.13591e-08,1.1753
2.13824e-08,1.1715
2.14056e-08,1.1713
2.14289e-08,1.1742
2.14522e-08,1.1802
2.14754e-08,1.1889
2.14987e-08,1.1989
2.15220e-08,1.2082
2.15452e-08,1.2161
2.15685e-08,1.2222
2.15918e-08,1.2252
2.16150e-08,1.2235
2.16383e-08,1.2169
2.16616e-08,1.2080
2.16848e-08,1.1995
2.17081e-08,1.1933
2.17314e-08,1.1894
2.17546e-08,1.1877
2.17779e-08,1.1880
2.18012e-08,1.1903
2.18244e-08,1.1946
2.18477e-08,1.2004
2.18710e-08,1.2064
2.18942e-08,1.2112
2.19175e-08,1.2139
2.19408e-08,1.2144
2.19640e-08,1.2132
2.19873e-08,1.2104
2.20106e-08,1.2063
2.20338e-08,1.2014
2.20571e-08,1.1965
2.20804e-08,1.1918
2.21037e-08,1.1878
2.21269e-08,1.1855
2.21502e-08,1.1860
2.21735e-08,1.1894
2.21967e-08,1.1946
2.22200e-08,1.2001
2.22433e-08,1.2048
2.22665e-08,1.2082
2.22898e-08,1.2103
2.23131e-08,1.2108
2.23363e-08,1.2095
2.23596e-08,1.2066
2.23829e-08,1.2026
2.24061e-08,1.1984
2.24294e-08,1.1949
2.24527e-08,1.1928
2.24759e-08,1.1923
2.24992e-08,1.1930
2.25225e-08,1.1946
2.25457e-08,1.1968
2.25690e-08,1.1994
2.25923e-08,1.2021
2.26155e-08,1.2047
2.26388e-08,1.2071
2.26621e-08,1.2086
2.26853e-08,1.2087
2.27086e-08,1.2072
2.27319e-08,1.2046
2.27551e-08,1.2016
2.27784e-08,1.1987
2.28017e-08,1.1961
2.28249e-08,1.1941
2.28482e-08,1.1891
2.28715e-08,1.1675
2.28947e-08,1.1118
2.29180e-08,1.0047
2.29413e-08,0.8805
2.29645e-08,0.7722
2.29878e-08,0.6586
2.30111e-08,0.5034
2.30343e-08,0.3296
2.30576e-08,0.1856
2.30809e-08,0.0758
2.31041e-08,-0.0106
2.31274e-08,-0.0767
2.31507e-08,-0.1220
2.31739e-08,-0.1467
2.31972e-08,-0.1571
2.32205e-08,-0.1616
2.32437e-08,-0.1663
2.32670e-08,-0.1658
2.32903e-08,-0.1595
2.33135e-08,-0.1581
2.33368e-08,-0.1663
2.33601e-08,-0.1791
2.33833e-08,-0.1900
2.34066e-08,-0.1947
2.34299e-08,-0.1858
2.34531e-08,-0.1607
2.34764e-08,-0.1300
2.34997e-08,-0.1032
2.35229e-08,-0.0724
2.35462e-08,-0.0247
2.35695e-08,0.0337
