.HEADER
..NAMES
Time,V U2.C8
.DATA
8.4227e-09,0.0791
8.4459e-09,0.0703
8.4692e-09,0.0641
8.4925e-09,0.0619
8.5157e-09,0.0600
8.5390e-09,0.0556
8.5623e-09,0.0488
8.5855e-09,0.0391
8.6088e-09,0.0261
8.6321e-09,0.0096
8.6553e-09,-0.0093
8.6786e-09,-0.0256
8.7019e-09,-0.0341
8.7251e-09,-0.0356
8.7484e-09,-0.0357
8.7717e-09,-0.0383
8.7949e-09,-0.0417
8.8182e-09,-0.0421
8.8415e-09,-0.0386
8.8647e-09,-0.0323
8.8880e-09,-0.0241
8.9113e-09,-0.0151
8.9345e-09,-0.0074
8.9578e-09,-0.0033
8.9811e-09,-0.0025
9.0043e-09,-0.0034
9.0276e-09,-0.0040
9.0509e-09,-0.0039
9.0741e-09,-0.0039
9.0974e-09,-0.0036
9.1207e-09,-0.0003
9.1439e-09,0.0069
9.1672e-09,0.0156
9.1905e-09,0.0219
9.2137e-09,0.0239
9.2370e-09,0.0228
9.2603e-09,0.0202
9.2835e-09,0.0175
9.3068e-09,0.0155
9.3301e-09,0.0144
9.3533e-09,0.0136
9.3766e-09,0.0116
9.3999e-09,0.0078
9.4231e-09,0.0030
9.4464e-09,-0.0007
9.4697e-09,-0.0020
9.4929e-09,-0.0014
9.5162e-09,-0.0005
9.5395e-09,0.0004
9.5627e-09,0.0020
9.5860e-09,0.0039
9.6093e-09,0.0049
9.6325e-09,0.0040
9.6558e-09,0.0011
9.6791e-09,-0.0026
9.7023e-09,-0.0059
9.7256e-09,-0.0077
9.7489e-09,-0.0074
9.7721e-09,-0.0050
9.7954e-09,-0.0018
9.8187e-09,0.0006
9.8419e-09,0.0013
9.8652e-09,0.0011
9.8885e-09,0.0013
9.9117e-09,0.0026
9.9350e-09,0.0042
9.9583e-09,0.0054
9.9815e-09,0.0058
1.00048e-08,0.0057
1.00281e-08,0.0052
1.00513e-08,0.0041
1.00746e-08,0.0028
1.00979e-08,0.0016
1.01211e-08,0.0008
1.01444e-08,0.0007
1.01677e-08,0.0016
1.01909e-08,0.0033
1.02142e-08,0.0056
1.02375e-08,0.0073
1.02607e-08,0.0074
1.02840e-08,0.0059
1.03073e-08,0.0037
1.03305e-08,0.0020
1.03538e-08,0.0012
1.03771e-08,0.0013
1.04003e-08,0.0015
1.04236e-08,0.0016
1.04469e-08,0.0015
1.04702e-08,0.0012
1.04934e-08,0.0009
1.05167e-08,0.0009
1.05400e-08,0.0012
1.05632e-08,0.0018
1.05865e-08,0.0024
1.06098e-08,0.0030
1.06330e-08,0.0035
1.06563e-08,0.0051
1.06796e-08,0.0154
1.07028e-08,0.0525
1.07261e-08,0.1396
1.07494e-08,0.2473
1.07726e-08,0.3416
1.07959e-08,0.4346
1.08192e-08,0.5399
1.08424e-08,0.6509
1.08657e-08,0.7695
1.08890e-08,0.8892
1.09122e-08,0.9965
1.09355e-08,1.0857
1.09588e-08,1.1515
1.09820e-08,1.1955
1.10053e-08,1.2238
1.10286e-08,1.2461
1.10518e-08,1.2685
1.10751e-08,1.2850
1.10984e-08,1.2908
1.11216e-08,1.2931
1.11449e-08,1.3048
1.11682e-08,1.3234
1.11914e-08,1.3315
1.12147e-08,1.3212
1.12380e-08,1.2972
1.12612e-08,1.2637
1.12845e-08,1.2287
1.13078e-08,1.1993
1.13310e-08,1.1751
1.13543e-08,1.1543
1.13776e-08,1.1347
1.14008e-08,1.1129
1.14241e-08,1.0911
1.14474e-08,1.0769
1.14706e-08,1.0772
1.14939e-08,1.0898
1.15172e-08,1.1045
1.15404e-08,1.1159
1.15637e-08,1.1267
1.15870e-08,1.1396
1.16102e-08,1.1520
1.16335e-08,1.1596
1.16568e-08,1.1617
1.16800e-08,1.1599
1.17033e-08,1.1578
1.17266e-08,1.1606
1.17498e-08,1.1705
1.17731e-08,1.1867
1.17964e-08,1.2063
1.18196e-08,1.2229
1.18429e-08,1.2315
1.18662e-08,1.2334
1.18894e-08,1.2326
1.19127e-08,1.2204
1.19360e-08,1.1811
1.19592e-08,1.0868
1.19825e-08,0.9635
1.20058e-08,0.8554
1.20290e-08,0.7511
1.20523e-08,0.6325
1.20756e-08,0.5086
1.20988e-08,0.3785
1.21221e-08,0.2480
1.21454e-08,0.1351
1.21686e-08,0.0443
1.21919e-08,-0.0191
1.22152e-08,-0.0578
1.22384e-08,-0.0818
1.22617e-08,-0.1049
1.22850e-08,-0.1344
1.23082e-08,-0.1612
1.23315e-08,-0.1751
1.23548e-08,-0.1810
1.23780e-08,-0.1924
1.24013e-08,-0.2095
1.24246e-08,-0.2144
1.24478e-08,-0.1984
1.24711e-08,-0.1678
1.24944e-08,-0.1273
1.25176e-08,-0.0842
1.25409e-08,-0.0470
1.25642e-08,-0.0150
1.25874e-08,0.0135
1.26107e-08,0.0402
1.26340e-08,0.0691
1.26572e-08,0.0982
1.26805e-08,0.1180
1.27038e-08,0.1201
1.27270e-08,0.1073
1.27503e-08,0.0924
1.27736e-08,0.0835
1.27968e-08,0.0784
1.28201e-08,0.0727
1.28434e-08,0.0670
1.28667e-08,0.0643
1.28899e-08,0.0647
1.29132e-08,0.0665
1.29365e-08,0.0669
1.29597e-08,0.0619
1.29830e-08,0.0495
1.30063e-08,0.0308
1.30295e-08,0.0084
1.30528e-08,-0.0114
1.30761e-08,-0.0226
1.30993e-08,-0.0263
1.31226e-08,-0.0292
1.31459e-08,-0.0361
1.31691e-08,-0.0443
1.31924e-08,-0.0478
1.32157e-08,-0.0442
1.32389e-08,-0.0354
1.32622e-08,-0.0251
1.32855e-08,-0.0159
1.33087e-08,-0.0094
1.33320e-08,-0.0059
1.33553e-08,-0.0047
1.33785e-08,-0.0049
1.34018e-08,-0.0058
1.34251e-08,-0.0074
1.34483e-08,-0.0101
1.34716e-08,-0.0123
1.34949e-08,-0.0102
1.35181e-08,-0.0018
1.35414e-08,0.0097
1.35647e-08,0.0190
1.35879e-08,0.0228
1.36112e-08,0.0221
1.36345e-08,0.0202
1.36577e-08,0.0190
1.36810e-08,0.0191
1.37043e-08,0.0192
1.37275e-08,0.0178
1.37508e-08,0.0142
1.37741e-08,0.0086
1.37973e-08,0.0029
1.38206e-08,-0.0009
1.38439e-08,-0.0018
1.38671e-08,-0.0009
1.38904e-08,-0.0002
1.39137e-08,0.0005
1.39369e-08,0.0022
1.39602e-08,0.0053
1.39835e-08,0.0080
1.40067e-08,0.0081
1.40300e-08,0.0048
1.40533e-08,-0.0006
1.40765e-08,-0.0058
1.40998e-08,-0.0086
1.41231e-08,-0.0085
1.41463e-08,-0.0062
1.41696e-08,-0.0032
1.41929e-08,-0.0014
1.42161e-08,-0.0011
1.42394e-08,-0.0011
1.42627e-08,-0.0001
1.42859e-08,0.0024
1.43092e-08,0.0050
1.43325e-08,0.0064
1.43557e-08,0.0064
1.43790e-08,0.0058
1.44023e-08,0.0058
1.44255e-08,0.0131
1.44488e-08,0.0432
1.44721e-08,0.1219
1.44953e-08,0.2297
1.45186e-08,0.3232
1.45419e-08,0.4149
1.45651e-08,0.5212
1.45884e-08,0.6328
1.46117e-08,0.7509
1.46349e-08,0.8721
1.46582e-08,0.9796
1.46815e-08,1.0702
1.47047e-08,1.1388
1.47280e-08,1.1860
1.47513e-08,1.2170
1.47745e-08,1.2399
1.47978e-08,1.2627
1.48211e-08,1.2804
1.48443e-08,1.2873
1.48676e-08,1.2897
1.48909e-08,1.3007
1.49141e-08,1.3206
1.49374e-08,1.3317
1.49607e-08,1.3240
1.49839e-08,1.3024
1.50072e-08,1.2700
1.50305e-08,1.2255
1.50537e-08,1.1644
1.50770e-08,1.0608
1.51003e-08,0.9200
1.51236e-08,0.7901
1.51468e-08,0.6729
1.51701e-08,0.5456
1.51934e-08,0.4163
1.52166e-08,0.2942
1.52399e-08,0.1779
1.52632e-08,0.0748
1.52864e-08,-0.0128
1.53097e-08,-0.0770
1.53330e-08,-0.1141
1.53562e-08,-0.1322
1.53795e-08,-0.1459
1.54028e-08,-0.1653
1.54260e-08,-0.1866
1.54493e-08,-0.1986
1.54726e-08,-0.1987
1.54958e-08,-0.1976
1.55191e-08,-0.2011
1.55424e-08,-0.1957
1.55656e-08,-0.1716
1.55889e-08,-0.1371
1.56122e-08,-0.0977
1.56354e-08,-0.0548
1.56587e-08,-0.0143
1.56820e-08,0.0203
1.57052e-08,0.0476
1.57285e-08,0.0681
1.57518e-08,0.0873
1.57750e-08,0.1077
1.57983e-08,0.1238
1.58216e-08,0.1272
1.58448e-08,0.1161
1.58681e-08,0.1000
1.58914e-08,0.0881
1.59146e-08,0.0806
1.59379e-08,0.0733
1.59612e-08,0.0668
1.59844e-08,0.0638
1.60077e-08,0.0626
1.60310e-08,0.0598
1.60542e-08,0.0546
1.60775e-08,0.0462
1.61008e-08,0.0340
1.61240e-08,0.0178
1.61473e-08,-0.0018
1.61706e-08,-0.0209
1.61938e-08,-0.0331
1.62171e-08,-0.0369
1.62404e-08,-0.0370
1.62636e-08,-0.0390
1.62869e-08,-0.0428
1.63102e-08,-0.0441
1.63334e-08,-0.0407
1.63567e-08,-0.0337
1.63800e-08,-0.0252
1.64032e-08,-0.0163
1.64265e-08,-0.0086
1.64498e-08,-0.0041
1.64730e-08,-0.0032
