.HEADER
..NAMES
Time,V U2.M8
.DATA
1.50770e-08,0.0013
1.51003e-08,0.0011
1.51236e-08,0.0011
1.51468e-08,0.0015
1.51701e-08,0.0022
1.51934e-08,0.0030
1.52166e-08,0.0036
1.52399e-08,0.0037
1.52632e-08,0.0033
1.52864e-08,0.0027
1.53097e-08,0.0023
1.53330e-08,0.0020
1.53562e-08,0.0029
1.53795e-08,0.0124
1.54028e-08,0.0497
1.54260e-08,0.1429
1.54493e-08,0.2721
1.54726e-08,0.3950
1.54958e-08,0.5167
1.55191e-08,0.6538
1.55424e-08,0.7981
1.55656e-08,0.9283
1.55889e-08,1.0435
1.56122e-08,1.1316
1.56354e-08,1.1913
1.56587e-08,1.2261
1.56820e-08,1.2462
1.57052e-08,1.2591
1.57285e-08,1.2695
1.57518e-08,1.2836
1.57750e-08,1.3027
1.57983e-08,1.3196
1.58216e-08,1.3248
1.58448e-08,1.3191
1.58681e-08,1.3123
1.58914e-08,1.3100
1.59146e-08,1.3011
1.59379e-08,1.2712
1.59612e-08,1.2237
1.59844e-08,1.1743
1.60077e-08,1.1304
1.60310e-08,1.0947
1.60542e-08,1.0699
1.60775e-08,1.0554
1.61008e-08,1.0493
1.61240e-08,1.0521
1.61473e-08,1.0639
1.61706e-08,1.0819
1.61938e-08,1.1027
1.62171e-08,1.1249
1.62404e-08,1.1459
1.62636e-08,1.1594
1.62869e-08,1.1612
1.63102e-08,1.1559
1.63334e-08,1.1537
1.63567e-08,1.1604
1.63800e-08,1.1727
1.64032e-08,1.1843
1.64265e-08,1.1941
1.64498e-08,1.2058
1.64730e-08,1.2211
1.64963e-08,1.2383
1.65196e-08,1.2544
1.65428e-08,1.2654
1.65661e-08,1.2686
1.65894e-08,1.2643
1.66126e-08,1.2542
1.66359e-08,1.2403
1.66592e-08,1.2254
1.66824e-08,1.2132
1.67057e-08,1.2051
1.67290e-08,1.1990
1.67522e-08,1.1928
1.67755e-08,1.1880
1.67988e-08,1.1881
1.68220e-08,1.1939
1.68453e-08,1.2013
1.68686e-08,1.2051
1.68918e-08,1.2033
1.69151e-08,1.1975
1.69384e-08,1.1906
1.69616e-08,1.1848
1.69849e-08,1.1807
1.70082e-08,1.1780
1.70314e-08,1.1764
1.70547e-08,1.1766
1.70780e-08,1.1788
1.71012e-08,1.1829
1.71245e-08,1.1892
1.71478e-08,1.1978
1.71710e-08,1.2071
1.71943e-08,1.2141
1.72176e-08,1.2164
1.72408e-08,1.2147
1.72641e-08,1.2118
1.72874e-08,1.2097
1.73106e-08,1.2081
1.73339e-08,1.2059
1.73572e-08,1.2027
1.73804e-08,1.1998
1.74037e-08,1.1989
1.74270e-08,1.2006
1.74502e-08,1.2043
1.74735e-08,1.2083
1.74968e-08,1.2113
1.75201e-08,1.2123
1.75433e-08,1.2112
1.75666e-08,1.2084
1.75899e-08,1.2048
1.76131e-08,1.2018
1.76364e-08,1.1996
1.76597e-08,1.1975
1.76829e-08,1.1948
1.77062e-08,1.1923
1.77295e-08,1.1915
1.77527e-08,1.1931
1.77760e-08,1.1967
1.77993e-08,1.2004
1.78225e-08,1.2029
1.78458e-08,1.2039
1.78691e-08,1.2041
1.78923e-08,1.2038
1.79156e-08,1.2033
1.79389e-08,1.2025
1.79621e-08,1.2012
1.79854e-08,1.1997
1.80087e-08,1.1983
1.80319e-08,1.1974
1.80552e-08,1.1976
1.80785e-08,1.1993
1.81017e-08,1.2021
1.81250e-08,1.2047
1.81483e-08,1.2061
1.81715e-08,1.2061
1.81948e-08,1.2056
1.82181e-08,1.2051
1.82413e-08,1.2048
1.82646e-08,1.2041
1.82879e-08,1.2027
1.83111e-08,1.2009
1.83344e-08,1.1993
1.83577e-08,1.1984
1.83809e-08,1.1987
1.84042e-08,1.1996
1.84275e-08,1.2010
1.84507e-08,1.2022
1.84740e-08,1.2030
1.84973e-08,1.2032
1.85205e-08,1.2031
1.85438e-08,1.2030
1.85671e-08,1.2028
1.85903e-08,1.2024
1.86136e-08,1.2013
1.86369e-08,1.1999
1.86601e-08,1.1989
1.86834e-08,1.1987
1.87067e-08,1.1994
1.87299e-08,1.2006
1.87532e-08,1.2016
1.87765e-08,1.2022
1.87997e-08,1.2026
1.88230e-08,1.2028
1.88463e-08,1.2031
1.88695e-08,1.2032
1.88928e-08,1.2031
1.89161e-08,1.2027
1.89393e-08,1.2019
1.89626e-08,1.2010
1.89859e-08,1.2003
1.90091e-08,1.2001
1.90324e-08,1.2005
1.90557e-08,1.2012
1.90789e-08,1.2015
1.91022e-08,1.1949
1.91255e-08,1.1660
1.91487e-08,1.0941
1.91720e-08,0.9662
1.91953e-08,0.8261
1.92185e-08,0.6965
1.92418e-08,0.5648
1.92651e-08,0.4144
1.92883e-08,0.2686
1.93116e-08,0.1402
1.93349e-08,0.0369
1.93581e-08,-0.0349
1.93814e-08,-0.0785
1.94047e-08,-0.1022
1.94279e-08,-0.1171
1.94512e-08,-0.1288
1.94745e-08,-0.1422
1.94977e-08,-0.1599
1.95210e-08,-0.1792
1.95443e-08,-0.1900
1.95675e-08,-0.1879
1.95908e-08,-0.1796
1.96141e-08,-0.1738
1.96373e-08,-0.1676
1.96606e-08,-0.1457
1.96839e-08,-0.0996
1.97071e-08,-0.0415
1.97304e-08,0.0127
1.97537e-08,0.0581
1.97769e-08,0.0935
1.98002e-08,0.1185
1.98235e-08,0.1345
1.98468e-08,0.1418
1.98700e-08,0.1392
1.98933e-08,0.1277
1.99166e-08,0.1107
1.99398e-08,0.0915
1.99631e-08,0.0722
1.99864e-08,0.0574
2.00096e-08,0.0529
2.00329e-08,0.0584
2.00562e-08,0.0649
2.00794e-08,0.0631
2.01027e-08,0.0524
2.01260e-08,0.0389
2.01492e-08,0.0278
2.01725e-08,0.0169
2.01958e-08,0.0018
2.02190e-08,-0.0176
2.02423e-08,-0.0381
2.02656e-08,-0.0553
2.02888e-08,-0.0651
2.03121e-08,-0.0664
2.03354e-08,-0.0606
2.03586e-08,-0.0486
2.03819e-08,-0.0228
2.04052e-08,0.0362
2.04284e-08,0.1506
2.04517e-08,0.2900
2.04750e-08,0.4196
2.04982e-08,0.5502
2.05215e-08,0.6942
2.05448e-08,0.8358
2.05680e-08,0.9581
2.05913e-08,1.0648
2.06146e-08,1.1480
2.06378e-08,1.2080
2.06611e-08,1.2461
2.06844e-08,1.2704
2.07076e-08,1.2866
2.07309e-08,1.2999
2.07542e-08,1.3167
2.07774e-08,1.3364
2.08007e-08,1.3499
2.08240e-08,1.3479
2.08472e-08,1.3339
2.08705e-08,1.3186
2.08938e-08,1.3062
2.09170e-08,1.2856
2.09403e-08,1.2466
2.09636e-08,1.1968
2.09868e-08,1.1501
