.HEADER
..NAMES
Time,V U2.K3
.DATA
1.56354e-08,0.0439
1.56587e-08,-0.0354
1.56820e-08,-0.1047
1.57052e-08,-0.1563
1.57285e-08,-0.1817
1.57518e-08,-0.1881
1.57750e-08,-0.1849
1.57983e-08,-0.1773
1.58216e-08,-0.1675
1.58448e-08,-0.1577
1.58681e-08,-0.1548
1.58914e-08,-0.1651
1.59146e-08,-0.1832
1.59379e-08,-0.1989
1.59612e-08,-0.2049
1.59844e-08,-0.1995
1.60077e-08,-0.1851
1.60310e-08,-0.1631
1.60542e-08,-0.1324
1.60775e-08,-0.0945
1.61008e-08,-0.0547
1.61240e-08,-0.0169
1.61473e-08,0.0175
1.61706e-08,0.0496
1.61938e-08,0.0802
1.62171e-08,0.1062
1.62404e-08,0.1242
1.62636e-08,0.1312
1.62869e-08,0.1258
1.63102e-08,0.1095
1.63334e-08,0.0869
1.63567e-08,0.0636
1.63800e-08,0.0442
1.64032e-08,0.0312
1.64265e-08,0.0253
1.64498e-08,0.0265
1.64730e-08,0.0329
1.64963e-08,0.0410
1.65196e-08,0.0467
1.65428e-08,0.0479
1.65661e-08,0.0457
1.65894e-08,0.0422
1.66126e-08,0.0379
1.66359e-08,0.0310
1.66592e-08,0.0208
1.66824e-08,0.0083
1.67057e-08,-0.0053
1.67290e-08,-0.0203
1.67522e-08,-0.0366
1.67755e-08,-0.0520
1.67988e-08,-0.0619
1.68220e-08,-0.0628
1.68453e-08,-0.0549
1.68686e-08,-0.0419
1.68918e-08,-0.0276
1.69151e-08,-0.0141
1.69384e-08,-0.0025
1.69616e-08,0.0057
1.69849e-08,0.0092
1.70082e-08,0.0084
1.70314e-08,0.0057
1.70547e-08,0.0030
1.70780e-08,0.0009
1.71012e-08,-0.0016
1.71245e-08,-0.0051
1.71478e-08,-0.0092
1.71710e-08,-0.0130
1.71943e-08,-0.0152
1.72176e-08,-0.0148
1.72408e-08,-0.0111
1.72641e-08,-0.0039
1.72874e-08,0.0061
1.73106e-08,0.0167
1.73339e-08,0.0254
1.73572e-08,0.0300
1.73804e-08,0.0298
1.74037e-08,0.0254
1.74270e-08,0.0186
1.74502e-08,0.0113
1.74735e-08,0.0050
1.74968e-08,-0.0001
1.75201e-08,-0.0039
1.75433e-08,-0.0066
1.75666e-08,-0.0081
1.75899e-08,-0.0087
1.76131e-08,-0.0089
1.76364e-08,-0.0084
1.76597e-08,-0.0064
1.76829e-08,-0.0023
1.77062e-08,0.0034
1.77295e-08,0.0090
1.77527e-08,0.0127
1.77760e-08,0.0135
1.77993e-08,0.0114
1.78225e-08,0.0070
1.78458e-08,0.0011
1.78691e-08,-0.0049
1.78923e-08,-0.0096
1.79156e-08,-0.0117
1.79389e-08,-0.0112
1.79621e-08,-0.0093
1.79854e-08,-0.0070
1.80087e-08,-0.0049
1.80319e-08,-0.0028
1.80552e-08,-0.0006
1.80785e-08,0.0017
1.81017e-08,0.0040
1.81250e-08,0.0064
1.81483e-08,0.0087
1.81715e-08,0.0103
