.HEADER
..NAMES
Time,V U2.C3
.DATA
1.44488e-08,1.1464
1.44721e-08,1.1243
1.44953e-08,1.1041
1.45186e-08,1.0824
1.45419e-08,1.0672
1.45651e-08,1.0675
1.45884e-08,1.0798
1.46117e-08,1.0934
1.46349e-08,1.1025
1.46582e-08,1.1097
1.46815e-08,1.1221
1.47047e-08,1.1414
1.47280e-08,1.1623
1.47513e-08,1.1775
1.47745e-08,1.1832
1.47978e-08,1.1811
1.48211e-08,1.1792
1.48443e-08,1.1833
1.48676e-08,1.1903
1.48909e-08,1.1969
1.49141e-08,1.2042
1.49374e-08,1.2119
1.49607e-08,1.2181
1.49839e-08,1.2255
1.50072e-08,1.2365
1.50305e-08,1.2420
1.50537e-08,1.2196
1.50770e-08,1.1523
1.51003e-08,1.0331
1.51236e-08,0.9119
1.51468e-08,0.8209
1.51701e-08,0.7082
1.51934e-08,0.5583
1.52166e-08,0.4097
1.52399e-08,0.2784
1.52632e-08,0.1605
1.52864e-08,0.0615
1.53097e-08,-0.0113
1.53330e-08,-0.0635
1.53562e-08,-0.1020
1.53795e-08,-0.1304
1.54028e-08,-0.1482
1.54260e-08,-0.1526
1.54493e-08,-0.1466
1.54726e-08,-0.1425
1.54958e-08,-0.1536
1.55191e-08,-0.1780
1.55424e-08,-0.2012
1.55656e-08,-0.2051
1.55889e-08,-0.1835
1.56122e-08,-0.1550
1.56354e-08,-0.1330
1.56587e-08,-0.1037
1.56820e-08,-0.0506
1.57052e-08,0.0406
1.57285e-08,0.1858
1.57518e-08,0.3411
1.57750e-08,0.4545
1.57983e-08,0.5617
1.58216e-08,0.6996
1.58448e-08,0.8365
1.58681e-08,0.9547
1.58914e-08,1.0602
1.59146e-08,1.1462
1.59379e-08,1.2009
1.59612e-08,1.2280
1.59844e-08,1.2473
1.60077e-08,1.2700
1.60310e-08,1.2918
1.60542e-08,1.3018
1.60775e-08,1.2942
1.61008e-08,1.2829
1.61240e-08,1.2832
1.61473e-08,1.2946
1.61706e-08,1.3071
1.61938e-08,1.3044
1.62171e-08,1.2745
1.62404e-08,1.2318
1.62636e-08,1.1997
1.62869e-08,1.1744
1.63102e-08,1.1445
1.63334e-08,1.1160
1.63567e-08,1.0929
1.63800e-08,1.0707
1.64032e-08,1.0524
1.64265e-08,1.0494
1.64498e-08,1.0632
1.64730e-08,1.0822
1.64963e-08,1.0959
1.65196e-08,1.1038
1.65428e-08,1.1143
1.65661e-08,1.1338
1.65894e-08,1.1578
1.66126e-08,1.1760
1.66359e-08,1.1823
1.66592e-08,1.1781
1.66824e-08,1.1719
1.67057e-08,1.1732
1.67290e-08,1.1820
1.67522e-08,1.1918
1.67755e-08,1.2012
1.67988e-08,1.2118
1.68220e-08,1.2216
1.68453e-08,1.2306
1.68686e-08,1.2423
1.68918e-08,1.2539
1.69151e-08,1.2472
1.69384e-08,1.2033
1.69616e-08,1.1064
1.69849e-08,0.9760
1.70082e-08,0.8697
1.70314e-08,0.7788
1.70547e-08,0.6452
1.70780e-08,0.4890
1.71012e-08,0.3481
1.71245e-08,0.2233
1.71478e-08,0.1153
1.71710e-08,0.0298
1.71943e-08,-0.0317
1.72176e-08,-0.0769
1.72408e-08,-0.1117
1.72641e-08,-0.1361
1.72874e-08,-0.1492
1.73106e-08,-0.1490
1.73339e-08,-0.1436
1.73572e-08,-0.1482
1.73804e-08,-0.1691
1.74037e-08,-0.1963
1.74270e-08,-0.2117
1.74502e-08,-0.2008
1.74735e-08,-0.1703
1.74968e-08,-0.1434
1.75201e-08,-0.1206
1.75433e-08,-0.0847
1.75666e-08,-0.0380
1.75899e-08,0.0064
1.76131e-08,0.0463
1.76364e-08,0.0816
1.76597e-08,0.1058
1.76829e-08,0.1152
1.77062e-08,0.1158
1.77295e-08,0.1153
1.77527e-08,0.1150
1.77760e-08,0.1098
1.77993e-08,0.0938
1.78225e-08,0.0696
1.78458e-08,0.0479
1.78691e-08,0.0382
1.78923e-08,0.0407
1.79156e-08,0.0478
1.79389e-08,0.0504
1.79621e-08,0.0476
1.79854e-08,0.0453
1.80087e-08,0.0437
1.80319e-08,0.0368
1.80552e-08,0.0235
1.80785e-08,0.0068
1.81017e-08,-0.0129
1.81250e-08,-0.0341
1.81483e-08,-0.0501
1.81715e-08,-0.0524
1.81948e-08,-0.0294
1.82181e-08,0.0381
1.82413e-08,0.1494
1.82646e-08,0.2547
1.82879e-08,0.3416
1.83111e-08,0.4614
1.83344e-08,0.6134
1.83577e-08,0.7540
1.83809e-08,0.8754
1.84042e-08,0.9850
1.84275e-08,1.0794
1.84507e-08,1.1513
1.84740e-08,1.2013
1.84973e-08,1.2361
1.85205e-08,1.2601
1.85438e-08,1.2738
1.85671e-08,1.2768
1.85903e-08,1.2754
1.86136e-08,1.2809
1.86369e-08,1.2982
1.86601e-08,1.3223
1.86834e-08,1.3418
1.87067e-08,1.3418
1.87299e-08,1.3202
1.87532e-08,1.2961
1.87765e-08,1.2766
1.87997e-08,1.2461
1.88230e-08,1.2021
1.88463e-08,1.1602
1.88695e-08,1.1261
1.88928e-08,1.0969
1.89161e-08,1.0747
1.89393e-08,1.0650
1.89626e-08,1.0663
1.89859e-08,1.0719
1.90091e-08,1.0786
1.90324e-08,1.0891
1.90557e-08,1.1076
1.90789e-08,1.1328
1.91022e-08,1.1564
1.91255e-08,1.1707
1.91487e-08,1.1737
1.91720e-08,1.1698
1.91953e-08,1.1666
1.92185e-08,1.1675
1.92418e-08,1.1684
1.92651e-08,1.1683
1.92883e-08,1.1734
1.93116e-08,1.1863
1.93349e-08,1.2027
1.93581e-08,1.2200
1.93814e-08,1.2379
1.94047e-08,1.2485
1.94279e-08,1.2308
1.94512e-08,1.1698
1.94745e-08,1.0563
1.94977e-08,0.9340
1.95210e-08,0.8383
1.95443e-08,0.7254
1.95675e-08,0.5732
1.95908e-08,0.4181
1.96141e-08,0.2839
1.96373e-08,0.1655
1.96606e-08,0.0646
1.96839e-08,-0.0118
1.97071e-08,-0.0663
1.97304e-08,-0.1032
1.97537e-08,-0.1272
1.97769e-08,-0.1403
1.98002e-08,-0.1427
1.98235e-08,-0.1379
1.98468e-08,-0.1362
1.98700e-08,-0.1501
1.98933e-08,-0.1776
1.99166e-08,-0.2043
1.99398e-08,-0.2124
1.99631e-08,-0.1947
1.99864e-08,-0.1672
2.00096e-08,-0.1440
2.00329e-08,-0.1134
2.00562e-08,-0.0577
2.00794e-08,0.0363
2.01027e-08,0.1815
2.01260e-08,0.3357
2.01492e-08,0.4508
2.01725e-08,0.5591
2.01958e-08,0.6958
2.02190e-08,0.8339
