.HEADER
..NAMES
Time,V U2.K2
.DATA
1.29830e-08,0.0096
1.30063e-08,0.0067
1.30295e-08,0.0026
1.30528e-08,-0.0015
1.30761e-08,-0.0046
1.30993e-08,-0.0059
1.31226e-08,-0.0054
1.31459e-08,-0.0033
1.31691e-08,-0.0001
1.31924e-08,0.0033
1.32157e-08,0.0062
1.32389e-08,0.0081
1.32622e-08,0.0085
1.32855e-08,0.0076
1.33087e-08,0.0053
1.33320e-08,0.0022
1.33553e-08,-0.0010
1.33785e-08,-0.0036
1.34018e-08,-0.0048
1.34251e-08,-0.0045
1.34483e-08,-0.0026
1.34716e-08,0.0004
1.34949e-08,0.0038
1.35181e-08,0.0066
1.35414e-08,0.0082
1.35647e-08,0.0081
1.35879e-08,0.0065
1.36112e-08,0.0038
1.36345e-08,0.0007
1.36577e-08,-0.0019
1.36810e-08,-0.0034
1.37043e-08,-0.0036
1.37275e-08,-0.0024
1.37508e-08,-0.0003
1.37741e-08,0.0021
1.37973e-08,0.0044
1.38206e-08,0.0060
1.38439e-08,0.0066
1.38671e-08,0.0062
1.38904e-08,0.0048
1.39137e-08,0.0028
1.39369e-08,0.0006
1.39602e-08,-0.0013
1.39835e-08,-0.0025
1.40067e-08,-0.0026
1.40300e-08,-0.0015
1.40533e-08,0.0003
1.40765e-08,0.0026
1.40998e-08,0.0047
1.41231e-08,0.0061
1.41463e-08,0.0064
1.41696e-08,0.0055
1.41929e-08,0.0038
1.42161e-08,0.0016
1.42394e-08,-0.0004
1.42627e-08,-0.0017
1.42859e-08,-0.0021
1.43092e-08,-0.0015
1.43325e-08,-0.0001
1.43557e-08,0.0017
1.43790e-08,0.0035
1.44023e-08,0.0048
1.44255e-08,0.0054
1.44488e-08,0.0052
1.44721e-08,0.0043
1.44953e-08,0.0029
1.45186e-08,0.0013
1.45419e-08,-0.0001
1.45651e-08,-0.0011
1.45884e-08,-0.0013
1.46117e-08,-0.0008
1.46349e-08,0.0004
1.46582e-08,0.0020
1.46815e-08,0.0036
1.47047e-08,0.0048
1.47280e-08,0.0052
1.47513e-08,0.0049
1.47745e-08,0.0038
1.47978e-08,0.0023
1.48211e-08,0.0008
1.48443e-08,-0.0004
1.48676e-08,-0.0009
1.48909e-08,-0.0007
1.49141e-08,0.0002
1.49374e-08,0.0014
1.49607e-08,0.0027
1.49839e-08,0.0038
1.50072e-08,0.0044
1.50305e-08,0.0045
1.50537e-08,0.0039
1.50770e-08,0.0030
1.51003e-08,0.0019
1.51236e-08,0.0008
1.51468e-08,0.0001
1.51701e-08,-0.0003
1.51934e-08,-0.0000
1.52166e-08,0.0007
1.52399e-08,0.0017
1.52632e-08,0.0029
1.52864e-08,0.0038
1.53097e-08,0.0043
1.53330e-08,0.0043
1.53562e-08,0.0063
1.53795e-08,0.0171
1.54028e-08,0.0511
1.54260e-08,0.1087
1.54493e-08,0.1774
1.54726e-08,0.2615
1.54958e-08,0.3552
1.55191e-08,0.4473
1.55424e-08,0.5264
1.55656e-08,0.5876
1.55889e-08,0.6435
1.56122e-08,0.6954
1.56354e-08,0.7403
1.56587e-08,0.7890
1.56820e-08,0.8493
1.57052e-08,0.9217
1.57285e-08,0.9970
1.57518e-08,1.0684
1.57750e-08,1.1359
1.57983e-08,1.1933
1.58216e-08,1.2342
1.58448e-08,1.2588
1.58681e-08,1.2711
1.58914e-08,1.2726
1.59146e-08,1.2624
1.59379e-08,1.2438
1.59612e-08,1.2248
1.59844e-08,1.2115
1.60077e-08,1.2066
