.HEADER
..NAMES
Time,V U2.M7
.DATA
7.7944e-09,1.2020
7.8177e-09,1.2018
7.8410e-09,1.1971
7.8642e-09,1.1725
7.8875e-09,1.1073
7.9108e-09,0.9812
7.9340e-09,0.8284
7.9573e-09,0.6920
7.9806e-09,0.5618
8.0038e-09,0.4145
8.0271e-09,0.2655
8.0504e-09,0.1354
8.0736e-09,0.0335
8.0969e-09,-0.0354
8.1202e-09,-0.0747
8.1435e-09,-0.0968
8.1667e-09,-0.1135
8.1900e-09,-0.1300
8.2133e-09,-0.1489
8.2365e-09,-0.1702
8.2598e-09,-0.1894
8.2831e-09,-0.1968
8.3063e-09,-0.1877
8.3296e-09,-0.1700
8.3529e-09,-0.1524
8.3761e-09,-0.1309
8.3994e-09,-0.0913
8.4227e-09,-0.0311
8.4459e-09,0.0326
8.4692e-09,0.0832
8.4925e-09,0.1173
8.5157e-09,0.1376
8.5390e-09,0.1476
8.5623e-09,0.1499
8.5855e-09,0.1449
8.6088e-09,0.1318
8.6321e-09,0.1134
8.6553e-09,0.0946
8.6786e-09,0.0787
8.7019e-09,0.0673
8.7251e-09,0.0624
8.7484e-09,0.0644
8.7717e-09,0.0674
8.7949e-09,0.0623
8.8182e-09,0.0452
8.8415e-09,0.0220
8.8647e-09,0.0009
8.8880e-09,-0.0161
8.9113e-09,-0.0323
8.9345e-09,-0.0498
8.9578e-09,-0.0655
8.9811e-09,-0.0747
9.0043e-09,-0.0741
9.0276e-09,-0.0646
9.0509e-09,-0.0499
9.0741e-09,-0.0348
9.0974e-09,-0.0215
9.1207e-09,-0.0115
9.1439e-09,-0.0054
9.1672e-09,-0.0026
9.1905e-09,-0.0009
9.2137e-09,0.0009
9.2370e-09,0.0017
9.2603e-09,0.0001
9.2835e-09,-0.0018
9.3068e-09,0.0001
9.3301e-09,0.0080
9.3533e-09,0.0195
9.3766e-09,0.0297
9.3999e-09,0.0352
9.4231e-09,0.0359
9.4464e-09,0.0335
9.4697e-09,0.0298
9.4929e-09,0.0249
9.5162e-09,0.0184
9.5395e-09,0.0105
9.5627e-09,0.0026
9.5860e-09,-0.0042
9.6093e-09,-0.0086
9.6325e-09,-0.0098
9.6558e-09,-0.0075
9.6791e-09,-0.0033
9.7023e-09,0.0001
9.7256e-09,0.0011
9.7489e-09,0.0001
9.7721e-09,-0.0013
9.7954e-09,-0.0023
9.8187e-09,-0.0036
9.8419e-09,-0.0061
