.HEADER
..NAMES
Time,V U2.P8
.DATA
1.40533e-08,-0.0117
1.40765e-08,-0.0115
1.40998e-08,-0.0106
1.41231e-08,-0.0086
1.41463e-08,0.0017
1.41696e-08,0.0390
1.41929e-08,0.1269
1.42161e-08,0.2512
1.42394e-08,0.3653
1.42627e-08,0.4694
1.42859e-08,0.5967
1.43092e-08,0.7457
1.43325e-08,0.8802
1.43557e-08,0.9933
1.43790e-08,1.0922
1.44023e-08,1.1710
1.44255e-08,1.2236
1.44488e-08,1.2538
1.44721e-08,1.2686
1.44953e-08,1.2771
1.45186e-08,1.2853
1.45419e-08,1.2966
1.45651e-08,1.3079
1.45884e-08,1.3151
1.46117e-08,1.3154
1.46349e-08,1.3133
1.46582e-08,1.3164
1.46815e-08,1.3270
1.47047e-08,1.3364
1.47280e-08,1.3302
1.47513e-08,1.3021
1.47745e-08,1.2640
1.47978e-08,1.2303
1.48211e-08,1.1986
1.48443e-08,1.1607
1.48676e-08,1.1230
1.48909e-08,1.0958
1.49141e-08,1.0779
1.49374e-08,1.0645
1.49607e-08,1.0588
1.49839e-08,1.0651
1.50072e-08,1.0829
1.50305e-08,1.1075
1.50537e-08,1.1323
1.50770e-08,1.1509
1.51003e-08,1.1607
1.51236e-08,1.1643
1.51468e-08,1.1673
1.51701e-08,1.1729
1.51934e-08,1.1786
1.52166e-08,1.1795
1.52399e-08,1.1745
1.52632e-08,1.1688
1.52864e-08,1.1694
1.53097e-08,1.1780
1.53330e-08,1.1904
1.53562e-08,1.2036
1.53795e-08,1.2187
1.54028e-08,1.2351
1.54260e-08,1.2474
1.54493e-08,1.2525
1.54726e-08,1.2534
1.54958e-08,1.2533
1.55191e-08,1.2512
1.55424e-08,1.2445
1.55656e-08,1.2323
1.55889e-08,1.2164
1.56122e-08,1.2006
1.56354e-08,1.1895
1.56587e-08,1.1854
1.56820e-08,1.1868
1.57052e-08,1.1897
1.57285e-08,1.1916
1.57518e-08,1.1930
1.57750e-08,1.1958
1.57983e-08,1.2003
1.58216e-08,1.2045
1.58448e-08,1.2066
1.58681e-08,1.2063
1.58914e-08,1.2040
1.59146e-08,1.1992
1.59379e-08,1.1914
1.59612e-08,1.1830
1.59844e-08,1.1779
1.60077e-08,1.1774
1.60310e-08,1.1795
1.60542e-08,1.1819
1.60775e-08,1.1845
1.61008e-08,1.1883
1.61240e-08,1.1942
1.61473e-08,1.2019
1.61706e-08,1.2098
1.61938e-08,1.2152
1.62171e-08,1.2167
1.62404e-08,1.2146
1.62636e-08,1.2108
1.62869e-08,1.2069
1.63102e-08,1.2035
1.63334e-08,1.2006
1.63567e-08,1.1983
1.63800e-08,1.1969
1.64032e-08,1.1960
1.64265e-08,1.1953
1.64498e-08,1.1954
1.64730e-08,1.1975
1.64963e-08,1.2019
1.65196e-08,1.2069
1.65428e-08,1.2101
1.65661e-08,1.2106
1.65894e-08,1.2091
1.66126e-08,1.2070
1.66359e-08,1.2049
1.66592e-08,1.2028
1.66824e-08,1.2001
1.67057e-08,1.1969
1.67290e-08,1.1937
1.67522e-08,1.1913
1.67755e-08,1.1907
1.67988e-08,1.1919
1.68220e-08,1.1946
1.68453e-08,1.1979
1.68686e-08,1.2010
