.HEADER
..NAMES
Time,V U2.D3
.DATA
8.2365e-09,1.2636
8.2598e-09,1.2385
8.2831e-09,1.2035
8.3063e-09,1.1604
8.3296e-09,1.1239
8.3529e-09,1.1039
8.3761e-09,1.0969
8.3994e-09,1.0959
8.4227e-09,1.1005
8.4459e-09,1.1131
8.4692e-09,1.1320
8.4925e-09,1.1512
8.5157e-09,1.1672
8.5390e-09,1.1792
8.5623e-09,1.1839
8.5855e-09,1.1783
8.6088e-09,1.1660
8.6321e-09,1.1545
8.6553e-09,1.1478
8.6786e-09,1.1474
8.7019e-09,1.1530
8.7251e-09,1.1603
8.7484e-09,1.1669
8.7717e-09,1.1755
8.7949e-09,1.1900
8.8182e-09,1.2084
8.8415e-09,1.2259
8.8647e-09,1.2398
8.8880e-09,1.2497
8.9113e-09,1.2542
8.9345e-09,1.2521
8.9578e-09,1.2443
8.9811e-09,1.2338
9.0043e-09,1.2222
9.0276e-09,1.2086
9.0509e-09,1.1944
9.0741e-09,1.1844
9.0974e-09,1.1825
9.1207e-09,1.1879
9.1439e-09,1.1971
9.1672e-09,1.2069
9.1905e-09,1.2145
9.2137e-09,1.2187
9.2370e-09,1.2199
9.2603e-09,1.2193
9.2835e-09,1.2169
9.3068e-09,1.2125
9.3301e-09,1.2060
9.3533e-09,1.1976
9.3766e-09,1.1883
9.3999e-09,1.1799
9.4231e-09,1.1747
9.4464e-09,1.1734
9.4697e-09,1.1751
9.4929e-09,1.1786
9.5162e-09,1.1842
9.5395e-09,1.1926
9.5627e-09,1.2027
9.5860e-09,1.2118
9.6093e-09,1.2178
9.6325e-09,1.2195
9.6558e-09,1.2168
9.6791e-09,1.2104
9.7023e-09,1.2026
9.7256e-09,1.1960
9.7489e-09,1.1916
9.7721e-09,1.1892
9.7954e-09,1.1884
9.8187e-09,1.1889
9.8419e-09,1.1911
9.8652e-09,1.1951
9.8885e-09,1.2005
9.9117e-09,1.2061
9.9350e-09,1.2107
9.9583e-09,1.2137
9.9815e-09,1.2151
1.00048e-08,1.2149
1.00281e-08,1.2131
1.00513e-08,1.2096
1.00746e-08,1.2045
1.00979e-08,1.1985
1.01211e-08,1.1924
1.01444e-08,1.1878
1.01677e-08,1.1862
1.01909e-08,1.1879
1.02142e-08,1.1921
1.02375e-08,1.1972
1.02607e-08,1.2019
1.02840e-08,1.2058
1.03073e-08,1.2083
1.03305e-08,1.2095
1.03538e-08,1.2094
1.03771e-08,1.2079
1.04003e-08,1.2052
1.04236e-08,1.2018
1.04469e-08,1.1982
1.04702e-08,1.1952
1.04934e-08,1.1931
1.05167e-08,1.1921
1.05400e-08,1.1919
1.05632e-08,1.1927
1.05865e-08,1.1945
1.06098e-08,1.1975
1.06330e-08,1.2014
1.06563e-08,1.2055
1.06796e-08,1.2086
1.07028e-08,1.2099
1.07261e-08,1.2092
1.07494e-08,1.2069
1.07726e-08,1.2036
1.07959e-08,1.2002
1.08192e-08,1.1972
1.08424e-08,1.1951
1.08657e-08,1.1939
1.08890e-08,1.1938
1.09122e-08,1.1947
1.09355e-08,1.1966
1.09588e-08,1.1990
1.09820e-08,1.2014
1.10053e-08,1.2033
1.10286e-08,1.2047
1.10518e-08,1.2055
1.10751e-08,1.2057
1.10984e-08,1.2054
1.11216e-08,1.2044
1.11449e-08,1.2026
1.11682e-08,1.2002
1.11914e-08,1.1976
1.12147e-08,1.1954
1.12380e-08,1.1943
1.12612e-08,1.1942
1.12845e-08,1.1909
1.13078e-08,1.1696
1.13310e-08,1.1153
1.13543e-08,1.0173
1.13776e-08,0.9100
1.14008e-08,0.8239
1.14241e-08,0.7285
1.14474e-08,0.5992
1.14706e-08,0.4655
1.14939e-08,0.3467
1.15172e-08,0.2308
1.15404e-08,0.1196
1.15637e-08,0.0318
1.15870e-08,-0.0236
1.16102e-08,-0.0589
1.16335e-08,-0.0895
1.16568e-08,-0.1177
1.16800e-08,-0.1354
1.17033e-08,-0.1408
1.17266e-08,-0.1440
1.17498e-08,-0.1556
1.17731e-08,-0.1766
1.17964e-08,-0.2011
1.18196e-08,-0.2219
1.18429e-08,-0.2295
1.18662e-08,-0.2206
1.18894e-08,-0.2034
1.19127e-08,-0.1808
1.19360e-08,-0.1402
1.19592e-08,-0.0600
1.19825e-08,0.0743
1.20058e-08,0.2218
1.20290e-08,0.3466
1.20523e-08,0.4782
1.20756e-08,0.6349
1.20988e-08,0.7793
1.21221e-08,0.8981
1.21454e-08,1.0110
1.21686e-08,1.1184
1.21919e-08,1.1956
1.22152e-08,1.2324
1.22384e-08,1.2463
1.22617e-08,1.2599
1.22850e-08,1.2787
1.23082e-08,1.2955
1.23315e-08,1.3063
1.23548e-08,1.3160
1.23780e-08,1.3296
1.24013e-08,1.3461
1.24246e-08,1.3627
1.24478e-08,1.3756
1.24711e-08,1.3748
1.24944e-08,1.3557
1.25176e-08,1.3266
1.25409e-08,1.2911
1.25642e-08,1.2466
1.25874e-08,1.2028
1.26107e-08,1.1704
1.26340e-08,1.1425
1.26572e-08,1.1089
1.26805e-08,1.0772
1.27038e-08,1.0621
1.27270e-08,1.0660
1.27503e-08,1.0798
1.27736e-08,1.0966
1.27968e-08,1.1158
1.28201e-08,1.1362
