.HEADER
..NAMES
Time,V U2.G3&F3
.DATA
1.63102e-08,0.5485
1.63334e-08,0.5394
1.63567e-08,0.5321
1.63800e-08,0.5277
1.64032e-08,0.5241
1.64265e-08,0.5182
1.64498e-08,0.5105
1.64730e-08,0.5042
1.64963e-08,0.5001
1.65196e-08,0.4970
1.65428e-08,0.4951
1.65661e-08,0.4967
1.65894e-08,0.5050
1.66126e-08,0.5246
1.66359e-08,0.5705
1.66592e-08,0.6545
1.66824e-08,0.7650
1.67057e-08,0.8747
1.67290e-08,0.9613
1.67522e-08,1.0249
1.67755e-08,1.0771
1.67988e-08,1.1261
1.68220e-08,1.1684
1.68453e-08,1.1961
1.68686e-08,1.2060
1.68918e-08,1.2018
1.69151e-08,1.1939
1.69384e-08,1.1907
1.69616e-08,1.1936
1.69849e-08,1.1985
1.70082e-08,1.2019
1.70314e-08,1.2054
1.70547e-08,1.2119
1.70780e-08,1.2203
1.71012e-08,1.2254
1.71245e-08,1.2246
1.71478e-08,1.2197
1.71710e-08,1.2131
1.71943e-08,1.2054
1.72176e-08,1.1927
1.72408e-08,1.1667
1.72641e-08,1.1121
1.72874e-08,1.0267
1.73106e-08,0.9276
1.73339e-08,0.8401
1.73572e-08,0.7772
1.73804e-08,0.7313
1.74037e-08,0.6887
1.74270e-08,0.6437
1.74502e-08,0.6037
1.74735e-08,0.5758
1.74968e-08,0.5619
1.75201e-08,0.5569
1.75433e-08,0.5529
1.75666e-08,0.5457
1.75899e-08,0.5369
1.76131e-08,0.5304
1.76364e-08,0.5264
1.76597e-08,0.5225
1.76829e-08,0.5162
1.77062e-08,0.5087
1.77295e-08,0.5030
1.77527e-08,0.4992
1.77760e-08,0.4963
1.77993e-08,0.4951
1.78225e-08,0.4983
1.78458e-08,0.5090
1.78691e-08,0.5340
1.78923e-08,0.5899
1.79156e-08,0.6822
1.79389e-08,0.7938
1.79621e-08,0.8977
1.79854e-08,0.9775
1.80087e-08,1.0377
1.80319e-08,1.0893
1.80552e-08,1.1372
1.80785e-08,1.1758
1.81017e-08,1.1988
1.81250e-08,1.2047
1.81483e-08,1.1993
1.81715e-08,1.1926
1.81948e-08,1.1913
1.82181e-08,1.1950
1.82413e-08,1.1995
1.82646e-08,1.2028
1.82879e-08,1.2070
1.83111e-08,1.2143
1.83344e-08,1.2221
1.83577e-08,1.2255
1.83809e-08,1.2234
1.84042e-08,1.2179
1.84275e-08,1.2110
1.84507e-08,1.2024
1.84740e-08,1.1871
1.84973e-08,1.1550
1.85205e-08,1.0914
1.85438e-08,0.9998
1.85671e-08,0.9014
1.85903e-08,0.8202
1.86136e-08,0.7635
1.86369e-08,0.7202
1.86601e-08,0.6772
1.86834e-08,0.6325
1.87067e-08,0.5950
1.87299e-08,0.5710
1.87532e-08,0.5604
1.87765e-08,0.5565
1.87997e-08,0.5519
1.88230e-08,0.5437
1.88463e-08,0.5350
