.HEADER
..NAMES
Time,V U2.J7
.DATA
7.4920e-09,0.0040
7.5152e-09,0.0032
7.5385e-09,0.0026
7.5618e-09,0.0022
7.5850e-09,0.0018
7.6083e-09,0.0014
7.6316e-09,0.0009
7.6548e-09,0.0008
7.6781e-09,0.0010
7.7014e-09,0.0016
7.7246e-09,0.0024
7.7479e-09,0.0029
7.7712e-09,0.0031
7.7944e-09,0.0031
7.8177e-09,0.0029
7.8410e-09,0.0028
7.8642e-09,0.0028
7.8875e-09,0.0029
7.9108e-09,0.0029
7.9340e-09,0.0027
7.9573e-09,0.0022
7.9806e-09,0.0017
8.0038e-09,0.0014
8.0271e-09,0.0014
8.0504e-09,0.0018
8.0736e-09,0.0023
8.0969e-09,0.0028
8.1202e-09,0.0030
8.1435e-09,0.0031
8.1667e-09,0.0031
8.1900e-09,0.0032
8.2133e-09,0.0032
8.2365e-09,0.0031
8.2598e-09,0.0029
8.2831e-09,0.0026
8.3063e-09,0.0023
8.3296e-09,0.0021
8.3529e-09,0.0021
8.3761e-09,0.0022
8.3994e-09,0.0024
8.4227e-09,0.0025
8.4459e-09,0.0024
8.4692e-09,0.0024
8.4925e-09,0.0024
8.5157e-09,0.0025
8.5390e-09,0.0028
8.5623e-09,0.0031
8.5855e-09,0.0032
8.6088e-09,0.0030
8.6321e-09,0.0027
8.6553e-09,0.0024
8.6786e-09,0.0022
8.7019e-09,0.0021
8.7251e-09,0.0022
8.7484e-09,0.0023
8.7717e-09,0.0023
8.7949e-09,0.0024
8.8182e-09,0.0024
8.8415e-09,0.0025
8.8647e-09,0.0026
8.8880e-09,0.0027
8.9113e-09,0.0028
8.9345e-09,0.0028
8.9578e-09,0.0027
8.9811e-09,0.0026
9.0043e-09,0.0025
9.0276e-09,0.0025
9.0509e-09,0.0025
9.0741e-09,0.0025
9.0974e-09,0.0024
9.1207e-09,0.0023
9.1439e-09,0.0022
9.1672e-09,0.0022
9.1905e-09,0.0024
9.2137e-09,0.0025
9.2370e-09,0.0027
9.2603e-09,0.0028
9.2835e-09,0.0027
9.3068e-09,0.0026
9.3301e-09,0.0025
9.3533e-09,0.0025
9.3766e-09,0.0025
9.3999e-09,0.0025
9.4231e-09,0.0048
9.4464e-09,0.0151
9.4697e-09,0.0491
9.4929e-09,0.1096
9.5162e-09,0.1869
9.5395e-09,0.2820
9.5627e-09,0.3832
9.5860e-09,0.4912
9.6093e-09,0.6086
9.6325e-09,0.7241
9.6558e-09,0.8395
9.6791e-09,0.9440
9.7023e-09,1.0312
9.7256e-09,1.1003
9.7489e-09,1.1519
9.7721e-09,1.1866
9.7954e-09,1.2102
9.8187e-09,1.2277
9.8419e-09,1.2441
9.8652e-09,1.2595
9.8885e-09,1.2707
9.9117e-09,1.2775
9.9350e-09,1.2831
9.9583e-09,1.2904
9.9815e-09,1.2977
1.00048e-08,1.3020
1.00281e-08,1.2968
1.00513e-08,1.2752
1.00746e-08,1.2231
1.00979e-08,1.1360
1.01211e-08,1.0268
1.01444e-08,0.8984
1.01677e-08,0.7628
1.01909e-08,0.6249
1.02142e-08,0.4809
1.02375e-08,0.3416
1.02607e-08,0.2095
1.02840e-08,0.0933
1.03073e-08,0.0037
1.03305e-08,-0.0577
1.03538e-08,-0.0971
1.03771e-08,-0.1193
1.04003e-08,-0.1321
1.04236e-08,-0.1415
1.04469e-08,-0.1511
1.04702e-08,-0.1611
1.04934e-08,-0.1686
1.05167e-08,-0.1731
1.05400e-08,-0.1768
1.05632e-08,-0.1826
1.05865e-08,-0.1875
1.06098e-08,-0.1880
1.06330e-08,-0.1794
1.06563e-08,-0.1578
1.06796e-08,-0.1248
1.07028e-08,-0.0845
1.07261e-08,-0.0435
1.07494e-08,-0.0048
1.07726e-08,0.0312
1.07959e-08,0.0638
1.08192e-08,0.0914
1.08424e-08,0.1126
1.08657e-08,0.1254
1.08890e-08,0.1280
1.09122e-08,0.1200
1.09355e-08,0.1040
1.09588e-08,0.0859
1.09820e-08,0.0704
1.10053e-08,0.0601
1.10286e-08,0.0546
1.10518e-08,0.0517
1.10751e-08,0.0494
1.10984e-08,0.0469
1.11216e-08,0.0454
1.11449e-08,0.0456
1.11682e-08,0.0464
1.11914e-08,0.0450
1.12147e-08,0.0393
1.12380e-08,0.0289
1.12612e-08,0.0147
1.12845e-08,-0.0008
1.13078e-08,-0.0107
1.13310e-08,-0.0026
1.13543e-08,0.0398
1.13776e-08,0.1063
1.14008e-08,0.1935
1.14241e-08,0.2951
1.14474e-08,0.4038
1.14706e-08,0.5270
1.14939e-08,0.6565
1.15172e-08,0.7853
1.15404e-08,0.9083
1.15637e-08,1.0111
1.15870e-08,1.0903
1.16102e-08,1.1482
1.16335e-08,1.1871
1.16568e-08,1.2115
1.16800e-08,1.2281
1.17033e-08,1.2419
1.17266e-08,1.2562
1.17498e-08,1.2681
1.17731e-08,1.2761
1.17964e-08,1.2829
1.18196e-08,1.2928
1.18429e-08,1.3057
1.18662e-08,1.3172
1.18894e-08,1.3222
1.19127e-08,1.3102
