.HEADER
..NAMES
Time,V U2.B8
.DATA
3.7133e-09,0.4475
3.7230e-09,0.4241
3.7326e-09,0.4049
3.7423e-09,0.3906
3.7519e-09,0.3813
3.7616e-09,0.3769
3.7712e-09,0.3774
3.7808e-09,0.3832
3.7905e-09,0.3955
3.8001e-09,0.4145
3.8098e-09,0.4399
3.8194e-09,0.4707
3.8291e-09,0.5056
3.8387e-09,0.5444
3.8484e-09,0.5871
3.8580e-09,0.6330
3.8676e-09,0.6798
3.8773e-09,0.7243
3.8869e-09,0.7635
3.8966e-09,0.7956
3.9062e-09,0.8212
3.9159e-09,0.8300
3.9255e-09,0.8171
3.9352e-09,0.7923
3.9448e-09,0.7549
3.9545e-09,0.6982
3.9641e-09,0.6401
3.9737e-09,0.5884
3.9834e-09,0.5323
3.9930e-09,0.4811
4.0027e-09,0.4416
4.0123e-09,0.4037
4.0220e-09,0.3690
4.0316e-09,0.3459
4.0413e-09,0.3292
4.0509e-09,0.3165
4.0605e-09,0.3124
4.0702e-09,0.3153
4.0798e-09,0.3183
4.0895e-09,0.3238
4.0991e-09,0.3341
4.1088e-09,0.3460
4.1184e-09,0.3618
4.1281e-09,0.3793
4.1377e-09,0.3904
4.1474e-09,0.3963
4.1570e-09,0.4010
4.1666e-09,0.4062
4.1763e-09,0.4135
4.1859e-09,0.4241
4.1956e-09,0.4354
4.2052e-09,0.4449
4.2149e-09,0.4546
4.2245e-09,0.4653
4.2342e-09,0.4724
4.2438e-09,0.4739
4.2534e-09,0.4704
4.2631e-09,0.4609
4.2727e-09,0.4453
4.2824e-09,0.4270
4.2920e-09,0.4102
4.3017e-09,0.3991
4.3113e-09,0.3992
4.3210e-09,0.4135
4.3306e-09,0.4395
4.3402e-09,0.4729
4.3499e-09,0.5090
4.3595e-09,0.5404
4.3692e-09,0.5613
4.3788e-09,0.5704
4.3885e-09,0.5683
4.3981e-09,0.5556
4.4078e-09,0.5346
4.4174e-09,0.5080
4.4271e-09,0.4759
4.4367e-09,0.4386
4.4463e-09,0.3972
4.4560e-09,0.3522
4.4656e-09,0.3044
4.4753e-09,0.2560
4.4849e-09,0.2087
4.4946e-09,0.1626
4.5042e-09,0.1185
4.5139e-09,0.0778
4.5235e-09,0.0421
4.5331e-09,0.0133
4.5428e-09,-0.0080
4.5524e-09,-0.0235
4.5621e-09,-0.0358
4.5717e-09,-0.0466
4.5814e-09,-0.0573
4.5910e-09,-0.0676
4.6007e-09,-0.0765
4.6103e-09,-0.0831
4.6200e-09,-0.0861
4.6296e-09,-0.0844
4.6392e-09,-0.0783
4.6489e-09,-0.0694
4.6585e-09,-0.0590
4.6682e-09,-0.0479
4.6778e-09,-0.0380
4.6875e-09,-0.0315
4.6971e-09,-0.0302
4.7068e-09,-0.0350
4.7164e-09,-0.0455
4.7261e-09,-0.0592
4.7357e-09,-0.0729
4.7453e-09,-0.0839
4.7550e-09,-0.0901
4.7646e-09,-0.0909
4.7743e-09,-0.0869
4.7839e-09,-0.0800
4.7936e-09,-0.0724
4.8032e-09,-0.0660
4.8129e-09,-0.0615
4.8225e-09,-0.0589
4.8321e-09,-0.0575
4.8418e-09,-0.0568
4.8514e-09,-0.0565
4.8611e-09,-0.0568
4.8707e-09,-0.0582
4.8804e-09,-0.0613
4.8900e-09,-0.0663
4.8997e-09,-0.0731
4.9093e-09,-0.0810
4.9190e-09,-0.0895
4.9286e-09,-0.0977
4.9382e-09,-0.1050
4.9479e-09,-0.1108
4.9575e-09,-0.1142
4.9672e-09,-0.1147
4.9768e-09,-0.1121
4.9865e-09,-0.1066
4.9961e-09,-0.0992
5.0058e-09,-0.0914
5.0154e-09,-0.0849
5.0250e-09,-0.0801
5.0347e-09,-0.0770
5.0443e-09,-0.0743
5.0540e-09,-0.0709
5.0636e-09,-0.0657
5.0733e-09,-0.0583
5.0829e-09,-0.0485
5.0926e-09,-0.0369
5.1022e-09,-0.0243
5.1119e-09,-0.0117
5.1215e-09,-0.0003
5.1311e-09,0.0086
5.1408e-09,0.0143
5.1504e-09,0.0166
5.1601e-09,0.0112
5.1697e-09,0.0063
5.1794e-09,0.0126
5.1890e-09,0.0285
5.1987e-09,0.0505
5.2083e-09,0.0820
5.2179e-09,0.1214
5.2276e-09,0.1683
5.2372e-09,0.2280
5.2469e-09,0.2960
5.2565e-09,0.3618
5.2662e-09,0.4224
5.2758e-09,0.4772
5.2855e-09,0.5233
5.2951e-09,0.5625
5.3047e-09,0.5960
5.3144e-09,0.6210
5.3240e-09,0.6372
5.3337e-09,0.6476
5.3433e-09,0.6529
5.3530e-09,0.6533
5.3626e-09,0.6509
5.3723e-09,0.6478
5.3819e-09,0.6441
5.3916e-09,0.6417
5.4012e-09,0.6420
5.4108e-09,0.6441
5.4205e-09,0.6477
5.4301e-09,0.6530
5.4398e-09,0.6580
5.4494e-09,0.6610
5.4591e-09,0.6624
5.4687e-09,0.6618
5.4784e-09,0.6581
5.4880e-09,0.6531
5.4976e-09,0.6497
5.5073e-09,0.6491
5.5169e-09,0.6520
5.5266e-09,0.6591
