.HEADER
..NAMES
Time,V U2.G2
.DATA
3.7519e-09,0.4386
3.7616e-09,0.4267
3.7712e-09,0.4121
3.7808e-09,0.3988
3.7905e-09,0.3903
3.8001e-09,0.3890
3.8098e-09,0.3962
3.8194e-09,0.4110
3.8291e-09,0.4336
3.8387e-09,0.4646
3.8484e-09,0.5042
3.8580e-09,0.5512
3.8676e-09,0.6030
3.8773e-09,0.6557
3.8869e-09,0.7061
3.8966e-09,0.7524
3.9062e-09,0.7939
3.9159e-09,0.8308
3.9255e-09,0.8636
3.9352e-09,0.8920
3.9448e-09,0.9153
3.9545e-09,0.9334
3.9641e-09,0.9471
3.9737e-09,0.9581
3.9834e-09,0.9683
3.9930e-09,0.9793
4.0027e-09,0.9913
4.0123e-09,1.0042
4.0220e-09,1.0176
4.0316e-09,1.0314
4.0413e-09,1.0464
4.0509e-09,1.0630
4.0605e-09,1.0809
4.0702e-09,1.0990
4.0798e-09,1.1161
4.0895e-09,1.1306
4.0991e-09,1.1418
4.1088e-09,1.1499
4.1184e-09,1.1556
4.1281e-09,1.1596
4.1377e-09,1.1622
4.1474e-09,1.1636
4.1570e-09,1.1644
4.1666e-09,1.1653
4.1763e-09,1.1676
4.1859e-09,1.1717
4.1956e-09,1.1777
4.2052e-09,1.1847
4.2149e-09,1.1917
4.2245e-09,1.1981
4.2342e-09,1.2033
4.2438e-09,1.2071
4.2534e-09,1.2090
4.2631e-09,1.2091
4.2727e-09,1.2071
4.2824e-09,1.2035
4.2920e-09,1.1986
4.3017e-09,1.1933
4.3113e-09,1.1879
4.3210e-09,1.1826
4.3306e-09,1.1771
4.3402e-09,1.1717
4.3499e-09,1.1664
4.3595e-09,1.1615
4.3692e-09,1.1571
4.3788e-09,1.1530
4.3885e-09,1.1491
4.3981e-09,1.1454
4.4078e-09,1.1420
4.4174e-09,1.1391
4.4271e-09,1.1371
4.4367e-09,1.1357
4.4463e-09,1.1348
4.4560e-09,1.1341
4.4656e-09,1.1332
4.4753e-09,1.1323
4.4849e-09,1.1315
4.4946e-09,1.1314
4.5042e-09,1.1322
4.5139e-09,1.1342
4.5235e-09,1.1371
4.5331e-09,1.1410
4.5428e-09,1.1457
4.5524e-09,1.1513
4.5621e-09,1.1577
4.5717e-09,1.1643
4.5814e-09,1.1705
4.5910e-09,1.1757
4.6007e-09,1.1791
4.6103e-09,1.1808
4.6200e-09,1.1809
4.6296e-09,1.1800
4.6392e-09,1.1784
4.6489e-09,1.1765
4.6585e-09,1.1744
4.6682e-09,1.1724
4.6778e-09,1.1709
4.6875e-09,1.1701
4.6971e-09,1.1702
4.7068e-09,1.1712
4.7164e-09,1.1727
4.7261e-09,1.1744
4.7357e-09,1.1760
4.7453e-09,1.1775
4.7550e-09,1.1791
4.7646e-09,1.1808
4.7743e-09,1.1827
4.7839e-09,1.1846
4.7936e-09,1.1866
4.8032e-09,1.1884
4.8129e-09,1.1900
4.8225e-09,1.1915
4.8321e-09,1.1929
4.8418e-09,1.1940
4.8514e-09,1.1949
4.8611e-09,1.1957
4.8707e-09,1.1965
4.8804e-09,1.1974
4.8900e-09,1.1986
4.8997e-09,1.2001
4.9093e-09,1.2021
4.9190e-09,1.2043
4.9286e-09,1.2066
4.9382e-09,1.2086
4.9479e-09,1.2103
4.9575e-09,1.2113
4.9672e-09,1.2116
4.9768e-09,1.2111
4.9865e-09,1.2100
4.9961e-09,1.2084
5.0058e-09,1.2066
5.0154e-09,1.2048
5.0250e-09,1.2034
5.0347e-09,1.2023
5.0443e-09,1.2017
5.0540e-09,1.2014
5.0636e-09,1.2016
5.0733e-09,1.2018
5.0829e-09,1.2022
5.0926e-09,1.2024
5.1022e-09,1.2023
5.1119e-09,1.2020
5.1215e-09,1.2014
5.1311e-09,1.2008
5.1408e-09,1.2003
5.1504e-09,1.1999
5.1601e-09,1.1999
5.1697e-09,1.1864
5.1794e-09,1.1593
5.1890e-09,1.1163
5.1987e-09,1.0521
5.2083e-09,0.9769
5.2179e-09,0.9019
5.2276e-09,0.8211
5.2372e-09,0.7358
5.2469e-09,0.6506
5.2565e-09,0.5641
5.2662e-09,0.4831
5.2758e-09,0.4144
5.2855e-09,0.3575
5.2951e-09,0.3171
5.3047e-09,0.2943
5.3144e-09,0.2817
5.3240e-09,0.2776
5.3337e-09,0.2804
5.3433e-09,0.2888
5.3530e-09,0.3061
5.3626e-09,0.3319
5.3723e-09,0.3561
5.3819e-09,0.3730
5.3916e-09,0.3858
5.4012e-09,0.3962
5.4108e-09,0.4085
5.4205e-09,0.4231
5.4301e-09,0.4337
5.4398e-09,0.4387
5.4494e-09,0.4406
5.4591e-09,0.4409
5.4687e-09,0.4437
5.4784e-09,0.4517
5.4880e-09,0.4636
5.4976e-09,0.4769
5.5073e-09,0.4890
5.5169e-09,0.4980
5.5266e-09,0.5042
5.5362e-09,0.5078
5.5459e-09,0.5089
5.5555e-09,0.5066
5.5652e-09,0.4996
5.5748e-09,0.4884
5.5845e-09,0.4756
5.5941e-09,0.4661
5.6037e-09,0.4640
5.6134e-09,0.4700
5.6230e-09,0.4818
5.6327e-09,0.4976
5.6423e-09,0.5153
5.6520e-09,0.5335
5.6616e-09,0.5513
5.6713e-09,0.5663
5.6809e-09,0.5743
5.6905e-09,0.5714
5.7002e-09,0.5551
5.7098e-09,0.5249
5.7195e-09,0.4837
5.7291e-09,0.4340
5.7388e-09,0.3786
5.7484e-09,0.3190
5.7581e-09,0.2546
5.7677e-09,0.1866
5.7774e-09,0.1191
5.7870e-09,0.0567
5.7966e-09,0.0024
5.8063e-09,-0.0419
5.8159e-09,-0.0762
5.8256e-09,-0.1016
5.8352e-09,-0.1182
5.8449e-09,-0.1252
5.8545e-09,-0.1218
5.8642e-09,-0.1085
5.8738e-09,-0.0884
5.8835e-09,-0.0662
5.8931e-09,-0.0457
5.9027e-09,-0.0292
5.9124e-09,-0.0171
5.9220e-09,-0.0091
5.9317e-09,-0.0049
5.9413e-09,-0.0051
5.9510e-09,-0.0094
5.9606e-09,-0.0170
5.9703e-09,-0.0263
5.9799e-09,-0.0349
5.9895e-09,-0.0413
5.9992e-09,-0.0451
6.0088e-09,-0.0466
6.0185e-09,-0.0472
6.0281e-09,-0.0484
6.0378e-09,-0.0510
6.0474e-09,-0.0546
6.0571e-09,-0.0592
6.0667e-09,-0.0645
6.0764e-09,-0.0707
6.0860e-09,-0.0781
6.0956e-09,-0.0864
6.1053e-09,-0.0948
6.1149e-09,-0.1019
6.1246e-09,-0.1073
6.1342e-09,-0.1108
6.1439e-09,-0.1130
6.1535e-09,-0.1143
6.1632e-09,-0.1146
6.1728e-09,-0.1139
6.1824e-09,-0.1117
6.1921e-09,-0.1078
6.2017e-09,-0.1022
6.2114e-09,-0.0956
6.2210e-09,-0.0886
6.2307e-09,-0.0815
6.2403e-09,-0.0745
6.2500e-09,-0.0680
6.2596e-09,-0.0627
6.2693e-09,-0.0593
6.2789e-09,-0.0583
6.2885e-09,-0.0593
6.2982e-09,-0.0614
6.3078e-09,-0.0635
6.3175e-09,-0.0645
6.3271e-09,-0.0639
6.3368e-09,-0.0611
6.3464e-09,-0.0559
6.3561e-09,-0.0482
6.3657e-09,-0.0382
6.3753e-09,-0.0263
6.3850e-09,-0.0137
6.3946e-09,-0.0020
6.4043e-09,0.0038
6.4139e-09,0.0083
6.4236e-09,0.0211
6.4332e-09,0.0386
6.4429e-09,0.0547
6.4525e-09,0.0728
6.4621e-09,0.0953
6.4718e-09,0.1266
6.4814e-09,0.1736
6.4911e-09,0.2288
6.5007e-09,0.2846
6.5104e-09,0.3405
6.5200e-09,0.3926
6.5297e-09,0.4417
6.5393e-09,0.4907
6.5490e-09,0.5354
6.5586e-09,0.5733
6.5682e-09,0.6031
6.5779e-09,0.6219
6.5875e-09,0.6314
6.5972e-09,0.6361
6.6068e-09,0.6377
6.6165e-09,0.6383
6.6261e-09,0.6387
6.6358e-09,0.6366
6.6454e-09,0.6332
6.6550e-09,0.6304
6.6647e-09,0.6288
6.6743e-09,0.6303
6.6840e-09,0.6354
6.6936e-09,0.6421
6.7033e-09,0.6486
6.7129e-09,0.6539
6.7226e-09,0.6583
6.7322e-09,0.6623
6.7419e-09,0.6646
6.7515e-09,0.6641
6.7611e-09,0.6607
6.7708e-09,0.6538
6.7804e-09,0.6439
6.7901e-09,0.6331
6.7997e-09,0.6238
6.8094e-09,0.6181
6.8190e-09,0.6158
6.8287e-09,0.6144
6.8383e-09,0.6137
6.8480e-09,0.6145
6.8576e-09,0.6164
6.8672e-09,0.6191
6.8769e-09,0.6204
6.8865e-09,0.6173
6.8962e-09,0.6085
6.9058e-09,0.5947
6.9155e-09,0.5786
6.9251e-09,0.5641
6.9348e-09,0.5529
6.9444e-09,0.5456
6.9540e-09,0.5423
6.9637e-09,0.5438
6.9733e-09,0.5522
6.9830e-09,0.5698
6.9926e-09,0.5969
7.0023e-09,0.6307
7.0119e-09,0.6686
7.0216e-09,0.7080
7.0312e-09,0.7476
7.0409e-09,0.7872
7.0505e-09,0.8263
7.0601e-09,0.8643
7.0698e-09,0.8997
7.0794e-09,0.9309
7.0891e-09,0.9569
7.0987e-09,0.9777
7.1084e-09,0.9942
7.1180e-09,1.0074
7.1277e-09,1.0180
7.1373e-09,1.0264
7.1469e-09,1.0331
7.1566e-09,1.0383
7.1662e-09,1.0432
7.1759e-09,1.0491
7.1855e-09,1.0575
7.1952e-09,1.0687
7.2048e-09,1.0819
7.2145e-09,1.0961
7.2241e-09,1.1100
7.2338e-09,1.1226
7.2434e-09,1.1336
7.2530e-09,1.1430
7.2627e-09,1.1506
7.2723e-09,1.1563
7.2820e-09,1.1598
7.2916e-09,1.1615
7.3013e-09,1.1625
7.3109e-09,1.1643
7.3206e-09,1.1678
7.3302e-09,1.1732
7.3398e-09,1.1800
7.3495e-09,1.1875
7.3591e-09,1.1951
7.3688e-09,1.2029
7.3784e-09,1.2104
7.3881e-09,1.2171
7.3977e-09,1.2224
7.4074e-09,1.2260
7.4170e-09,1.2277
7.4266e-09,1.2280
7.4363e-09,1.2275
7.4459e-09,1.2266
7.4556e-09,1.2249
7.4652e-09,1.2221
7.4749e-09,1.2181
7.4845e-09,1.2133
7.4942e-09,1.2081
7.5038e-09,1.2025
7.5135e-09,1.1966
7.5231e-09,1.1905
7.5327e-09,1.1845
7.5424e-09,1.1788
7.5520e-09,1.1741
7.5617e-09,1.1707
7.5713e-09,1.1684
7.5810e-09,1.1670
7.5906e-09,1.1658
7.6003e-09,1.1645
7.6099e-09,1.1629
7.6196e-09,1.1610
7.6292e-09,1.1590
7.6388e-09,1.1571
7.6485e-09,1.1557
7.6581e-09,1.1548
7.6678e-09,1.1548
7.6774e-09,1.1559
7.6871e-09,1.1584
7.6967e-09,1.1625
7.7064e-09,1.1677
7.7160e-09,1.1736
7.7256e-09,1.1792
7.7353e-09,1.1840
7.7449e-09,1.1876
7.7546e-09,1.1898
7.7642e-09,1.1910
7.7739e-09,1.1912
7.7835e-09,1.1907
7.7932e-09,1.1894
7.8028e-09,1.1877
7.8125e-09,1.1857
7.8221e-09,1.1841
7.8317e-09,1.1830
7.8414e-09,1.1823
7.8510e-09,1.1818
7.8607e-09,1.1812
7.8703e-09,1.1805
7.8800e-09,1.1798
7.8896e-09,1.1794
7.8993e-09,1.1795
7.9089e-09,1.1800
7.9185e-09,1.1810
7.9282e-09,1.1823
7.9378e-09,1.1839
7.9475e-09,1.1858
7.9571e-09,1.1877
7.9668e-09,1.1894
7.9764e-09,1.1908
7.9861e-09,1.1917
7.9957e-09,1.1921
8.0054e-09,1.1922
8.0150e-09,1.1923
8.0246e-09,1.1925
8.0343e-09,1.1932
8.0439e-09,1.1944
8.0536e-09,1.1962
8.0632e-09,1.1985
8.0729e-09,1.2012
8.0825e-09,1.2038
8.0922e-09,1.2062
8.1018e-09,1.2080
8.1114e-09,1.2090
8.1211e-09,1.2093
8.1307e-09,1.2088
8.1404e-09,1.2078
8.1500e-09,1.2066
8.1597e-09,1.2053
8.1693e-09,1.2042
8.1790e-09,1.2033
8.1886e-09,1.2027
8.1983e-09,1.2025
8.2079e-09,1.2024
8.2175e-09,1.2024
8.2272e-09,1.2024
8.2368e-09,1.2021
8.2465e-09,1.2016
8.2561e-09,1.2010
8.2658e-09,1.2003
8.2754e-09,1.1998
8.2851e-09,1.1997
8.2947e-09,1.1863
8.3043e-09,1.1595
8.3140e-09,1.1168
8.3236e-09,1.0528
8.3333e-09,0.9777
8.3429e-09,0.9028
8.3526e-09,0.8220
8.3622e-09,0.7365
8.3719e-09,0.6511
8.3815e-09,0.5640
8.3911e-09,0.4824
8.4008e-09,0.4132
8.4104e-09,0.3560
8.4201e-09,0.3157
8.4297e-09,0.2935
8.4394e-09,0.2817
8.4490e-09,0.2788
8.4587e-09,0.2828
8.4683e-09,0.2922
8.4780e-09,0.3104
8.4876e-09,0.3367
8.4972e-09,0.3611
8.5069e-09,0.3778
8.5165e-09,0.3900
8.5262e-09,0.3995
8.5358e-09,0.4109
8.5455e-09,0.4246
8.5551e-09,0.4344
8.5648e-09,0.4390
8.5744e-09,0.4407
8.5840e-09,0.4409
8.5937e-09,0.4437
8.6033e-09,0.4518
8.6130e-09,0.4638
8.6226e-09,0.4771
8.6323e-09,0.4890
8.6419e-09,0.4980
8.6516e-09,0.5041
8.6612e-09,0.5076
8.6709e-09,0.5086
8.6805e-09,0.5064
8.6901e-09,0.4995
8.6998e-09,0.4884
8.7094e-09,0.4758
8.7191e-09,0.4662
8.7287e-09,0.4641
8.7384e-09,0.4699
8.7480e-09,0.4815
8.7577e-09,0.4970
8.7673e-09,0.5145
8.7769e-09,0.5326
8.7866e-09,0.5505
8.7962e-09,0.5658
8.8059e-09,0.5743
8.8155e-09,0.5720
8.8252e-09,0.5562
8.8348e-09,0.5266
8.8445e-09,0.4856
8.8541e-09,0.4360
8.8638e-09,0.3805
8.8734e-09,0.3205
8.8830e-09,0.2557
8.8927e-09,0.1871
8.9023e-09,0.1191
8.9120e-09,0.0562
8.9216e-09,0.0017
8.9313e-09,-0.0427
8.9409e-09,-0.0769
8.9506e-09,-0.1020
8.9602e-09,-0.1183
8.9698e-09,-0.1251
8.9795e-09,-0.1215
8.9891e-09,-0.1081
8.9988e-09,-0.0881
9.0084e-09,-0.0660
9.0181e-09,-0.0457
9.0277e-09,-0.0292
9.0374e-09,-0.0173
9.0470e-09,-0.0093
9.0567e-09,-0.0051
9.0663e-09,-0.0052
9.0759e-09,-0.0094
9.0856e-09,-0.0170
9.0952e-09,-0.0262
9.1049e-09,-0.0350
9.1145e-09,-0.0416
9.1242e-09,-0.0454
9.1338e-09,-0.0471
9.1435e-09,-0.0477
9.1531e-09,-0.0489
9.1627e-09,-0.0512
9.1724e-09,-0.0547
9.1820e-09,-0.0589
9.1917e-09,-0.0639
9.2013e-09,-0.0699
9.2110e-09,-0.0772
9.2206e-09,-0.0855
9.2303e-09,-0.0940
9.2399e-09,-0.1014
9.2496e-09,-0.1071
9.2592e-09,-0.1109
9.2688e-09,-0.1133
9.2785e-09,-0.1148
9.2881e-09,-0.1152
9.2978e-09,-0.1143
9.3074e-09,-0.1120
9.3171e-09,-0.1078
9.3267e-09,-0.1021
9.3364e-09,-0.0953
9.3460e-09,-0.0882
9.3556e-09,-0.0811
9.3653e-09,-0.0742
9.3749e-09,-0.0677
9.3846e-09,-0.0626
9.3942e-09,-0.0594
9.4039e-09,-0.0584
9.4135e-09,-0.0594
9.4232e-09,-0.0616
9.4328e-09,-0.0636
9.4425e-09,-0.0645
9.4521e-09,-0.0638
9.4617e-09,-0.0609
9.4714e-09,-0.0558
9.4810e-09,-0.0482
9.4907e-09,-0.0382
9.5003e-09,-0.0264
9.5100e-09,-0.0139
9.5196e-09,-0.0021
9.5293e-09,0.0078
9.5389e-09,0.0151
9.5486e-09,0.0196
9.5582e-09,0.0217
9.5678e-09,0.0217
9.5775e-09,0.0200
9.5871e-09,0.0168
9.5968e-09,0.0127
9.6064e-09,0.0081
9.6161e-09,0.0038
9.6257e-09,0.0002
9.6354e-09,-0.0024
9.6450e-09,-0.0041
9.6546e-09,-0.0051
9.6643e-09,-0.0056
9.6739e-09,-0.0055
9.6836e-09,-0.0045
9.6932e-09,-0.0023
9.7029e-09,0.0010
9.7125e-09,0.0052
9.7222e-09,0.0097
9.7318e-09,0.0139
9.7415e-09,0.0176
9.7511e-09,0.0206
9.7607e-09,0.0228
9.7704e-09,0.0242
9.7800e-09,0.0246
9.7897e-09,0.0241
9.7993e-09,0.0231
9.8090e-09,0.0220
9.8186e-09,0.0215
9.8283e-09,0.0220
9.8379e-09,0.0237
9.8475e-09,0.0264
9.8572e-09,0.0296
9.8668e-09,0.0328
9.8765e-09,0.0356
9.8861e-09,0.0376
9.8958e-09,0.0385
9.9054e-09,0.0381
9.9151e-09,0.0363
9.9247e-09,0.0333
9.9344e-09,0.0295
9.9440e-09,0.0254
9.9536e-09,0.0214
9.9633e-09,0.0181
9.9729e-09,0.0155
9.9826e-09,0.0137
9.9922e-09,0.0127
1.00019e-08,0.0123
1.00115e-08,0.0122
1.00212e-08,0.0125
1.00308e-08,0.0127
1.00404e-08,0.0130
1.00501e-08,0.0131
1.00597e-08,0.0132
1.00694e-08,0.0132
1.00790e-08,0.0132
1.00887e-08,0.0131
1.00983e-08,0.0128
1.01080e-08,0.0121
1.01176e-08,0.0110
1.01273e-08,0.0094
1.01369e-08,0.0074
1.01465e-08,0.0051
1.01562e-08,0.0027
1.01658e-08,0.0005
1.01755e-08,-0.0013
1.01851e-08,-0.0024
1.01948e-08,-0.0027
1.02044e-08,-0.0021
1.02141e-08,-0.0007
1.02237e-08,0.0012
1.02333e-08,0.0032
