.HEADER
..NAMES
Time,V U2.D7
.DATA
3.8580e-09,0.6547
3.8676e-09,0.6652
3.8773e-09,0.6753
3.8869e-09,0.6889
3.8966e-09,0.7074
3.9062e-09,0.7310
3.9159e-09,0.7596
3.9255e-09,0.7923
3.9352e-09,0.8277
3.9448e-09,0.8637
3.9545e-09,0.8989
3.9641e-09,0.9324
3.9737e-09,0.9634
3.9834e-09,0.9902
3.9930e-09,1.0122
4.0027e-09,1.0300
4.0123e-09,1.0445
4.0220e-09,1.0566
4.0316e-09,1.0678
4.0413e-09,1.0796
4.0509e-09,1.0923
4.0605e-09,1.1049
4.0702e-09,1.1177
4.0798e-09,1.1309
4.0895e-09,1.1441
4.0991e-09,1.1567
4.1088e-09,1.1691
4.1184e-09,1.1822
4.1281e-09,1.1960
4.1377e-09,1.2096
4.1474e-09,1.2215
4.1570e-09,1.2303
4.1666e-09,1.2343
4.1763e-09,1.2323
4.1859e-09,1.2245
4.1956e-09,1.2132
4.2052e-09,1.2011
4.2149e-09,1.1901
4.2245e-09,1.1820
4.2342e-09,1.1782
4.2438e-09,1.1787
4.2534e-09,1.1825
4.2631e-09,1.1885
4.2727e-09,1.1958
4.2824e-09,1.2032
4.2920e-09,1.2094
4.3017e-09,1.2130
4.3113e-09,1.2139
4.3210e-09,1.2126
4.3306e-09,1.2105
4.3402e-09,1.2089
4.3499e-09,1.2095
4.3595e-09,1.2128
4.3692e-09,1.2179
4.3788e-09,1.2235
4.3885e-09,1.2285
4.3981e-09,1.2322
4.4078e-09,1.2338
4.4174e-09,1.2330
4.4271e-09,1.2297
4.4367e-09,1.2246
4.4463e-09,1.2179
4.4560e-09,1.2100
4.4656e-09,1.2017
4.4753e-09,1.1942
4.4849e-09,1.1882
4.4946e-09,1.1841
4.5042e-09,1.1817
4.5139e-09,1.1806
4.5235e-09,1.1804
4.5331e-09,1.1805
4.5428e-09,1.1809
4.5524e-09,1.1817
4.5621e-09,1.1833
4.5717e-09,1.1856
4.5814e-09,1.1885
4.5910e-09,1.1918
4.6007e-09,1.1946
4.6103e-09,1.1961
4.6200e-09,1.1956
4.6296e-09,1.1930
4.6392e-09,1.1887
4.6489e-09,1.1837
4.6585e-09,1.1790
4.6682e-09,1.1757
4.6778e-09,1.1743
4.6875e-09,1.1750
4.6971e-09,1.1772
4.7068e-09,1.1802
4.7164e-09,1.1833
4.7261e-09,1.1860
4.7357e-09,1.1880
4.7453e-09,1.1894
4.7550e-09,1.1901
4.7646e-09,1.1902
4.7743e-09,1.1900
4.7839e-09,1.1900
4.7936e-09,1.1907
4.8032e-09,1.1925
4.8129e-09,1.1957
4.8225e-09,1.1998
4.8321e-09,1.2042
4.8418e-09,1.2080
4.8514e-09,1.2103
4.8611e-09,1.2109
4.8707e-09,1.2099
4.8804e-09,1.2075
4.8900e-09,1.2043
4.8997e-09,1.2009
4.9093e-09,1.1977
4.9190e-09,1.1950
4.9286e-09,1.1931
4.9382e-09,1.1920
4.9479e-09,1.1919
4.9575e-09,1.1924
4.9672e-09,1.1934
4.9768e-09,1.1945
4.9865e-09,1.1956
4.9961e-09,1.1967
5.0058e-09,1.1978
5.0154e-09,1.1993
5.0250e-09,1.2011
5.0347e-09,1.2032
5.0443e-09,1.2052
5.0540e-09,1.2068
5.0636e-09,1.2078
5.0733e-09,1.2077
5.0829e-09,1.2068
5.0926e-09,1.2053
5.1022e-09,1.2036
5.1119e-09,1.2022
5.1215e-09,1.2014
5.1311e-09,1.2013
5.1408e-09,1.2018
5.1504e-09,1.2026
5.1601e-09,1.2034
5.1697e-09,1.2039
5.1794e-09,1.2040
5.1890e-09,1.2037
5.1987e-09,1.2031
5.2083e-09,1.2025
5.2179e-09,1.2019
5.2276e-09,1.2016
5.2372e-09,1.2015
5.2469e-09,1.2019
5.2565e-09,1.2029
5.2662e-09,1.2044
5.2758e-09,1.2063
5.2855e-09,1.2081
5.2951e-09,1.2094
5.3047e-09,1.2098
5.3144e-09,1.2092
5.3240e-09,1.2076
5.3337e-09,1.2055
5.3433e-09,1.2033
5.3530e-09,1.2013
5.3626e-09,1.1999
5.3723e-09,1.1990
5.3819e-09,1.1986
5.3916e-09,1.1985
5.4012e-09,1.1986
5.4108e-09,1.1988
5.4205e-09,1.1991
5.4301e-09,1.1994
5.4398e-09,1.1997
5.4494e-09,1.2000
5.4591e-09,1.2004
5.4687e-09,1.2010
5.4784e-09,1.2018
5.4880e-09,1.2026
5.4976e-09,1.2034
5.5073e-09,1.2040
5.5169e-09,1.2043
5.5266e-09,1.2042
5.5362e-09,1.2038
5.5459e-09,1.2032
5.5555e-09,1.2025
5.5652e-09,1.2019
5.5748e-09,1.2016
5.5845e-09,1.2015
5.5941e-09,1.2015
5.6037e-09,1.2016
5.6134e-09,1.2017
5.6230e-09,1.2016
5.6327e-09,1.2012
5.6423e-09,1.2008
5.6520e-09,1.2003
5.6616e-09,1.1998
5.6713e-09,1.1996
5.6809e-09,1.1996
5.6905e-09,1.1998
5.7002e-09,1.2004
5.7098e-09,1.2012
5.7195e-09,1.2022
5.7291e-09,1.2031
5.7388e-09,1.2040
5.7484e-09,1.2044
5.7581e-09,1.2044
5.7677e-09,1.2039
5.7774e-09,1.2030
5.7870e-09,1.2019
5.7966e-09,1.2009
5.8063e-09,1.2003
5.8159e-09,1.1999
5.8256e-09,1.1999
5.8352e-09,1.2001
5.8449e-09,1.2004
5.8545e-09,1.2005
5.8642e-09,1.2006
5.8738e-09,1.2006
5.8835e-09,1.2006
5.8931e-09,1.2007
5.9027e-09,1.2008
5.9124e-09,1.2011
5.9220e-09,1.2014
5.9317e-09,1.2018
5.9413e-09,1.2022
5.9510e-09,1.2026
5.9606e-09,1.2029
5.9703e-09,1.2031
5.9799e-09,1.2031
5.9895e-09,1.2030
5.9992e-09,1.2027
6.0088e-09,1.2025
6.0185e-09,1.2022
6.0281e-09,1.2020
6.0378e-09,1.2019
6.0474e-09,1.2018
6.0571e-09,1.2018
6.0667e-09,1.2017
6.0764e-09,1.2016
6.0860e-09,1.2014
6.0956e-09,1.2011
6.1053e-09,1.2008
6.1149e-09,1.2006
6.1246e-09,1.2005
6.1342e-09,1.2007
6.1439e-09,1.2009
6.1535e-09,1.2014
6.1632e-09,1.2019
6.1728e-09,1.2024
6.1824e-09,1.2028
6.1921e-09,1.2031
6.2017e-09,1.2031
6.2114e-09,1.2030
6.2210e-09,1.2026
6.2307e-09,1.2022
6.2403e-09,1.2018
6.2500e-09,1.2014
6.2596e-09,1.2012
6.2693e-09,1.2012
6.2789e-09,1.2013
6.2885e-09,1.2014
6.2982e-09,1.2015
6.3078e-09,1.2016
6.3175e-09,1.2015
6.3271e-09,1.2014
6.3368e-09,1.2013
6.3464e-09,1.2013
6.3561e-09,1.2013
6.3657e-09,1.2014
6.3753e-09,1.2016
6.3850e-09,1.2018
6.3946e-09,1.2020
6.4043e-09,1.2022
6.4139e-09,1.2023
6.4236e-09,1.2024
6.4332e-09,1.2024
6.4429e-09,1.2024
6.4525e-09,1.2023
6.4621e-09,1.2021
6.4718e-09,1.2019
6.4814e-09,1.2018
6.4911e-09,1.2017
6.5007e-09,1.2017
6.5104e-09,1.2017
6.5200e-09,1.2016
6.5297e-09,1.2015
6.5393e-09,1.2014
6.5490e-09,1.2013
6.5586e-09,1.2011
6.5682e-09,1.2010
6.5779e-09,1.2011
6.5875e-09,1.2012
6.5972e-09,1.2014
6.6068e-09,1.2017
6.6165e-09,1.2019
6.6261e-09,1.2022
6.6358e-09,1.2023
6.6454e-09,1.2023
6.6550e-09,1.2023
6.6647e-09,1.2022
6.6743e-09,1.2020
6.6840e-09,1.2018
6.6936e-09,1.2017
6.7033e-09,1.2016
6.7129e-09,1.2015
6.7226e-09,1.2016
6.7322e-09,1.2016
6.7419e-09,1.2017
6.7515e-09,1.2017
6.7611e-09,1.2017
6.7708e-09,1.2016
6.7804e-09,1.2015
6.7901e-09,1.2014
6.7997e-09,1.2014
6.8094e-09,1.2014
6.8190e-09,1.2015
6.8287e-09,1.2016
6.8383e-09,1.2017
6.8480e-09,1.2018
6.8576e-09,1.2019
6.8672e-09,1.2020
6.8769e-09,1.2020
6.8865e-09,1.2020
6.8962e-09,1.2020
6.9058e-09,1.2019
6.9155e-09,1.2018
6.9251e-09,1.2018
6.9348e-09,1.2017
6.9444e-09,1.2017
6.9540e-09,1.2017
6.9637e-09,1.2016
6.9733e-09,1.2016
6.9830e-09,1.2016
6.9926e-09,1.2015
7.0023e-09,1.2014
7.0119e-09,1.2014
7.0216e-09,1.2013
7.0312e-09,1.2014
7.0409e-09,1.2006
7.0505e-09,1.1825
7.0601e-09,1.1426
7.0698e-09,1.0759
7.0794e-09,0.9765
7.0891e-09,0.8552
7.0987e-09,0.7351
7.1084e-09,0.6238
7.1180e-09,0.5254
7.1277e-09,0.4512
7.1373e-09,0.4044
7.1469e-09,0.3795
7.1566e-09,0.3703
7.1662e-09,0.3713
7.1759e-09,0.3793
7.1855e-09,0.3930
7.1952e-09,0.4055
7.2048e-09,0.4120
7.2145e-09,0.4139
7.2241e-09,0.4132
7.2338e-09,0.4096
7.2434e-09,0.4084
7.2530e-09,0.4121
7.2627e-09,0.4140
7.2723e-09,0.4125
7.2820e-09,0.4118
7.2916e-09,0.4167
7.3013e-09,0.4244
7.3109e-09,0.4319
7.3206e-09,0.4390
7.3302e-09,0.4461
7.3398e-09,0.4530
7.3495e-09,0.4599
7.3591e-09,0.4672
7.3688e-09,0.4719
7.3784e-09,0.4712
7.3881e-09,0.4621
7.3977e-09,0.4444
7.4074e-09,0.4190
7.4170e-09,0.3883
7.4266e-09,0.3571
7.4363e-09,0.3326
7.4459e-09,0.3227
7.4556e-09,0.3320
7.4652e-09,0.3627
7.4749e-09,0.4135
7.4845e-09,0.4783
7.4942e-09,0.5452
7.5038e-09,0.6011
7.5135e-09,0.6361
7.5231e-09,0.6448
7.5327e-09,0.6280
7.5424e-09,0.5925
7.5520e-09,0.5487
7.5617e-09,0.5063
7.5713e-09,0.4708
7.5810e-09,0.4423
7.5906e-09,0.4170
7.6003e-09,0.3913
7.6099e-09,0.3624
7.6196e-09,0.3283
7.6292e-09,0.2884
7.6388e-09,0.2438
7.6485e-09,0.1958
7.6581e-09,0.1460
7.6678e-09,0.0971
7.6774e-09,0.0516
7.6871e-09,0.0114
7.6967e-09,-0.0217
7.7064e-09,-0.0461
7.7160e-09,-0.0609
7.7256e-09,-0.0676
7.7353e-09,-0.0687
7.7449e-09,-0.0668
7.7546e-09,-0.0632
7.7642e-09,-0.0594
7.7739e-09,-0.0569
7.7835e-09,-0.0561
7.7932e-09,-0.0561
7.8028e-09,-0.0553
7.8125e-09,-0.0535
7.8221e-09,-0.0518
7.8317e-09,-0.0522
7.8414e-09,-0.0573
7.8510e-09,-0.0687
7.8607e-09,-0.0857
7.8703e-09,-0.1053
7.8800e-09,-0.1235
7.8896e-09,-0.1363
7.8993e-09,-0.1400
7.9089e-09,-0.1326
7.9185e-09,-0.1149
7.9282e-09,-0.0904
7.9378e-09,-0.0638
7.9475e-09,-0.0394
7.9571e-09,-0.0212
7.9668e-09,-0.0120
7.9764e-09,-0.0124
7.9861e-09,-0.0203
7.9957e-09,-0.0319
8.0054e-09,-0.0436
8.0150e-09,-0.0521
8.0246e-09,-0.0558
8.0343e-09,-0.0554
8.0439e-09,-0.0533
8.0536e-09,-0.0522
8.0632e-09,-0.0535
8.0729e-09,-0.0578
8.0825e-09,-0.0652
8.0922e-09,-0.0750
8.1018e-09,-0.0864
8.1114e-09,-0.0985
8.1211e-09,-0.1106
8.1307e-09,-0.1216
8.1404e-09,-0.1296
8.1500e-09,-0.1331
8.1597e-09,-0.1311
8.1693e-09,-0.1238
8.1790e-09,-0.1123
8.1886e-09,-0.0985
8.1983e-09,-0.0847
8.2079e-09,-0.0726
8.2175e-09,-0.0626
8.2272e-09,-0.0539
8.2368e-09,-0.0457
8.2465e-09,-0.0372
8.2561e-09,-0.0279
8.2658e-09,-0.0181
8.2754e-09,-0.0090
8.2851e-09,-0.0023
8.2947e-09,0.0006
8.3043e-09,-0.0007
8.3140e-09,-0.0056
8.3236e-09,-0.0121
8.3333e-09,-0.0178
8.3429e-09,-0.0202
8.3526e-09,-0.0181
8.3622e-09,-0.0116
8.3719e-09,-0.0016
8.3815e-09,0.0098
8.3911e-09,0.0207
8.4008e-09,0.0292
8.4104e-09,0.0346
8.4201e-09,0.0369
8.4297e-09,0.0368
8.4394e-09,0.0351
8.4490e-09,0.0328
8.4587e-09,0.0310
8.4683e-09,0.0305
8.4780e-09,0.0314
8.4876e-09,0.0336
8.4972e-09,0.0363
8.5069e-09,0.0385
8.5165e-09,0.0391
8.5262e-09,0.0376
8.5358e-09,0.0339
8.5455e-09,0.0283
8.5551e-09,0.0212
8.5648e-09,0.0135
8.5744e-09,0.0062
8.5840e-09,0.0002
8.5937e-09,-0.0038
8.6033e-09,-0.0050
8.6130e-09,-0.0034
8.6226e-09,0.0006
8.6323e-09,0.0061
8.6419e-09,0.0119
8.6516e-09,0.0168
8.6612e-09,0.0204
8.6709e-09,0.0229
8.6805e-09,0.0250
8.6901e-09,0.0274
8.6998e-09,0.0307
8.7094e-09,0.0346
8.7191e-09,0.0386
8.7287e-09,0.0416
8.7384e-09,0.0426
8.7480e-09,0.0413
8.7577e-09,0.0377
8.7673e-09,0.0327
8.7769e-09,0.0272
8.7866e-09,0.0224
8.7962e-09,0.0192
8.8059e-09,0.0178
8.8155e-09,0.0181
8.8252e-09,0.0192
8.8348e-09,0.0205
8.8445e-09,0.0212
8.8541e-09,0.0211
8.8638e-09,0.0200
8.8734e-09,0.0183
8.8830e-09,0.0162
8.8927e-09,0.0141
8.9023e-09,0.0123
8.9120e-09,0.0108
8.9216e-09,0.0100
8.9313e-09,0.0098
8.9409e-09,0.0102
8.9506e-09,0.0110
8.9602e-09,0.0118
8.9698e-09,0.0118
8.9795e-09,0.0106
8.9891e-09,0.0079
8.9988e-09,0.0039
9.0084e-09,-0.0010
9.0181e-09,-0.0059
9.0277e-09,-0.0103
9.0374e-09,-0.0134
9.0470e-09,-0.0150
9.0567e-09,-0.0151
9.0663e-09,-0.0140
9.0759e-09,-0.0123
9.0856e-09,-0.0103
9.0952e-09,-0.0086
9.1049e-09,-0.0073
9.1145e-09,-0.0064
