.HEADER
..NAMES
Time,V U2.C7
.DATA
6.2982e-09,-0.0016
6.3078e-09,-0.0026
6.3175e-09,-0.0029
6.3271e-09,-0.0028
6.3368e-09,-0.0023
6.3464e-09,-0.0018
6.3561e-09,-0.0013
6.3657e-09,-0.0010
6.3753e-09,-0.0008
6.3850e-09,-0.0006
6.3946e-09,-0.0003
6.4043e-09,0.0003
6.4139e-09,0.0010
6.4236e-09,0.0017
6.4332e-09,0.0022
6.4429e-09,0.0024
6.4525e-09,0.0024
6.4621e-09,0.0022
6.4718e-09,0.0021
6.4814e-09,0.0022
6.4911e-09,0.0026
6.5007e-09,0.0033
6.5104e-09,0.0040
6.5200e-09,0.0046
6.5297e-09,0.0051
6.5393e-09,0.0051
6.5490e-09,0.0049
6.5586e-09,0.0042
6.5682e-09,0.0032
6.5779e-09,0.0021
6.5875e-09,0.0008
6.5972e-09,-0.0003
6.6068e-09,-0.0011
6.6165e-09,-0.0014
6.6261e-09,-0.0011
6.6358e-09,-0.0003
6.6454e-09,0.0009
6.6550e-09,0.0023
6.6647e-09,0.0036
6.6743e-09,0.0046
6.6840e-09,0.0053
6.6936e-09,0.0055
6.7033e-09,0.0053
6.7129e-09,0.0050
6.7226e-09,0.0046
6.7322e-09,0.0042
6.7419e-09,0.0039
6.7515e-09,0.0038
6.7611e-09,0.0037
6.7708e-09,0.0035
6.7804e-09,0.0034
6.7901e-09,0.0031
6.7997e-09,0.0029
6.8094e-09,0.0027
6.8190e-09,0.0026
6.8287e-09,0.0026
6.8383e-09,0.0027
6.8480e-09,0.0027
6.8576e-09,0.0026
6.8672e-09,0.0023
6.8769e-09,0.0019
6.8865e-09,0.0014
6.8962e-09,0.0010
6.9058e-09,0.0009
6.9155e-09,0.0010
6.9251e-09,0.0014
6.9348e-09,0.0020
6.9444e-09,0.0026
6.9540e-09,0.0032
6.9637e-09,0.0035
6.9733e-09,0.0036
6.9830e-09,0.0033
6.9926e-09,0.0029
7.0023e-09,0.0023
7.0119e-09,0.0015
7.0216e-09,0.0008
7.0312e-09,-0.0024
7.0409e-09,-0.0046
7.0505e-09,0.0057
7.0601e-09,0.0298
7.0698e-09,0.0588
7.0794e-09,0.0933
7.0891e-09,0.1366
7.0987e-09,0.1854
7.1084e-09,0.2428
7.1180e-09,0.3086
7.1277e-09,0.3712
7.1373e-09,0.4234
7.1469e-09,0.4665
7.1566e-09,0.5015
7.1662e-09,0.5263
7.1759e-09,0.5437
7.1855e-09,0.5594
7.1952e-09,0.5733
7.2048e-09,0.5849
7.2145e-09,0.5960
7.2241e-09,0.6053
7.2338e-09,0.6111
7.2434e-09,0.6152
7.2530e-09,0.6190
7.2627e-09,0.6200
7.2723e-09,0.6185
7.2820e-09,0.6178
7.2916e-09,0.6184
7.3013e-09,0.6191
7.3109e-09,0.6197
7.3206e-09,0.6200
7.3302e-09,0.6193
7.3398e-09,0.6182
7.3495e-09,0.6169
7.3591e-09,0.6148
7.3688e-09,0.6132
7.3784e-09,0.6145
7.3881e-09,0.6189
7.3977e-09,0.6253
7.4074e-09,0.6342
7.4170e-09,0.6450
7.4266e-09,0.6547
7.4363e-09,0.6602
7.4459e-09,0.6597
7.4556e-09,0.6525
7.4652e-09,0.6394
7.4749e-09,0.6220
7.4845e-09,0.6012
7.4942e-09,0.5778
7.5038e-09,0.5546
7.5135e-09,0.5355
7.5231e-09,0.5232
7.5327e-09,0.5194
7.5424e-09,0.5249
7.5520e-09,0.5382
7.5617e-09,0.5556
7.5713e-09,0.5742
7.5810e-09,0.5928
7.5906e-09,0.6122
7.6003e-09,0.6343
7.6099e-09,0.6611
7.6196e-09,0.6923
7.6292e-09,0.7258
7.6388e-09,0.7602
7.6485e-09,0.7946
7.6581e-09,0.8270
7.6678e-09,0.8363
7.6774e-09,0.8188
7.6871e-09,0.7867
7.6967e-09,0.7337
7.7064e-09,0.6585
7.7160e-09,0.5920
7.7256e-09,0.5403
7.7353e-09,0.4930
7.7449e-09,0.4604
7.7546e-09,0.4443
7.7642e-09,0.4269
7.7739e-09,0.4050
7.7835e-09,0.3868
7.7932e-09,0.3686
7.8028e-09,0.3436
7.8125e-09,0.3238
7.8221e-09,0.3164
7.8317e-09,0.3152
7.8414e-09,0.3206
7.8510e-09,0.3399
7.8607e-09,0.3687
7.8703e-09,0.3990
7.8800e-09,0.4239
7.8896e-09,0.4384
7.8993e-09,0.4399
7.9089e-09,0.4332
7.9185e-09,0.4272
7.9282e-09,0.4238
7.9378e-09,0.4212
7.9475e-09,0.4230
7.9571e-09,0.4310
7.9668e-09,0.4431
7.9764e-09,0.4555
7.9861e-09,0.4631
7.9957e-09,0.4617
8.0054e-09,0.4513
8.0150e-09,0.4338
8.0246e-09,0.4114
8.0343e-09,0.3897
8.0439e-09,0.3789
8.0536e-09,0.3853
8.0632e-09,0.4097
8.0729e-09,0.4487
8.0825e-09,0.4958
8.0922e-09,0.5415
8.1018e-09,0.5770
8.1114e-09,0.5967
8.1211e-09,0.5982
8.1307e-09,0.5847
8.1404e-09,0.5638
8.1500e-09,0.5418
8.1597e-09,0.5202
8.1693e-09,0.4984
8.1790e-09,0.4754
8.1886e-09,0.4482
8.1983e-09,0.4129
8.2079e-09,0.3688
8.2175e-09,0.3177
8.2272e-09,0.2620
8.2368e-09,0.2050
8.2465e-09,0.1509
8.2561e-09,0.1028
8.2658e-09,0.0627
8.2754e-09,0.0322
8.2851e-09,0.0104
8.2947e-09,-0.0069
8.3043e-09,-0.0243
8.3140e-09,-0.0428
8.3236e-09,-0.0610
8.3333e-09,-0.0772
8.3429e-09,-0.0884
8.3526e-09,-0.0916
8.3622e-09,-0.0863
8.3719e-09,-0.0746
8.3815e-09,-0.0597
8.3911e-09,-0.0450
8.4008e-09,-0.0342
8.4104e-09,-0.0288
8.4201e-09,-0.0293
8.4297e-09,-0.0365
8.4394e-09,-0.0504
8.4490e-09,-0.0679
8.4587e-09,-0.0849
8.4683e-09,-0.0981
8.4780e-09,-0.1052
8.4876e-09,-0.1047
8.4972e-09,-0.0974
8.5069e-09,-0.0863
8.5165e-09,-0.0746
