.HEADER
..NAMES
Time,V U2.F7
.DATA
7.7064e-09,0.6802
7.7160e-09,0.6301
7.7256e-09,0.5734
7.7353e-09,0.5117
7.7449e-09,0.4580
7.7546e-09,0.4036
7.7642e-09,0.3516
7.7739e-09,0.3160
7.7835e-09,0.2906
7.7932e-09,0.2738
7.8028e-09,0.2717
7.8125e-09,0.2748
7.8221e-09,0.2775
7.8317e-09,0.2848
7.8414e-09,0.2940
7.8510e-09,0.3054
7.8607e-09,0.3255
7.8703e-09,0.3476
7.8800e-09,0.3608
7.8896e-09,0.3711
7.8993e-09,0.3813
7.9089e-09,0.3914
7.9185e-09,0.4072
7.9282e-09,0.4254
7.9378e-09,0.4403
7.9475e-09,0.4528
7.9571e-09,0.4621
7.9668e-09,0.4679
7.9764e-09,0.4755
7.9861e-09,0.4834
7.9957e-09,0.4880
8.0054e-09,0.4911
8.0150e-09,0.4905
8.0246e-09,0.4828
8.0343e-09,0.4712
8.0439e-09,0.4570
8.0536e-09,0.4416
8.0632e-09,0.4294
8.0729e-09,0.4203
8.0825e-09,0.4134
8.0922e-09,0.4134
8.1018e-09,0.4199
8.1114e-09,0.4297
8.1211e-09,0.4438
8.1307e-09,0.4613
8.1404e-09,0.4771
8.1500e-09,0.4899
8.1597e-09,0.4978
8.1693e-09,0.4960
8.1790e-09,0.4842
8.1886e-09,0.4633
8.1983e-09,0.4326
8.2079e-09,0.3944
8.2175e-09,0.3517
8.2272e-09,0.3053
8.2368e-09,0.2565
8.2465e-09,0.2065
8.2561e-09,0.1551
8.2658e-09,0.1056
8.2754e-09,0.0618
8.2851e-09,0.0245
8.2947e-09,-0.0059
8.3043e-09,-0.0295
8.3140e-09,-0.0480
8.3236e-09,-0.0621
8.3333e-09,-0.0706
8.3429e-09,-0.0729
8.3526e-09,-0.0702
8.3622e-09,-0.0648
8.3719e-09,-0.0596
8.3815e-09,-0.0564
8.3911e-09,-0.0559
8.4008e-09,-0.0573
8.4104e-09,-0.0588
8.4201e-09,-0.0591
8.4297e-09,-0.0587
8.4394e-09,-0.0581
8.4490e-09,-0.0574
8.4587e-09,-0.0565
8.4683e-09,-0.0544
8.4780e-09,-0.0510
8.4876e-09,-0.0470
8.4972e-09,-0.0435
8.5069e-09,-0.0420
8.5165e-09,-0.0438
8.5262e-09,-0.0489
8.5358e-09,-0.0559
8.5455e-09,-0.0636
8.5551e-09,-0.0710
8.5648e-09,-0.0775
8.5744e-09,-0.0837
8.5840e-09,-0.0899
8.5937e-09,-0.0953
