.HEADER
..NAMES
Time,V U1.T4
.DATA
9.3301e-09,0.5406
9.3533e-09,0.5356
9.3766e-09,0.5218
9.3999e-09,0.5008
9.4231e-09,0.4707
9.4464e-09,0.4272
9.4697e-09,0.3699
9.4929e-09,0.3018
9.5162e-09,0.2288
9.5395e-09,0.1583
9.5627e-09,0.0968
9.5860e-09,0.0480
9.6093e-09,0.0120
9.6325e-09,-0.0135
9.6558e-09,-0.0314
9.6791e-09,-0.0445
9.7023e-09,-0.0541
9.7256e-09,-0.0615
9.7489e-09,-0.0686
9.7721e-09,-0.0760
9.7954e-09,-0.0827
9.8187e-09,-0.0866
9.8419e-09,-0.0858
9.8652e-09,-0.0804
9.8885e-09,-0.0717
9.9117e-09,-0.0599
9.9350e-09,-0.0449
9.9583e-09,-0.0267
9.9815e-09,-0.0054
1.00048e-08,0.0173
1.00281e-08,0.0384
1.00513e-08,0.0546
1.00746e-08,0.0633
1.00979e-08,0.0642
1.01211e-08,0.0592
1.01444e-08,0.0516
1.01677e-08,0.0439
1.01909e-08,0.0373
1.02142e-08,0.0324
1.02375e-08,0.0297
1.02607e-08,0.0290
1.02840e-08,0.0296
1.03073e-08,0.0300
1.03305e-08,0.0287
1.03538e-08,0.0252
1.03771e-08,0.0198
1.04003e-08,0.0130
1.04236e-08,0.0058
1.04469e-08,-0.0013
1.04702e-08,-0.0085
1.04934e-08,-0.0156
1.05167e-08,-0.0221
1.05400e-08,-0.0267
1.05632e-08,-0.0278
1.05865e-08,-0.0247
1.06098e-08,-0.0184
1.06330e-08,-0.0108
1.06563e-08,-0.0039
1.06796e-08,0.0010
1.07028e-08,0.0036
1.07261e-08,0.0039
1.07494e-08,0.0026
1.07726e-08,0.0006
1.07959e-08,-0.0013
1.08192e-08,-0.0023
1.08424e-08,-0.0018
1.08657e-08,0.0003
1.08890e-08,0.0035
1.09122e-08,0.0069
1.09355e-08,0.0098
1.09588e-08,0.0119
1.09820e-08,0.0133
1.10053e-08,0.0145
1.10286e-08,0.0150
1.10518e-08,0.0145
1.10751e-08,0.0124
1.10984e-08,0.0087
1.11216e-08,0.0043
1.11449e-08,0.0002
1.11682e-08,-0.0026
1.11914e-08,-0.0034
1.12147e-08,-0.0025
1.12380e-08,-0.0005
1.12612e-08,0.0018
1.12845e-08,0.0039
1.13078e-08,0.0051
1.13310e-08,0.0052
1.13543e-08,0.0043
1.13776e-08,0.0024
1.14008e-08,0.0003
1.14241e-08,-0.0014
1.14474e-08,-0.0023
1.14706e-08,-0.0024
1.14939e-08,-0.0020
1.15172e-08,-0.0014
1.15404e-08,-0.0006
1.15637e-08,0.0004
1.15870e-08,0.0019
1.16102e-08,0.0038
1.16335e-08,0.0057
1.16568e-08,0.0070
1.16800e-08,0.0073
1.17033e-08,0.0064
1.17266e-08,0.0047
1.17498e-08,0.0028
1.17731e-08,0.0013
1.17964e-08,0.0004
1.18196e-08,0.0003
1.18429e-08,0.0010
1.18662e-08,0.0022
1.18894e-08,0.0037
1.19127e-08,0.0049
1.19360e-08,0.0055
1.19592e-08,0.0054
1.19825e-08,0.0047
1.20058e-08,0.0039
1.20290e-08,0.0031
1.20523e-08,0.0025
1.20756e-08,0.0020
1.20988e-08,0.0015
1.21221e-08,0.0009
1.21454e-08,0.0004
1.21686e-08,0.0003
1.21919e-08,0.0008
1.22152e-08,0.0018
1.22384e-08,0.0030
1.22617e-08,0.0040
1.22850e-08,0.0045
