.HEADER
..NAMES
Time,V U2.J7
.DATA
4.7839e-09,-0.0458
4.7936e-09,-0.0407
4.8032e-09,-0.0381
4.8129e-09,-0.0376
4.8225e-09,-0.0384
4.8321e-09,-0.0405
4.8418e-09,-0.0440
4.8514e-09,-0.0487
4.8611e-09,-0.0546
4.8707e-09,-0.0609
4.8804e-09,-0.0669
4.8900e-09,-0.0722
4.8997e-09,-0.0770
4.9093e-09,-0.0815
4.9190e-09,-0.0862
4.9286e-09,-0.0907
4.9382e-09,-0.0944
4.9479e-09,-0.0966
4.9575e-09,-0.0971
4.9672e-09,-0.0956
4.9768e-09,-0.0931
4.9865e-09,-0.0900
4.9961e-09,-0.0867
5.0058e-09,-0.0840
5.0154e-09,-0.0821
5.0250e-09,-0.0814
5.0347e-09,-0.0819
5.0443e-09,-0.0837
5.0540e-09,-0.0862
5.0636e-09,-0.0888
5.0733e-09,-0.0906
5.0829e-09,-0.0904
5.0926e-09,-0.0876
5.1022e-09,-0.0820
5.1119e-09,-0.0739
5.1215e-09,-0.0640
5.1311e-09,-0.0529
5.1408e-09,-0.0412
5.1504e-09,-0.0296
5.1601e-09,-0.0187
5.1697e-09,-0.0093
5.1794e-09,-0.0017
5.1890e-09,0.0040
5.1987e-09,0.0084
5.2083e-09,0.0119
5.2179e-09,0.0150
5.2276e-09,0.0175
5.2372e-09,0.0193
5.2469e-09,0.0205
5.2565e-09,0.0211
5.2662e-09,0.0212
5.2758e-09,0.0209
5.2855e-09,0.0202
5.2951e-09,0.0191
5.3047e-09,0.0178
5.3144e-09,0.0165
5.3240e-09,0.0157
5.3337e-09,0.0155
5.3433e-09,0.0160
5.3530e-09,0.0171
5.3626e-09,0.0182
5.3723e-09,0.0190
5.3819e-09,0.0191
5.3916e-09,0.0185
5.4012e-09,0.0171
5.4108e-09,0.0153
5.4205e-09,0.0132
5.4301e-09,0.0112
5.4398e-09,0.0097
5.4494e-09,0.0089
5.4591e-09,0.0094
5.4687e-09,0.0111
5.4784e-09,0.0141
5.4880e-09,0.0180
5.4976e-09,0.0222
5.5073e-09,0.0260
5.5169e-09,0.0292
5.5266e-09,0.0316
5.5362e-09,0.0330
5.5459e-09,0.0335
5.5555e-09,0.0333
5.5652e-09,0.0327
5.5748e-09,0.0319
5.5845e-09,0.0311
5.5941e-09,0.0305
5.6037e-09,0.0301
5.6134e-09,0.0300
5.6230e-09,0.0299
5.6327e-09,0.0297
5.6423e-09,0.0291
5.6520e-09,0.0281
5.6616e-09,0.0268
5.6713e-09,0.0254
5.6809e-09,0.0240
5.6905e-09,0.0229
5.7002e-09,0.0219
5.7098e-09,0.0210
5.7195e-09,0.0202
5.7291e-09,0.0193
5.7388e-09,0.0183
5.7484e-09,0.0169
5.7581e-09,0.0150
5.7677e-09,0.0125
5.7774e-09,0.0096
5.7870e-09,0.0065
5.7966e-09,0.0035
5.8063e-09,0.0010
5.8159e-09,-0.0009
5.8256e-09,-0.0020
5.8352e-09,-0.0023
5.8449e-09,-0.0019
5.8545e-09,-0.0010
5.8642e-09,0.0001
5.8738e-09,0.0011
5.8835e-09,0.0018
5.8931e-09,0.0020
5.9027e-09,0.0018
5.9124e-09,0.0011
5.9220e-09,0.0003
5.9317e-09,-0.0006
5.9413e-09,-0.0012
5.9510e-09,-0.0015
5.9606e-09,-0.0015
5.9703e-09,-0.0013
5.9799e-09,-0.0008
5.9895e-09,-0.0003
5.9992e-09,0.0001
6.0088e-09,0.0003
6.0185e-09,0.0002
6.0281e-09,-0.0002
6.0378e-09,-0.0007
6.0474e-09,-0.0012
6.0571e-09,-0.0017
6.0667e-09,-0.0020
6.0764e-09,-0.0021
6.0860e-09,-0.0021
6.0956e-09,-0.0021
6.1053e-09,-0.0022
6.1149e-09,-0.0024
6.1246e-09,-0.0030
6.1342e-09,-0.0039
6.1439e-09,-0.0049
6.1535e-09,-0.0061
6.1632e-09,-0.0071
6.1728e-09,-0.0080
6.1824e-09,-0.0084
6.1921e-09,-0.0084
6.2017e-09,-0.0080
6.2114e-09,-0.0072
6.2210e-09,-0.0061
6.2307e-09,-0.0051
6.2403e-09,-0.0043
6.2500e-09,-0.0037
6.2596e-09,-0.0034
6.2693e-09,-0.0034
6.2789e-09,-0.0036
6.2885e-09,-0.0039
6.2982e-09,-0.0042
6.3078e-09,-0.0042
6.3175e-09,-0.0040
6.3271e-09,-0.0035
6.3368e-09,-0.0027
6.3464e-09,-0.0018
6.3561e-09,-0.0010
6.3657e-09,-0.0002
6.3753e-09,0.0004
6.3850e-09,0.0007
6.3946e-09,0.0009
6.4043e-09,0.0009
6.4139e-09,0.0010
6.4236e-09,0.0011
6.4332e-09,0.0013
6.4429e-09,0.0016
6.4525e-09,0.0020
6.4621e-09,0.0024
6.4718e-09,0.0028
6.4814e-09,0.0030
6.4911e-09,0.0030
6.5007e-09,0.0028
6.5104e-09,0.0024
6.5200e-09,0.0019
6.5297e-09,0.0015
6.5393e-09,0.0012
6.5490e-09,0.0010
6.5586e-09,0.0011
6.5682e-09,0.0015
6.5779e-09,0.0020
6.5875e-09,0.0025
6.5972e-09,0.0031
6.6068e-09,0.0034
6.6165e-09,0.0036
6.6261e-09,0.0036
6.6358e-09,0.0033
6.6454e-09,0.0030
6.6550e-09,0.0026
6.6647e-09,0.0023
6.6743e-09,0.0022
6.6840e-09,0.0023
6.6936e-09,0.0026
6.7033e-09,0.0030
6.7129e-09,0.0035
6.7226e-09,0.0040
6.7322e-09,0.0043
6.7419e-09,0.0046
6.7515e-09,0.0046
6.7611e-09,0.0045
6.7708e-09,0.0044
6.7804e-09,0.0042
6.7901e-09,0.0041
6.7997e-09,0.0041
6.8094e-09,0.0042
6.8190e-09,0.0043
6.8287e-09,0.0045
6.8383e-09,0.0047
6.8480e-09,0.0047
6.8576e-09,0.0046
6.8672e-09,0.0044
6.8769e-09,0.0041
6.8865e-09,0.0037
6.8962e-09,0.0033
6.9058e-09,0.0030
6.9155e-09,0.0028
6.9251e-09,0.0028
6.9348e-09,0.0029
6.9444e-09,0.0031
6.9540e-09,0.0033
6.9637e-09,0.0035
6.9733e-09,0.0035
6.9830e-09,0.0034
6.9926e-09,0.0032
7.0023e-09,0.0029
7.0119e-09,0.0025
7.0216e-09,0.0022
7.0312e-09,0.0019
7.0409e-09,0.0017
7.0505e-09,0.0017
7.0601e-09,0.0018
7.0698e-09,0.0020
7.0794e-09,0.0023
7.0891e-09,0.0025
7.0987e-09,0.0026
7.1084e-09,0.0026
7.1180e-09,0.0025
7.1277e-09,0.0024
7.1373e-09,0.0022
7.1469e-09,0.0020
7.1566e-09,0.0019
7.1662e-09,0.0018
7.1759e-09,0.0019
7.1855e-09,0.0020
7.1952e-09,0.0022
