.HEADER
..NAMES
Time,V U1.V1&V2
.DATA
8.4692e-09,0.6090
8.4925e-09,0.5991
8.5157e-09,0.5835
8.5390e-09,0.5666
8.5623e-09,0.5522
8.5855e-09,0.5384
8.6088e-09,0.5237
8.6321e-09,0.5122
8.6553e-09,0.5099
8.6786e-09,0.5167
8.7019e-09,0.5264
8.7251e-09,0.5343
8.7484e-09,0.5424
8.7717e-09,0.5555
8.7949e-09,0.5712
8.8182e-09,0.5820
8.8415e-09,0.5852
8.8647e-09,0.5832
8.8880e-09,0.5782
8.9113e-09,0.5723
8.9345e-09,0.6001
8.9578e-09,0.7384
8.9811e-09,0.9028
9.0043e-09,1.0196
9.0276e-09,1.0940
9.0509e-09,1.1397
9.0741e-09,1.1567
9.0974e-09,1.1560
9.1207e-09,1.1545
9.1439e-09,1.1589
9.1672e-09,1.1652
9.1905e-09,1.1710
9.2137e-09,1.1779
9.2370e-09,1.1872
9.2603e-09,1.1955
9.2835e-09,1.1966
9.3068e-09,1.1892
9.3301e-09,1.1787
9.3533e-09,1.1705
9.3766e-09,1.1633
9.3999e-09,1.1528
9.4231e-09,1.1410
9.4464e-09,1.1347
9.4697e-09,1.1365
9.4929e-09,1.1436
9.5162e-09,1.1517
9.5395e-09,1.1286
9.5627e-09,1.0771
9.5860e-09,0.9329
9.6093e-09,0.8067
9.6325e-09,0.7244
9.6558e-09,0.6675
9.6791e-09,0.6321
9.7023e-09,0.6160
9.7256e-09,0.6084
9.7489e-09,0.5957
9.7721e-09,0.5783
9.7954e-09,0.5622
9.8187e-09,0.5486
9.8419e-09,0.5344
9.8652e-09,0.5199
9.8885e-09,0.5105
9.9117e-09,0.5113
9.9350e-09,0.5197
9.9583e-09,0.5291
9.9815e-09,0.5363
1.00048e-08,0.5455
1.00281e-08,0.5602
1.00513e-08,0.5752
1.00746e-08,0.5836
1.00979e-08,0.5848
1.01211e-08,0.5819
1.01444e-08,0.5760
1.01677e-08,0.5730
1.01909e-08,0.6218
1.02142e-08,0.7885
1.02375e-08,0.9404
1.02607e-08,1.0448
1.02840e-08,1.1131
1.03073e-08,1.1475
