.HEADER
..NAMES
Time,V U2.A3
.DATA
3.5879e-09,1.2000
3.5976e-09,1.1994
3.6072e-09,1.1990
3.6169e-09,1.1987
3.6265e-09,1.1984
3.6362e-09,1.1982
3.6458e-09,1.1981
3.6555e-09,1.1980
3.6651e-09,1.1981
3.6747e-09,1.1984
3.6844e-09,1.1989
3.6940e-09,1.1995
3.7037e-09,1.2002
3.7133e-09,1.2009
3.7230e-09,1.2016
3.7326e-09,1.2020
3.7423e-09,1.2022
3.7519e-09,1.2021
3.7616e-09,1.2018
3.7712e-09,1.2012
3.7808e-09,1.2004
3.7905e-09,1.1996
3.8001e-09,1.1990
3.8098e-09,1.1985
3.8194e-09,1.1984
3.8291e-09,1.1984
3.8387e-09,1.1987
3.8484e-09,1.1991
3.8580e-09,1.1996
3.8676e-09,1.2000
3.8773e-09,1.2003
3.8869e-09,1.2005
3.8966e-09,1.2006
3.9062e-09,1.2005
3.9159e-09,1.1995
3.9255e-09,1.1815
3.9352e-09,1.1422
3.9448e-09,1.0770
3.9545e-09,0.9798
3.9641e-09,0.8613
3.9737e-09,0.7438
3.9834e-09,0.6345
3.9930e-09,0.5376
4.0027e-09,0.4641
4.0123e-09,0.4195
4.0220e-09,0.3965
4.0316e-09,0.3882
4.0413e-09,0.3901
4.0509e-09,0.3989
4.0605e-09,0.4083
4.0702e-09,0.4132
4.0798e-09,0.4137
4.0895e-09,0.4087
4.0991e-09,0.3985
4.1088e-09,0.3895
4.1184e-09,0.3908
4.1281e-09,0.3983
4.1377e-09,0.4022
4.1474e-09,0.4075
4.1570e-09,0.4196
4.1666e-09,0.4375
4.1763e-09,0.4583
4.1859e-09,0.4796
4.1956e-09,0.4979
4.2052e-09,0.5090
4.2149e-09,0.5116
4.2245e-09,0.5070
4.2342e-09,0.4950
4.2438e-09,0.4756
4.2534e-09,0.4528
4.2631e-09,0.4308
4.2727e-09,0.4091
4.2824e-09,0.3858
4.2920e-09,0.3632
4.3017e-09,0.3445
4.3113e-09,0.3296
4.3210e-09,0.3180
4.3306e-09,0.3132
4.3402e-09,0.3196
4.3499e-09,0.3405
4.3595e-09,0.3774
4.3692e-09,0.4287
4.3788e-09,0.4878
4.3885e-09,0.5444
4.3981e-09,0.5889
4.4078e-09,0.6138
4.4174e-09,0.6148
4.4271e-09,0.5930
4.4367e-09,0.5569
4.4463e-09,0.5173
4.4560e-09,0.4816
4.4656e-09,0.4527
4.4753e-09,0.4308
4.4849e-09,0.4140
4.4946e-09,0.3979
4.5042e-09,0.3775
4.5139e-09,0.3492
4.5235e-09,0.3110
4.5331e-09,0.2626
4.5428e-09,0.2060
4.5524e-09,0.1450
4.5621e-09,0.0839
4.5717e-09,0.0272
4.5814e-09,-0.0202
4.5910e-09,-0.0549
4.6007e-09,-0.0763
4.6103e-09,-0.0858
4.6200e-09,-0.0849
4.6296e-09,-0.0754
4.6392e-09,-0.0606
4.6489e-09,-0.0447
4.6585e-09,-0.0319
4.6682e-09,-0.0255
4.6778e-09,-0.0276
4.6875e-09,-0.0381
4.6971e-09,-0.0551
4.7068e-09,-0.0752
4.7164e-09,-0.0945
4.7261e-09,-0.1095
4.7357e-09,-0.1184
4.7453e-09,-0.1217
4.7550e-09,-0.1214
4.7646e-09,-0.1193
4.7743e-09,-0.1172
4.7839e-09,-0.1165
4.7936e-09,-0.1175
4.8032e-09,-0.1190
4.8129e-09,-0.1189
4.8225e-09,-0.1150
4.8321e-09,-0.1061
4.8418e-09,-0.0923
